Phrases,Translation
だんだん暗くなりつつある。,It's getting darker and darker.
そういう問題じゃないよ。,That's not the point.
そういうのは気に入らんな。,I don't like it when you do that.
まさしくそういう意味です！　,That's exactly what I mean!
服がぴったり合っていた。,The clothes fit perfectly.
それはぴったりの番号だ。,That's a perfect number.
この上着は私にぴったり合う。,This jacket fits me perfectly.
彼はその仕事にぴったりだ。,He's perfect for the job.
その帽子は彼女にぴったりだ。,That hat fits her perfectly.
彼は７時ぴったりに家に着いた。,He arrived home at exactly seven o'clock.
これは私の好みにぴったりです。,This fits my taste perfectly.
そのバスは８時ぴったりに到着した。,The bus arrived at exactly eight o'clock.
彼は彼女をしっかりと抱いた。,He held her tightly.
彼はしっかりと枝につかまった。,He held on tightly to the branch.
彼女の腕をしっかりとつかんだ。,I grabbed her arm tightly.
私は彼女をしっかり抱きしめた。,I held her tightly.
本は一まとめにしっかり縛ってあった。,The book was tied tightly in a bundle.
手を離さないでしっかりつかみなさい。,Don't let go and hold on tight.
彼女はその小包にしっかりと紐をかけた。,She tied the parcel tightly.
しっかり勉強しなさい。,Study hard.
しっかり頑張ってこい。,Do your best.
ドアはしっかり閉まっている。,The door is firmly closed.
ロープにしっかり捕まりなさい。,Hold on tight to the rope.
彼は私の手をしっかりと握った。,He grasped my hand tightly.
ラケットをしっかりにぎりなさい。,Hold the racket tightly.
約束はきちんと果たすべきだ。,You should make good on your promise.
食事療法にきちんと従うように。,Follow the diet properly.
貴方の仕事をきちんとしなさい。,Do your work well.
部屋の中をきちんと整理しなさい。,Keep your room neat and tidy.
彼は仕事の面できちんとしていた。,He was neat in his work.
きちんと座りなさい。,Sit properly.
きちんと戸を閉めなさい。,Close the door properly.
すべてきちんと整っている。,Everything is in order.
モーターがきちんと動かない。,The motor doesn't work properly.
ちゃんと座ってろ。,Sit down properly.
ちゃんと歯を磨いていますか。,Are you brushing your teeth properly?
ちゃんと聞いてるよ。,I'm listening to you.
ストーブちゃんと消した？,Did you turn off the stove properly?
本当にちゃんとわかった？,Are you sure you understand?
ちゃんと戸締りはしたか？,Did you lock the door properly?
ちゃんと思い出せないんだ。,I can't remember.
自分の目でちゃんと見たのよ。,I saw it with my own eyes.
ちゃんと体調管理をしなさいよ。,You should take better care of yourself.
こんにちは。,Hello.
今晩は。,Good evening.
お元気ですか。,How are you?
はい、元気です。あなたは？,"Yes, I'm fine. How are you?"
おかげさまで。,Thanks to you.
まあまあです。,So-so.
じゃあ、失礼します。,"Now, if you'll excuse me."
人を待たせていますので、これで失礼いたします。,"I have people waiting, so I'll be going now."
またあとで。,I'll see you later.
お休みなさい。,Have a good night.
がんばって下さい。,Please do your best.
楽しんで下さい。,Have fun.
楽しい休暇を。,Have a nice vacation.
楽しい旅行を。,Have a nice trip.
誰ですか？,Who is this?
この近くで何か面白いことがありますか。,Are there any interesting things to do near here?
どんなホテルですか。,What kind of hotel is it?
トイレはどこにありますか。,Where are the toilets located?
どちらに行かれますか。,Where are you going?
どこから来ましたか。,Where are you coming from?
どのくらい遠いですか。,How far away is it?
どこで起こりましたか。 ,Where did it happen?
何をなくしましたか。,What did you lose?
何が盗まれましたか。 ,What was stolen?
身分証明書を見せて下さい。 ,Please show me your ID.
それは何時でしたか。 ,What time did it happen?
誰が関係しましたか。 ,Who was involved?
証人がいますか。 ,Do you have any witnesses?
ここに記入してください。 ,Please fill out this form.
ここにサインをして下さい。 ,Please sign here.
通訳が必要ですか。 ,Do you need an interpreter?
保険のために写しをください。,Please provide a copy for insurance purposes.
全部失いました。,I've lost everything.
お金が全部なくなりました。,I've lost all my money.
お金を少し貸して下さいますか。,Can you lend me some money?
通訳が必要です。,I need a translator.
私は無罪です。,I'm not guilty.
何も知りません。,I don't know anything.
英語が話せる弁護士がほしいんです｡,I need a lawyer who speaks English.
そのピザは美味しそうです。,That pizza looks good.
あなたの車は古そうです。,Your car looks old.
このテストは難しそうです。,This test is going to be difficult.
今日は寒なさそうですね。,It doesn't look cold today.
このビールは冷たくなさそうです。,This beer doesn't seem to be cold.
あの公園は静かそうです。,That park looks quiet.
このホテルは便利じゃなさそうです。,This hotel doesn't look convenient.
あれはやそうな車ですね。,That looks like a fast car.
静かそうなこうえんです。,It looks like a quiet park.
元気そうな赤ちゃんですね。,That baby looks healthy.
日本人のふりをしました。,I pretended to be Japanese.
先生のことが好きじゃないけど、好きなふりをしました。,"I didn't like the teacher, but I pretended to like him."
若いふりをしました。,I pretended to be young.
日本語が分からないふりをしました。,I pretended that I didn't understand Japanese.
もう若いふりができません。,I can't pretend to be young anymore.
日本人のふりをしません。,I don't pretend to be Japanese.
友達はよく、寝たふりをしています。 ,My friends often pretend to be asleep.
忙がしいふりをしないで、手伝って下さい。 ,Please help me and don't pretend to be busy.
うちの子は学校が嫌なふりをしているけど、本当は好きです。,"My son pretends to hate school, but he really likes it."
最近、落ち込こんでいます。 ,I've been feeling depressed lately.
落ち込まないで、頑張りましょう。 ,"Don't be depressed, let's do our best."
卒業式でクラスメートと別れるのは、寂しいです。 ,I'm sad to say goodbye to my classmate at the graduation ceremony.
別れたいと言ったけど、彼女は聞いてくれなかった。 ,"I told her I wanted to break up with her, but she didn't listen to me."
別わかれる時は、泣くより笑ったほうがいいです。 ,"When you have to say goodbye, it is better to laugh than to cry."
10年飼っていた犬と別れるのは、辛かったです。,It was hard to say goodbye to the dog I had for 10 years.
若い時は、生活に困っていました。 ,"When I was young, I had a hard time making ends meet."
娘がずっと泣いて、本当に困りました。,"My daughter cried all the time, and I was really troubled."
友達の家があまりにも汚くて、困こまりました。,My friend's house was so dirty that I was in trouble.
海外旅行で困ったことはありますか。,Do you have any problems when traveling abroad?
何で？先週、話してたでしょう？ ,Why? Didn't we talk about it last week?
そうなんだけど..明日、友達に会ってほしかったの。 ,"I know, but... I wanted you to meet my friends tomorrow."
明日、日本に行くから、どきどきしています。,"I'm going to Japan tomorrow, so I'm very excited."
テストの時、いつもドキドキして、あまりよくできません。,"I always feel nervous when I take tests, and I don't do very well."
妹が怒っていて、部屋から出てきません。 ,My sister is angry and won't come out of her room.
私の友達が今晩、テレビに出てきますよ。,My friend is going to be on TV tonight.
財布をなくして、もう見つからないと思ったのに、今日出てきました。 ,"I lost my wallet and thought I'd never find it, but it came out today."
私はテニスをする時、汗をかきます。,"When I play tennis, I sweat a lot."
汗をかいたら、水をたくさん飲みます。,"When I sweat, I drink a lot of water."
天気が暑い時、汗が出でます。 ,"When the weather is hot, I sweat a lot."
夏に汗が凄く出るから、シャワーをよくします。,"In summer, I sweat so much that I often take a shower."
今日は忙しいけど、何とか時間を作つくります。 ,"I'm busy today, but I'll try to make time for you."
給料は少ないですが、何とかお金が貯められました。  ,"The salary was not much, but I managed to save some money."
困っていたけど、何とかなりました。,"I  was troubled, but it all worked  out. "
困っていたけど、何とかしました。 ,"I  was troubled, but I figured it out. "
手伝って下さいませんか。,Can you help me?
教えて下さいませんか。,Teach me.
連れていって下さいませんか。,Can you take me there?
予約していただけますか。,Can you make a reservation for me?
ベジタリアン料理はありますか。,Do you have any vegetarian dishes?
これを持って行ってもいいですか。,Can I bring this with me?
タバコを吸ってもいいですか。,Can I smoke?
はい 、もちろん 。,"Yes, of course."
はい、どうぞ。,"Yes, please."
ちょっと待って下 さ い 。,"Wait a minute, please."
すみませんが、時間がありません。,"I'm sorry, but I don't have time."
不可能です。,It's impossible.
そう思います。,I think so.
誰もいません。,There's no one here.
何でもありません。,It's nothing.
それで結構です。,That's fine.
違います。,"No, it's not."
賛成です。,I agree.
賛成出来ません。,I don't agree.
どうもありがとうございます。,Thank you very much.
本当に楽しかったです。,I really enjoyed it.
知らなかったので、申し訳ありません。,I'm sorry I didn't know.
どちらがお好きですか。,Which do you like better?
どう思いますか。,What do you think?
踊るのが嫌いですか。,Do you hate to dance?
何でもいいです。,Anything is fine.
よかった。,Good.
悪くいですね!,That's not bad!
すばらしい!,Excellent!
おいしい!,Delicious!
楽しいですねえ!,It's fun!
すてき!,It's great!
とても楽しんでいます。,I'm enjoying it very much.
それを楽しみに待っています。,I'm looking forward to it.
すごい!,Great!
残念!,Too bad!
うんざりだよ。,I'm sick of it.
もうあきた。,I'm tired of it.
自己紹介してもよろしいですか。,May I introduce myself?
お名前は?,What's your name?
これは妻です。,This is my wife.
これは友達です。,This is my friend.
これは母です。,This is my mother.
これは夫です。,This is my husband.
これは息子です。,This is my son.
初めまして 。どうぞよろしく 。,Nice to meet you. Nice to meet you.
お目にかかれて嬉しいです。,It's nice to meet you.
お国はどちらですか。,What country are you from?
どこにお住まいですか。,Where do you live?
もうお長いのですか。,Have you been here long?
それは渋谷に近い所です。,It's near Shibuya.
二三日です。,It's been a few days.
明日立ちます。,I'm standing up tomorrow.
二週間後に立つつもりです。,I'm going to stand in two weeks.
どこにお泊りですか。,Where are you staying?
ホテルに。,In a hotel.
友達の所に。,At a friend's place.
親戚の所に。,At a relative's place.
一人で来られましたか。,Are you here alone?
ご家族とここに来ましたか。,Did you come here with your family?
夫と来ました。,I came with my husband.
妻と来ました。,I came with my wife.
家族と来ました。,I came with my family.
友達と来ました。,I came with friends.
結婚していますか。,Are you married?
恋人はいますか。,Do you have a girlfriend?
関係ないでしょ!,I don't care!
関係ないだろ!,It doesn't matter!
結婚しています,I'm married.
独身です。,I am single.
恋人と住んでいます。,I live with my girlfriend.
離婚ていま す。,I'm divorced.
お子さんは?,Do you have any children?
お孫さんは?,Do you have any grandchildren?
失礼ですが 、おいくつで すか 。,"Excuse me, but how old are you?"
女の子はいくつですか。,How old is the girl?
男の子はいくつですか。,How old are your boys?
お仕事は何ですか。,What do you do for a living?
会社で働いています。,I work in a company.
学生です。,I am a student.
無職です。,I am unemployed.
退職しました。,I am retired.
障害者です。,I am disabled.
主婦です。,I am a housewife.
お仕事は面白いですか,Do you enjoy your work?
たいがいは。,Mostly.
まあまあですが、休みの方が面白いですよね 。,"It's okay, but the vacations are more interesting."
ぜんぜん話せません。,I can't talk at all.
少しだけ話せます。,I can speak only a little.
英語は話せますか。,Do you speak English?
日本語が話せますか。,Can you speak Japanese?
英語が話せますか。,Do you speak English?
何とおっしゃいましたか。,What did you say?
分かりました。,I understand.
もう一度言って下さい。,Please say it again.
ゆっくり話して下さいませんか,Could you please speak slowly?
それはどういう意味ですか。,What do you mean by that?
その言葉はどういう意味ですか。,What does that word mean?
この本の中でそれを指さして下さい ませんか。,Can you point to it in this book?
それを書いて下さいませんか。,Can you write it down?
それは...という意味ですか。,Does it mean...? What does it mean?
ちょっと待って下さい 、捜してみます。,"Wait a minute, I'll look for it."
言葉が見つかりません。,I can't find the word.
それは日本語でどう言いますか。,How do you say it in Japanese?
それはどう発音しますか。,How do you pronounce it?
すみませんが、助けて下さい。,"I'm sorry, but I need your help."
どうしました か。,What's the matter?
何かご用でしょうか。,What can I do for you?
急ぎますので、すみません。,"I'm sorry, I'm in a hurry."
ご一緒させていただいてもよろしい ですか。,May I join you?
写真をとってくださいますか,Can you take a picture for me?
このボタンを押して下さい。,Please press this button.
ほっといてよ!,Please leave me alone!
ほっといてくれよ!,Please leave me alone!
あっちいってよ!,Go away!
あっちいけよ!,Get away from me!
行かないと叫ぶわよ!,Go away or I'll scream!
行かないと叫ぶよ!,I'll scream if you don't go!
今日は暑いですね。,It's hot today.
今日は寒いですね。,It's cold today.
いい天気ですね。,It's a beautiful day.
すごい風ですね。,It's windy.
すごい雨ですね。,It's raining hard.
雪が凄いですね。,It's snowing hard.
深い霧ですね。,It's a deep fog.
この天気はもう長いんですか。,Has this weather been here long?
この辺はいつも暑いんですか。,Is it always hot around here?
この辺はいつも寒いんですか。,Is it always cold around here?
この辺はいつも雨が少ないんですか。,Is it always raining little around here?
この辺はいつも雨が多いですか。,Does it always rain a lot around here?
趣味は?,What are your hobbies?
編みものが好きです。,I like to knit.
読書が好きです。,I like to read.
写真をとるのが好きです。,I like to take pictures.
音楽が好きです。,I like music.
ギターを弾くのが好きです。,I like to play the guitar.
ピ アノを弾くのが好きです。,I like to play the pianos.
映画を見に行くのが好きです。,I like to go to the movies.
旅行するのが好きです。,I like to travel.
スポーツが好きです。,I like sports.
つりに行くのが好きです。,I like to go fishing.
散歩するのが好きです。,I like to go for a walk.
もう今晩の予定は何か決めたの。,Have you decided what you are going to do tonight?
もう今日の計画はたてましたか。,Have you made any plans for today?
もう今晩の計画はたてましたか。,Have you made plans for this evening yet?
一緒に出かけませんか。,Would you like to go out with me?
一緒にダンスに行きませんか。,Would you like to go dancing with me?
一緒に食べませんか。,Would you like to eat with me?
一緒に海岸に行きませんか。,Would you like to go to the beach with me?
一緒に町へ行きませんか。,Would you like to go to town with me?
一緒に友達の所に行きませんか。,Would you like to go to a friend's place with me?
踊りません。,I don't dance.
バーに座りましょうか?,Shall we sit at the bar?
何か飲みましょうか。,Let's have a drink.
散歩に行きましょうか。,Let's go for a walk.
ドライブ に 行 きましょうか。,Let's go for a drive.
いい考え。,Good idea.
いいえ 、けっこうです。,"No, thank you."
多分今度。,Maybe next time.
興味がないわ。,I'm not interested.
興味がないよ。,I'm not interested.
時間がないわ。,I don't have time.
時間がないよ。,I don't have time.
もう他の約束が。,I have other commitments.
ダンスは下手です。,I'm not a good dancer.
バレーボールは下手です。,I'm not good at volleyball.
泳げません。,I can't swim.
おきれいですね。,You're beautiful.
いい車ですね!,It's a nice car!
何てかわいい赤ちゃんでしょう。,What a cute baby.
ダンスが上手ですね。,You are a good dancer.
料理が上手ですね。,You're a good cook.
テニスが上手ですね。,You are a good tennis player.
一緒にいるのが楽しい。,I enjoy being with you.
とっても寂しかったわ。,I missed you so much.
とっても寂しかったよ。,I've missed you so much.
あなたを夢にみたわ。,I dreamed of you.
君を夢にみたよ。,I dreamed of you.
きれいだよ。,You're beautiful.
すてきよ。,You're beautiful.
すてきだよ。,You're beautiful.
セクシー。,Sexy.
私を見て。,Look at me.
僕を見て。,Look at me.
きれいな瞳だね。,You have beautiful eyes.
あなたに夢中なの。,I'm crazy about you.
君に夢中なんだ。,I'm crazy about you.
愛してる。,I love you.
私の気持ちは違うの。,My feelings are different.
僕の気持ちは違うんだ。,My feelings are different.
もう恋人がいます。,I already have a boyfriend.
もう少し待って。,Wait a little longer.
すごく早過ぎるの。,It's too soon.
すごく早過ぎるよ。,It's too soon.
触らないで。,Don't touch me.
今夜一緒に泊まらない?,Will you stay with me tonight?
愛したい。,I want to make love.
コンドームを 使ってくれるなら。,As long as you use a condom.
エイズのこともあるからね。,"You know, because of the AIDS thing."
男って皆そういうのね。,All men are like that.
危険は避けましょうよ。,Let's not take any chances.
危険は避けようよ。,Let's not take any chances.
コンドームもってる?,Do you have a condom?
それなら、やめましょう。,Then let's stop.
それなら、やめよう。,Then let's not.
お誕生日おめでとうございます。,Happy birthday to you.
心からお悔やみ申し上げます。,My deepest sympathies.
今度いつ会えますか。,When can we meet again?
この週末おひまですか。,Are you free this weekend?
何か計画しましょうか。,Shall we plan something?
車で拾ってくださいますか。,Can you pick me up in your car?
車で拾って上げましょうか。,Can I pick you up in my car?
９時までに帰らなければなりません。,I have to be home by nine o'clock.
もう会いたくないわ。,I don't want to see you anymore.
もう会いたくないよ。,I don't want to see you anymore.
何かお飲みになりませんか。,Would you like to have something to drink?
何をお飲みになりますか。,What would you like to drink?
タバコはいかがですか。,Would you like a cigarette?
葉巻はいかがですか。,Would you like a cigar?
アルコールなしの飲み物を下さい。,Please give me a drink without alcohol.
たばこは吸いません。,I don't smoke.
送っていってもいいですか。,Can I give you a ride?
手紙を書いてもいいですか。,Can I write you a letter?
メールをしてもいいですか。,Can I email you?
電話をかけてもいいですか。,Can I call you?
手紙をくれますか。,Can you write me a letter?
電話をくれますか。,Can I call you?
あなたの住所を教えてくれますか。,Will you give me your address?
あなたの電話番号を教くれますか。,Will you give me your phone number?
メールアドレスを教えてください。,Can I have your e-mail address?
いろいろありがとうございました。,Thank you very much for everything.
とても楽しかったです。,It was a lot of fun.
元気でね。,Take care.
いつ帰る?,When are you coming back?
待ってるわ。,I'll be waiting.
待ってるよ。,I'll be waiting for you.
また会いたいわ。,I want to see you again.
また会いたいなあ。,I want to see you again.
この辺でヨガが出来ますか。,Can I do yoga around here?
ここで自転車が借りられますか。,Can I rent a bicycle here?
スノーボードのレッスンが受けられますか。,Can I take snowboarding lessons?
一時間いくらですか。,How much does it cost per hour?
一日いくらですか。,How much does it cost per day?
一回いくらですか。,How much is one time?
許可書が必要ですか。,Do I need a permit?
許可書はどこで発行されますか。,Where is the permit issued?
私の趣味は登山です。,My hobby is mountain climbing.
ハイキングをするならどこがいいですか。,Where is the best place to go hiking?
登山をするならどこがいいですか。,Where is the best place to go mountain climbing?
有名なパワースポットがこのへんにありますか。,Are there any famous power spots in the area?
このへんに良い温泉はありますか。,Are there any good hot springs in this area?
ここから一番近い日帰り温泉はどこですか。,Where is the nearest day trip hot spring from here?
露天風呂はどこですか。,Where are the open-air baths?
混浴するときの決まりは何ですか。,What are the rules for mixed bathing?
混浴するときは、何か着ないといけませんか。,Do I have to wear something when I take a mixed bath?
海岸までまだ遠いですか。,Is it far from the beach?
この辺にプールはありますか。,Is there a swimming pool around here?
この辺に砂浜 はありますか。,Is there a beach around here?
この辺には岩がありますか。,Are there any rocks around here?
いつ満潮ですか。,When is the high tide?
いつ干潮ですか。,When is high tide and when is low tide?
水温は何度ですか。,What is the temperature of the water?
とても深いですか。,Is it very deep?
立てますか。,Can you stand up?
子供が安全に泳げますか。,Is it safe for children to swim?
流れはきついですか。,Is the current too strong?
この川に急流がありますか。,Are there rapids in the river?
この川に滝がありますか。,Is there a waterfall in the river?
あの旗はどういう意味ですか。,What do those flags mean?
あのブイはどういう意味ですか。,What do those buoys mean?
ここでスキーのレッスンが受けられま すか。,Can I take ski lessons here?
初心者でも参加できますか？,Is it possible for beginners to participate?
初心者向けのコースがありますか。,Are there courses for beginners?
この辞書は初級者に、いやそれどころか上級者にも役に立つ。,"This dictionary is useful for beginners, or even for advanced learners."
トムは上級のスノーボーダーだ。,Tom is an advanced snowboarder.
グループは何人ぐらいですか。,How many people are in a group?
何語で教えられますか。,What languages can you teach?
リフトの一日券を下さい。,Can I have a day pass for the lift?
証明写真がいりますか。,Do you need a photo ID?
どこで証明写真を撮ってもらえますか。,Where can I get my picture taken?
初心者のゲレンデはどこですか。,Where is the beginner's slope?
この辺でクロスカントリースキーができますか。,Can I do cross-country skiing around here?
リフトは動いていますか。,Are the lifts running?
ゲレンデは滑降可能ですか。,Can I ski down the slopes?
観光案内所はどこですか。,Where is the tourist information center?
町の地図ありますか。,Do you have a map of the town?
会津若松について教えて下さい。,Please tell me about Aizu Wakamatsu.
主にどこが面白いですか。,What are the main places of interest?
地図で指して下さい。,Could you point them out on the map?
何かおすすめは。,What do you recommend?
温泉に興味がありますが。,"I'm interested in hot springs, though."
市内観光ありますか。,Is there any sightseeing in the city?
どのぐらい時間がかかりますか,How long will it take?
出発点はどこですか。,Where is the starting point?
終点はどこですか。,Where is the last stop?
遊覧船がありますか。,Is there a sightseeing boat?
どこで船に乗れますか。,Where can I get on a boat?
どこでバスに乗れますか。,Where can I take a bus?
観光バスがありますか。,Is there a sightseeing bus?
英語のガイドがいますか。,Are there any English-speaking guides?
どこか楽しい小旅行はありますか。,Do you have any fun excursions?
観光ツアーがありますか。,Are there any sightseeing tours?
どこへ行きますか。,Where do you go?
北海道へ行きたいんですが。,I want to go to Hokkaido.
ツアーは何時間かかりますか。,How long does the tour take?
小坂にはどのくらい滞在しますか。,How long will I stay in Kosaka?
ガイド付きツアーがありますか。,Do you offer guided tours?
どのぐらい自由時間がありますか。,How much free time do I have?
ハイキングに行きたいんですが。,I want to go hiking.
ガイドをたのめますか。,Can I ask for a guide?
山小屋が予約出来ますか。,Can I book a mountain lodge?
何時にお店が開きますか。,What time do the stores open?
何時にお店が閉まりますか。,What time do the stores close?
何曜日にお寺が開いていますか。,What days are the temples open?
何曜日にお寺が閉まっていますか。,What days are the temples closed?
入場料はいくらですか。,How much is the entrance fee?
グループの割引切符ありますか。,Is there a discount ticket for groups?
子供の割引切符ありますか。,Is there a discount ticket for children?
撮影してもいいですか。,Is it okay to take pictures?
写真を撮ってもいいですか。,Is it okay to take pictures?
英語のパンフレットありますか。,Is there a brochure in English?
英語のパンフレットありますか。,Do you have a brochure in English?
英語のカタログありますか。,Do you have a catalog in English?
英語のプログラムありますか。,Do you have a program in English?
英語のメニューありますか。,Do you have a menu in English?
今月のプログラムありますか。,Do you have a program for this month?
今晩のプログラムはどうですか。,What is the program for this evening?
嵐山に行きたいんですが。,I'd like to go to Arashiyama.
どんな映画がありますか。,What kind of movies do you have?
どのような映画ですか。,What kind of movies?
オリジナル版。,Original version.
字幕付きで。,With subtitles.
吹替で。,Dubbed.
繰り返し上演しますか。,Will it be repeated?
何かいいショーはありますか。,Do you have any good shows?
何かいいコンサトホールはありますか。,Are there any good concert halls?
何かいいオペラ はありますか。,Are there any good operas?
この辺にいいディスコはありますか。,Are there any good discos in the area?
会員だけですか。,Are they for members only?
この辺にいいナトクラブはありますか。,Are there any good nato clubs in the area?
正装は必要ですか。,Do I need to wear formal clothes?
ショーは何時からですか。,What time do the shows start?
チケットは予約出来ますか。,Can I reserve tickets?
一階席では予約出来ますか。,Can I reserve tickets for the first floor?
二階席では予約出来ますか。,Can I reserve second floor seats?
ボックス席では予約出来ますか。,Can I reserve a box seat?
前方では予約出来ますか。,Can I make a reservation at the front?
中ごろでは予約出来ますか。,Can I make a reservation in the middle of the room?
後方では予約出来ますか。,Can I make a reservation in the back?
今晩の切符はまだありますか。,Do you still have tickets for tonight?
一枚いくらですか 。,How much does a ticket cost?
切符はいつもらえますか。,When can I get a ticket?
予約しました。,I've made a reservation.
私の名前は真愛です。,My name is Ma'ai.
６時の上演の切符を二枚予約出来ますか。,Can I reserve two tickets for the 6:00 performance?
どの上 演に予 約したいんですか。,Which performance do you want to reserve?
どんな座席がほしいんですか。,What kind of seats do you want?
すみませんが、売切れです,"Sorry, we're sold out."
立ち見席だけ残っています,We have standing room only.
二階席だけ残っています。,Only second floor seats are available.
一階席だけ残っています。,Only first floor seats are left.
前の座席が残っています。,Front seats are still available.
後の座席が残っています。,Back seats are still available.
何枚ですか。,How many tickets do you have?
７時までに切符を取りに来なければなりません 。,You have to come and get your ticket by 7:00.
切符を見せて下さい。,Please show me your ticket.
こちらの席です。,This is your seat.
卵はどのようになさいますか。,How do you want the eggs?
内訳はどのようにしましょう？,What should I do with the breakdown?
お支払いはどのようにしますか。,How will you pay for it?
余暇はどのように過ごしますか？,How do you spend your leisure time?
卵はどのように調理しましょうか。,How do you cook eggs?
誕生日はどのように祝いましたか。,How did you celebrate your birthday?
新年をどのように過ごすのですか。,How do you spend the New Year?
休暇をどのように過ごしましたか。,How did you spend your vacation?
どのようにしてそれは起こったの。,How did it happen?
連絡はどのようにすれば取れますか。,How can I get in touch with you?
冬休みはどのように過ごしましたか。,How did you spend your winter vacation?
近頃は、どのようにお過ごしですか。,How are you spending your time these days?
駅へはどのように行けばよいですか。,How do I get to the station?
どのようにして生活していきますか。,How do you plan to live your life?
どのようにしてここに来たのですか。,How did you come to be here?
コーヒーはどのようにいたしますか。,How do you like your coffee?
あの問題どのように処理しましたか。,How did you handle that problem?
これはどのように発音するんですか？,How do you pronounce this?
君はどのようにして学校へ行きますか。,How do you go to school?
ステーキはどのように焼きましょうか。,How should I cook the steak?
この問題をどのように扱いましょうか。,How do you want to handle this problem?
お宅の暖房はどのようにしていますか。,How do you heat your house?
あなたの苗字はどのように綴るのですか?,How do you spell your last name?
彼らはそれをどのようにするかを知らない。,They don't know how to do it.
彼らはそれをどのようにするかを知らない。,They don't know how to do it.
この機械がどのように動くか説明できますか。,Can you explain how this machine works?
あなたは「幸福」をどのように定義しますか。,"How do you define ""happiness""?"
わたしはどのようにこの問題を解くかわかる。,I know how to solve this problem.
あなたは自由な時間をどのように過ごしますか。,How do you spend your free time?
窓からは午後の優しい木漏れ日が差し込んでいた。,The gentle afternoon sun was shining through the window.
浮世の心配事のない人はない。,There is no one without worries in this world.
のんびり行こう。,Let's take it easy.
今日はビーチでのんびりしよう。,Let's take it easy on the beach today.
ゆっくり食べて。,Eat slowly.
ゆっくりどうぞ。,Take your time.
空はだんだん暗くなった。,The sky was getting darker and darker.
騒音は徐々に減少した。,The noise gradually decreased.
彼の体力は徐々に衰えた。,His physical strength was slowly waning.
次々に事件が起きた。,Incidents occurred one after another.
彼らは次々と出発した。,They departed one after another.
飛行機が次々に到着した。,The planes arrived one after another.
彼は実に頭がいい。,He's really smart.
彼は実に素直な人だ。,He is a very straightforward person.
彼は実にいいやつだ。,He's a really nice guy.
本当に大丈夫？,Are you sure you're okay?
本当に美味しい。,It's really good.
本当に美味しい。,It's really good.
風邪がなかなか治らない。,I can't get over this cold.
カレーはまあまあでした。,The curry was okay.
昨年の物価上昇はまあまあだった。,Last year's price increase was okay.
道に缶をすてるな。,Don't leave the can in the street.
缶を開けてもいいですか。,May I open the can?
ビールをもう１缶いただけますか。,"Can I have another can of beer, please?"
煮え加減がちょうどよい。,The simmering was just right.
彼女は甘さ加減がよいかどうかケーキの味見をした。,She tasted the cake to see if the sweetness was right.
お肉の焼き加減は、いかがなさいますか？,How would you like your meat cooked?
ステーキの焼き加減はどういたしましょう？,How would you like your steak cooked?
この手の冗談にはもういい加減、うんざりだ。,I'm sick and tired of this kind of joke.
少し手加減しました。,I went a little easy on it.
私は彼に忠告した。,I gave him my advice.
一言忠告をします。,I have one word of advice for you.
ご忠告ありがとう。,Thank you for your advice.
先生は彼に忠告した。,The doctor gave him some advice.
彼に休むよう忠告した。,I advised him to rest.
彼女に忠告しても無駄だ。,It's no use advising her.
彼は僕の忠告を無視した。,He ignored my advice.
彼は私の忠告を無視した。,He ignored my advice.
警告は全くなかった。,There was no warning at all.
彼は我々の警告を無視した。,He ignored our warnings.
彼らは船に危険を警告した。,They warned the ship of the danger.
医者は危険の可能性を警告する。,Doctors warn of the possibility of danger.
ラジオで洪水の警告をしていた。,They warned of a flood on the radio.
そうするなと警告したではないか。,I warned you not to do that.
ご助言、感謝します。,I appreciate your advice.
彼は私の助言を求めた。,He asked for my advice.
彼の助言は命令も同然だ。,His advice is as good as an order.
彼の助言に注意しなさい。,Beware of his advice.
彼の助言など役に立たない。,His advice is useless.
コーチが助言をしてくれた。,The coach gave me advice.
彼は医者の勧めでたばこをやめた。,He quit smoking on the advice of his doctor.
落下物に注意！,Beware of falling objects!
偽物にご注意。,Beware of fake goods.
車に注意しなさい。,Beware of cars.
ペンキ塗りたて注意,Beware of fresh paint.
すりに注意しなさい。,Beware of sledding.
足下に注意して下さい。,Watch your step.
彼は食べ過ぎに注意した。,He was careful not to overeat.
彼はその問題に注意した。,He took care of that problem.
一言苦言を呈したい。,I would like to offer a word of complaint.
最高の状態ですね。,That's the best I can do.
受信状態がよくない。,Reception is not good.
受信状態がよくない。,Reception is not good.
歯茎の状態が悪いですね。,The gums are in bad shape.
既に手に負えない状態だ。,He's already in over his head.
彼は三日間無意識の状態だ。,He's been unconscious for three days.
今、最良の状態にあります。,He's in the best shape of his life.
彼は今、寝たきりの状態だ。,He is bedridden now.
品物は良好な状態で到着した。,The goods arrived in good condition.
病人の生命は危険な状態です。,The sick man's life is in danger.
その患者は危ない状態だった。,The patient was in a dangerous condition.
この状態を理解していますか？,Do you understand this situation?
その車は疑いなくひどい状態だ。,The car is undoubtedly in a bad condition.
その古家はひどい状態であった。,The old house was in a bad condition.
条件を決める。,Determine the terms.
支払条件もご提示下さい。,Please also offer terms of payment.
認めるけど、条件が一つ。,"Granted, but there is one condition."
この条件では拒絶に等しい。,This condition is tantamount to rejection.
その条件には全く不満足です。,I am totally unsatisfied with those conditions.
彼女は条件が不公平だと言い張る。,She insists that the conditions are unfair.
