Rank,Words,Note,Sentences,Translation,Remarks
516,規定,"kitee [n] regulation, provision, rule",規定によって、赤ちゃんはジェットコースターに乗れない。,"According to the rules, infants are not allowed on the roller coasters.","516- 規定/kitee [n] regulation, provision, rule"
517,どちら,"dochira [pron] which direction, where, which one",どちらの道が正しいかわからない。,I’m not sure which is the right way.,"517- どちら/dochira [pron] which direction, where, which one"
518,中心,"chuushin [n] center, core",世界の中心はどこだろうか。,I wonder where the center of the world is.,"518- 中心/chuushin [n] center, core"
519,起こる,"okoru [v] occur, happen",次から次へと問題が起こる。,Problems occur one after another.,"519- 起こる/okoru [v] occur, happen"
520,我々,"wareware [pron] we, our, us",我 々の先祖はどこから来たのだろう。,Where did our ancestors come from?,"520- 我々/wareware [pron] we, our, us"
672,おる,"oru [v] be, exist (humble)",私はまだここにおります。,I am still here.,"672- おる/oru [v] be, exist (humble)"
673,活動,"katsudoo [n] action, activity",週末はボランティア活動をする。,I participate in volunteer activities on weekends.,"673- 活動/katsudoo [n] action, activity"
674,不安,"fuan [n] anxiety, insecurity",余震に不安があります。,I have anxiety about the aftershocks.,"674- 不安/fuan [n] anxiety, insecurity"
675,三十分,sanjuppun [n] 30 minutes,三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.,675- 三十分/sanjuppun [n] 30 minutes
676,限り,"kagiri [n] limit, extent",クラスの人 数には限りがあります。,There is a limit to the class size.,"676- 限り/kagiri [n] limit, extent"
677,いらっしゃる,"irassharu [v] go, be (honorific)",先 生がもうすぐいらっしゃる。,Our teacher will be here soon.,"677- いらっしゃる/irassharu [v] go, be (honorific)"
667,致す,itasu [v] to do (humble),その仕事は、私が致します。,I would like to do that task.,667- 致す/itasu [v] to do (humble)
668,着く,"tsuku [v] arrive, sit on (seat)",十一時までに着く予定だ。,I expect to arrive by eleven o’clock.,"668- 着く/tsuku [v] arrive, sit on (seat)"
669,厳しい,"kibishii [i-adj] severe, strict",私の学 校は規則が厳しい 。,My school has strict rules.,"669- 厳しい/kibishii [i-adj] severe, strict"
670,女の子,onnanoko [n] girl,女の子の服を買うのは楽しい。,It’s fun to shop for girls’ clothes.,670- 女の子/onnanoko [n] girl
671,パソコン,pasokon [n] personal computer,デスクトップのパソコンを買か った。,I bought a desktop computer.,671- パソコン/pasokon [n] personal computer
672,おる,"oru [v] be, exist (humble)",私 はまだここにおります。,I am still here.,"672- おる/oru [v] be, exist (humble)"
673,活動,"katsudoo [n] action, activity",週末はボランティア活動をする。,I participate in volunteer activities on weekends.,"673- 活動/katsudoo [n] action, activity"
674,不安,"fuan [n] anxiety, insecurity",余震に不安があります。,I have anxiety about the aftershocks.,"674- 不安/fuan [n] anxiety, insecurity"
675,三十分,sanjuppun [n] 30 minutes,三十分で東京駅に着く。,You will arrive at Tokyo Station in 30 minutes.,675- 三十分/sanjuppun [n] 30 minutes
676,限り,"kagiri [n] limit, extent",クラスの人数には限りがあります。,There is a limit to the class size.,"676- 限り/kagiri [n] limit, extent"
677,いらっしゃる,"irassharu [v] go, be (honorific)",先 生がもうすぐいらっしゃる。,Our teacher will be here soon.,"677- いらっしゃる/irassharu [v] go, be (honorific)"
678,可能,"kanoo [n] potential, feasible",この計画は可能ですか。,Is this plan feasible?,"678- 可能/kanoo [n] potential, feasible"
679,可愛い,"kawaii [i-adj] cute, adorable",私 の子犬は可愛いです。,My puppy is adorable.,"679- 可愛い/kawaii [i-adj] cute, adorable"
680,際,"sai [n] when, in case of, on the occasion of,",部屋に入る際は靴を脱いでください。,Please remove your shoes when you enter the room.,"680- 際/sai [n] when, in case of, on the occasion of,"
681,途中,"tochuu [n] on the way, en route",まだ道の途中です。,I am still on my way.,"681- 途中/tochuu [n] on the way, en route"
682,研究,"kenkyuu [n] study, research",遺伝子の研究が進歩する。,Progress has been made in genetic research.,"682- 研究/kenkyuu [n] study, research"
683,様子,"yoosu [n] state of affairs, situation",様子を見にいこう。,Let’s go check the situation.,"683- 様子/yoosu [n] state of affairs, situation"
684,ものすごい,monosugoi [i-adj] terrible,今年はものすごい台風が来ました。,We had terrible typhoons this year.,684- ものすごい/monosugoi [i-adj] terrible
685,合う,"au [v]fit, suit",そのサンダルはドレスによく合う。,The sandals suit the dress well.,"685- 合う/au [v]fit, suit"
686,済む,"sumu [v] finish, completed",歯の治 療が一 回で済む。,My dental treatment will be completed in just one visit.,"686- 済む/sumu [v] finish, completed"
687,通る,"tooru [v] go by, pass through",この細い道を通る時は気をつけて。,Be careful when you pass through this lane.,"687- 通る/ tooru [v] go by, pass through"
688,大人,otona [n] adult,大人2枚、子供1枚のチケットを買う。,Purchase tickets for two adults and one child.,688- 大人/otona [n] adult
689,期待,"kitai [n] expectation, anticipation",彼は昇進への高い期待を持っている。,He has high expectations for a promotion.,"689- 期待/kitai [n] expectation, anticipation"
690,事実,"jijitsu [n] fact, truth, reality",事実はそのうち明らかになる。,The truth will come to light soon.,"690- 事実/jijitsu [n] fact, truth, reality"
691,せい,"see [n] resulting from, because of",天気のせいで、延期になった。,It was postponed because of the weather.,"691- せい/see [n] resulting from, because of"
692,一年,ichinen [n] one year,一年で日本語が上手になった。,My Japanese has improved a lot in one year.,692- 一年/ichinen [n] one year
693,一体,ittai [adv] What on earth...? What the heck...?,それは一体何。,What on earth is that?,693- 一体/ittai [adv] What on earth...? What the heck...?
694,島,shima [n] island,日本には小さな島が多くあります。,There are many small islands in Japan.,694- 島/shima [n] island
695,描く,"egaku [v] draw, paint, sketch",想 像で絵を描く。,I draw using my imagination.,"695- 描く/egaku [v] draw, paint, sketch"
696,驚く,"odoroku [v] be surprised, be astonished",物音に驚く。,I am surprised by the noise.,"696- 驚く/odoroku [v] be surprised, be astonished"
697,動物,doobutsu [n] animal,動 物 園で動 物を見るのが好きです。,I like watching animals at the zoo.,697- 動物/doobutsu [n] animal
698,何度,nando [n] how many times?,週に何度買い物をしますか。,How many times a week do you go shopping? ,698- 何度/nando [n] how many times?
699,元々,"motomoto [adv] originally, by nature",私は元々料理が好きじゃない。,"By nature, cooking is not my thing.","699- 元々/motomoto [adv] originally, by nature"
700,素晴らしい,"subarashii [i-adj] wonderful, splendid",素晴らしいミュージカルだった。,The musical was wonderful.,"700- 素晴らしい/subarashii [i-adj] wonderful, splendid"
701,座る,suwaru [v] sit,ヨガの座るポーズは瞑 想にいい。,Yoga’s sitting pose is good for meditation.,701- 座る/suwaru [v] sit
702,定める,"sadameru [v] decide, furnish",町 内 会の決まりを定める,We decide on the rules for the neighborhood association.,"702- 定める/sadameru [v] decide, furnish"
703,機会,"kikai [n] chance, opportunity",これは町に貢献する素晴らしい機会だ。,This is a good opportunity to make a contribution to the town.,"703- 機会/kikai [n] chance, opportunity"
704,楽しみ,"tanoshimi [n] enjoyment, hobby, look forward to",孫が生まれるのが楽しみだ。,I am looking forward to having a grandchild.,"704- 楽しみ/tanoshimi [n] enjoyment, hobby, look forward to"
705,考え,"kangae [n] thought, opinion, idea",君と僕の考えは違う,We have different ideas.,"705- 考え/kangae [n] thought, opinion, idea"
706,信じる,"shinjiru [v] believe, trust",君の話を信じる。,I believe your story.,"706- 信じる/shinjiru [v] believe, trust"
707,たまたま,"tamatama [adv] by chance, accidentally",たまたま抽選に当たった。,I won the lottery by chance.,"707- たまたま/tamatama [adv] by chance, accidentally"
708,古い,"furui [i-adj] old, obsolete",そのネットワークシステムは古いです。,The network system is obsolete.,"708- 古い/furui [i-adj] old, obsolete"
709,面,"men [n] face, mask",夏祭りでお面を買った。,I bought a mask at a summer festival.,"709- 面/men [n] face, mask"
710,さ,sa [p] ness (suffix indicating degree),その子猫は可愛さが違う。,The cuteness of this kitten is unique.,710- さ/sa [p] ness (suffix indicating degree)
711,三月,sangatsu [n] March,三 月にはひな祭りがある。,The Hinamatsuri festival is in March.,711- 三月/sangatsu [n] March
712,ただし,"tadashi [conj] however, provided that",ただし、暗くなる前に帰ること。,Provided that you return before dusk.,"712- ただし/tadashi [conj] however, provided that"
713,常,"tsune [adv] always, usually",常に子供の健康に気をつける。,Always take care of your child’s health.,"713- 常/tsune [adv] always, usually"
714,つもり,tsumori [n] intention,そんなつもりではなかった。,That was not my intention.,714- つもり/tsumori [n] intention
715,考え方,kangaekata [n] way of thinking,違う考え方を知るのはいいことだ。,It’s good to be aware of different ways of thinking.,715- 考え方/kangaekata [n] way of thinking
716,ニュース,nyuusu [n] news,テレビで地震のニュースを見た。,I watched the news about the earthquake on TV.,716- ニュース/nyuusu [n] news
717,意識,"ishiki [n] consciousness, awareness",安全への意識を高める,Promote safety awareness.,"717- 意識/ishiki [n] consciousness, awareness"
718,元,"moto [n] origin, source",発明の元は失敗にあった。,The origin of the invention was in a failure.,"718- 元/moto [n] origin, source"
719,行動,"koodoo [n] action, behavior",大人と子供の行 動は違う。,The behaviors of adults and children are different.,"719- 行動/koodoo [n] action, behavior"
720,低い,"hikui [i-adj] low (quality, degree, position)",今日は気温が低い。,The temperature is low today.,"720- 低い/hikui [i-adj] low (quality, degree, position)"
721,びっくり,"bikkuri [adv] be surprised, be frightened",知らせにびっくりした。,I was surprised by the news.,"721- びっくり/bikkuri [adv] be surprised, be frightened"
722,作り方,"tsukurikata [n] way of making, recipe",パンケーキの作り方が箱に書いてある。,A pancake recipe is on the box.,"722- 作り方/tsukurikata [n] way of making, recipe"
723,元気,"genki [na-adj] lively, energetic, well",あなたが元気でありますように。,I wish you well.,"723- 元気/genki [na-adj] lively, energetic, well"
724,現れる,arawareru [v] appear,雲の合間に虹が現れる。,A rainbow appears between the clouds.,724- 現れる/arawareru [v] appear
725,聞こえる,"kikoeru [v] be heard, be audible, can hear",鳥の鳴き声が聞こえる。,I can hear birds sing.,"725- 聞こえる/kikoeru [v] be heard, be audible, can hear"
726,曲,"kyoku [n] song, music",ジャズの曲が流れているカフェが好きだ。,I like cafes with Jazz music.,"726- 曲/kyoku [n] song, music"
727,過去,kako [n] the past,過去について 話 をするのはやめよう。,Let’s not talk about the past.,727- 過去/kako [n] the past
728,やっと,"yatto [adv] at last, just, barely, finally",やっとにきびがきれいになった。,My acne has finally cleared up.,"728- やっと/yatto [adv] at last, just, barely, finally"
729,思える,"omoeru [v] seem, appear likely",それは夢のように思える。,It seems like a dream.,"729- 思える/omoeru [v] seem, appear likely"
730,明らか,"akiraka [na-adj] obvious, evident",これは明らかな間違いだ。,This is an obvious mistake.,"730- 明らか/akiraka [na-adj] obvious, evident"
731,つつ,tsutsu [p] while,前の単元の復習をしつつ、新しい単元も学習しよう。,Let’s learn the new chapter while reviewing the last chapter.,731- つつ/tsutsu [p] while
732,土地,"tochi [n] lot, soil, locality",この土地は 昔 は田んぼだった。,This lot used to be a rice field.,"732- 土地/tochi [n] lot, soil, locality"
733,振り返る,"furikaeru [v] look back, turn around",たまには過去を振り返るのもよい。,"Sometimes, it’s good to look back on the past.","733- 振り返る/furikaeru [v] look back, turn around"
734,初め,"hajime [n] beginning, first",初めての時は誰でも不安だ。,Everyone is anxious when it is the first time.,"734- 初め/hajime [n] beginning, first"
735,評価,"hyooka [n] evaluation, assessment",厳しい評 価を受けた。,I received a hard assessment.,"735- 評価/hyooka [n] evaluation, assessment"
736,息子,musuko [n] son,息子がもうすぐ二十歳になります。,My son is turning twenty years old soon.,736- 息子/musuko [n] son
737,限る,"kagiru [v] limit, be restricted",このゴルフコースの使用は会員に限る。,Use of this golf course is limited to members.,"737- 限る/kagiru [v] limit, be restricted"
738,似る,"niru [v] resemble, be similar",子供は親に似るものだ。,Children resemble their parents.,"738- 似る/niru [v] resemble, be similar"
739,悲しい,"kanashii [i-adj] sad, sorrowful",愛犬が死んでしまって悲しい。,I am saddened by the death of my pet dog.,"739- 悲しい/kanashii [i-adj] sad, sorrowful"
740,雨,ame [n] rain,昨日の夜からの雨で水たまりができている。,The rain from last night has made puddles.,740- 雨/ame [n] rain
741,自分達,jibuntachi [n] ourselves,キャンプでは食べ物を自分達で作ろう。,Let’s make the food at camp ourselves.,741- 自分達/jibuntachi [n] ourselves
742,詳しい,"kuwashii [n] detailed, knowing very well",詳しい情報はネットで調べよう,Search for detailed information on the Internet.,"742- 詳しい/kuwashii [n] detailed, knowing very well"
743,二十一世紀,nijuuisseeki [n] 21st century,二十一世紀にはテクノロジーが進むだろう。,Technologies will advance in the 21st century.,743- 二十一世紀/nijuuisseeki [n] 21st century
744,ひどい,"hidoi [i-adj] cruel, severe, extreme",今日は頭痛がひどい。,I have a severe headache today.,"744- ひどい/hidoi [i-adj] cruel, severe, extreme"
745,昨日,kinoo [n] yesterday,昨日は飲みすぎた。,I had too much drink yesterday.,745- 昨日/kinoo [n] yesterday
746,下りる,"oriru [v] descend, go down, get off",急な階段を下りる。,Go down the steep stairs.,"746- 下りる/oriru [v] descend, go down, get off"
747,メール,meeru [n] email,一 日に百件以 上のメールが届く。,I get more than one hundred emails a day.,747- メール/meeru [n] email
748,喜ぶ,yorokobu [v] be delighted,孫がおもちゃに喜ぶ 。,My grandchild is delighted with the toys.,748- 喜ぶ/yorokobu [v] be delighted
749,便利,"benri [na-adj] convenient, handy",駅にコンビニがあるのは便利だ。,It is convenient having a convenience store in the station.,"749- 便利/benri [na-adj] convenient, handy"
750,迎える,"mukaeru [v] go out to meet, welcome, approach",門のところでお客様を迎える。,I welcome my guest at the gate.,"750- 迎える/mukaeru [v] go out to meet, welcome, approach"
797,不思議,"fushigi  [na-adj]  wonderful, mysterious",不思議な偶然が続く。,Mysterious  coincidences continued to happen.,"797- 不思議/fushigi  [na-adj]  wonderful, mysterious"
798,茶,cha [n] tea,おちゃ茶はあつ熱いうちがおいしい。,Tea  is at its best when it’s still hot.,798- 茶/cha  [n]  tea
799,直接,"chokusetsu [na-adj]  direct, firsthand",わからないことは直接聞いた方がいい。,If you don’t know you should ask  directly.,"799- 直接/chokusetsu  [na-adj]  direct, firsthand"
800,バス,basu [n] bus,駅までバスに乗る。,I take the  bus  to the station.,800- バス/basu  [n]  bus
801,効果,kooka [n] effect,薬の効果が現れるまで二週間かかる。,It will take two weeks for the medicine to have an  effect.,801- 効果/kooka  [n]  effect
802,現実,genjitsu [n] reality,現実は理想とは違う。,Reality  can be different from expectation.,802- 現実/genjitsu  [n]  reality
803,触れる,"fureru [v] touch, experience",赤ちゃんの肌に触れる。,Touch  the baby’s skin.,"803- 触れる/fureru  [v]  touch, experience"
804,飼う,"kau [v] raise, own (animal)",番犬を飼う。,I  own  a guard dog.,"804- 飼う/kau  [v]  raise, own (animal)"
805,しゃべる,"shaberu [v] talk, chat",クラシック音楽のコンサートではしゃべることは禁じられている。,You are not allowed to  talk  during classical music concerts.,"805- しゃべる/shaberu  [v]  talk, chat"
806,国民,kokumin [n] citizen,外務省は国民を保護しています。,The Ministry of Foreign Affairs aims to protect  Japanese  citizens.,806- 国民/kokumin  [n]  citizen
807,さす,"sasu [v] shine, pour, put",朝日が窓からさす。,The morning sun  shines  off the window.,"807- さす/sasu  [v]  shine, pour, put"
808,やり方,"yarikata [n] method, way",会社のやり方には納得いかない。,I don’t get the  way  this company works.,"808- やり方/yarikata  [n]  method, way"
809,ずいぶん,"zuibun [adv] considerably, surprisingly",ずいぶん大きなくまのぬいぐるみだね。,What a  surprisingly  big stuffed bear.,"809- ずいぶん/zuibun  [adv]  considerably, surprisingly"
810,日本語,Nihongo [n] Japanese (language),日本語にもいろいろな方言がある。,There are many dialects in  Japanese.,810- 日本語/Nihongo  [n]  Japanese (language)
811,十月,juugatsu [n] October,十月にはハロウィーンがある。,We have Halloween in  October.,811- 十月/juugatsu  [n]  October
812,気分,"kibun [n] feeling, mood",気分転換に散歩にいこう。,Let’s take a walk for a change of  mood.,"812- 気分/kibun  [n]  feeling, mood"
1000,機能,"kinoo [n] function, capability",高い機能のタブレットを持っている。,I have a tablet with high-level functionality.,"1000- 機能/kinoo [n] function, capability"
1001,ボール,booru [n] ball,ボールで遊んではいけない公 園がある。,Some playgrounds do not allow you to play with balls.,1001- ボール/booru [n] ball
1002,少年,"shoonen [n] boy, juvenile",彼らはボーイスカウトの少年たちだ。,Those boys are in the Boy Scouts.,"1002- 少年/shoonen [n] boy, juvenile"
1003,方向,hookoo [n] direction,方 向がわからなくなってしまった。,I lost my sense of direction.,1003- 方向/hookoo [n] direction
1004,遅い,"osoi [i-adj] late, slow",今朝は遅いスタートだ。,We have a late start this morning.,"1004- 遅い/osoi [i-adj] late, slow"
1005,資料,"shiryoo [n] document, material",大事な資 料を失くして怒られる。,I will get in trouble for losing this important document.,"1005- 資料/shiryoo [n] document, material"
1006,タイプ,taipu [n] type,彼女は僕の好みのタイプではない。,She is not my type.,1006- タイプ/taipu [n] type
1007,扱う,"atsukau [v] deal with, handle",割れ物は丁寧に扱う。,We should handle fragile items with care.,"1007- 扱う/atsukau [v] deal with, handle"
1008,指摘,"shiteki (suru) [v] point out, indicate",間違いを指摘する,Point out any errors.,"1008- 指摘/shiteki (suru) [v] point out, indicate"
1009,ヨーロッパ,yooroppa [n] Europe,ヨーロッパは人気の旅行先です。,Europe is a popular travel destination.,1009- ヨーロッパ/yooroppa [n] Europe
1010,除く,"nozoku [v] remove, get rid of",虫歯を治 療で取り除く。,Cavities can be removed by the dentist.,"1010- 除く/nozoku [v] remove, get rid of"
1011,それら,"sorera [pron] those, these, they",それらはセール商品です。,Those are on sale.,"1011- それら/sorera [pron] those, these, they"
1012,ご存知,go-zonji [n] knowing (honorific),はやりの特 殊 詐欺についてご存知ですか。,Do you know about a particular fraud that is going around?,1012- ご存知/go-zonji [n] knowing (honorific)
1013,意外,"igai [na-adj] unexpected, surprising",意外な事実がわかった。,A surprising fact has been revealed.,"1013- 意外/igai [na-adj] unexpected, surprising"
1014,一週間,isshuukan [n] one week,出張 から一 週間で戻ります。,I will return from a business trip in one week.,1014- 一週間/isshuukan [n] one week
1015,何回,nan-kai [n] how many times?,パスワードは何回まで入 力できますか。,How many times can I enter my password?,1015- 何回/nan-kai [n] how many times?
1016,政府,seefu [n] government,これは政府が後援する事業です。,This is a government-sponsored project.,1016- 政府/seefu [n] government
1017,分ける,"wakeru [v] divide, classify",生徒をレベルで分ける。,Divide students by level.,"1017- 分ける/wakeru [v] divide, classify"
1018,計画,"keekaku [n] plan, schedule",計画 通りに進んでいます。,It is going according to plan.,"1018- 計画/keekaku [n] plan, schedule"
1019,段階,"dankai [n] stage, phase",これはまだ計画段階です。,This is still in the planning stage.,"1019- 段階/dankai [n] stage, phase"
1020,量,"ryoo [n] quantity, volume, amount",量よりも質が大事です。,Quality is more important than quantity.,"1020- 量/ryoo [n] quantity, volume, amount"
1021,田舎,"inaka [n] countryside, one's hometown",田舎に引退したいと思います。,I would like to retire to the countryside.,"1021- 田舎/inaka [n] countryside, one's hometown"
1022,感動(する),"kandou (suru) [v] be impressed, be moved",パラリンピックに感動した。,I was moved by the Paralympics.,"1022- 感動(する)/kandou (suru) [v] be impressed, be moved"
1023,スポーツ,supootsu [n] sport,健康のためにスポーツをするべきだ。,I should play some sports for my health.,1023- スポーツ/supootsu [n] sport
1024,感覚,"kankaku [n] sense, feeling",寒さで指の感覚がなくなった。,I have no feeling in my fingers.,"1024- 感覚/kankaku [n] sense, feeling"
1025,地元,"jimoto [n] local, local area",地元の人気のレストランに行きたい。,I want to go to a popular local restaurant.,"1025- 地元/jimoto [n] local, local area"
1026,勝手,"katte [na-adj] at one's convenience, on one’s own, without consulting",妻が勝手に高い物を買った。,My wife went out and made a large purchase without consulting me.,"1026- 勝手/katte [na-adj] at one's convenience, on one’s own, without consulting"
1027,さすが,sasuga [adv] as one would expect,さすが彼はリーダーシップがある。,"As one would expect, he has leadership abilities.",1027- さすが /sasuga [adv] as one would expect
1028,寂しい,"sabishii [i-adj] lonely, lonesome",一人暮らしは寂しい。,I feel lonely living alone.,"1028- 寂しい/sabishii [i-adj] lonely, lonesome"
1029,再び,"futatabi [adv] again, once more",再び挑戦したい。,I want to try it again.,"1029- 再び/futatabi [adv] again, once more"
1030,効く,"kiku [v] act, work, be effective",この 薬はよく効く。,This medicine works well.,"1030- 効く/kiku [v] act, work, be effective"
1031,勤める,"tsutomeru [v] be employed, work for",金融企業に勤める。,I work for a financial company.,"1031- 勤める/tsutomeru [v] be employed, work for"
1300,息,iki [n] breath,寒いので息が白く見えます。,I can see my breath when it’s cold.,1300- 息/iki [n] breath
1301,伝わる,"tsutawaru [v] spread, descend, relay, communicate",間違った情報が伝わる。,Incorrect information will be relayed.,"1301- 伝わる/tsutawaru [v] spread, descend, relay, communicate"
1302,撮影,"satsuei [n] shooting, filming, photographing",映画の撮 影が行われた。,A movie was being filmed.,"1302- 撮影/satsuei [n] shooting, filming, photographing"
1303,指導,"shidoo [n] guidance, coaching, leadership",カウンセラーの指導を受ける。,I am getting guidance from a counselor.,"1303- 指導/shidoo [n] guidance, coaching, leadership"
1304,生かす,"ikasu [v] keep alive, make use of",仕事に自分のスキルを生かす。,Make good use of your skills at work.,"1304- 生かす/ikasu [v] keep alive, make use of"
1305,韓国,kankoku [n] South Korea,韓 国の焼肉はおいしい。,Korean yakiniku is delicious.,1305- 韓国/kankoku [n] South Korea
1306,字,"ji [n] character, handwriting",字はきれいに書きなさい。,Write your characters neatly.,"1306- 字/ji [n] character, handwriting"
1307,指定(する),"shitei-suru [v] designate, appoint",指定の席につく。,Take your designated seat.,"1307- 指定(する)/shitei-suru [v] designate, appoint"
1308,経営,"kee’ee [n] management, operation",彼は会 社の経営陣です。,He is a management team member of the company.,"1308- 経営/kee’ee [n] management, operation"
1309,あらゆる,arayuru [and] every,あらゆる可能な解決方法を検討してください。,Consider every possible solution.,1309- あらゆる/arayuru [and] every
1310,価値,"kachi [n] value, worth",値段と価値は同じではない。,Price and value are not the same.,"1310- 価値/kachi [n] value, worth"
1400,東京都,Tookyoo,東 京 都は日本の首都です,Tokyo is the capital of Japan.,1400- 東京都/Tookyoo-to [n] Tokyo
1401,弾く,hiku [v] play (musical instrument),コンクールでバイオリンを弾く。,I will play the violin at the competition.,1401- 弾く/hiku [v] play (musical instrument)
1402,自宅,"jitaku [n] one's home, house",今夜は自宅に帰りません。,I am not returning home tonight.,"1402- 自宅/jitaku [n] one's home, house"
1403,腹,"hara [n] belly, stomach",お父さんはビール腹です。,My father has a beer belly.,"1403- 腹/hara [n] belly, stomach"
1404,喜び,"yorokobi [n] pleasure, delight",喜 びでいっぱいです。,I am filled with pleasure.,"1404- 喜び/yorokobi [n] pleasure, delight"
1405,しょうがない,"shoo-ga-nai [cp] can’t be helped, inevitable, unavoidable",彼の遅刻する癖はしょうがない。,He can’t help his habit of being late.,"1405- しょうがない/shoo-ga-nai [cp] can’t be helped, inevitable, unavoidable"
1406,しようがない,"shiyoo-ga-nai [cp] can’t be helped, inevitable, unavoidable",それはしようがない問題だ。,It is an unavoidable problem.,"1406- しようがない/shiyoo-ga-nai [cp] can’t be helped, inevitable, unavoidable"
1407,風呂,furo [n] bath,朝のお風呂が好きです,I like taking a bath in the morning.,1407- 風呂/furo [n] bath
1408,香り,"kaori [n] smell, scent",森の香りの風呂が好きです。,I like the forest-scented bath.,"1408- 香り/kaori [n] smell, scent"
1409,スキー,sukii [n] ski,スキーのゴーグルを買った。,I bought a pair of ski googles.,1409- スキー/sukii [n] ski
1410,構う,"kamau [v] mind, care about",小さな子供達を構う。,Care about the small children.,"1410- 構う/kamau [v] mind, care about"
1500,米国,beekoku [n] United States,米国から牛肉を輸入する。,Import beef from the United States.,1500- 米国/beekoku [n] United States
1501,周囲,"shuui [n] surroundings, around (you)",周 囲の人の意見を聞く。,Listen to the opinion of the people around you.,"1501- 周囲/shuui [n] surroundings, around (you)"
1502,伺う,"ukagau [v] ask, inquire (humble)",詳しい話を伺う。,I asked for more information.,"1502- 伺う/ukagau [v] ask, inquire (humble)"
1503,引っ越す,hikkosu [n] move (residence),仕事のために引っ越す。,We are moving for work.,1503- 引っ越す/hikkosu [n] move (residence)
1504,二十年,nijuu-nen [n] twenty years,バブル後の二十年は経済的に失われた 。,Economic growth stagnated for twenty years after the bubble.,1504- 二十年 /nijuu-nen [n] twenty years
1505,たまる,"tamaru [v] collect, accumulate",お店のポイントがたまる。,My store points are accumulating.,"1505- たまる/tamaru [v] collect, accumulate"
1506,精神的,"seishinteki [na-adj] spiritual, mental",家族が精 神 的な支えになっています,My family provides spiritual support to me.,"1506- 精神的/seishinteki [na-adj] spiritual, mental"
1507,中学校,"chuugakkoo [n] middle school, junior high school",中学校は高校の隣にある。,My middle school is next to the high school.,"1507- 中学校/chuugakkoo [n] middle school, junior high school"
1508,仲良く,"nakayoku [adv] friendly, get along",クラスメートとは仲良くしなさい。,Be friendly to your classmates.,"1508- 仲良く/nakayoku [adv] friendly, get along"
1509,言い方,iikata [n] way of saying,言い方に気をつけなさい。,Be careful of the way you say things.,1509- 言い方/iikata [n] way of saying
1510,バランス,baransu [n] balance,ヨガでバランスボールに座るのが好きです,I like sitting on a balance ball at yoga.,1510- バランス/baransu [n] balance
1511,五年,gonen [n] five years,この会 社で働き始めてもう五年になる。,It’s been five years since I began working for this company.,1511- 五年/gonen [n] five years
1512,安定,antee [n] stability,新しいバージョンでは安定性が向上しています。,The new version has improved stability.,1512- 安定/antee [n] stability
1513,完成,kansee [n] completion,家の完 成が待ちきれない。,I can’t wait for completion of our new house.,1513- 完成/kansee [n] completion
1514,我が家,wagaya [n] one's house,我が家は角にあります。,Our house is on the corner of the block.,1514- 我が家/wagaya [n] one's house
1515,見かける,mikakeru [v] see,時々、駅で友達を見かける。,"Sometimes, I see my friends at the station.",1515- 見かける/mikakeru [v] see
1516,広げる,"hirogeru [v] spread, expand",ピクニックシートを広げる。,I will spread out a picnic blanket.,"1516- 広げる/hirogeru [v] spread, expand"
1517,参考,sankoo [n] reference,参考になる資 料をさがす。,I am looking for some reference material.,1517- 参考/sankoo [n] reference
1518,たとえ,tatoe [adv] even if,たとえ勝てなくても、ゲームに参加する。,"Even if you can’t win, join the game.",1518- たとえ/tatoe [adv] even if
1519,受け取る,"uketoru [v] get, accept, receive",隣の人への荷物を受け取る。,I receive packages for the next-door neighbor.,"1519- 受け取る/uketoru [v] get, accept, receive"
1520,冷たい,tsumetai [i,冬は北風が冷たい。,The north wind is cold in winter.,1520- 冷たい/tsumetai [i-adj] cold
1701,盛ん,sakan [na,この街では漁業が盛んです。,This town is a prosperous fishing town.,"1701- 盛ん/sakan [na-adj] popular, prosperous"
1702,急ぐ,"isogu [v] hurry, rush",帰宅を急ぐ。,I am hurrying home.,"1702- 急ぐ/isogu [v] hurry, rush"
1703,ともかく,"tomokaku [adv] anyhow, anyway",ともかく、うまく行った。,"Anyway, it went well.","1703- ともかく/tomokaku [adv] anyhow, anyway"
1704,犯人,"hannin [n] offender, criminal",犯人がつかまった。,The criminal was caught.,"1704- 犯人/hannin [n] offender, criminal"
1705,熱,"netsu [n] heat, fever",風邪で熱がある,I have a fever from a cold.,"1705- 熱/netsu [n] heat, fever"
1706,犯罪,hanzai [n] crime,ネット犯 罪が増えている。,Internet crime is on the rise.,1706- 犯罪/hanzai [n] crime
1707,批判,"hihan [n] criticism, judgement",芸術作 品は批判の対象です。,Fine artwork is subject to criticism.,"1707- 批判/hihan [n] criticism, judgement"
1708,出発,shuppatsu [n] departure,飛行機の出発の時間が遅れる。,Departure of the flight will be delayed.,1708- 出発/shuppatsu [n] departure
1709,遊び,"asobi [n] playing, play",ごっこ遊びは幼児期に重要だ。,Pretend play is important in early childhood.,"1709- 遊び/asobi [n] playing, play"
1710,教師,kyooshi [n] teacher,数 学の教 師になりたい。,I want to be a math teacher.,1710- 教師/kyooshi [n] teacher
1711,横浜,yokohama [n] Yokohama,横浜で観覧車に乗った。,We rode a Ferris wheel in Yokohama.,1711- 横浜/yokohama [n] Yokohama
