Words,Reading,Meaning,Sentences,Translation
脅す,,"to threaten, to menace, to frighten (into doing)",見知らぬ男が彼女をナイフで脅した。,A strange man menaced her with a knife.
触れる,,"to touch, to feel, to experience, to come in contact with, to perceive, to touch on",私の手が彼女の手に触れた。,My hand came into contact with her hand.
触る,,"to touch, to feel",彼は私のほおに触った。,He touched me on the cheek.
接する,,"to touch, to come in contact with, to border on, to adjoin, to be adjacent,",僕の郷里の町は海に接している。,My hometown is adjacent to the ocean.
弄る,,"to finger, to touch, to play with, to fiddle with, to toy with",その鍵をいじるな！,Don't play with that key!
翻訳する,,"to translate, to decipher, to decide",その小説は多くの言語に翻訳されてきた。,The novel has been translated into many languages.
訳す,,"to translate, to interpret",下線のある文を訳しなさい。,Translate the underlined sentences.
信用する,,"to trust, to have faith, to have confidence",私以外の会員は皆彼の言うことを信用している。,All the members but me have faith in what he says.
試みる,,"to try, to attempt, to have a go (at something)",彼はその実験を何度も試みた。,He tried the experiment again and again.
試す,,"to attempt, to test, to try out",彼はその新しい機械を試してみた。,He tried out that new machine.
曲がる,,"to bend, to curve, to warp, to wind, to twist, to turn",右へ曲がれば前方に市役所がありますよ。,"Turning to the right, you will find the city hall in front of you."
甘く見る,,"to not take seriously, to take lightly",対戦相手を甘く見るな。,Don't underestimate your opponent.
理解する,,"to understand, to comprehend",彼は何でもすぐに理解する。,He understands everything right on the spot.
合体させる,,"to unite, to ally, to combine, to merge, coalescence, amalgamation, incorporation",２つの国は合体させて１つの国になった。,The two countries were merged into one.
待つ,,to wait,しばらくこのままお待ち下さい。,"Hold on for a while, please."
欲する,,"to want, to desire",彼が何を欲しているのか分からない。,I can't make out what he wants.
警告する,,"to warn, to advice",彼らは我々にこの計画は失敗するかもしれないと警告した。,They warned us of our possible failure in this plan.
働く,,"to work, to labor, to labour",彼は経理部で働いている。,He is an accountant at the company.
書く,,"to write, to compose, to pen",それについて書く事柄がない。,I don't have anything about which to write.
書き留める,,"to write down, to make a note of, to put on record, to chronicle",彼の住所を書き留めなさい。,Put his address down.
勤める,,"to work (for), to be employed (at), to serve (in), to serve (as), to act (as)",彼の兄は貿易会社に勤めています。,His brother works for a trading company.
努める,,"to endeavor (endeavour), to try, to strive, to make an effort, to exert oneself",体力を増やすように努めなさい。,Try to build up your strength.
喋る,,"to talk, to chat, to chatter",私たちはお茶を飲みながら喋っていた。,We were chatting over tea.
味わう,,"to taste, to savor, to savour, to relish, to appreciate, to go through",これは私が初めて味わった日本料理だった。,This was the first Japanese food I had ever tasted.
預かる,,"to look after, to take care of, to keep, to hold on to, to keep in custody",この貴重品を預かってもらえますか。,Could you hold these valuables?
焦る,,"to be in a hurry, to be impatient, to be flustered",彼は遅れを取り戻そうと焦っている。,He's desperately trying to make up for the delay.
温まる,,"to warm oneself, to sun oneself, to warm up, to get warm",私は風呂で温まった。,I warmed myself in the bath.
当たる,,"to be hit, to strike, to touch, to be in contact, to be affixed",波は岩に勢いよく当たって砕けた。,The waves dashed against the rocks.
扱う,,"to deal with (a person), to treat, to handle, to take care of, to entertain",その少女をやさしく扱ってあげなさい。,You should treat the girl kindly.
集まる,,"to gather, to collect, to assemble",多くの人が祭りを見るために集まった。,A big crowd of people collected to watch the festival.
当てはまる,,"to apply (a rule), to be applicable, to come under (a category), to fulfill, to hold true",この理論は全てに当てはまる。,This theory holds in everything.
侮る,,"to disdain, to look down on, to make light of, to hold in contempt, to scorn",彼はいつも政府を侮ったようなことを言う。,He always speaks of the government with contempt.
余す,,"to save, to leave over, to spare",彼は、旅券を余そうとした。,He tried to save something from his travel expenses.
甘やかす,,"to pamper, to spoil",若い親はしばしば子どもを甘やかす。,Young parents often indulge their children.
余る,,"to remain, to be left over, to be in excess",それは私の力に余る仕事です。,It is a task beyond my power.
操る,,"to operate (e.g. a machine), to handle, to manage, to control, to have a good command",儲けようとする投機筋に操られているのです。,It's being manipulated by investors trying to make it rich.
誤る,,"to make a mistake, to err, to mislead, to misguide",しかしながら、品物の数が誤っていました。,"However, the quantity was not correct."
歩み寄る,,"to compromise, to meet halfway, to step up to, to walk up to",お互い歩み寄って問題を解決した。,We solved the problem by mutual concessions.
洗う,,"to wash, to cleanse, to rinse",床はとても汚れているので洗う必要がある。,The floor is so dirty that It requires washing.
荒らす,,"to lay waste, to devastate, to damage, to invade, to troll",庭を荒らしたのは誰だ。,Who destroyed the garden?
争う,,"to compete, to contest, to contend",彼らは賞を目指して争っている。,They are contending for the prize.
表す,,"to represent, to signify, to stand for",言葉でそれを表せない。,Words cannot express it.
担ぐ,,"to shoulder, to carry on one's shoulder",私は箱を肩に担いだ。,I carried the box on my shoulder.
担う,,"to carry on one's shoulder, to shoulder, to bear, to bear (burden, responsibility, etc.)",この梱包材が断熱機能を担っている。,This packaging material provides heat insulation.
耐える,,"to bear, to stand, to endure, to put up with",彼はその光景を見るのに耐えられなかった。,He could not bear to see the scene.
第三に,,thirdly,第三に、生産能力は比較的安定している。,"Thirdly, production capacity is relatively stable."
急に,,"suddenly, quickly, rapidly, swiftly",汽車が急に止まった。,Our train stopped suddenly.
かなり前に,,"long before, some time ago",彼女がかなり前にチケットを注文する。,She orders the tickets long before.
初めは,,at first,初めは何でも難しそうに見えた。,"At first, everything seemed difficult."
初めて,,for the first time,これは私の初めての外国訪問だった。,This was my first visit to a foreign country.
鼻水,,"nasal mucus, dripping nose, snot",この薬は鼻水に不思議なほどよく効く。,This medicine will do wonders for a runny nose.
風邪,,"common cold, cold, influenza, flu",赤ちゃんは風邪が治った。,The baby has gotten rid of its cold.
肺炎,,pneumonia,肺炎にかかると呼吸困難になる。,Pneumonia causes difficulty in breathing.
貧血,,"anemia, anaemia",医者は貧血の検査をするためサンプルを分析した。,The doctor analyzed the blood sample for anemia.
近視,,"myopia, shortsightedness, nearsightedness",私は近視なので、あの看板に何が書いてあるか分からない。,"I am near-sighted, so I cannot make out what is written on that signboard."
遠視,,"farsightedness, far-sightedness, hyperopia, hypermetropia",年齢を重ねるにつれ、だんだん遠視になってきている。,I'm getting farsighted as I get older.
脳卒中,,"stroke, cerebral haemorrhage, cerebral hemorrhage",去年脳卒中を起こしました。,I had a stroke last year.
喘息,,asthma,喘息の発作が起きました。,I had an asthma attack.
糖尿病,,"diabetes, diabetes mellitus",彼は糖尿病のどんな兆しにも注意していた。,He was watchful for any sign of diabetes.
歯痛,,toothache,歯痛のために彼の顔ははれあがった。,The toothache made his face swell up.
下痢,,diarrhea,下痢をしています。,I have diarrhea.
便秘,,constipation,３日間便秘しています。,I have been constipated for three days.
食中毒,,food poisoning,乗務員全員が食中毒で苦しんだ。,The entire crew was afflicted with food poisoning.
胃炎,,gastritis,慢性胃炎は胃の炎症性疾患です。,Chronic gastritis is an inflammatory disease of the stomach.
虫垂炎,,appendicitis,「どうだった？」「急性虫垂炎だって」,"""How did it go?"" ""They said it was acute appendicitis."""
潰瘍,,ulcer,胃に潰瘍が出来る。,An ulcer forms in the stomach.
脳震盪,,concussion (of the brain),脳しんとうを起こしました。,I had a cerebral contusion.
悪性,,"malignant (cancer), virulent, pernicious (anemia, anaemia)",悪性の風邪が全国で流行っている。,A serious form of flu prevails throughout the country.
良性,,benign,幸い彼女のしこりは良性でしたが。,"Fortunately, her lump was benign."
炎症,,"inflammation, irritation",目が炎症を起こしているようですが。,I'm afraid I have an inflammation in my eyes.
慢性,,chronic (illness),ここに慢性の痛みがあります。,I have a chronic pain here.
疾患,,"disease, ailment, illness",彼女は慢性疾患で苦しんでいる。,She suffers from a chronic disease.
兆候,,"sign, indication, omen, symptom",多くの病気と同様、それには特有の兆候がある。,"Like most diseases, it has its own symptoms."
体温,,"temperature, body temperature (human, animal)",彼の体温は正常だ。,His temperature is normal.
熱,,"heat, fever, temperature, zeal, passion",私は熱が３８度ある。,My temperature is 38 degrees.
脈拍,,"pulse, pulse rate, pulsation, stroke of pulse",彼は脈拍がおそい。,His pulse beats slow.
目まい,,"dizziness, giddiness, vertigo",急に立ち上がったら、クラッとめまいがした。,I suddenly stood up and felt faint and light-headed.
熱い,,"hot (thing), hot (e.g. temper, topic), intense, severe",右目が熱い感じです。,My right eye feels hot.
震え,,"shivering, trembling",震えが背筋を走った。,A shiver ran down my spine.
咳,,"cough, coughing, tussis",咳が出ますか。,Do you have any coughing?
くしゃみ,,sneeze,くしゃみが止まりません。,I can't stop sneezing.
気絶する,,"faint, swoon",彼女は気絶寸前だった。,She almost passed out.
打身,,bruise,ラグビーの試合の後、全身打ち身だらけだった。,My whole body was one big bruise after the rugby game.
たんこぶ,,"bump (e.g. on forehead), lump, protuberance, swelling",たんこぶをつくってしまうことがあります。,It can cause bumps to form.
あざ,,"birthmark, nevus, bruise",彼は全身あざだらけだった。,He was covered with bruises.
打撲傷,,"bruise, contusion",左腕に打撲傷を負った。,I got my left arm bruised.
打撲する,,"blow, hit (on the body), beating",首に打撲と擦り傷が襲われたようです。,Looks like bruising and abrasions on the neck from the attack.
足を引きずる,,to limp,彼女は足を引きずるとを歩いて。,She limped and walked away.
脱臼する,,dislocation,右腕の関節が脱臼したようです。,I'm afraid I dislocated my right arm.
骨折する,,bone fracture,スキーをしたら、足を骨折した。,I broke my leg skiing.
切り傷,,"cut, gash, incision",マユコは指に切り傷を作った。,Mayuko got a cut on her finger.
出血,,"bleeding, haemorrhage, hemorrhage",彼の負傷した脚がまた出血を始めた。,His wounded leg began to bleed again.
火傷する,,"burn, scald",私は指先を火傷した。,I burned my fingertip.
刺す,,"to pierce, to stab, to prick, to stick, to thrust",彼は針で指を刺した。,He hurt his finger with a needle.
怪我する,,"injury (to animate object), hurt",ある実験で怪我をして、かなりの重傷だった。,"I got hurt during an experiment, and the injury was pretty serious."
負傷,,"injury, wound",数人に人たちが負傷して横たわっていた。,Several people lay wounded.
外傷,,"external wound, (physical) trauma",彼の負った傷はすべて外傷だった。,All his injuries are external.
熱に浮かされる,,"to be delirious with fever, to have a feverish dream, to be crazy about something",熱に浮かされたような書きっぷり。,You write like you're on a hot streak/fever.
どもる,,"to stammer, to stutter",彼女はあがるとどもる。,She stammers when she feels nervous.
日射病,,"heatstroke, sunstroke",熱中症を予防しましょう。,Prevent heat stroke.
患者,,patient,看護婦たちは、日夜患者の世話をした。,The nurses attend to the patient day and night.
診断,,"diagnosis, medical examination",診断は医者に任せなければなりません。,You must leave diagnosis to your doctor.
診察,,medical examination,私は彼を説得して医者の診察を受けさせた。,I persuaded him to be examined by the doctor.
診療,,"diagnosis and treatment, medical care",診療予約を取ってもらえますか。,Can I make an appointment to have a medical examination?
療養,,"recuperation, medical treatment",療養に専念すべきです。,You have to concentrate on your recovery.
医療,,"medical care, medical treatment",その子は病院で適切な医療を受ける必要がある。,He needs proper medical attention at a hospital.
治療,,"medical treatment, cure",その腕利きの医者は多くの病気を治療できた。,The clever doctor could cure many illnesses.
療法,,"therapy, treatment, remedy, cure",その療法は少し痛むのでしょうか。,Will the therapy cause me any pain?
早期治療,,early treatment,早期治療は、重篤な合併症を防ぐのに役立ちます。,Early treatment can help prevent serious complications.
看護する,,"nursing, (army) nurse",家族のものは交替で病人の看護をした。,The members of the family nursed the patient by turns.
手術,,"surgery, operation, procedure",医者は彼女の肺がんの手術をした。,The surgeon operated on her for lung cancer.
包帯する,,"bandage, dressing",看護婦さんが私の足に包帯を巻いてくれた。,The nurse wound my leg with a bandage.
予防接種する,,"vaccination, inoculation, immunization, immunisation",もし予防接種証明書があったらお持ちください。,"If you have a certificate of immunization, please bring it when you come."
注射をする,,"to get an injection, to inject",痛み止めの注射をします。,I'll give you a painkilling injection.
昏睡,,"coma, dead sleep",それから次の現象が起こります昏睡です。,Then the next thing that happens is a coma.
切断手術,,amputation surgery,彼が生後11ヶ月で切断手術を受けた。,He underwent amputation surgery when he was 11 months old.
集中治療,,"intensive care unit, ICU",私は、バイクで事故を起こし、病院の集中治療室にいたのです。,I had been in a motorcycle accident and was in the intensive care unit of a hospital.
回復する,,"restoration, rehabilitation, recovery, return, replevin, improvement, recovery, recuperation",彼は少しずつ回復してきた。,He has recovered little by little.
体調,,"physical condition, state of health",体調を保つために何をしていますか。,What do you do to stay in shape?
意識,,"consciousness, becoming aware (of), awareness, sense",彼女は病院で意識を取り戻した。,She came to her senses in hospital.
記憶,,"memory, recollection, remembrance",それは私の記憶に残っている。,That is in my recollections.
抜く,,"to pull out, to draw out, to extract, to unplug, to weed, to omit, to leave out, to skip",私は虫歯を抜いてもらった。,I got my decayed tooth pulled out.
詰め物,,"filling or packing material, stuffing, padding",詰め物が取れました。,I've lost my filling.
痛み,,"pain, ache, soreness, grief, distress, damage, injury, bruise",ここに絶え間ない痛みがあります。,I have a continuous pain here.
棘,,"thorn, spine, prickle, splinter",この指に刺がささって取れません。,I can't get this splinter out of my finger.
汗,,"sweat, perspiration, sweat, perspiration",滝のような汗が顔から流れ始めた。,A waterfall of sweat began to pour down my face.
嘔吐,,"vomiting, emesis",注意しなければ良いか嘔吐する。,"If you're not careful, you'll vomit."
痙攣,,"convulsion, cramp, spasm, twitch, fit",この薬を飲むと胃の痙攣が治ります。,This medicine will ease your cramps.
妊娠している,,"conception, pregnancy",彼女は彼の子を妊娠して幸せです。,She is happy to have conceived a baby by him.
生まれる,,to be born,発明はいわば必要から生まれるのだ。,"Inventions are born, so to speak, of necessity."
分娩する,,"childbirth, delivery, confinement",私の娘は分娩中だ。,My daughter is in labor.
妊娠中絶,,"abortion, pregnancy termination",彼女は妊娠中絶した。,She had an abortion.
呼吸,,"breathing, respiration",彼は呼吸するのが困難であった。,He had trouble breathing.
息を吸う,,"inhale, breathe in",深く息を吸うと背中の右側に痛みが走るんです。,"When I take a deep breath, I get a pain on the right side of my back."
息を吐く,,"exhale,  breathe out",移動すると息を吐くことを忘れない。,Remember to exhale as you move.
障害者,,"(physically) handicapped person, disabled person",自ら志願した人たちが障害者の為に寄付を集めた。,Volunteers collected donations for the benefit of the handicapped.
身障者,,"disabled person, physically handicapped person",身障者用設備は良い。,Facilities for the disabled are good.
麻薬中毒者,,"drug addict, junkie",その生徒は麻薬中毒者でになりました。,The student became a drug addict.
聾,,"deafness, deaf person",両親は聾であった。,His parents were deaf.
口のきけない,,"unable to speak, inarticulate",所詮口のきけない野獣だ。,He's just a dumb/mute beast.
聾唖,,"deafness, deaf-mute",聾唖者は手話で話す。,Deaf and mute people speak in sign language.
狂気,,"madness, insanity",彼がしたことは狂気の沙汰としか言いようがなかった。,What he had done could only be described as insanity.
気が狂う,,"to go mad, to go crazy, to go insane",その悲報に打たれて彼の母は気が狂った。,The tragic news drove his mother mad.
遺伝子,,"gene, genetic",デオキシリボ核酸は、遺伝子を作っている複雑な化学物質である。,DNA is a complex chemical that makes up a gene.
免疫,,"immunity, immunization, immunisation",うちの子供はみな、はしかには免疫がある。,All our children are immune to measles.
遺伝性,,"inheritable character, inheritable, hereditary, inherited",それは遺伝性の貧血。,It's hereditary anemia.
先天性,,"hereditary, congenital",先天性疾患と呼ばれる生まれつきの病気の種類や要因。,Types and factors of birth defects called congenital diseases.
ウィルス,,virus,それ、ウィルスの仕業じゃないかな。,That looks like the work of a virus.
細菌,,"bacterium, bacteria, germ",それは細菌感染に有効だ。,It is effective against bacterial infections.
バクテリア,,"bacteria, bacillus, germ",バクテリアは肉眼では見えない。,Bacteria are invisible to the naked eye.
伝染,,"contagion, infection",我々は病気の伝染をくいとめなければならない。,We should check the spread of the disease.
感染,,"infection, contagion",これらの感染病はミルクの汚染が原因だった。,These infections were caused by contaminated milk.
感染症,,"infectious disease, infection",感染症の病気ですか。,Can other people catch it?
脱ぐ,,"to take off (clothes, shoes, etc.), to undress",上だけ脱いで下さい。,Please take off your top only.
運動する,,"exercise, physical training, work-out",適度の運動をするのは健康に良い。,It is good for the health to take moderate exercise.
冷やす,,"to cool (from room temperature), to chill, to refrigerate",氷で冷やす。,Cool with ice.
横になる,,to lie down (and rest),医者は私に横になっているように言った。,The doctor had me lying in bed.
調子が悪い,,"in bad shape, not doing well, not going well, out of condition",今日は少し体の調子が悪い。,I feel a little bad today.
内服薬,,medicine taken internally,高血圧の治療には内服薬が用いられています。,Oral medication is used to treat hypertension.
熱がある,,have a fever,私は今朝から少し熱がある。,I have had a slight fever since this morning.
調子,,"tune, tone, key, pitch, mood, way, manner, condition, state of health",彼は体の調子がよい。,He is in good physical condition.
歯医者,,dentist,歯医者にかかる。,See a Dentist.
伸ばす,,"to grow long, to lengthen, to extend, to stretch",彼は本を取る為に腕を伸ばした。,He stretched out his arm to take the book.
医師,,"doctor, physician",専門の医師に見てもらう。,See a specialized doctor.
医者,,"(medical) doctor, physician",御医者さんを呼んでください。,Can I have a doctor look at me?
看護婦,,(female) nurse,この病院では看護婦の需要が高い。,There is much demand for nurses in this hospital.
重度,,"severe (injury, handicap, etc.), serious",七人は重度の状態になるだろう。,Seven of them will be in severe condition.
軽度,,"slight (degree), light",回復期間と軽度の合併症については報告されていない。,Recovery time and minor complications have not been reported.
重篤,,"critical (condition), serious",魚アレルゲンに対する反応は多くの場合、重篤です。,Reactions to fish allergens are often severe.
治療薬,,"remedy, cure, therapeutic medication",経口治療薬について。,About oral medications.
処方,,"prescription, formulation, formula, recipe",薬剤師は処方どおりに調合してくれた。,The pharmacist made up the prescription for me.
錠剤,,"pill, lozenge, tablet",これらの錠剤を飲めば腹痛は治るでしょう。,These pills will cure you of your stomach-ache.
軟膏,,"ointment, salve",患部に軟膏の薄膜を塗ります。,Apply a thin film of ointment to the affected area.
患部,,"affected part, diseased part, wound",看護婦は患部に薬を塗りました。,The nurse applied the medicine to the affected area.
絆創膏,,"adhesive plaster, sticking plaster, bandage, band-aid",母は傷口にばんそうこうをつけてくれた。,Mom applied the plaster to the cut.
体温計,,medical thermometer,体温計を口にくわえて、体温を測りましたか。,Did you take your temperature with a thermometer in your mouth?
注射器,,"injector, syringe",私は注射器を見るまでは平気だった。,I was calm until I saw the syringe!
車椅子,,"wheelchair, folding push-chair",車椅子の女性、スーパーに立てこもる。,Woman in a wheelchair holes up in supermarket.
松葉杖,,"crutch, crutches",彼は足の骨を折った時、３ヶ月間松葉杖を使わなければならなかった。,"When he broke his leg, he had to use crutches for 3 months."
痛み止め,,painkiller,痛み止めの注射をします。,I'll give you a painkilling injection.
下剤,,laxative,下剤として定期的に使用することはお勧めしません。,Regular use as a laxative is not recommended.
薬草,,medicinal herb,温かいヨーロッパの味を大和の薬草で再現。,The warm European taste is recreated with medicinal herbs from Yamato.
目的,,"purpose, goal, aim, objective, intention",彼は留学という目的を達成した。,He achieved his purpose of studying abroad.
性的,,"gender, sexual",彼女は科学における性的偏見について書いた。,She wrote on gender bias in science.
知的,,intellectual,チェスはとても知的なゲームです。,Chess is a highly intellectual game.
本格的,,"genuine, real, full-scale, full-blown, all-out, full-fledged, professional",本格的な休暇は３年ぶりだ。,It's three years since I had a real vacation.
積極的,,"positive, assertive, active, proactive, aggressive",彼は積極的なセールスマンの典型だ。,He's the very model of an aggressive salesman.
経済的,,"economic, economical, financial",日本は経済的に強力な国家になった。,Japan has economically become a powerful nation.
社会的,,"social, societal, societary",社会的な習慣は国によって大いに異なる。,Social customs vary greatly from country to country.
政治的,,political,その国は経済的にも政治的にも孤立している。,The country is isolated economically and politically.
合理的,,"rational, reasonable, logical",もっと合理的な消費者になるように努めなさい。,Try to be a more rational consumer.
法的,,legal,日本では、法的には２０歳で成人になる。,"In Japan, people become legally of age at twenty."
自発的,,"spontaneous, voluntary",彼女は自発的に皿洗いをした。,She did the dishes of her own accord.
国際的,,international,京都は景色が美しい点で国際的にも有名です。,Kyoto is internationally famous for its scenic beauty.
具体的,,"concrete, definite, specific, material, substantial",十分に議論したあとで具体的な計画が進展した。,A concrete plan evolved after much discussion.
効果的,,"effective, successful",商業テレビは広告の効果的な手段である。,Commercial television is an effective medium for advertising.
自動的,,automatic,ドアは外に出ると自動的に閉まります。,The door will lock automatically when you go out.
技術的,,"technical, practical",これらの作業は技術的に不可能である。,These operations are technically impossible.
先天的,,"inborn, innate, inherent, congenital, hereditary",彼女は先天的な無口です。,She is reserved by nature.
消極的,,"negative, passive, half-hearted, unmotivated",彼は消極的な性格だ。,He has a passive character.
歴史的,,"historic, historical, traditional",彼は歴史的な航海に出た。,He set out on his historic voyage.
個人的,,"personal, individual, private",私は個人的な理由でそれを断った。,I refused it for private reasons.
一人,,"one person, being alone, by oneself",この応募の中から一人を選ばなくてはなりません。,We must select one from among these applicants.
一般,,"general, universal, ordinary, average, common, the same, no different, (just) as if",子供は一般には菓子が好きだ。,"In general, children are fond of candy."
一つ,,"one, for one thing",鉄鋼の特性の一つは硬いことだ。,One of the qualities of steel is hardness.
一時,,"one o'clock, once, at one time, formerly, before, for a time, for a while, one time, once",彼は一時はロンドンに滞在していた。,He stayed in London for a time.
一本,,"one long cylindrical thing, one film, TV show, etc., one version, one point",彼は夕食の時に一本のビールを飲む。,He drinks a bottle of beer at dinner.
一方,,"one (esp. of two), the other, one way, the other way, one direction, on the one hand, on the other hand",この部屋は寝室でもう一方は事務所です。,"This room is my bedroom, and the other one is my office."
一番,,"number one, first, first place, best, most",神戸は私が一番好きな街です。,Kobe is the city which I like best.
一生,,"whole life, a lifetime, all through life, one existence",彼女は物理学の研究に一生を捧げた。,She gave her entire life to the study of physics.
一言,,"single word, a few words, brief comment",彼は私に親切に一言助言してくれた。,He showed kindness by giving me a piece of advice.
同一,,"identical, same, one and the same, equal",同一現象が観察された。,The same phenomenon has been observed.
一目,,"glance, look, glimpse, complete view, bird's-eye view",彼は一目で彼女を大好きになってしまった。,He fell in love with her at first sight.
一定,,"fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized",彼は高速道路で一定のスピードを維持した。,He maintained a steady speed on the highway.
一杯,,"amount necessary to fill a container (e.g. cupful, spoonful, etc.), drink , full, a lot, much",会社の帰りに、ちょっと一杯やってかないか。,Want to grab a drink on the way home?
一口,,"gulp, sip, draft, draught, mouthful, morsel, bite, one word, in short, one share, one contribution",一口食べてもいいですか。,Can I have a bite?
一切,,"all, everything, the whole, lock, stock, and barrel, absolutely not (with negative), without exception, entirely not",彼の秘書が機密情報は一切漏らしてないと明言した。,His secretary flatly denied leaking any confidential information.
一切,,"all, everything, the whole, lock, stock, and barrel, absolutely not (with negative), without exception, entirely not",彼は一切の論議に耳を貸さなかった。,He was deaf to all arguments.
一緒,,"together, at the same time, same, identical",彼らは時々一緒に映画を見に行く。,They go to the movies together once in a while.
一段,,"more, much more, still more, all the more",花嫁姿の彼女は一段と美しかった。,She was all the more beautiful dressed in her wedding costume.
推進する,,"propulsion, drive",推進機関の種類及び馬力数。,Type and horsepower of propulsion engine
推定する,,"presumption, assumption, estimation",彼女は３０歳過ぎだと推定する。,I guess that she is over thirty.
推薦する,,"recommendation, referral, endorsement",先生は私たちにこの辞書を推薦してくれた。,The teacher recommended this dictionary to us.
推理する,,"reasoning, inference, deduction",あなたは推理が当たった。,You guessed right.
推測する,,"guess, conjecture",答えがわからなければ、推測してみなさい。,"If you don't know the answers, guess."
推移する,,"transition, change, progress, development, shift",企業倒産は先月も高水準に推移した。,Corporate bankruptcies continued at a high level last month.
推論する,,"inference, deduction, induction, reasoning",彼との会話から彼が仕事に満足していないと私は推論した。,I inferred from our conversation that he was unhappy with his job.
類推する,,"analogy, analogical reasoning, analogical inference",この仮定的な類推の目的は何ですか？,What is the purpose of this hypothetical analogy?
感謝,,"thanks, gratitude",彼にはいくら感謝してもしきれない気持ちだ。,I cannot thank him enough.
話しかける,,"to address (someone), to accost a person, to talk (to someone)",私は思い切って彼女に話しかけることができない。,I dare not speak to her.
意志,,"will, volition, intention, intent, determination",個人の意志は尊重しなければならない。,We must respect the will of the individual.
あちこち,,"here and there, all around, everywhere, throughout, all over",アヒル達は池のあちこちを泳いでいた。,Ducks were swimming about on the pond.
不可能,,impossible,回復はほとんど不可能だった。,Recovery was almost impossible.
出来事,,"incident, affair, happening, event",それは異常な展開を見せた出来事でした。,It was an event that proved extraordinary.
到着,,arrival,品物が到着しましたらご連絡いたします。,I will notify you of the arrival of the goods.
台所,,"kitchen, financial situation",台所をきれいに掃くのを忘れないように。,Don't forget to sweep the kitchen clean.
親しい,,"close (e.g. friend), familiar, friendly, intimate",夏休みの間に私は多くの村人と親しくなった。,"During the summer vacation, I made friends with many villagers."
普段,,"usual, normal, everyday, habitual, ordinary, usually, normally, generally, habitually, always",私は普段金曜日に市場に買い物に行きます。,I usually go to market on Friday.
総意,,"consensus, collective will, collective opinion",総意とは何ですか？,What is the consensus?
予想,,"expectation, anticipation, prediction, forecast, conjecture",予想は、寸分違わぬくらい当った。,His expectations hit the mark exactly.
教会,,"church, congregation",教会は森と湖に囲まれている。,The church is surrounded by woods and lakes.
傷つく,,"to be wounded, to get injured, to get hurt feelings, to get damaged",傷ついた鳥が地面に落ちた。,The injured bird fell to the ground.
誠に,,"indeed, really, absolutely, truly, actually, very, quite",ご親切誠にありがとうございます。,Thank you for your kindness.
止まる,,"to stop (moving), to come to a stop",台風の間電気が止まった。,The electricity failed during the typhoon.
撫でる,,"to stroke, to caress, to brush gently, to pat, to rub, to comb (hair), to smooth down",そよ風が彼女の顔をなでた。,The breeze kissed her face.
要求,,"demand, firm request, requisition, requirement, desire",彼らの要求に屈してはいけません。,Don't give way to their request.
顔色,,"complexion, one's colour, one's color, countenance, expression, one's face",彼は今日はうんと顔色がよい。,He looks a good deal better today.
恥ずかしい,,"embarrassing, embarrassed, ashamed, humiliated, shy",彼女は恥ずかしさで顔を赤らめた。,She blushed with shame.
バス,,bus,市内までいくバス乗り場は、どこですか。,Where's the bus for the city?
印象,,impression,私の印象ではそれは非常によい。,My general impression is that it is very good.
ありがたい,,"grateful, thankful, welcome, appreciated, evoking gratitude",どんなインプットでもいただければありがたいです。,Any input would be appreciated!
たいてい,,"mostly, ordinarily, usually, generally",私はたいてい朝食に果物を食べる。,I mostly have fruit for breakfast.
年齢,,"age, years",彼は年齢相応に振る舞う。,He acts his age.
教室,,"classroom, department, laboratory",ほとんど全ての生徒が教室の中にいた。,Almost all of the pupils were in the classroom.
グラス,,glass (drinking vessel),シャンパンがグラスの中で泡立った。,The champagne bubbled in the glass.
予定,,"plans, arrangement, schedule, program, programme, expectation, estimate",来週の月曜日に成田を出発する予定です。,We are leaving Narita next Monday.
悪魔,,"devil, demon, fiend",彼女は悪魔に取り付かれている。,She is possessed by a devil.
いかに,,"how, in what way, however much, however, whatever, how much",これは彼女がいかに誠実であるかを良く示している。,This serves to show how honest she is.
寄せる,,"to come near, to let someone approach, to bring near, to bring together, to collect, to gather",いすをもっと火の近くに寄せなさい。,Draw your chair closer to the fire.
穏やか,,"calm, gentle, quiet",寒い冬の後、春は穏やかな天候をもたらす。,Spring brings mild weather after the cold winter.
民,,"people, citizens, subjects, folk",その部族の民はその川沿いに住み着いた。,Members of that tribe settled along the river.
五月,,"fifth month of the lunar calendar, May",３月の風と４月の雨が５月の花をもたらす。,March winds and April showers bring forth May flowers.
雛,,"young bird, chick",母鳥が雛に虫を持ってきた。,The mother bird brought worms for her young ones.
渦,,"whirlpool, swirl, eddy, vortex, maelstrom",これははく離渦によるものです。,This is due to the separation vortex.
視野,,"field of vision, view, one's outlook (e.g. on life), one's horizons",よい映画は人の視野を広げる。,Good movies broaden your horizons.
コース,,"course, route, trail, course (of study), program, lane, corse of action",これはパリへの最短コースです。,It's the shortest route to Paris.
粉,,"flour, meal, powder, dust",パンは粉と水とイーストから作られる。,"Bread is made from flour, water and yeast."
主任,,"person in charge, senior staff, manager, chief, head",主任は部下を意のままに支配している。,The boss controls his men at will.
幸運,,"good luck, fortune",勝ち抜いていけるよう幸運を祈るよ。,Best of luck in your tournament.
仕える,,"to serve, to work for, to attend",コックは家族に長年仕えた。,The cook served the family for many years.
