W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
チーズ,cheese,エステート,estate,投資,invest,忍耐強い,patient,シュート,shoot,訴訟,litigation
シェフ,chef,見積もり,estimate,調査,investigate,パターン,pattern,撮影,shooting,装備,equipment
化学,chemical,倫理,ethics,調査,investigation,一時停止,pause,店,shop,捜査,investigation
胸,chest,エスニック,ethnic,捜査官,investigator,支払い,pay,買い物,shopping,創造,creation
ひよこ,chick,ヨーロッパ人,European,投資,investment,支払い,payment,海岸,shore,遂行,execution
チキン,chicken,評価,evaluate,投資家,investor,平和,peace,短い,short,衰退,decline
チーフ,chief,評価,evaluation,招待,invite,ピーク,peak,まもなく,shortly,推進,propulsion
子供,child,平,even,関与,involve,ピア,peer,ショット,shot,好く,treasure
子供時代,childhood,夜,evening,関与,involved,ペナルティ,penalty,したほうがいい,should,体験,experience
子供達,children,イベント,event,関与,involvement,人,people,ショルダー,shoulder,対応,correspondence
中国語,Chinese,最終的,eventually,イラク,Iraqi,コショウ,pepper,叫ぶ,shout,態勢,attitude
チップ,chip,これまで,ever,アイルランド語,Irish,あたり,per,見せる,show,対処,deal
チョコレート,chocolate,毎日,every,鉄,iron,知覚,perceive,シャワー,shower,退職,retirement
選択,choice,みんな,everybody,は,is,パーセンテージ,percentage,肩をすくめる,shrug,大衆,general public
コレステロール,cholesterol,毎日,everyday,イスラム,Islamic,感知,perception,シャット,shut,高まる,rise
選ぶ,choose,みんな,everyone,小島,island,完全,perfect,病気,sick,企む,conspire
コード,chord,すべての,everything,イスラエル人,Israeli,完全に,perfectly,側,side,保つ,keep
キリスト教徒,christian,どこにでも,everywhere,問題,issue,実行,perform,はぁ,sigh,達成,achievement
クリスマス,christmas,証拠,evidence,それ,it,パフォーマンス,performance,視力,sight,提供,offer
教会,church,進化,evolution,イタリアの,Italian,多分,perhaps,サイン,sign,停滞,stagnation
シガレット,cigarette,進化,evolve,アイテム,item,期間,period,信号,signal,手順,procedure
サークル,circle,ちょうど,exact,これは,its,永続,permanent,意義,significance,適応,adaptation
状況,circumstance,まさに,exactly,自体,itself,許可,permission,重要,significant,展示,exhibition
引用,cite,検査,examination,ジャケット,jacket,許可,permit,大幅,significantly,天井,ceiling
市民,citizen,診る,examine,刑務所,jail,人,person,沈黙,silence,転換,convert
市,city,例,example,日本,Japanese,個人的,personal,静けさ,silent,点検,inspection
市民,civil,超えた,exceed,ジェット,jet,正確,personality,銀,silver,天才,genius
民間人,civilian,優れた,excellent,ユダヤ人,Jew,個人的に,personally,似ている,similar,手遅れ,too late
請求,claim,それ外,except,ユダヤ人,Jewish,人員,personnel,同様に,similarly,扉,door
クラス,class,例外,exception,仕事,job,視点,perspective,単純,simple,乏しい,poor
クラシック,classic,両替,exchange,加入,join,説く,persuade,単に,simply,特権,privilege
クラスルーム,classroom,エキサイト,excite,ジョイント,joint,ペット,pet,罪,sin,話した,spoke
掃除,clean,エキサイティング,exciting,冗談で,joke,段階,phase,以来,since,スポークスマン,spokesman
クリア,clear,エグゼクティブ,executive,ジャーナル,journal,現象,phenomenon,歌う,sing,スポーツ,sport
明らかに,clearly,エクササイズ,exercise,ジャーナリスト,journalist,哲学,philosophy,歌手,singer,スポット,spot
クライアント,client,示す,exhibit,旅,journey,電話,phone,独身,single,広める,spread
気候,climate,エキシビション,exhibition,喜び,joy,写真,photo,シンク,sink,バネ,spring
登る,climb,存在,exist,ジャッジ,judge,写真,photograph,様,sir,四角,square
診療所,clinic,存在,existence,判定,judgment,写真家,photographer,妹,sister,スクイーズ,squeeze
臨床,clinical,既存,existing,ジュース,juice,段階,phrase,座る,sit,安定,stability
時計,clock,拡大,expand,ジャンプ,jump,物理的,physical,サイト,site,安定,stable
選ぶ,choose,拡張,expansion,ジュニア,junior,物理的に,physically,シチュエーション,situation,スタッフ,staff
密接に,closely,予想,expect,陪審,jury,医師,physician,六,six,ステージ,stage
クローザー,closer,期待,expectation,ただ,just,ピアノ,piano,サイズ,size,階段,stair
服,clothe,費用,expense,正義感,justice,選ぶ,pick,スキー,ski,ステーク,stake
服,clothes,高価な,expensive,正当化する,justify,写真,picture,スキル,skill,台,stand
衣類,clothing,経験,experience,保つ,keep,パイ,pie,肌,skin,標準,standard
クラウド,cloud,実験,experiment,維持,kept,ピース,piece,空,sky,立っている,standing
クラブ,club,エキスパート,expert,鍵,key,パイル,pile,奴隷,slave,星,star
ヒント,clue,説明,explain,キック,kick,パイロット,pilot,寝る,sleep,見詰める,stare
集まる,cluster,説明,explanation,子供,kid,松,pine,スライス,slice,始める,start
コーチ,coach,爆発する,explode,殺す,kill,ピンク,pink,滑り台,slide,州,state
石炭,coal,見る,explore,キラー,killer,パイプ,pipe,わずか,slight,声明,statement
連立,coalition,爆発,explosion,殺害,killing,ピッチ,pitch,少し,slightly,駅,station
海岸,coast,公開,expose,親切,kind,場所,place,スリップ,slip,統計,statistics
コート,coat,曝露,exposure,キング,king,プレーン,plain,スロー,slow,状態,status
コード,code,特急,express,接吻,kiss,予定,plan,ゆっくり,slowly,止まる,stay
コーヒー,coffee,表現,expression,キッチン,kitchen,飛行機,plane,小さな,small,代わりに,stead
認知,cognitive,拡張する,extend,膝,knee,星,planet,頭いい,smart,安定しました,steady
寒い,cold,拡大,extension,知っていた,knew,計画,planning,匂い,smell,窃盗,steal
崩壊,collapse,広範囲,extensive,ナイフ,knife,植物,plant,笑顔,smile,蒸気,steam
同僚,colleague,範囲,extent,ノック,knock,プラスチック,plastic,煙,smoke,鋼,steel
冬,winter,それなし,without,仕事,work,傷,wound,うん,yeah,ステップ,step
ワイプ,wipe,目撃者,witness,ワーカー,worker,包む,wrap,年,year,棒,stick
ワイヤー,wire,女性,woman,働く,working,書きます,write,エール,yell,まだ,still
知恵,wisdom,しません,won’t,動作します,works,作家,writer,黄,yellow,混ぜる,stir
賢い,wise,不思議,wonder,ワークショップ,workshop,書き込み,writing,はい,yes,株式,stock
願い,wish,素晴らしい,wonderful,世界,world,書かれた,written,昨日,yesterday,お腹,stomach
と,with,木材,wood,心配した,worried,間違い,wrong,まだ,yet,結石,stone
撤退,withdraw,木製,wooden,心配,worry,書きました,wrote,収率,yield,立っていた,stood
以内に,within,言葉,word,価値,worth,ヤード,yard,あなた,you,ストップ,stop
楽勝です,easy peasy,呆れる,"disgusted, amazed",かと思う,think (something) might be,泣きそう,feels like crying,至らない,"imperfect, inadequate",ストレージ,storage
朝飯前,piece of cake,焦った,"flustered, hurried",疲れてるからって,just because I'm tired,やった!,i got it!,至る,"to arrive, to reach, to attain",お店,store
棚ぼた,"godsend, windfall​",当たり前です,"of course, obviously",からって,just because,めちゃめちゃ,"very, extremely",至急,"urgent, pressing",嵐,storm
お安い御用,easy task,あっという間,a blink of time,忙しいからって,just because I'm busy,よし!,yes!,至って,"very, extremely",話,story
トントン拍子,without a hitch,あっという間に,in a blink of an eye,おかしいなあ,it's strange,じーんとする,feeling touched,至る所,"all over, throughout​",真っ直ぐ,straight
一番乗り,first to arrive,あと一歩,just a step away,がっかりだよ,it's disappointing,じーんとしちゃった,i'm really touched,至極,exceedingly,変,strange
一石二鳥,two birds with one stone,あやしい,sounds fishy,さすがですね,i’m impressed,じ一んとくる,be touched,至言,apt remark,知らない人,stranger
善は急げ,move with haste,あり得ない,out of the question,信じられない!,unbelievable!,ウルウルしちゃった,i’m so touched,行動的,active,戦略的,strategic
先手を打つ,beat to the punch,あわてなくていい,no rush,そうかなあ,i wonder,感激!,"impressive, fantastic",積極的,aggressive,ストラテジー,strategy
根回し,lay the groundwork,いい加減だなあ,it’s irresponsible,どうしよう,what to do,ワクワクする,it’s exciting,意欲的,ambitious,ストリーム,stream
ハマる,get hooked,いい加減にする,to put an end ,何て言っていいか,i don't know what to say,言葉にできない,beyond words,勇敢,brave,街,street
目がない,"fond of, have weakness for",いい加減にしろ,cut it out,まさか,no way,泣けたよ,it made me cry,慎重,careful,強さ,strength
病みつき,being addicted,いい加減にして,cut it out,まじで?,seriously?,そのままズバリ,exactly as it is,独創的,creative,強化する,strengthen
我を忘れる,forget oneself,いい線いってる,on the right track,また? ,again?,胸を打つ,be touching,勤勉,diligent,ストレス,stress
首を突つ込む,stick your nose in,いいな,it’s good (feeling envy),よくわかんない,i'm not sure,かっこいい,cool,のんき,easygoing,ストレッチ,stretch
本腰を入れる,put your back into,言いにくいんです,it's hard to say,わけがわかんない,i'm confused,すごい,amazing,感情的,emotional,攻撃,strike
目からウロコ,eye-opening,言い訳はいい,no excuses,来週はどう?,how about next week?,びっくり,surprised,熱心,enthusiastic,ストリング,string
空気を読む,read the situation,言えてる,you can say that again,こういうのはどう?,how about this?,ほんと,really,外向的,extroverted,ストリップ,strip
ダメ元,nothing to lose,意外,unexpectedly,いいんですか,it is ok?,そうなんですか,is that so?,フレンドリー,friendly,脳卒中,stroke
安全パイ,safe choice,一応,"more or less, for now, roughly",いいの?,it is ok?,そうです,"yes, it is",勤勉,hard-working,強い,strong
肩の荷が下りる,relived one’s burden,一か八か,all or nothing,できた?,is it done?,そうですよ,that’s right,誠実,honest,強く,strongly
手とり足とり,attentively,いつものこと,the usual,どういうことですか,what do you mean?,そうですよね,"yah, that’s right",優柔不断,indecisive,構造,structure
一から十まで,without exception,今一つ,not quite,どうしたんですか?,what happened?,そうですね,"yes, that’s right",利口,intelligent,闘争,struggle
コツコツ,"untiringly , steadily",意味がわからない,i don’t get it,何それ?,what is it?,そうだね,"let’s see.., well..",内向的,introverted,学生,student
に飢える,starving for,いやだ,don’t want to,頭が痛いよ,it gives me a headache,まじ,seriously,親切,kind,スタジオ,studio
愛情に飢えてた,starving for affection,イライラする,ticked off,危なかった,that was close,うそ,no way,無邪気,naive,勉強,study
待ちに待った,long-awaited,うっかりしてた,i was careless,ありがたいです,appreciate it,まさか,no way,腕白,naughty,もの,stuff
折角,long-awaited,うまく言えない,"hard to say, hard to explain",惜しかったね,what a shame,信じられない,unbelievable!,丁寧,polite,バカ,stupid
ごまをする,butter up,うまくいってる,it's going well,お互い様です,likewise,いいんですか,it is ok?,静か,quiet,スタイル,style
サバを読む,fudge the numbers,うんざり,"boring, tiresome",体がだるい,"i feel weak, i feel listless",ありがたい,grateful,自己チュー,selfish,主題,subject
攻撃,"attack, assault",折衝,negotiation,協議,"conference, negotiation",侵入,"invasion, incursion",侵攻,invasion,参加する,submit
停戦,"armistice, ceasefire",相次ぐ,happens in succession,取引先,"client, costumer",停止,stoppage,経済協力,economic cooperation,後続,subsequent
機内,in-flight,拒否,"refusal, rejection",辞職,resignation,勧告,"advice, counsel",決議,resolution,物質,substance
手を抜く,cut corners,偉い,"great, excellent",かわいそうに,that’s pitiful,おかげさまで,thanks to you,権利,"right, privilege",実質的,substantial
少しは手を抜く,cut a little slack,お言葉に甘えて,accept the kind offer,気分が悪い,don’t feel well,助かります,it would help me out,利益," profit, gains",減算,subtract
お茶をにごす,give an evasive reply,お先に,ahead of you,ぎりぎり間に合った,barely made it,至れり尽くせり,perfect,便利,convenient,成功した,succeed
見て見ぬふりをする,turn a blind eye to,おしゃれですね,how stylish,困ったなあ,this is bad,てもらって,to have done,利用,"use, utilization",成功,success
探すふりをする,pretend to look for it,落ち込む,"down, depressed",しまった! ,damn it!,お世話様,thank you for your service,勝利,"victory, triumph",成功,successful
口先だけ,all talk (and no action),おっしやるとおり,exactly as you say,せっかくなのに,"what a waste, sorry but..",何から何まで,"everything, without exception",利子,"interest (loan, etc)",正常に,successfully
口説く,"to urge, to coax",追ってご連絡します,I’ll contact you later,それは残念でしたね,I'm sorry to hear that,身にしみる,deep in my heart,有利,advantageous,そのような,such
一か八か,all or nothing,お手数をおかけします,sorry for the trouble,それはまずいよ,that won’t do,面白そう,looks interesting,不利,disadvantage,突然,sudden
頑張り屋,tenacious,思ったとおり,just as i thought,大変ですね,that's tough,楽しみ ,looking forward to,利く,to be effective,突然,suddenly
頭が切れる,sharp-minded,恩に着る,indebted to,助かります,it would help me out,首を長くして,been waiting for,利口,"clever, intelligent",訴える,sue
人気者,popular (person),カチンと来る,be annoyed with,楽しみです,looking forward to it,待ち遠しい,looking forward to,利点,point in favor,苦しむ,suffer
おっちょこちょい,careless person,がっくり,"dejected, bummed out",だめだ,"can’t, it’s over",ソワソワしてる,feel nervous,利息,"interest (loan, etc)",十分な,sufficient
腰が低い,"humble, modest",かっこ悪い,"uncool, lame",ついてないなあ,not so lucky,待ちきれない,i can’t wait,利潤,"profit, returns",サフィックス,suffix
口が堅い,tight-lipped,勝手にやれば?,why don't you do it?,疲れました,I'm tired,会いますように,i hope to see you,砂利,gravel,シュガー,sugar
一匹狼,lone wolf,変わらない,hasn’t changed,なんだ,"oh, come on",どうか,please,左利き,left-handed,提案,suggest
寂しがり屋,"lonely person, attention-seeker",考えられない,unthinkable,なんとなく,"for some reason, somehow",傳随できますように,i hope you can win,利率,interest rate,提案,suggestion
負けず嫌い,sore loser,関係ない,it doesn’t matter,ひどい話ですね,that’s terrible,ありがたいんだけど,i appreciate it very much,金利,interest rate,自殺,suicide
恥ずかしがり屋,shy person,感心する,be impressed,平気です,"not bothered, i’m fine",そうしようか,i'll do that,利回り,"interest, yield",スーツ,suit
泣き虫,cry baby,勘弁して,give me a break,まあね,"I suppose, I guess",何とか,somehow,利用者,end-user,夏,summer
気分屋,moody person,聞いてない,i never heard about that,まいったなあ,what a bummer,行ってみたいな,I'd like to go,利害関係,interests,サミット,summit
甘えん坊,spoiled child,気が重い,"down, depressed",やっぱり,"as usual, as expected",買いたいな,I'd like to buy some,営利,money-making,太陽,sun
お人好し,softhearted,気が利くね,how thoughtful,やばい,"crazy, awful, cool , terrific",大変じゃない?,Isn't it hard?,便利さ,convenience,素晴らしい,super
かゆい,itchy,じっと,motionlessly,おもて,surface,ディスカッション,discussion,メール,email,供給,supply
かわいらしい,lovely,しばしば,often,オリンピック,olympic,ディナー,dinner,メダル,medal,サポート,support
きつい,intense,すう,to smoke,ガーデニング,gardening,デー,day,メモ,memorandum,サポーター,supporter
くやしい,regrettable,せいぜい,at the most,カード,card,デート,date,メリット,advantage,仮定する,suppose
しかたない,it can’t be helped,そっくり,all,かご,basket,テーマ,topic,めん,noodles,想定,supposed
つらい,spicy,そっと,softly,かず,number,デジカメ,digital camera,メンバー,member,最高,supreme
ない,nonexistent,たっぷり,full,かっこ,shape,テレビ,television,モデル,model,承知しました,sure
めでとう,happy,たとえ,even if,カット,cut,テント,tent,やる気,willingness,もちろん,surely
鋭い,pointed,たびたび,often,カビ,mold,トイレット,toilet,ゆうべ,evening,水面,surface
恐ろしい,terrible,たまたま,casually,カフェ,cafe,とき,time,ユーモア,humor,手術,surgery
苦しい,painful,ちゃんと,perfectly,カロリー,calorie,ところ,place,ユニフォーム,uniform,サプライズ,surprise
激しい,violent,つまり,in short,キャンセル,cancel,ところ,place,ヨーグルト,yoghurt,驚いた,surprised
賢い,wise,どう,precisely,キャンプ,camp,トップ,top,ヨーロッパ,europe,驚くべき,surprising
詳しい,knowing very well,とにかく,anyhow,キュウリ,cucumber,トマト,tomato,ヨット,yacht,意外と,surprisingly
親しい,intimate,とんでも,tondemo,キロ,kilo,ドライブ,drive,ライター,lighter,囲む,surround
粗い,coarse,なぜ,why,クーポン,coupon,トラック,truck,ライバル,rival,調査,survey
等しい,equal,にっこり,smile sweetly,くしゃみ,kushami,ドラマ,drama,ラケット,racket,生存,survival
濃い,deep,のんびり,carefree,クッキー,cookie,トランプ,playing cards,ランチ,launch,生き延びる,survive
貧しい,poor,ぴったり,exactly,グラウンド,sports ground,ドリンク,drink,ランニング,running,サバイバー,survivor
幼い,very young,ふと,suddenly,クラシック,classical music,トレーニング,training,リットル,litre,容疑者,suspect
良い,good,ほぼ,almost,グラス,glass,ドレス,dress,ルーム,room,サスティーン,sustain
あんな,such,ぼんやり,absent-minded,クラスメイト,classmate,トンネル,tunnel,レシピ,recipe,誓う,swear
かわいそう,poor,まさか,by no means,クラブ,club,なす,eggplant,レンズ,lens,掃く,sweep
グローバル,global,まさに,exactly,クリーム,cream,ニーズ,needs,レンタル,rental,甘い,sweet
こんな,such,ますます,increasingly,クリーム,cream,にんじん,carrot,ワイン,wine,泳ぐ,swim
ドロドロ,syrupy,まるで,quite,クリーム,cream,ネズミ,mouse,わがまま,selfishness,スイング,swing
どんな,what,むしろ,rather,クリスマス,christmas,ネット,net,ワン,one,スイッチ,switch
ばらばら,scattered,もし,if,グループ,group,ネット,net,哀れ,pity,音節,syllable
めった,thoughtless,やがて,before long,グルメ,gourmet,ノック,knock,愛,love,シンボル,symbol
偉大,greatness,やや,a little,グレー,grey,パーセント,percent,愛情,love,症状,symptom
意外,unexpected,ゆっくり,slowly,ケース,case,バーベキュー,barbecue,悪口,abuse,システム,system
温暖,warmth,ワイワイ,noisily,ゲーム,game,バイオリン,violin,悪魔,devil,テーブル,table
穏やか,calm,わざと,on purpose,ケチ,stinginess,ハイキング,hiking,握手,handshake,大さじ,tablespoon
可能,possible,わざわざ,expressly,コアラ,koala,バイク,bike,宛先,address,戦術,tactic
可能,possible,わずか,only,コーチ,coach,パイプ,pipe,安全,safety,しっぽ,tail
確実,certainty,一層,much more,コード,code,パイロット,pilot,安定,stability,取る,take
完全,perfection,既に,already,ゴール,goal,バカ,fool,暗記,memorization,物語,tale
器用,skillful,言わば,so to speak,ゴール,goal,はさみ,scissors,案,idea,タレント,talent
奇妙,strange,幸い,happiness,こしょう,pepper,パス,path,以前,ago,トーク,talk
気の毒,pitiful,再び,again,コミュニケーション,communication,パスタ,pasta,以来,since,高い,tall
貴重,precious,次々,in succession,コメディー,comedy,パスポート,passport,位置,place,タンク,tank
急激,sudden,主に,mainly,ごめん,your pardon,はちみつ,honey,依頼,request,タップ,tap
急速,rapid,少し,small quantity,ゴルフ,golf,バッグ,bag,委員,committee member,テープ,tape
巨大,huge,真っ直ぐ,straight,コンタクト,contact,はと,pigeon,意志,will,目標,target
強力,powerful,遂に,finally,サークル,circle,バドミントン,badminton,意思,intention,タスク,task
嫌,disagreeable,随分,very,サービス,service,ハム,ham,意識,consciousness,味,taste
見事,splendid,正直,honesty,さい,on the occasion of,バランス,balance,異常,strangeness,税,tax
主要,chief,全く,really,サイン,autograph,パリ,paris,移動,removal,納税者,taxpayer
重大,serious,大いに,very,サプリ,supplement,バレンタイン,valentine,維持,maintenance,お茶,tea
重要,important,単に,simply,サプリメント,supplement,バンド,bando,胃,stomach,教える,teach
順調,favourable,直ちに,at once,サポート,support,ハンバーガー,hamburger,衣服,clothes,教師,teacher
新た,new,当然,natural,サラリーマン,office worker,ピアス,earrings,違い,difference,教える,teaching
新鮮,fresh,特に,particularly,サングラス,sunglasses,ビール,beer,違い,difference,チーム,team
深刻,serious,突然,abrupt,サンタクロース,santa claus,ピクニック,picnic,違反,violation,破れ目,tear
真っ赤,bright red,必ず,always,ジーンズ,jeans,ピザ,pizza,医師,doctor,ティースプーン,teaspoon
正式,due form,余り,remainder,システム,system,ピッチャー,pitcher,医療,medical care,停学,suspension from school
粗末,crude,あるいは,or,しっぽ,tail,ヒット,hit,一家,a house,零,zero
素敵,lovely,さて,well,しゃべり,talk,ビデオ,video,一気,drink!,姉さん,sister
単純,simplicity,さらに,furthermore,ジュース,juice,ビニール,vinyl,一言,single word,通貨,a currency
直,direct,しかも,moreover,しょう,way,ひび,crack,一時,one hour,出身,person's origin
適切,pertinent,すなわち,that is,ショッピング,shopping,ピン,pin,一種,species,歩道,a pedestrian road
適度,moderate,ただ,ordinary,ショッピング,shopping,ファイル,file,一瞬,moment,熱帯魚,tropical fish
同一,identity,なお,furthermore,しわ,wrinkle,ファスト,first,一人一人,one by one,悪質,malignant
同様,identical,一方,one,スイッチ,switch,ファッション,fashion,一生,whole life,別れ,farewell
独特,peculiarity,更に,furthermore,スープ,soup,フィンランド,finland,一体,what the heck,思い付く,to think of
抜群,preeminence,又,again,すえ,sue,フード,food,一致,coincidence,停戦,ceasefire
非常,emergency,アイス,ice,スキー,skiing,プライベート,private,一般,general,目付き,look (in someone's eyes)
微妙,delicate,アイディア,idea,スケート,skate,プラグ,plug,一般,general,心配のあまり,so worried
必死,frantic,アイロン,iron,スズメバチ,hornet,プラス,plus,稲,rice-plant,充電する,to charge
不要,unnecessary,アウト,out,スター,star,プラン,plan,印,seal,気をつける,to be careful
豊か,abundant,あくび,yawn,スタイル,style,フルーツ,fruit,印刷,printing,見る,"to see, look, watch"
豊富,abundance,アドバイス,advice,スタッフ,staff,ブレーキ,brake,印象,impression,目を細める,to squint
夢中,daze,アニメ,animated film,スタンド,stand,プレゼン,presentation,引っ越し,moving,見つめる,to stare at
明らか,obvious,アルバム,album,ストレス,stress,プレゼンテーション,presentation,引退,retire,よく勉強する,to study closely
明確,clear,アレルギー,allergy,ストレス,stress,プロ,professional,引用,quotation,テレビを見ること,to watch tv
優秀,superiority,いたずら,tease,スピーチ,speech,プロジェクター,projector,宇宙,universe,ウィンクする,to wink
有効,validity,いち,one,スピード,speed,プロジェクト,project,羽,feather,可聴,audible
有利,advantageous,いちご,strawberry,スポーツ,sport,ページ,page,嘘,lie,耳が聞こえない,deafening
容易,easy,いっせい,simultaneous,スポーツ,sport,ペーパー,paper,噂,rumour,聴覚,hearing
様々,varied,いとこ,male cousin,せい,act,ヘッドホン,headphone,運,fortune,急性聴覚,acute hearing
利口,clever,イベント,event,セール,sale,ベランダ,balcony,餌,feed,騒々しい,buzzing
あらゆる,all,いらいら,getting nervous,せき,seat,ベルト,belt,営業,business,煩い,"loud, noisy"
いわゆる,what is called,インク,ink,せき,cough,ベンチ,bench,影,shadow,パチパチ,crackling
この,this,インターンシップ,internship,セット,set,ボウリング,bowling,影響,influence,低い,low
その,that,ウイスキー,whisky,センター,centre,ボウル,bowl,栄養,nutrition,低音,low-pitched
我が,my,ウイルス,virus,そば,side,ボート,boat,永遠,eternity,きしむ,creaking
大した,considerable,ウイルス,virus,ソファー,sofa,ホーム,platform,永久,eternity,補聴器,the hearing aid
単なる,mere,うがい,gargling,ソフト,soft,ホーム,platform,泳ぎ,swimming,エコー,the echo
あいにく,unfortunately,うさぎ,rabbit,それぞれ,each,ホームステイ,homestay,衛星,satellite,爆発,the explosion
あんまり,remainder,うち,inside,ダイエット,diet,ボール,ball,延期,postponement,インターホン,the intercom
いずれ,where,うどん,udon,だいたい,general,ほこり,dust,援助,assistance,歌,the song
おそらく,perhaps,うなぎ,eel,タイトル,title,ほど,degree,演技,acting,ラジオ,the radio
およそ,about,エネルギー,energy,ダイヤ,diamond,マーケット,market,演説,speech,声,the voice
がっかり,feel disappointed,エビ,frog,タオル,towel,マイク,mike,演奏,musical performance,雑音,the noise
かなり,considerably,エンジン,engine,ダンス,dance,マスク,mask,炎,flame,ヘッドフォン,the headphones
きちんと,precisely,オープン,open,チーズ,cheese,まつ,wait,煙,smoke,ヘッドセット,the headset
ぐつぐつ,simmering,おかげ,backing,チーム,team,まま,as it is,猿,monkey,スピーカー,the loudspeaker
ぐっすり,sound asleep,おじ,uncle,チームワーク,teamwork,マンション,large apartment,縁,fate,防音壁,the sound barrier
さっぱり,feeling refreshed,おば,aunt,チャンス,chance,ミス,mistake,汚染,pollution,ささやき,the whisper
しきり,frequent,オフィス,office,ちょうだい,receiving,ミルク,milk,奥,interior,沈黙,the silence
街,town,蓋,cover,咳,cough,外出,outing,外交,diplomacy,音,the sound
拡大,magnification,屋根,roof,起床,getting up,病床,sickbed,弱点,weak point,雷,the thunder
赤字,deficit,減少,decrease,地元,"local, home town",行為,action,再生,regeneration,耳栓,the earplugs
悪事,crime,原則,principle,迅速,"fast, quick",好意,favor,採用,adopt,イヤホン,the earphones
圧倒,overwhelmed,幻想,illusion,実践,practice,公開,release,最善,best,みみ,the ears
扱い,treatment,犠牲,sacrifice,実質,"substance, essence",後悔,regret,栄える,flourish,聴覚障害者,hearing-impaired
圧力,pressure,合成,synthesis,事前,"in advance, prior",購入,purchase,作戦,strategy,サイレント,silent
過ち,"fault, error",軍事,military affairs,持続,"continuation, sustaining",効率,efficiency,悟る,understand,リンギング,ringing
買収,"purchase, acquisition",業務,business,助言,advice,交渉,negotiation,世代,generation,聴覚障害者,deaf
爆弾,bomb,業績,"achievement, results",譲歩,concession,雇用,employment,征服,conquest,ハミングする,to hum
弁護,defense,把握,grasp,情熱,passion,口調,tone,制服,uniform,雷鳴する,to thunder
弁解,"explanation, excuse",阻む,hinder,上陸,landing,苦しみ,suffering,正義,justice,ざわめく,to rustle
弁明,"explanation, excuse",肺,lung,情勢,"situation, state of things",屈辱,humiliation,誠実,sincere,歌うために,to sing
貧乏,poverty,配置,"arrangement, deployment",従業員,employee,拒否,denial,成熟,maturity,囁く,to whisper
敏感,sensitive,背後,back,柔軟,flexible,極端,extreme,成果,achievement,きしむ,to creak
微笑,smile,排除,exclusion,株式,stocks,脅迫,intimidation,政権,administration,を聞くこと,to listen to
膨張,expansion,配慮,consideration,課題,"task, subject, challenge",脅威,threat,政策,policy,聞く,to hear
防衛,defense,廃止,abolition,開発,development ,享受,enjoy,正当,legitimate,静かにする,to be silent/quiet
暴力,violence,破壊,destruction,回避,avoidance,共感,empathy,選挙,election,バズする,to buzz
侮辱,insult,派遣,dispatch,解除,release,教訓,lesson,戦略,strategy,いびきをかく,to snore
部下,subordinate,白状,confession,改革,reform,強烈,strong,占領,occupation,耳を刺す,to prick up one’s ears
分配,"sharing, distribution",繁栄,prosperity,階級,class,共産,communism,戦闘,battle,口笛を吹く,to whistle
分散,dispersion,反応,reaction,介入,intervention,強制,force,専用,designated,鳴らす,to ring
文書,documents,反乱,rebellion,賭け,betting,究極,ultimate,接触,contact,親愛なる,to deafen
無礼,rudeness,発生,occurrence,賭ける,"to bet, to wager",救済,relief,設定,configuration,ホット,hot
武装,"armament, arms",果たす,"to fulfill, to accomplish",確保,"ensure, secure",恵む,show mercy to,説得,persuasion,柔らかい,soft
着手,"to start, to embark",発言,"speech, statement",革命,revolution,明白,obvious,設立,establishment,硬い,hard
近づく,"approaches, get close",兵器,weapons,確信,"conviction, confidence",明瞭,clarity,死,death,ふわふわ,fluffy
蓄積,accumulation,閉鎖,closure,肝心,"essential, vital",名誉,honor,強いる,force,麻痺,"numb, paralysis"
賃金,wage,兵士,soldier,完璧,perfection,未知,unknown,支持,support,皮膚,the skin
沈黙,silence,変動,"fluctuation, change",官僚,"bureaucracy, officials",身近,familiar,指示,instruction,握手,the handshake
知性,intelligence,変革,"change, transformation",監視,surveillance,見方,viewpoint,資格,qualification,指先,the fingertips
秩序,order,偏見,prejudice,干渉,interference,源,source,指揮,command,ストローク,the stroke
直感,intuition,率いる,lead,関与,participation,満たす,fulfill,資金,fund,風邪,the cold
直面,"confrontation, facing",悲鳴,scream,寛容,tolerance,漏らす,reveal,仕組み,how it works,スムーズ,smooth
挑戦,"challenging, to challenge",非難,"condemnation, blame, criticism",固める,"to harden, to consolidate",摸索,mosaku,使命,mission,粗い,rough
調達,"supply, raising, procurement",避難,"evacuation, refuge",傾ける,"to incline, to tilt, to lean",齎す,bring,辛抱,patience,シルキー,silky
中断,interruption,貧困,poverty,交わす,to exchange,無実,innocent,進化,evolution,ノックする,to knock
忠実,"faithful, fidelity",頻繁,frequency,軽減,"reduction, alleviation",無効,invalid,侵略,invasion,ヒットする,to hit
忠告,advice,疲労,fatigue,経費,expenses,無力,powerlessness,思考,thought,擦る,to rub
打撃,blow,悲惨,misery,経過,"elapsing, progress",悩み,trouble,真実,truth,引っ掻く,to scratch
大胆,"daring, bold",匹敵,"to rival, to compare with",警戒,"vigilance, caution, alertness",燃料,fuel,真理,truth,塩に,to salt
妥協,compromise,必然,inevitable,経歴,career,熱意,enthusiasm,真相,truth,味わう,to savour
団結,unity,施す,apply,経路,"route, path",憎しみ,hatred,進展,progress,ちびちび飲む,to sip
