V1,R1,M1,V2,R2,M2,V3,R3,M3,V4,R4,M4
果せる,はたす,fulfill (one's) desire,蔓延る,はびこる,spread,覆い隠す,おおいかくす,cover,光り輝く,ひかりかがやく,shine
晦ます,くらます,forget,訝る,いぶかる,wonder,明け放す,あけはなす,give openly,乗り回す,のりまわす,ride around
消え失せる,きえうせる,disappear,兼ね備える,かねそなえる,combine,辱しめる,はずかしめる,humiliate,張り込む,はりこむ,stake out
色付く,いろづく,color,刳り抜く,くりぬく,gouge out,移り変わる,うつりかわる,change,売り付ける,うりつける,sell
振り下ろす,ふりおろす,shake down,嬲る,なぶる,tamper,揺られる,ゆられる,sway,漬け込む,つけこむ,soak it all in
後ずさる,あとずさる,retreat,冠する,かんする,crown,振り向ける,ふりむける,turn around,締め切る,しめきる,shut down
付け込む,つけこむ,take advantage of,埋め立てる,うめたてる,reclaim,吹き掛ける,ふきかける,spray,寂れる,さびれる,lapse
捌く,さばく,dispose of,見越す,みこす,anticipate,切り刻む,きりきざむ,cut into pieces,似せる,にせる,imitate
罷り通る,まかりとおる,strike through,刷り込む,すりこむ,imprint,売り払う,うりはらう,sell off,透かす,すかす,make transparent
挽く,ひく,grind,吹き抜ける,ふきぬける,blow through,掃く,はく,sweep,寄せ付ける,よせつける,bring together
悔いる,くいる,regret,着込む,きこむ,land on,見切る,みきる,see through,祟る,たたる,haunt
買い求める,かいもとめる,buy,駆け上る,かけのぼる,run up,打ち勝つ,うちかつ,conquer,繋ぎ止める,つなぎとめる,hold together
見定める,みさだめる,determine what to do with it,映える,はえる,reflect,打ち砕く,うちくだく,smash,引き合う,ひきあう,attract each other
掛け合う,かけあう,negotiate,待ち合わせる,まちあわせる,wait for,湛える,たたえる,fill,擦り替える,すりかえる,rub against each other
編み出す,あみだす,knit,持ち堪える,もちこたえる,hold out,溶け合う,とけあう,melt together,遭わす,あわす,make (someone) to meet (someone)
嘲る,あざける,ridicule,寄せ合う,よせあう,gather,申し渡す,もうしわたす,make an offer,見透かす,みすかす,see through
取り憑く,とりつく,haunt,忍び寄る,しのびよる,creep up on each other,睨み合う,にらみあう,stare at each other,沈み込む,しずみこむ,sink
追い求める,おいもとめる,pursue,へばり付く,へばりつく,cling to,咲き乱れる,さきみだれる,bloom in profusion,廃れる,すたれる,go out of business
煮える,にえる,boil,待ち望む,まちのぞむ,wait and look forward to,嗜む,たしなむ,enjoy,踏み潰す,ふみつぶす,trample down
打ちまける,ぶちまける,strike up a fight,飛び起きる,とびおきる,jump up,気付かす,きづかす,notice,入り乱れる,いりみだれる,get mixed up in
拗ねる,すねる,sulk,吹き荒れる,ふきあれる,blow up in a storm,侍る,はべる,serve,与する,くみする,give
乗り継ぐ,のりつぐ,ride over,育て上げる,そだてあげる,raise up,弔う,とむらう,mourn,罷る,まかる,dismiss
刺さる,ささる,stick,嘲笑う,あざわらう,ridicule,作り直す,つくりなおす,remake,牛耳る,ぎゅうじる,control
違える,ちがえる,make a difference,抱き寄せる,だきよせる,embrace,送り付ける,おくりつける,send,殉ずる,じゅんずる,be a martyr
寝転ぶ,ねころぶ,lie down,濯ぐ,ゆすぐ,rinse,仕立て上げる,したてあげる,tailor,回り込む,まわりこむ,go around
曲がりくねる,まがりくねる,turn and twist,食む,はむ,eat,燃え尽きる,もえつきる,burn up,揺らめく,ゆらめく,swing
翻る,ひるがえる,turn,そぐう,そぐう,treat,連れ戻す,つれもどす,bring back,慣らす,ならす,get used to
滅ぶ,ほろぶ,perish,言い当てる,いいあてる,guess,書き写す,かきうつす,transcribe,連れ添う,つれそう,accompany
貸し出す,かしだす,rent out,戦く,おののく,fight,労う,ねぎらう,work on it,自惚れる,うぬぼれる,be self-conceited
建ち並ぶ,たちならぶ,stand in a row,悶える,もだえる,agonize,見違える,みちがえる,look different,絶やす,たやす,exterminate
類する,るいする,resemble,浮腫む,むくむ,float,癒える,いえる,heal,吸い上げる,すいあげる,suck up
捨て去る,すてさる,abandon,落ち合う,おちあう,fall on each other,ざわめく,ざわめく,make a noise,惚れ込む,ほれこむ,fall in love
減ずる,げんずる,reduce,隔たる,へだたる,separate,手繰る,たぐる,hand over,居た堪れる,いたたまれる,stay with me
飛び掛かる,とびかかる,jump on,磨る,する,grind,華やぐ,はなやぐ,flourish,割り振る,わりふる,assign
粘る,ねばる,persist,務まる,つとまる,serve,踏み締める,ふみしめる,tread down,被さる,かぶさる,cover
怠ける,なまける,neglect,焦がす,こがす,burn,切り付ける,きりつける,cut,読み直す,よみなおす,read again
踏ん張る,ふんばる,stand firm,焼き付ける,やきつける,burn,懸かる,かかる,hang on,熱り立つ,いきりたつ,get passionate about
冷やかす,ひやかす,cool down,禿げる,はげる,bald,読み替える,よみかえる,reread,受け合う,うけあう,accept
ふらつく,ふらつく,wobble,転ける,こける,roll,象る,かたどる,symbolize,高ずる,こうずる,be exalted
窶れる,やつれる,be worn out,速める,はやめる,quicken,媚びる,こびる,flatter,滑り落ちる,すべりおちる,slip down
立ち戻る,たちもどる,get back on one's feet,打ち壊す,うちこわす,break down,尽かす,つかす,exhaust,塗り替える,ぬりかえる,repaint
申し付ける,もうしつける,make an offer,投げ入れる,なげいれる,throw in,寝惚ける,ねぼける,fall asleep,戦ぐ,そよぐ,fight
縋り付く,すがりつく,cling to,煙る,けむる,smoke,詰め寄る,つめよる,be close to someone's face,考え合わせる,かんがえあわせる,consider
積み立てる,つみたてる,pile up,選び出す,えらびだす,pick out,薄汚れる,うすよごれる,get dirty,仕留める,しとめる,finish off
突き立てる,つきたてる,thrust,討ち取る,うちとる,defeat,押し通す,おしとおす,push through,問い直す,といなおす,ask again
科する,かする,impose,食わす,くわす,feed,押し入る,おしいる,push in,上擦る,うわずる,improve
挿す,さす,insert,湧き出る,わきでる,gush out,言い添える,いいそえる,add a word or phrase to something,押し進める,おしすすめる,push forward
乗っかる,のっかる,get on top of,思す,おぼす,contemplate,忍ばせる,しのばせる,put something in someone's mouth,買い戻す,かいもどす,buy back
蕩ける,とろける,prodigal,まさぐる,まさぐる,perceive,取り決める,とりきめる,arrange,出歩く,であるく,go out
平らげる,たいらげる,flatten,切り分ける,きりわける,carve out,盗み出す,ぬすみだす,steal,気触れる,かぶれる,get in touch with
怒鳴り付ける,どなりつける,yell at someone,扮する,ふんする,dress up,謗る,そしる,slander,遣らかす,やらかす,do something about it
駆け回る,かけまわる,run around,炙る,あぶる,burn,号する,ごうする,call a name,ダブる,だぶる,dabble
目論む,もくろむ,plan,遣らす,やらす,do something,立ち現われる,たちあらわれる,appear on the scene,危ぶむ,あやぶむ,worry about
懸ける,かける,put a stake in someone's hand,抜け落ちる,ぬけおちる,fall out,嗄れる,しわがれる,become hoarse,突き合わせる,つきあわせる,be at odds with each other
押し遣る,おしやる,push someone around,孵す,かえす,hatch,冷え込む,ひえこむ,get cold,備え付ける,そなえつける,provide for
乗り移る,のりうつる,get on top of,着飾る,きかざる,dress up,引ける,ひける,recede,持ち去る,もちさる,take away
ちぎれる,ちぎれる,tear off,囚われる,とらわれる,be caught,踏み止まる,ふみとどまる,stop,飾り立てる,かざりたてる,decorate
抜け出る,ぬけでる,slip out,踏み躙る,ふみにじる,tread on,連れ去る,つれさる,take away,慌てふためく,あわてふためく,be in a hurry
窄める,すぼめる,narrow,差し当たる,さしあたる,confront,騒ぎ立てる,さわぎたてる,make a commotion,澄み切る,すみきる,clear
目する,もくする,see,陰る,かげる,be overshadowed,ごった返す,ごったがえす,crowd,救い出す,すくいだす,rescue
譲り受ける,ゆずりうける,take over,移ろう,うつろう,shift,奥まる,おくまる,go deep,取り分ける,とりわける,divide
抗する,こうする,resist,吹き上げる,ふきあげる,blow up,躍り出る,おどりでる,leap out,遜る,へりくだる,compliant
掻き上げる,かきあげる,scrape up,食い違う,くいちがう,eat differently,屈む,かがむ,bend down,殴り付ける,なぐりつける,strike (a person)
起つ,たつ,raise,扱く,しごく,handle,奮い立つ,ふるいたつ,get excited,領する,りょうする,take possession of
盛り付ける,もりつける,heap up,払い除ける,はらいのける,brush away,咳く,せく,cough,差し押さえる,さしおさえる,seize
寝付く,ねつく,fall asleep,帰する,きする,return,舞い下りる,まいおりる,soar,くぐもる,くぐもる,mumble
ぼやける,ぼやける,blur,押し黙る,おしだまる,shut down,慮る,おもんばかる,consider,訛る,なまる,speak with an accent
捜し回る,さがしまわる,look around for something,早まる,はやまる,hasten,撃ち込む,うちこむ,shoot,折り返す,おりかえす,turn back
萎む,しぼむ,fade,薄らぐ,うすらぐ,fade away,へたり込む,へたりこむ,sink into,食い下がる,くいさがる,bite down
押し切る,おしきる,push through,生き長らえる,いきながらえる,survive,蝕む,そんとく,undermine,あやかる,あやかる,take advantage of
似通う,にかよう,resemble,引き入れる,ひきいれる,bring in,はにかむ,はにかむ,be bashful,吃る,どもる,stutter
叱り付ける,しかりつける,scold,縁取る,ふちどる,fringe,提げる,さげる,present,引きちぎる,ひきちぎる,tear off
捲し立てる,まくしたてる,talk on and on,潤す,うるおす,enrich,取り纏める,とりまとめる,organize,飛び跳ねる,とびはねる,jump up and down
駆け下りる,かけおりる,run down,帰り着く,かえりつく,return,羨む,うらやむ,envy,拾い集める,ひろいあつめる,pick up the pieces
書き付ける,かきつける,write down,撫で下ろす,なでおろす,pat down,思い悩む,おもいなやむ,ponder,妬む,ねたむ,envy
息衝く,いきづく,gasp,戯ける,おどける,play with,捜し当てる,さがしあてる,find,煎ずる,せんずる,roast
突き飛ばす,つきとばす,push off,締め出す,しめだす,shut out,震え上がる,ふるえあがる,tremble,呼び覚ます,よびさます,call to mind
巻き起こす,まきおこす,create something new and exciting,関わり合う,かかわりあう,relate to each other,招き入れる,まねきいれる,invite in,走り出る,はしりでる,run out
花開く,はなひらく,blossom,勝ち誇る,かちほこる,be proud of your victory,そそり立つ,そそりたつ,soar,訴え掛ける,うったえかける,appeal to someone
打ち立てる,うちたてる,set in motion,吹き出る,ふきでる,blow out,切り立つ,きりたつ,cut to the quick,座り直す,すわりなおす,sit down again
織り込む,おりこむ,weave,ばらす,ばらす,scatter,唆す,そそのかす,inspire,捉え直す,とらえなおす,recapture
追い抜く,おいぬく,overtake,散らかる,ちらかる,make a mess,眠り込む,ねむりこむ,put to sleep,和える,あえる,make peace
蔑む,さげすむ,despise,めげる,めげる,be discouraged,呼び付ける,よびつける,call to mind,振り出す,ふりだす,shake out
乗り入れる,のりいれる,ride in,泣き止む,なきやむ,stop crying,掻き消す,かきけす,drown out,渡り歩く,わたりあるく,walk across
忘れ去る,わすれさる,forget,言い寄る,いいよる,court,転がり込む,ころがりこむ,roll in,泡立つ,あわだつ,foam
這い上がる,はいあがる,crawl up,急かす,せかす,hurry him up,度重なる,たびかさなる,repeat,突っ突く,つっつく,poke and prod
仄めかす,ほのめかす,imply,寝かす,ねかす,put someone to sleep,迎え撃つ,むかえうつ,intercept,挙がる,あがる,come up
立て掛ける,たてかける,set up,身籠もる,みごもる,take in a baby,力む,りきむ,force,解れる,ほぐれる,unravel
語り継ぐ,かたりつぐ,tell a story,取り繕う,とりつくろう,make up for it,立ち塞がる,たちふさがる,stand in the way,拱く,こまぬく,fold your arms
模する,もする,imitate,転げ落ちる,ころげおちる,tumble down,巻き付く,まきつく,wrap itself around you,掬い上げる,すくいあげる,scoop up
呼び込む,よびこむ,call in,書き送る,かきおくる,write down,貶す,けなす,undermine,蹴散らす,けちらす,kick out
咳き込む,せきこむ,cough,擦り下ろす,すりおろす,rub down,肥える,こえる,grow fat,嘯く,うそぶく,boast
屈み込む,かがみこむ,bend down,飛び出る,とびでる,pop out,そびれる,そびれる,towering over,娶る,めとる,take to wife
資する,しする,contribute,寝転がる,ねころがる,lie down,切り抜く,きりぬく,cut through,鞭打つ,むちうつ,whip
煮立つ,にたつ,boil,騙る,かたる,cheat,食い付く,くいつく,bite back,写し取る,うつしとる,copy
送り返す,おくりかえす,send back,逃げ回る,にげまわる,run away,跳ね返す,はねかえす,bounce back,不貞腐れる,ふてくされる,be unfaithful
突っ張る,つっぱる,stick out,跳ね返る,はねかえる,bounce back and forth,狭まる,せばまる,narrow,言わす,いわす,say
折り曲げる,おりまげる,bend,溢れ出る,あふれでる,overflow,捩じれる,ねじれる,twist,ずる,ずる,cheat
分け合う,わけあう,share,白む,しらむ,turn white,見放す,みはなす,give up,勘繰る,かんぐる,make a false accusation
憤る,いきどおる,resent,吸い付く,すいつく,suck on,浮き出る,うきでる,emerge,垂れ流す,たれながす,dribble
見回る,みまわる,look around,溢れ出す,あふれだす,overflow,滅入る,めいる,perish,押し倒す,おしたおす,push down
ぶつかり合う,ぶつかりあう,clash,送り届ける,おくりとどける,send,誘い出す,さそいだす,lure,走り込む,はしりこむ,run into
利する,りする,profit,凭れ掛かる,もたれかかる,recline on,滾る,たぎる,boil,飽き足る,あきたる,be satisfied
刷る,する,print,封じ込める,ふうじこめる,contain,荒れ狂う,あれくるう,rage,積み重なる,つみかさなる,pile up
脱げる,ぬげる,take off,覆い被さる,おおいかぶさる,cover,感付く,かんづく,perceive,滴り落ちる,したたりおちる,drip
盗る,とる,steal,分け入る,わけいる,divide,思い至る,おもいいたる,come to mind,はぐらかす,はぐらかす,dodge
縮まる,ちぢまる,shrink,明け放つ,あけはなつ,open,先んずる,さきんずる,precede,刺し殺す,さしころす,stab to death
切り替わる,きりかわる,switch,紐解く,ひもとく,unravel,燃え盛る,もえさかる,burst into flames,分け与える,わけあたえる,distribute
噴く,ふく,blow,走り寄る,はしりよる,run to,解き明かす,ときあかす,unveil,伸し上がる,のしあがる,stretch
