Verbs,Reading,Meaning,S1,T1
押し付ける,おしつける,"to press, push, force",その子は顔を店の窓に押しつけた。,The child pressed his face against the store window.
剥く,むく,"to peel, skin, pare, hull, bare ",包丁でじゃがいもの皮をむく。,Peel potatoes with a knife.
吊る,つる,"to hang, suspend",部屋の天井には電灯が吊られていない。,There are no electric lights hanging from the ceiling of the room.
崩れる,くずれる,"to collapse, crumble, get out of shape, become disorganized, break down, crash",雪の重みで屋根が崩れた。,The roof collapsed under the weight of the snow.
湧く,わく,"to well up, gush forth, spring out, surge, appear, feel emotions, hatch",西の空に雲が湧いてきた。,Clouds began to come up in the western sky.
外れる,はずれる,"to be disconnected, get out of place, be off, be out",彼は調子が外れている。,He is out of tune.
こだわる,こだわる,"to fuss over, be particular about, be obsessive, be fixated",あの監督は勝敗にこだわり過ぎる。,That coach is too obsessed with winning and losing.
構える,かまえる,"to set up, prepare in advance, plan, scheme",東京に邸宅を構えた。,He built a mansion in Tokyo.
重なる,かさなる,"to be piled up, lie on top of one another, come one after another, accumulate, overlap",いくつかのミスが重なってその事故が起こった。,A combination of several mistakes led to that accident.
汚れる,よごれる,"to get dirty, become dirty, become sullied, become corrupted",床はとても汚れているので洗う必要がある。,The floor is very dirty and needs to be washed.
習う,ならう,"to take lessons, learn, study",私たちは学校で英語を習います。,We learn English in school.
預かる,あずかる,"to look after, take care of, keep, hold on, take charge of, be entrusted with",この旅行かばんを預かってください。,Please take care of this travel bag.
引き起こす,ひきおこす,"to cause, induce, bring about, help up",その計画は多くの面倒を引き起こした。,The plan caused a lot of trouble.
控える,ひかえる,"to be temperate in, refrain, abstain, hold back, jot down, be in waiting for",私はお酒を控えている。,I refrain from drinking alcohol.
追い掛ける,おいかける,"to chase, run after, pursue",猫はリスを追いかけています。,The cat is chasing a squirrel.
嘗める,なめる,"to lick. taste, experience, make fun of, look down",子供が棒つきキャンデーをなめている。,A child is licking a candy bar.
破る,やぶる,"to tear, break, destroy, breach, break through, beat, shatter, violate",約束を破ってはならない。,Do not break promises.
殴る,なぐる,"to strike, hit, beat, punch",彼は間違って私を殴った。,He hit me by mistake.
弾く,はじく,"to flip, snap, flick, repel, use, calculate, pluck strings",このレインコートは水を完全にはじく。,This raincoat completely repels water.
手伝う,てつだう,"to help, assist, aid, contribute to, be a factor in",私は両親が家事をするのを手伝った。,I helped my parents do household chores.
及ぼす,およぼす,"to exert, cause, exercise",その運動は女性の行動に大きな影響を及ぼした。,The movement had a major impact on women's behavior.
拾う,ひろう,"to pick up, find, gather",駅前でタクシーを拾った。,I picked up a cab in front of the station.
騙す,だます,"to trick, cheat, deceive, coax",そう簡単に騙されたりはしないわ。,Don't let yourself get tricked so easily.
思い切る,おもいきる,"to give up all thoughts of, abandon, make up one's mind",彼女の事が思い切れない。,I can't stop thinking about her.
引き出す,ひきだす,"to pull out, take out, draw out, withdraw",彼はその調査から結論を引き出した。,He drew conclusions from that research.
差す,さす,"to shine, be visible, be tinged with, rise, flow in, be felt, raise, put up, hold up, pour, apply",この部屋はよく日が差す。,This room is well sunlit.
演ずる,えんずる,"to perform, play",位置の選択について決定的な役割を演ずる。,It plays a decisive role in the choice of location.
逃れる,のがれる,to escape,幸いにも彼らは危険から逃れた。,"Fortunately, they escaped danger."
煮る,にる,"to boil, simmer, stew, seethe",野菜をとろ火で煮る。,Simmer vegetables over low heat.
揃える,そろえる,"to collect, gather, get together, complete, arrange, put in order, prepare, make even",靴を脱いだらきちっと揃えておきなさい。,Keep your shoes neatly lined up when you take them off.
熟す,こなす,"to digest, break down, break into pieces, crush, be able to use, be good at, finish, complete, perform, sell, do well",彼はその問題をうまくこなせないだろうと思う。,I don't think he will do well on that issue.
突き込む,つきこむ,"to thrust, cram, plunge into, go into deeply, get involved with, meddle, quip",作業員は杭を地面に突き込んだ。,The workers drove the stakes into the ground.
微笑む,ほほえむ,to smile,絵の中の誰もが幸せそうに微笑んでいる。,Everyone in the picture is smiling happily.
欠ける,かける,"to be chipped, be damaged, be broken, be lacking, be missing, be insufficient",彼は常識が全く欠けている。,He totally lacks common sense.
刺す,さす,"to pierce, stab, prick, stick, thrust, sting, bite, stitch",森の中でたくさん虫に刺された。,I was bitten by many insects in the forest.
思い込む,おもいこむ,"to be under impression that, imagine that, convinced that",彼はまったくそう思い込んでしまった。,He assumed that at all.
届ける,とどける,"to deliver, forward, send, report, notify",家に届けていただけますか。,Can you deliver it to my house?
際する,さいする,"to arrive, come to pass",最良のソリューション決定に際する。,In determining the best solution.
減らす,へらす,"to abate, decrease, diminish, shorten",体重を減らすのは簡単じゃないよ。,Losing weight isn't easy.
背負う,せおう,"to carry on one's back, take responsibility for",彼女は背中にリュックサックを背おっている。,She carries a backpack on her back.
下りる,おりる,"to descend, go down, come down, alight, get off, step down, retire, form",彼女は次の駅で降りた。,She got off at the next stop.
擦る,する,"to rub, chafe, strike, file, frost. lose, forfeit",彼はマッチを擦った。,He struck a match.
潜る,もぐる,"to dive, get under, get into, get in, creep into, dig into",くじらは長い間水に潜っていられる。,Whales can stay under water for a long time.
譲る,ゆずる,"to turn over, assign, hand over, transmit, convey, sell, yield",彼は財産を息子に譲った。,He passed the property on to his son.
漏らす,もらす,"to let leak, reveal, vent, express",彼の秘書は情報を漏らしてはいないと言った。,His secretary said he did not divulge any information.
泳ぐ,およぐ,to swim,海で泳ぐのは面白い。,Swimming in the ocean is interesting.
間違える,まちがえる,"to make a mistake, commit an error",問題の答えを間違える。,Give the wrong answer to a question.
打つかる,ぶつかる,"to strike against, collide with, bump into, encounter, meet, clash",トラックがガードレールにぶつかるのを偶然に見た。,I happened to see a truck hit a guardrail.
浮く,うく,"to float, become merry, be cheerful, become loose, unsteady, cut off, be uncertain",木片が水に浮いている。,A piece of wood is floating in the water.
謝る,あやまる,"to apologize, apologise",別に君が謝る必要はない。,There's no need for you to apologize.
思い付く,おもいつく,"to think of, come into one's mind, remember, recall",何か良い計画を思い付きましたか。,Have you come up with any good plans?
沈む,しずむ,"to sink, go under, submerge, go down, set, feel depressed",その船は海の底に沈んだ。,The ship sank to the bottom of the sea.
漏れる,もれる,"to leak out, escape, come through, filter out, be omitted, be excluded",秘密が漏れたらしい。,It seems the secret has leaked out.
滑る,すべる,"to glide, slide, slip, fail, drop, go down",カヌーは湖を滑るように進んだ。,The canoe glided along the lake.
割る,わる,"to divide, cut, halve, separate, split, break, dilute, discount, step over",少年は窓を割ったことを認めた。,The boy admitted to breaking the window.
入り込む,はいりこむ,"to go into, come into, penetrate, get in, step in, become complicated",彼は密かに庭に入り込んだ。,He entered the garden surreptitiously.
配る,くばる,"to distribute, deliver deal",男の子が雨の中を新聞を配っていた。,A boy was handing out newspapers in the rain.
鳴く,なく,"to sing, bark, make a animal sound",その動物はキーキー鳴いた。,The animal squeaked.
駆る,かる,"to spur on, urge forward, impel, drive at high speed",彼は好奇心に駆られて質問した。,His curiosity prompted him to ask questions.
継ぐ,つぐ,"to succeed, inherit, take over, patch, mend, replenish",彼はその会社の社長として父親の後を継いだ。,He succeeded his father as president of that company.
籠もる,こもる,"to seclude oneself, be confined in, be filled, be heavy, be stuffy",彼の仕事には熱がこもっていた。,He was passionate about his work.
騒ぐ,さわぐ,"to make noise, make racket, be noisy, make a fuss, clamour",ここでは騒がないでよ。,Don't make a fuss here.
刻む,きざむ,"to mince, cut fine, shred, carve, engrave, etch",にんじんを細かく刻む。,Chop carrots finely.
留める,とどめる,"to stop, stay, cease, put an end to, contain, limit, retain",経費を10万円以内にとどめること。,You must keep the expenses within hundred thousand yen.
盗む,ぬすむ,to steal,眠っている間に財布を盗まれた。,My wallet was stolen while I was sleeping.
詰める,つめる,"to stuff into, jam, cram, pack, fill, conserve, focus intently on",それらをその箱に詰めなさい。,Pack them in their boxes.
膨らむ,ふくらむ,"to expand, swell, become inflated",ケーキが膨らまなかった。,The cake did not expand.
辿り着く,たどりつく,"to struggle on to, finally arrive at, struggle to arrive at",私たちはいつそこへたどり着きますか。,When will we get there?
施す,ほどこす,"to give, donate, do, perform, conduct, apply, add, scatter",あらゆる手段を施す。,We will apply every possible means.
飲み込む,のみこむ,"to gulp down, swallow deeply, understand, take in, engulf",波がそのボートを飲み込んでしまった。,The waves swallowed that boat.
帯びる,おびる,"to wear, carry, take on, be entrusted, be tinged with",春の到来と共に草が活気を帯びて来た。,"With the arrival of spring, the grass came alive."
作り上げる,つくりあげる,"to make up, fabricate, build up, complete, construct",同社の新製品を作り上げた。,The company has created a new product.
照らす,てらす,"to shine on, illuminate, compare with, refer to",その部屋は赤い光で照らされていた。,The room was illuminated by a red light.
名乗る,なのる,"to give one's name as, call oneself, reveal oneself",支配人はドアを開いて身分を名乗った。,The manager opened the door and identified himself.
名付ける,なづける,"to name, call, christen, term",私たちは犬をポチと名づけた。,We named the dog Pochi.
磨く,みがく,"to polish, shine, brush, refine, improve",君は靴を磨いてしまいましたね。,You have polished your shoes.
解する,かいする,"to understand, appreciate, interpret",彼の沈黙を同意と解した。,I interpreted his silence as consent.
添える,そえる,"to garnish, accompany, add as support, prop up, mimic",ソースは別に添えてください。,"I'd like to have the sauce on the side, please."
見守る,みまもる,"to watch over, watch attentively",親は子供の幸せを見守らなければならない。,Parents must look after their children's well-being.
努める,つとめる,"to endeavor, try, strive, make an effort, exert",彼は体重を減らそうと努めた。,He tried to reduce his weight.
助かる,たすかる,"to be saved, be rescued, survive, escape harm, be helped",それはとても助かる。,That would be very helpful.
恵まれる,めぐまれる,"to be blessed with, be rich in, abound in",彼の娘は美しさと上品さに恵まれていた。,His daughter was blessed with beauty and elegance.
見回す,みまわす,"to look around, survey",彼女は自身の辺りを見回した。,She looked around herself.
引き摺る,ひきずる,"to drag along, pull, force someone along, drag out, influence strongly",私は重い荷物を空港まで引きずって行った。,I dragged my heavy luggage to the airport.
率いる,ひきいる,"to lead, spearhead",彼は探検隊を率いてアフリカへ行った。,He led an expedition to Africa.
改める,あらためる,"to change, alter, revise, replace, reform, correct, mend, improve, check",彼らはその制度を改めた。,They reformed their system.
怒鳴る,どなる,"to shout, yell",私に怒鳴ったりしないでよ。,Don't yell at me.
鳴らす,ならす,"to ring, sound, chime, beat, snort, snap, be esteemed, state, insist",彼はドアのベルを鳴らした。,He rang the doorbell.
壊す,こわす,"to break, destroy, demolish, wreck, ruin, spoil, damage",誰がこのペンを壊しましたか。,Who broke this pen?
