Words,Reading,Meaning,Type,S1,T1
呼ばれる,よばれる,"to be called, to be referred, to be treated to something (meal), to be invited to",,,
曲がる,まがる,"to bend, to curve, to warp, to wind, to test, to turn, to be awry, to be askew, to be crooked",,,
勤める,つとめる,"to work for, to be employed, to serve in, to serve as, to act as, to play the role of",,,
好む,このむ,"to like, to prefer",,,
流れる,ながれる,"to stream, to flow, to be washed away, to be carried, to drift, to float, to wander, to stray, to sweep, to spread",intrans.,川は市内を流れている。,The river flows through the city.
描く,えがく,"to draw, to paint, to sketch, to depict, to describe, to imagine",trans.,,
隠す,かくす,"to hide, to conceal",trans.,,
痛む,いたむ,"to hurt, to ache, to feel a pain,  to be injured",intrans.,,
壊れる,こわれる,"to be broken, to break, to fall through, to come to nothing",intrans.,,
塗る,ぬる,"to paint, to plaster, to varnish, to spread, to smear, to put up (wallpaper)",trans.,,
尽くす,つくす,"to exhaust, to run out, to devote, to serve (a person), to do to exhaustion",trans.,,
断る,ことわる,"to refuse, to reject, to dismiss, to turn down, to decline",trans.,,
焼く,やく,"to roast, to broil, to grill, to bake, to toast, to barbecue, to heat, to heat uo, to tan",trans.,,
叩く,たたく,"to strike, to clap, to knock, to beat tap, to pat, to abuse, to bash, to brag",trans.,,
亡くなる,なくなる,to die,intrans.,,
沈む,しずむ,"to sink, to go under, to set, to descend, to go down",intrans.,,
欠ける,かける,"to be chipped, to be damage, to be broken, to be lacking, to be missing, to be insufficient, to be short, to be deficient, to go into eclipse",intrans.,,
建てる,たてる,"to build, to construct",trans.,,
得る,える,"to earn, to get, to acquire, to procure, to gain, to secure, to attain, to obtain, to win, to comprehend, to be able to",trans.,,
言われる,いわれる,"to be called, to be referred to as",intrans.,,
浮かぶ,うかぶ,"to float, to suspend, to rise to surface, yo come into mind, to have inspiration",godan,,
使える,つかえる,"to be usable, to be serviceable, to be useful",ichidan,,
つつある,つつある,"to be doing, to be in the process of doing",irreg.,,
願う,ねがう,"to desire, to wish, to hope, to beg, to request, to implore, to pray",trans.,,
恐れる,おそれる,"to fear, to be afraid of",trans.,,
合わせる,あわせる,"to match (rhythm, speed, etc), to join together, to unite, to combine, to add up, to face, to be opposite, to check, to compare with, to cause to meet",trans.,,
出会う,であう,"to meet by chance, to come across, to run across, to encounter, to happen upon, to meet (rivers, highways, etc), to emerge and engage",intrans.,,
捨てる,すてる,"to throe away, to cast away, to dump, to discard, to abandon, to desert, to leave, to give up",trans.,,
育てる,そだてる,"to raise, to rear, to bring up, to rain, to teach, to educate, to promote the growth of, to nurture to foster to develop",trans.,彼女は３人の子を育てた。,She's raised three children.
立てる,たてる,"to astound up, to put u, to set up, to erect, to raise, to thrust into, to dig into",,,
基づく,もとづく,"to grounded on, to be based on, to be due to, to originate from",,,
話し合う,はなしあう,"to discuss, to talk together",,,
決まる,きまる,"to be decided, to be settled, to look good in (clothes)",,,
異なる,ことなる,"to differ, to vary, to disagree",,,
気に入る,きにいる,"to like, to be pleased with, to be delighted with, to take a liking to",,,
振る舞う,ふるまう,"to behave, to conduct oneself, to entertain",,,
雇う,やとう,"to employ, to hire to charter",,,
勝る,まさる,"to excel, to surpass, to exceed, to have an edge, to be superior, to outrival",,,
生む,うむ,"to give birth, to bear a child, to lay eggs, to produce. to yield, to give rise to, to deliver",,,
取り戻す,とりもづす,"to take back, to regain, to gat bavk, to revoker",,,
捕まる,つかまる,"to be caught, to be arrested, to hold on to, to grasp, to find (proof), to get (a taxi), to be detained by",,,
命じる,めいじる,"to order, to command, to appoint",,,
嘘をつく,うそをつく,"to tell a lie, to fib",,,
襲う,おそう,"to attack, to assail. to assault, to strike, to hunt down, to succeed (someone in a post, role, etc), to make a sudden visit",,,
叫ぶ,さけぶ,"to shout, to cry, to scream, to shriek, to yell, to exclaim, to clamour",,,
伸ばす,のばす,"to grow long  (hair, nails), to lengthen, to extend, to stretch, to reach out, to hold out, to straighten",,,
役に立つ,やくにたつ,"to be helpful, to be useful",,,
諦める,あきらめる,"to give up, to abandon, to resign oneself",,,
省く,はぶく,"to leave out, to exclude, to omit, to curtail, to save, to cut down, to economise",,,
手に入れる,てにいれる,"to obtain, to procure",,,
富む,とむ,"to be rich in, to be abundant in, to be in full of",,,
受け入れる,うけいれる,"to accept, to receive, to agree",,,
当てる,あてる,"to hit , to expose, to apply patch, to put on, to put against, to hold on, to hold against, to allot, to call on someone, to guess the answer, to make a hit",,,
捕まえる,つかまえる,"to catch, to capture, to arrest, to seize, to restrain, to grab, to clutch, to grasp, to hold on to, to hail (taxi, waiter, etc), to detain",,,
乗せる,のせる,"to place on (something), to give someone a ride, to give a lift, to pick up, to help on board, to load (luggage), to carry, to take on board, to send out, to take for a ride,",,,
訴える,うったえる,"to raise, to bring to someones attention, to appeal, to work on (one’s emotion), to play on (one’s sympathies), to complain, to sue",,,
申し上げる,もうしあげる,"to say, to tell, to express, to offer, to extend (greetings, congratulations), to do",,,
役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose",,,
頼る,たよる,"to rely on, to depend on, to count on, to turn to (for help)",,,
計る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,
測る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,
量る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,
図る,はかる,"to plan, to attempt, to devise, to plot, to conspire, to scheme, to aim for, to strive for, to work towards, to seek, to deceive, to trick, to take in",trans.,市場の拡大を図っている。,They are planning ways to expand their market.
諮る,はかる,"to consult with, to discuss, to confer, to deliberate",,,
就く,つく,"to take (set, position, course, etc), to ascend, to be hired, to be employed, to start a journey, to commence, to depart",,,
着く,つく,"to arrive, to reach, to sit on, to sit at",,,
付く,つく,"to be attached, to be connected with, to adhere, to stick, to cling, to accompany, to attend, to side with",,,
点く,つく,"to be lit, to be lighted, to catch fire",,,
突く,つく,"to prick, to stab, to poke, to prod, to push, to thrust, to nudge, to hit, to strike, to press against, to attack",,,
吐く,つく,"to breathe out, to breathe, to tell (lies), to vomit, to disgorge ",,,
触れる,ふれる,"to touch, to feel,  to experience, to come in contact with, to perceive, to touch on a subject",,,
治る,なおる,"to be cured, to get well, to be healed, to be mended, to be repaired, to be fixed",,,
値する,あたいする,"to be worth, to be worthy of, to deserve, to merit",,,
殺す,ころす,"to kill, to slay, to murder, to slaughter",,,
包む,つつむ,"to wrap up, to tuck in, to pack, to do up, to cover with, to dress in",,,
間違える,まちがえる,"to make a mistake, to commit an error, to confuse",,,
抱える,かかえる,"to hold or carry under or in the arms, to employ, to engage",,,
黙る,だまる,"to be silent, to say nothing",,,
見つめる,みつめる,"to stare at, to gaze at, to look hard at to watch intently, to fix one’s eye on",,,
折る,おる,"to break, to fracture, to break off, to snap off, to pick (flowers), to fold, to bend, to make origami, to interrupt, to end",,,
保つ,たもつ,"to keep, to preserve, to maintain, to sustain",,,
用いる,もちいる,"to use, to make us of, to utilise, to utilize",,,
輝く,かがやく,"to shine, to shine, to sparkle",,,
引き起こす,ひきおこす,"to cause, to induce, to bring about, to provoke, to pull upright, to help up",,,
話しかける,はなしかける,"to address someone, to talk to someone, to begin to talk, to start a conversation",,,
足りる,たりる,"to be sufficient, to be enough, to be worth doing, to be worthy of, to deserve, to do (the job), to serve",,,
動かす,うごかす,"to move, to shift, to stir, to budge, to change position, to inspire, to rouse, to influence, to change",,,
投げる,なげる,"to throw, to hurl, to fling, to toss, to cast, to give up, to abandon, to throw away, to cast (a glance, shadow, doubt, etc.)",,,
告げる,つげる,"to tell, to inform, to announce, to indicate, to signal, to mark",,,
通す,とおす,"to stick thorough, to force, through, to spread throughout, to defuse",,,
植える,うえる,"to plant, to grow, to raise, to insert, to transplant, to implant, to set (type), to inoculate, to instil (idea, value)",,,
育つ,そだつ,"to be raised, to be brought up, to grow up",,,
知らせる,しらせる,"to notify, to advice, to inform",,,
連れて行く,つれていく,"to take someone, take along, to lead someone away",,,
飼う,かう,"to keep (pet), to have, to own, to rear, to feed",,,
果たす,はたす,"to accomplish, to achieve, to carry out, to fulfil, to realise, to execute, to perform, to do",,,
去る,さる,"to leave, to go away, to pass, to elapse, to be distant, to send away, to drive off, to do completely",,,
眺める,ながめる,"to look at, to gaze at, to watch, to stare at, to look out over., to get a view of. to admire the scenery",,,
見逃す,みのがす,"to overlook, to miss, to fail to notice, to let pass a matter, to pass up (opportunity), to let go by",,,
迫る,せまる,"to approach, to draw near, to be imminent, to press for something, to urge, to compel",,,
露呈する,ろていする,"to expose, to disclose",,,
登録する,とうろくする,"to register, be registered (with), put on record",,,
通じる,つうじる,"to be open (to traffic), to lead to, to communicate (with), to flow (liquid, current). to pass, to get through to",,,
解除する,かいじょする,"to cancel, te rescind, to release, to call off, to lift (sanctions), delisting",,,
泣き出す,なきだす,"to burst into tears, begin to cry",intrans.,今にも泣き出しそうな様子をしていた。,She looked like she was about to start crying.
気がする,きがする,"to have a certain feeling or mood, have a haunch",suru,今晩は夕食をとる気がしない。,I don't feel like having dinner tonight.
思える,おもえる,"to seem, appear likely",ichidan,とても面倒な問いに思えた。,That seemed like a very troublesome question.
割る,わる,"to divide, cut, halve, separate, split, break, crack, smash, dilute, fall below, discount, step over",trans.,誰かがこの皿を割りました。,Someone has broken this plate
満ちる,みちる,"to be full, be filled (with), wax (moon), rise (tide), mature, expire",intrans.,希望に満ちている。,I'm full of hope.
応じる,おうじる,"to respond, satisfy, accept, comply with, apply for",intrans.,先方の条件に応じる。,I'll accept your terms.
下げる,さげる,"to hang, suspend, wear (decoration), lower, reduce, bring down, demote, move back, pull back, clear (plates), remove (food)",trans.,機長は機首を下げた。,The captain has lowered the nose of the plane.
片付ける,かたずける,"to tidy up, put in order, straighten up, clean, settle, clear, bring something to an end",trans.,部屋を片付ける。,I'll clear the room.
救う,すくう,"to rescue from, help out of, save",trans.,頭は悪いが性格がよいので救われる。,"I'm not very smart, but I'm saved by my good character."
減る,へる,"to decrease, diminish, abate",intrans.,会員数が減った。,Membership has been reduced
減らす,へらす,"to abate, decrease, diminish, shorten",trans.,出費を減らす。,Reduce expenses
伺う,うかがう,"to ask, inquire, hear, be told, seek direction, visit, speak to",trans.,この問題についてご意見を伺いたい。,I'd like your opinion on this issue.
祈る,いのる,"to pray, wish",trans.,彼は日に何度か祈る。,He prays several times a day.
頑張る,がんばる,"to persevere, persist, keep at it, hang on, hold out, do one’s best",intrans.,よし、今日も一日頑張るぞ！,"All right, let's make a day of it!"
晒す,さらす,"to expose (sun, public, danger, etc.), bleach, refine, rinse (vegetables), soak",trans.,その船は雨風にさらされた。,That ship was exposed to the wind and rain.
届く,とどく,"to reach, arrive, get get through, be attentive, pay attention, be delivered, carry (sound)",intrans.,これが届くと思うか。,Do you think this will reach you?
踊る,おどる,to dance,intrans.,私も踊るのが好きです。,"I like to dance, too."
歌う,うたう,to sing,trans.intrans.,彼女は上手に歌を歌う。,She sings well.
気にする,きにする,"to mind, care about, worry, pay undue attention",suru,他人のことは気にするな。,Don't worry about the others.
腹を立てる,はらをたてる,"to take offense, get angry, lose one’s temper",ichidan,彼は娘に腹をたてていた。,He was angry with his daughter.
似合う,にあう,"to suit, match, to become, to be like",intrans.,その青い服は彼女に似合う。,That blue dress looks good on her.
打つ,うつ,"to hit, strike, knock, beat, punch, slap, tap, bang, clap, pound, move, impress, touch, drive in, inject, type, send",trans.,鉄は熱いうちに打て。,Strike while the iron is hot.
押さえる,おさえる,"to pin down, hold down, press down, cover, press (a body part), get a hold of, obtain, contain, grasp",trans.,チケットを２枚押さえておいてください。,Please hold on to your two tickets.
結ぶ,むすぶ,"to tie, bind, link, bear (fruit), close (a deal), connect, close tightly, unite, ally",trans.,靴ひもを結ぶ。,Tie your shoelaces.
呼び捨てにする,よびすてにする,to address someone,suru,二度と私を呼び捨てにするな。,Don't ever call me that again.
透かす,すかす,"to look through, hold up to the light, make an opening, leave space, prune",trans.,窓ガラスを透かして内部をうかがった。,I looked through the window glass to get a glimpse of the inside.
透ける,すける,"to be transparent, show through",intrans.,この紙は透ける。,This paper is transparent.
透く,すく,"to be transparent, leave a gap",intrans.,この辺は枝が透いている。,The branches are transparent around here.
浸かる,つかる,"to be submerged, be soaked, be pickled, be well seasoned, be totally immersed ",intrans.,全村が水に浸かった。,The whole village was immersed in water.
漬ける,つける,"to soak (in), steep, dip, dunk, pickle, preserve (in salt, vinegar, etc.)",trans.,洗濯物を水に漬ける。,Soaking laundry in the water
浸る,ひたる,"to be soaked in, be flooded, be submerged, be immersed in",intrans.,川があふれて村が水に浸った。,The river overflowed and flooded the village.
浸す,ひたす,"to soak, dip, steep, immerse, moisten, wet",trans.,豆を水に浸す。,Soaking the beans in the water
癒す,いやす,"to heal, cure, satisfy (e.g. hunger, thirst), alleviate (e.g. sorrow, fatigue)",trans.,心を癒すピアノ音楽。,Piano music to soothe the soul
探検する,たんけんする,"to explore, expedition",suru,未知の国を探検する。,Exploring an Unknown Country
屈む,かがむ,"to stoop, lean over, bend forward​, bend down, crouch, squat",intrans.,年を取って腰がかがんでいる。,Old and bent over at the waist
屈める,かがめる,"to stoop, bend one's knees",trans.,ひざをかがめる。,Bending the knee
屈服する,くっぷくする,"to yield, submit, surrender, give way, succumb",suru,敵に屈服するぐらいなら死んだほうがましだ。,I'd rather die than give in to the enemy
屈する,くっする,"to yield, give in, be daunted, shrink, bend, subdue, overpower, feel down",suru,彼はついに誘惑に屈した。,He finally gave in to temptation.
屈折する,くっせつする,"tp bend, curve, twist, turn, wind, warp, distort, refract",suru,光は水に入る時屈折する。,Light is refracted when it enters water.
退く,しりぞく,"to step back, to move back, to retreat, to withdraw, to leave, to exit, to resign, to retire, to quit, to concede",intrans.,彼は一歩退いた。,He took a step back.
退く,ひく,"to move back, to draw back, to recede​, to lessen, to subside, to go down (e.g. of swelling), to resign; to retire; to quit",intrans.,彼は役職から退いた。,He retired from office.
退く,どく,"to step aside, to move (i.e. out of the way), to make way​, to resign, to retire, to quit, to secede",intrans.,じゃまにならないようにわきへどきなさい。,Step aside so we don't get in the way.	
退ける,のける,"to put something out of the way, to move (something, someone) aside, to remove, to exclude, to take away, to set aside, to keep apart",trans.,いすを脇へのける。,Move the chair to the side.	
許す,ゆるす,"to forgive, permit, allow, admit into",trans.,教室での喫煙は許されていません。,Smoking is not allowed in the classroom.
酔う,よう,"to get drunk, become intoxicated",intrans.,ゆうべお酒を飲み過ぎて酔ってしまいました。,I drank too much alcohol last night and got drunk.
寄る,よる,"to draw near, drop in",intrans.,家へ帰る前にコンビニへ寄りました。,I stopped at a convenience store before going home.
因る,よる,"to depend on, be due to",intrans.,習慣は国によって違います。,Customs vary from country to country.
喜ぶ,よろこぶ,"to be glad, be delighted",trans.intrans., 母は私の成功をとても喜んでくれた。, My mother was very pleased with my success.
呼ぶ,よぶ,"to call, invite, attract (customers)",trans.,佐藤さんがあなたを呼んでいますよ。,Mr. Sato wants to see you.
雇う,やとう,"to employ, hire",trans.,その会社は千人労働者を雇っている。,That company employs a thousand workers.
痩せる,やせる,"to lose weight, become thin, become infertile",intrans.,ここ三か月で五キロやせた。,I've lost five kilos in the last three months.
やる,やる,"to do, to give, send",trans.,彼は今、宿題をやっている。,He's doing his homework now.
止める,やめる,"to stop doing, abandon",trans.,疲れたから買い物に行くのをやめました。,I'm tired. I've stopped going shopping.
辞める,やめる,"to resign, retire",trans.,彼は会社を辞めさせられた。,He was forced to quit the company
求める,もとめる,"to demand, ask, seek, buy",trans.,社長に面会を求めました。,I asked for a meeting with the president
向ける,むける,"to turn toward, point at",trans.,彼は急に顔をこちらに向けた。,He suddenly turned his face toward me.
向く,むく,"to face, turn toward, be suited, first for",intrans.,写真を撮りますからこちらを向いてください。,Please turn around so I can take your picture.
剥く,むく,"to peel, strip off",trans.,じゃがいもの皮をむいてください。,Please peel the potatoes.
向かう,むかう,"to face, go towards, head towards",intrans.,季節は夏に向かっていた。,The season was turning to summer.
繋ぐ,つなぐ,"to connect, link together​, tie, fasten, restrain, maintain, to preserve, keep",trans.,インターネットにつなぐ。,Connecting to the Internet
含める,ふくめる,"to include, put in, instruct, convince",trans.,税金を含めて三万五千円です。,"It's 35,000 yen including tax."
含む,ふくむ,"to contain, include, hold something in the mouth",trans.,この値段には消費税が含まれていますか。,Does this price include consumption tax?
諦める,あきらめる,to give up,trans.,あきらめてはいけません。,Don't give up.
飽きる,あきる,"to be tired of, fed up with",intrans.,毎日同じ仕事をするのに飽きました。,I'm tired of doing the same job every day.
遣う,つかう,"to use (a tool, method, etc.), to make use of, put to use",trans.,パソコン遣ってもいい？,Can I use your computer?
出てくる,でてくる,"to come out, to appear, to turn up, to emerge",intrans.special,彼は会議室から最後に出てきた。,He was the last one out of the conference room.
恵まれる,めぐまれる,"to be blessed with, to be rich in, to abound in",intrans.,恵まれた才能を生かす。,Making the Most of Your Giftedness
凌ぐ,しのぐ,"to endure, to keep out (e.g. rain), to stave off (e.g. starvation), to pull through, to get over, to survive, to defy, to surpass",trans.,この一杯の飯で今日一日はしのげる。,This bowl of rice will keep me going for the rest of the day.
罵る,ののしる,to abuse verbally,trans.,彼女はさんざん私の事をののしった。,She called me many terrible things.
馴染む,なじむ,to adapt to,intrans.,旧弊な人は新しい事になじめない。,You can’t teach an old dog new tricks.
足す,たす,to add,trans.,砂糖を少し足して下さい。,"Add a bit of sugar, please."
加える,くわえる,to add to,trans.,それに私も加えておいて。,Count me in.
答える,こたえる,to answer,intrans.,私は質問に答えたでしょうか。,Have I answered your question?
着く,つく,to arrive,intrans.,あなたがロンドンに着くころ頃には晩秋となっているだろう。,It will be late autumn when you get to London.
志す,こころざす,to aspire to,intrans.,彼はやろうと志すものは、何でもやり遂げる。,He accomplishes whatever he sets out to do.
襲う,おそう,to attack,trans.,台風が東京を襲った。,The typhoon hit Tokyo.
目立つ,めだつ,"to attract attention, stand out",intrans.,林に竹が目立つ。,Bamboo stands out in the woods.
避ける,さける,"to avoid, dodge",trans.,揚げ物はしばらく避けなさい。,Avoid fried foods for a while.
焼く,やく,"to bake, grill",trans.,母は日曜日にはクッキーを焼く。,Mother bakes cookies on Sundays. 
禁じる,きんじる,"to ban, prohibit",trans.,彼女は喫煙を禁じられた。,She was prohibited from smoking.
いる,いる,to be,intrans.,田中さんはいないです。,Mr. Tanaka isn’t here.
耽る,ふける,"to be absorbed in, obsessed by",intrans.,彼女は飲酒にふけった。,She abandoned herself to drinking.
生きる,生きる,to be alive,intrans.,生きる意味を教えてくれ。,Tell me the meaning of life.
聞こえる,きこえる,"to be audible, able to hear",intrans.,虫の音がきこえます。,I can hear the chirping of insects.
基づく,もとずく,to be based on,intrans.,彼女は事実に基づいて議論を展開する。,Her argument was founded on fact.
眩む,くらむ,"to be blinded, get dizzy",intrans.,彼女はその豪華な部屋に目のくらむ思いがした。,She was dazzled by the gorgeous room.
生まれる,うまれる,to be born,intrans.,油断なく注意さえしておれば好機はおのずからうまれる。,"Plenty of opportunities will present themselves, if only you are awake to them. "
折れる,おれる,"to be broken, snap",intrans.,彼は顎の骨を折って、歯も何本か折れた。,He got a broken jaw and lost some teeth.
焦げる,こげる,"to be burned, charred",intrans.,このコーヒーはこげた味がする。,This coffee tastes burnt.
治る,なおる,"to be cured, healed",intrans.,風邪が治るのに長くかかった。,It took me a long time to get over my cold.
決まる,きまる,"to be decided, agreed upon",intrans.,話は決まった。, Let’s leave it at that.
異なる,ことなる,to be different from,intrans.,毎日同じ教室を２つの異なった生徒達の集団で使っているのです。,We use the same classroom for two different groups of students each day.
違う,ちがう,"to be different, wrong",intrans.,意見がそれぞれ違う。,Opinions differ.
酔っ払う,よっぱらう,to be drunk,intrans.,私は少し酔っている。,I am a bit drunk.
足りる,たりる,"be enough, suffient",intrans.,必要を満たすに足りる収入。,An income adequate for one’s needs.
ドキドキする,ドキドキする,be excited,suru,彼は次の旅行の事を考えるとドキドキする。,"Whenever he thinks of the trip he’s got coming up, he gets all excited."
見つかる,みつかる,be found,intrans.,明日の朝起きたらすてきなものが見つかるよ。,"When you wake up tomorrow morning, you will find a wonderful thing. "
魂消る,たまぎる,be frightened,intrans.,彼女がワインをからにしたのにはたまげた。, I was amazed that she had drunk all of the wine.
喜ぶ,よろこぶ,"be glad, pleased",godan,喜んで行きます。,I’ll be glad to come.
困る,こまる,be in trouble,intrans.,雨が降ると困るから傘を持ってきた。,I took an umbrella because I didn't want to get caught if it rained.
遅れる,おくれる,"be late, lag behind",intrans.,列車は雪のため遅れた。,The train was delayed by snow.
怠ける,なまける,be lazy,intrans.,彼は勉強を怠けている。,He is lazy in his study.
無くなる,なくなる,"be missing, vanish",intrans.,欲に目がくらんで判断力が無くなったらしい。,Greed seems to have blinded his good judgement.
混じる,まじる,be mixed,intrans.,トムは知らない人に混じって居心地が悪かった。,Tom is ill at ease among strangers.
次ぐ,つぐ,be next,intrans.,きれい好きは敬神に次ぐ美徳。, Cleanliness is next to godliness.
緊張する,きんちょうする,be nervous,suru,緊張する必要はありまんせん。,There’s no need to be nervous.
もてる,もてる,be popular,intrans.,彼はモテる。,He’s popular with the ladies.
儲かる,もうかる,"be profitable, make money",intrans.,この商売は儲かりません。, There isn’t much money in this business
迷う,まよう,be puzzled,intrans.,彼は森で迷った。,He lost his way in the woods.
蘇る,よみがえる,be resurrected,intrans.,春の雨が花に生気をよみがえらせた。,A spring rain revived the flower.
悲しむ,かなしむ,"be sad, grieve",trans.,悲しんでいる彼女をそっとしておきなさい。,Don’t intrude on her sorrow.
たまる,たまる,"be saved, accumulated, collect, gather",intrans.,彼は借金がたまって夜逃げ同然に町を去った。, He was deeply in debt. And he and his family skipped town. 
滑る,ぬめる,be slippery,intrans.,彼女はすべらないようにゆっくりと歩いた。, She walked slowly so she wouldn’t slip. 
驚く,おどろく,"be suprised, amazed",intrans.,トムは驚いた。,Tom was shocked.
見える,みえる,"be visible, able to see",intrans.,モロに見える。,It’s completely visible.
恨む,uramu,bear a grudge,,セーラは恨むような女の子ではないだろうが。,"Well, I don’t think Sara is the sort of girl to bear grudges."
なる,naru,become,,春になった。,Spring is here.
霞む,kasumu,"become blurred, hazy",,山は遠くにかすんでいた。,The mountain was dimly visible in the distance.
込む,komu,become crowded,,劇場はひどく込んでいた。,The theater was packed to capacity.
現る,kageru,become dark,,月が雲のかげから現れた。,The moon emerged from behind the cloud.
乾く,kawaku,become dry,,乾いた砂は水を吸い込む。,Dry sand absorbs water
空く,suku,"become empty, uncrowded",,お腹は空いていますか？,Are you hungry?
痛む,itamu,"become hurt, damaged",,背中が痛む。,My back hurts.
流行る,hayaru,become popular,,今何が流行っていますか。,What is popular now?
強まる,tsuyomaru,become stronger,,年をとると共に、情熱は薄れるが、身についた習慣は強まるものだ。,"Passions weaken, but habits strengthen, with age."
濡れる,nureru,become wet,,それが濡れている。,That is wet.
始まる,hajimaru,begin,,映画が始まります。,The movie starts.
信じる,shinjiru,believe,trans.,彼の言うことを信じる。,I believe what he says.
見くびる,mikubiru,"belittle, despise",trans.,その運転選手は決して相手をみくびるようなことはしない,The student insulted the teacher.
捻る,hineru,"bend, twist",trans.,体を捻ってから下までしゃがみます,"After twisting your body, squat down."
噛む,kamu,bite,trans.,あなたの犬は噛む？,Does your dog bite?
咲く,saku,bloom,,花は咲く,Flowers bloom.
吹く,fuku,"blow, wipe",,風が吹く,The wind blows.
乗る,noru,"board, ride on",,バスに乗りなさい,Take a bus.
威張る,ibaru,boast,,彼はいつもいばりちらしています,He is always throwing his weight around.
借りる,kariru,"borrow, rent",,ペン借りていい？,Can I borrow your pen?
壊れる,kowareru,break,,シャワーが壊れた,The shower is broken.
呼吸する,koukyuu suru,breathe,,酸素は私たちが呼吸すると肺の中に取り込まれる,Oxygen is taken into our lungs when we breathe.
切れる,kireru,"break, cut off, expire",,お茶が切れています,We’ve run out of tea.
立てる,tateru,build,,誰が立てたのですか,Who built it?
焼ける,yakeru,burn,,焼けるように熱い,It is broiling hot.
買う,kau,buy,,これを買います,I’ll buy this.
呼ぶ,yobu,call,,警察を呼んで！,Call the police
電話する,denwa suru,call (phone),,後で電話して!,Call me later!
出来る,dekiru,"can, be able",,ボブは料理ができる,Bob can cook.
気を付ける,ki wo tsukeru,care,,お体にお気を付けください,Please take care of yourself.
構う,kamau,"care about, mind",,どっちでも構いません,It doesn’t matter.
運ぶ\,hakobu,carry,,これを運んでください,Carry this for me.
担ぐ,katsugu,carry on one’s shoulders,,彼は肩に銃を担いだ,He carried a rifle on his shoulder.
挟む,hasamu,"catch, hold (between two things)",,ドアに指をはさみました,I caught my finger in the door.
祝う,iwau,"celebrate, congratulate",,七夕は七月に祝う,We celebrate the Star Festival in July.
変える,kaeru,change,,老人が考えを変えるのは難しい,It is hard for an old man to change his way of thinking.
変わる,kawaru,change,,流行はすぐ変わります,Fashions change quickly.
追う,ou,"chase, drive away",,あの車を追ってくれ,Follow that car.
喋る,shaberu,chatter,,僕たちの計画を誰にもしゃべるな,Don’t mention our plan to anybody.
調べる,shiraberu,"check, investigate",,私はその事件を調べた,I looked into the incident.
噛む,kamu,chew,,食物をよくかみなさい,Chew your food well.
選ぶ,erabu,"choose, select",,これを選びます,This is my choice
食い違う,kuichigau,"clash, disagree",,この点で私たちの意見が食い違うのは確かだ,It is on this point that our opinions differ.
晴れる,hareru,"clear up, tidy up",,空が晴れた,The sky has become clear.
登る,noboru,climb,,猿は木に登る,Monkeys climb trees.
閉まる,shimaru,"close, be closed",,ドアが閉まるの聞こえた,I heard the door close.
崩れる,kuzureru,"collapse, cave in",,壁が地震で崩れた,The wall gave way in the earthquake.
来る,kuru,come,,来られますか,Can you come?
外れる,hazureru,"come off, go wide",,彼の話は要点をはずれている,His talk is off the point.
解ける,hodokeru,"come untied, loose",,靴紐が解けていますよ,Your shoes are untied.
慰める,nagusameru,comfort,,私は彼女を慰めることができる,I can comfort her.
言いつける,iitsukeru,command,,彼は私にそれをするように言いつけた,He told me to do it.
通う,kayou,commute,,兵庫大学に通っています,I go to Hyogo University.
比べる,kuraberu,compare,,ロンドンは東京に比べて小さい,London is smaller than Tokyo.
文句を言う,monku wo iu,complain,,文句を言うな,Don’t complain.
凝らす,korasu,concentrate,,彼は息を凝らしてその光景を見つめていた,He was watching the scene with breathless interest.
繋ぐ,tsunagu,"connect, fasten",,彼は犬を木につないだ,He tied the dog to a tree.
連絡する,renraku suru,contact,,手紙で連絡してください,Please contact me by letter.
続ける,tsuzukeru,continue,,ぜひ練習を続けなさい,Do keep practicing!
続く,tsuzuku,"continue, follow",,吹雪が続いた,The snowstorm continued.
料理する,ryouri suru,cook,,今晩は私が料理します,I’ll cook for you tonight.
冷やす,hiyasu,"cool, refridgerate",trans.,頭を冷やせよ,Calm down.
冷える,hieru,cool down,intrans.,今夜は冷えるでしょう,It will cool down tonight.
数える,kazoeru,count,,３０まで数えなさい,Count up to thirty.
渡る,wataru,cross,,通りを渡れ,Cross the street.
越す,kosu,"cross, pass, move ahead",,彼は４０歳を越している,He is past forty.
砕く,kudaku,"crush, smash",,愛は人の心を砕くこともできるのさ,But love can break your heart.
鳴く,naku,cry,,鳥は鳴く,Birds sing.
切る,kiru,cut,,それを半分にきりなさい,Cut it in half.
踊る,odoru,dance,,私も踊るのが好きです,I like dancing too.
付き合う,tsukiau,date,,君達はいつからつきあっているのですか,How long have you been dating?
腐る,kusaru,"decay, go bad, be depressed",,牛乳が腐った,The milk has gone bad.
偽る,itsuwaru,"deceive, lie",,彼は年齢を偽った,He lied about his age.
決める,kimeru,"decide, choose",,決めました,I made my decision.
定める,sadameru,"decide, establish",,それは法律が定めていることである,It is what the law ordains.
飾る,kazaru,"decorate, display",,話はかわりますが,To change the subject.
減る,heru,"decrease, reduce",,この町の人口は減った,The population of this city has decreased.
