Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
698,残す,のこす,trans.,"to leave behind, leave undone, save, set aside, reserve, hold on",あなたにこの包みを置いて行きました。,He left this package for you.,妻子を故郷に残して東京に出た。,He left his wife and children in his hometown and went to Tokyo.,偉大な音楽家として名を残した。,He left his mark as a great musician.,
699,探す,さがす,trans.,"to search, look for, hunt for, seek",彼は貸し家を探している。,He is looking for a house to rent.,地図でその場所を捜してごらん。,Look for the place on the map.,私どもの学校では英語教師を捜している。,Our school is looking for an English teacher.,
700,至る,いたる,intrans.,"to arrive at, reach a stage, attain, lead to a place, get to. result in",この道は秋葉原を経て銀座に至る。,This road leads to Ginza via Akihabara,今に至るまで彼から連絡がない。,I haven't heard from him to this point.,彼の優柔不断から憂慮すべき事態に至った。,His indecision led to an alarming situation.,
702,経つ,たつ,intrans.,"to pass, elapse",時が経つにつれて痛みは消えた。,The pain disappeared as time went by.,彼がここに移り住んでから３年経った。,It's been three years since he moved here.,彼女が仕事を始めてから 3 時間以上経っていた。,It had been over three hours since she had started work.,
703,似る,にる,intrans.,"to resemble, look like, be like, be alike, be similar, take after",あの娘は母親によく似ている。,That girl looks a lot like her mother.,この赤ん坊はだれに似ているのだろう。,Who does this baby look like?,似た事件が数年前にあった。,A similar case happened a few years ago.,
712,守る,まもる,trans.,"to protect, guard, defend, keep, abide, observes obey, follow",危害から身を守る。,Protect yourself from harm.,節操を守る。,Hold to one's principles.,規則を守る。,Obey the regulations.,
714,困る,こまる,intrans.,"to be troubled, have difficulty, be in a fix, be at loss, be bothered",日照り続きで困っていた。,They were in trouble because of the long dry spell.,ひどい雨にあって困った。,We had a problem with terrible rain.,どう答えたらよいか分からなくて困った。,I'm having a hard time knowing how to answer this question.,
717,加える,くわえる,trans.,"to add, add up, sum up, append, annex, increase, include, count in, inflict",子供を加えて一行は50名であった。,"The group was fifty people, including children.",彼を仲間に加えたらどうだろうか。,What if we add him to our group?,彼は男に一撃を加えた。,He dealt the man a blow.,
720,調べる,しらべる,trans.,"to examine, look up, investigate, check up, sense, study, inquire, search",事故の原因を徹底的に調べる。,Thoroughly investigate the cause of the accident.,故障はないかと機械を調べた。,I checked the machine for malfunctions.,場所を地図で調べる。,Look up a place on a map.,
732,生ずる,しょうずる,intrans.,"to produce, yield, cause, result from, arise, be generated",これらも放射を生ずる可能性があります。,These may also produce radiation.,これらの現象は比較的女性に多く生ずる。,These phenomena occur relatively more frequently in women.,当該作業により生ずるすべての所得。,All income arising from such work,
733,驚く,おどろく,intrans.,"to be surprised, be astonished",彼女の忍耐強さには驚いた。,I was amazed at how patient she was.,彼の成功は驚くにはあたらない。,His success is not surprising.,驚いて彼の顔を見返した。,I looked over at him in surprise.,
739,失う,うしなう,trans.,"to lose, miss, concede",私たちは霧のため方向を失った。,We lost our bearings because of the fog.,彼はバブル崩壊で全財産を失った。,He lost all his money when the bubble burst.,大金を手に入れる機会を失った。,Lost opportunity for big money.,
741,合う,あう,intrans.,"to come together, merge, unite, meet, fit, match, suit, do to each other",この服は私に合わない。,These clothes don't fit me.,このサラダはほとんど何にでも合う。,This salad goes with almost anything.,彼の話は事実と全く合っていない。,His story doesn't match the facts at all.,
742,無くなる,なくなる,intrans.,"to be lost, be missing, be used up, run out, consumed, disappear",金庫の宝石が無くなっている。,Jewelry missing from safe.,それには興味が無くなった。,I've lost interest in that.,９時半をすぎるとバスが無くなる。,No more buses after 9:30.,
743,増える,ふえる,intrans.,"to increase, multiply",豪雨で川の水かさが増えた。,Torrential rains have increased the river's water level.,この町の人口は10年間に３倍に増えた。,The population of this town has tripled in ten years.,この数はさらに増えると予想される。,This number is expected to grow even more.,
751,上がる,あがる,intrans.,"to rise, go up, come up, ascend, raise, increase, get out, improve, enter, come in",火山から煙が上がっているのが見えた。,I could see smoke rising from the volcano.,どうぞお上がりください。,Please come in.,何時ごろにお宅に上がりましょうか。,What time shall I come to your house?,
763,起きる,おきる,intrans.,"to get up, rise, blaze up, wake up. be awake, occur, happen",目を覚ましたときには皆もう起きていた。,"By the time I woke up, everyone was already awake.",昨夜はずっと起きていた。,I was awake all last night.,トンネル内で火災が起きた。,A fire broke out in the tunnel.,
764,座る,すわる,intrans.,"to sit, squat. assume a position, hold still",晴れた日は木陰に座る。,"On sunny days, sit in the shade of a tree.",なにか座るものを見つけよう。,Let's find something to sit on.,床に座ると足をまっすぐに。,Sit on the floor and straighten your legs.,
765,聞こえる,きこえる,intrans.,"to be heard, be audible,  sound like, be well known",この場合は非常に明瞭な音が聞こえる。,"In this case, very clear sound is heard.",呼べば聞こえる所にいなさい。,Stay where I can hear you when I call you.,このところ耳が聞こえなくなってきた。,My hearing has become worse recently.,
785,思い出す,おもいだす,trans.,"to recall, remember, recollect",彼の腕のぬくもりを思い出す。,I remember the warmth of his arms.,その歌を聞くとある少女を思い出す。,That song reminds me of a certain girl.,私はよく子供のころの楽しい思い出を思い出す。,I often recall happy memories of my childhood.,
786,許す,ゆるす,trans.,"to permit, allow, approve, consent to, forgive, pardon, exempt, remit, let off, acknowledge, admit, trust",あなたが許すならもっとよく知りたい。,I would like to get to know you better if you allow me to.,母は私が外泊するのを許してくれなかった。,My mother wouldn't allow me to stay out overnight.,ご無礼をお許しください。,Forgive my rudeness.,
