L5,T5,L4,T4,L3,T3,L2,T2,L1,T1
,,夕刻にはおそらく雨になるだろう。,It will probably rain in the evening.,,,,,,
,,バスを待っている間に夕立にあった。,We had an evening shower while waiting for the bus.,,,,,,
,,彼らは魚と肉を売っている。,They sell fish and meat.,,,,,,
,,彼らは熱帯魚に興味があるらしかった。,They seemed to be interested in tropical fish.,,,,,,
,,魚介類が好きなんだ。,I like seafood.,,,,,,
,,車をお借りできますか。,Can I borrow your car?,,,,,,
,,叔父に８万円借金がある。,"I owe my uncle 80,000 yen.",,,,,,
,,借家を捜しています。,I am looking for a place to rent.,,,,,,
,,飯は何杯食ったか。,How many meals have you had?,,,,,,
,,まだご飯食べてないの？,Haven't you eaten yet?,,,,,,
,,彼はここでよく朝ご飯を食べる。,He often eats breakfast here.,,,,,,
,,駅からタクシーで来ました。,I came here by cab from the station.,,,,,,
,,お昼は駅弁にしよう。,Let's have ekiben for lunch.,,,,,,
,,駅前にはたいていタクシーがいる。,There is usually a cab in front of the station.,,,,,,
,,その仕事は昼までに終わっているでしょう。,That job will be done by noon.,,,,,,
,,彼女は昼食の用意をした。,She prepared lunch.,,,,,,
,,すぐに諦めて昼寝をするかも知れない。,He may give up soon and take a nap.,,,,,,
,,冬にはコートを着るんだよ。,I wear a coat in winter.,,,,,,
,,どうして人間は冬眠しないのですか？,Why don't humans hibernate?,,,,,,
,,暖冬の年は桜の開花が早い。,"In mild winter years, the cherry blossoms bloom earlier.",,,,,,
,,姉の髪は肩まで届きます。,My sister's hair reaches her shoulders.,,,,,,
,,その姉妹は似ています。,Those sisters look alike.,,,,,,
,,彼の従姉妹は名前は忘れたが看護婦だった。,"His cousin was a nurse, though I forgot her name.",,,,,,
,,今日が土曜日だってこと忘れてた。,I forgot that today is Saturday.,,,,,,
,,月曜日の夜は暇ですか?,Are you free Monday night?,,,,,,
,,我々は日曜日に働くのは反対だ。,We are against working on Sunday.,,,,,,
,,この漢字はどういう意味ですか。,What does this Chinese character mean?,,,,,,
,,あそこは痴漢がよく出没する公園だ。,That is a park where molesters often hang out.,,,,,,
,,この漢方薬を飲み続ければ効くでしょう。,Keep taking this Chinese herbal medicine and it will help.,,,,,,
,,彼は市場に出す牛を育てている。,He raises cows for the market.,,,,,,
,,帰りに牛乳を買って来て。,Buy some milk on your way home.,,,,,,
,,きのうは和牛が特売だった。,"Yesterday, wagyu cows were on special sale.",,,,,,
,,それは私の妹の写真です。,That is a picture of my sister.,,,,,,
,,姉妹がいますか。,Do you have sisters?,,,,,,
,,メアリーはトムの義妹です。,Mary is Tom's sister-in-law.,,,,,,
,,この部屋は週５０ドルで貸している。,I rent this room for $50 a week.,,,,,,
,,わたしは貸家をさがしている。,I am looking for a house to rent.,,,,,,
,,私は貸間を探しているところです。,I am looking for a room to rent.,,,,,,
,,彼には勉強する部屋がない。,He has no room to study.,,,,,,
,,何事にも勤勉が大切である。,Diligence is important in everything.,,,,,,
,,学生は多くの時間を勉学に費やす。,A student spends a lot of time studying.,,,,,,
