Words,Meaning,Sentences,Translation,Level
うち,house-home,うちは明日来客があります。,We will have some guests tomorrow.,2
先,previous-prior-former-first-earlier,荷物は先に送っておきなさい。,Send your baggage in advance.,2
解く,untie-unfasten-solve,その問題を解くのに私は５分かかった。,The solution of the problem took me five minutes.,2
行く,go-move-proceed,私は外国へ行くつもりだったが。,I intended to have gone abroad.,2
ただ,ordinary-common-usual,入場料はただだった。,Admission was free.,2
人気,popularity,その歌手は若者たちの間で人気があります。,The singer is popular among young people.,2
火,fire-flame-blaze,寒かったので、我々は火を燃やした。,"It being cold, we made a fire.",2
件,matter-case-item-affair,その件については常に私に知らせるようにしてください。,Please keep me informed of the matter.,2
よく,nicely-well-often,本当によく似合う。,It really suits you.,2
椅子,chair-post-position,私達は壊れた椅子を直した。,We mended some broken chairs.,2
それに,besides-in addition-moreover,それに私も加えておいて。,Count me in.,2
死ぬ,die-pass away-lose spirit,彼は自分の一生に満足して死んだ。,He died content with his life.,2
上,"above-up, over-top-summit",きれいな鳥が木の上を飛んでいる。,Some pretty birds are flying above the trees.,2
笑う,laugh-smile,先生は生徒たちを笑わせた。,The teacher amused the pupils.,2
大,large part-big,彼女は大科学者になるという夢を実現した。,She realized her ambition to become a great scientist.,2
ひとつ,one,私たちは君に一つ忠告したい。,Let us give you a piece of advice.,2
誤り,error-mistake,この報告書には誤りがない。,This report is free from errors.,2
とか,among other things-such things as,しかめ面は怒りとか不快感を表現するものである。,A frown may express anger or displeasure.,2
まま,as it is-as one likes-as,私はひと晩窓を開けたままにしておいた。,I left the window open all through the night.,2
みんな,all-everyone,賛成の人は皆手を挙げた。,All those in favor held up their hands.,2
頭,head,彼は頭をまっすぐにしていた。,He held his head straight.,2
ばかり,only-merely-nothing but,彼女は親切なばかりではなく正直な人です。,"She is not only kind, but also honest.",2
すみません,excuse me-i’m sorry,すみません、このチケットは変更できません。,"I'm sorry, we can't make flight changes on this ticket.",2
マイル,mile,村までせいぜい２マイルだ。,It is not more than two miles to the village.,2
友,friend-companion,友に変わり彼はその責任を引き受けるつもりだ。,He will take on the responsibility for his friends.,2
同じ,same-identical-equal,彼らはほぼ同じ年齢です。,They are about the same age.,2
なんて,such as-things like,なんて大きなスーパーだ。,What a big supermarket!,2
増す,increase-grow,好天気が私達の旅の楽しみを増した。,Fine weather added to the joy of our trip.,2
能力,ability-faculty,彼が成功したのは能力と勤勉さのおかげだ。,He owed his success to both ability and industry.,2
日,day,土日月の午前１０時半から午後４時まで開館。,"Open from 10:30am to 4pm on Sat, Sun, and Mon.",2
かもしれない,may-might-perhaps-maybe,それは今にも起こるかもしれない。,It may occur at any moment.,2
歩く,walk,ここから歩いて２時間もの距離だ。,It is no less than two hours' walk from here.,2
気,mood-feelings,彼は年はとっているが気は若い。,"Though he is old, he has a youthful spirit.",2
捕る,take-catch-capture,彼らは捕り立ての魚を朝市で売ってくれる。,They sell us freshly caught fish in the early morning market.,2
敵,opponent-rival-adversary-threat,彼は敵を料理した。,He easily licked his opponent.,2
姿,figure-form-shape-ppearance,ほっそりとした姿に対する若い女性の願望は強い。,Young girls' desire for slim figures is strong.,2
待つ,wait,電話を切って少々お待ち下さい。,"Hang up and wait a moment, please.",2
だって,after all-because-but-even,子供にだってそんな事は分かる。,Even children can understand it.,2
こんな,such,こんなすばらしい映画を見たことがありますか。,Did you ever see such a film?,2
答える,answer-reply,彼はその質問に対して親切に答えた。,He responded kindly to the question.,2
少し,small quantity-little-few,日本語が少し話せるからね。,You know some Japanese.,2
乗り遅れる,miss-fail to keep up with,我々は列車に乗り遅れないよう早く出発した。,We started early so as not to miss the train.,2
ちょっと,a little-a bit-slightly,ちょっといっぱいやりながら話そう。,Let's have a talk over a couple of drinks.,2
冊,counter for books,机の上に数冊の本がある。,There are some books on the desk.,2
どのように,how-in what way,内訳はどのようにしましょう。,How would you like these items?,2
多い,many-numerous-a lot,新潟は雪が多い。,They have much snow in Niigata.,2
動く,move-stir-shift-operate,その氷河はゆっくりではあるが動いている。,The glacier moves but by inches.,2
書く,write-compose,もし彼の住所を知っていたら手紙をかくだろう。,"If I had known his address, I would have written.",2
心,mind-heart-spirit,お言葉を心に銘記いたします。,I will bear your words in mind.,2
買う,buy-purchase,母は弟に黄色い傘を買ってやった。,Mother bought my brother a yellow umbrella.,2
五,five,明日の晩五人のお客を迎えることになっている。,We are to take in five guests tomorrow evening.,2
平和,peace-harmony,相互理解は平和に役立つ。,Mutual understanding makes for peace.,2
銃,gun-rifle-small arms,政府はライセンスなしに銃を携帯することを禁じている。,The government prohibits us from carrying guns without a license.,2
打つ,hit-strike-knock-beat,雨が窓を打った。,The rain whipped against the window.,2
我,i-me,我こそ魔女がりの大将。,I'm the witchfinder general.,2
始める,start-begin-commence-initiate,いつ始めるか、決めなくてはならない。,We must decide when to start.,2
殺す,kill,羊が２匹狼に殺されました。,Two sheep were killed by a wolf.,2
みたい,like-sort of-similar to-resembling,氷みたいに冷たい顔しないでくれよ。,Don't be cold as ice.,2
通る,go by-go past-go along-travel along-pass through,私は列車が家のそばを通る音を聞き慣れています。,I am used to hearing the train pass by my house.,2
使う,use-make use of,この部屋を使うのはあなたの自由です。,You are free to use this room.,2
音,sound-noise-report,雨の音を聞くと心が落ち着く。,I find the sound of the rain relaxing.,2
話す,talk-speak,彼女は英語とドイツ語の両方が話せます。,She can speak both English and German.,2
申し出,proposal-request-claim,私たちの申し出を断るとは大胆だ。,It is bold of him to refuse our offer.,2
しまう,finish-stop-end-do accidentally,私はバスの中にかさを忘れてしまった。,I have left my umbrella in a bus.,2
折る,break-fracture-break of-fold,彼が腕を折ったのは氷の上で滑って転んだためだ。,His broken arm was the result of a slip on the ice.,2
たい,want to do,お祭り中に高山に行きたい。,I'd like to go to Takayama during festival time.,2
喜び,joy-delight,子供の顔に喜びの色がありありと現れていた。,Joy was manifest on the child's face.,2
様,polite suffix,お客様の中にお医者様はいらっしゃいませんか。,Is there a doctor in the house?,2
無くなる,lost-missing-used up-run out,痛みはだんだん無くなっていくだろう。,The pain will wear off.,2
照る,shine-look slightly upward,あたり一面に日が照っていた。,The sun was shining all around.,2
し,reasons-and,その警告はわかりやすいし具体的だ。,The warnings are clear and concrete.,2
帰る,return- come home-go home,彼が帰ってすぐに雨が降り出した。,"He came back, and it rained soon.",2
溜める,amass- accumulate-store,彼女は目に涙を溜めていた。,Her eyes were filled with tears.,2
相手,companion-partner-company-other party,お相手願えましょうか。,Will I do as your partner?,2
喫煙,smoking,彼女は喫煙を禁じられた。,She was prohibited from smoking.,2
続ける,continue-keep up-keep on,英語を習得する努力を続けるべきだ。,You should persist in your efforts to learn English.,2
間,space-gap-interval-distance,台風の間電気が止まった。,The electricity failed during the typhoon.,2
跡,trace-tracks-mark-sign-site-remains,彼は少しも進歩の跡が見えない。,He shows no mark of progress.,2
着る,wear-put on,白い制服を着た少女が、私の体温を計った。,The girl in a white uniform took my temperature.,2
怒り,anger-rage-fury,声の調子は怒りや皮肉を示すことがある。,Tone of voice can indicate anger and irony.,2
日,day-sun,陽は知らぬ間に地平線下に沈んだ。,The sun sank below the horizon before I knew it.,2
そういう,such-like that-that sort of,そういう能力は彼が生まれつき持っているものだ。,Such ability is native to him.,2
こと,thing-matter,彼は他の事に気を取られている。,He is preoccupied with something else.,2
呼ぶ,call out-call-invoke,彼は自分の名前が後ろから呼ばれるのを聞いた。,He heard his name called from behind.,2
それから,and then-after that,それから長い沈黙が続いた。,There followed a long silence.,2
嬢,unmarried woman,彼がリー嬢に結婚を申し込んだところ、彼女は承諾した。,He proposed to Miss Lee and she accepted.,2
星,star,星がいっぱいに広がっている。,The stars are spread all over the night sky.,2
ください,please give-please do,その問題を次の会合に提出して下さい。,Please bring the matter forward at the next meeting.,2
過ぎる,pass through-pass by-elapse-exceed,スキーの時期は過ぎた。,The time for skiing has gone by.,2
見せる,show-display,部屋を見せていただけますか。,Could I see the room please?,2
子供の頃,as a child-when one was a child,子供の頃彼はよく川へ釣りに行ったものだ。,He would go fishing in the river when he was a child.,2
全て,everything-all,生徒たちは教師の与える知識をすべて吸収した。,The pupils absorbed all the knowledge the teacher gave them.,2
限り,limits-bounds-degree-extent-scope,彼の好奇心には限りがなかった。,His curiosity knew no bounds.,2
暗い,dark-gloomy-murky,彼女は暗いところが怖い。,She's afraid of the dark.,2
お前,you,俺にはお前の心の音が聞こえる。,I can hear the sound in your mind.,2
難い,difficult to-hard to,詩は説明し難いものへの探索である。,Poetry is a search for the inexplicable.,2
どこ,where-what place,どこの関節がはずれたの？,Which joint did you dislocate?,2
休み,rest-recess-holiday-vacation,学校が休みになったのは雪のせいだった。,The closing of school was due to the snow.,2
外,outside of-not covered by,それは私の研究外のことです。,It is outside my area of study.,2
込む,crowded-packed-complex-go into,京都は最も美しい時に一番混み合う。,Kyoto is most crowded when it is most beautiful.,2
間,interval-period of time-among,私はこの数ヶ月間自分一人で生活していた。,I was on my own during these months.,3
時間,time-hour-period,そろそろテーブルを片づけて始めてよい時間だよ。,It's about time you set about cleaning the table.,3
それで,and-thereupon-because of that,それで事故の原因が分かった。,That accounts for the accident.,3
一人,one person-being alone,ある夕方、一人の男がやってきた。,One evening a man came to my house.,3
確か,sure-certain-positive-definite,彼の情報は確かだ。,His information is certain.,3
助言する,advice-suggest,医師は健康について我々に助言してくれる。,Doctors advise us on our health.,3
同意する,agree-approve-consent,それに関して君に同意する事は出来ない。,I can not agree with you as regards that.,3
回答する,reply-answer,候補者はその批判に対して直ちに回答をした。,The candidate made a quick response to the criticism.,3
謝る,apologize,せめて謝ってくれてもいいのに。,He might at least apologize.,3
到着する,arrive,飛行機は９時３分きっかりに到着した。,The airplane arrived at 9:03 to the minute.,3
問う,ask-inquire,彼にもう一杯いかがかと問う。,I ask him if he would like another drink.,3
頼む,request-beg-ask,私は彼らにチケットをもう一枚送ってくれるように頼んだ。,I told them to send me another ticket.,3
有る,exist-live-have-to be,病院の後ろにあるあの建物はなんですか。,What's that building at the back of the hospital?,3
怖がる,afraid of-fear-nervous about,失敗を怖がることはありません。,Don't be scared of making mistakes.,3
腹をすかす,hungry,腹を空かした赤ちゃんはただ泣くばかりでした。,The hungry baby did nothing but cry.,3
興味がある,interested in,あなたはどの程度野球に興味があるのですか。,To what degree are you interested in baseball?,3
必要である,needed,この車は修理する必要である。,This car needs repairing.,3
驚く,surprised-astonished,先生は彼の知識の広さに驚いた。,The teacher was surprised at the extent of his knowledge.,3
喉が渇く,thirsty,食べ物によっては喉が渇くものがある。,Some kinds of food make us thirsty.,3
始める,start-begin-commence-initiate,最近パソコンを始めた。,I started using PCs recently.,3
所有物である,belong to-possess,この土地は私の所有物である。,This land is my property.,3
自慢する,boast,彼は入試に合格したことを自慢した。,He boasted of having passed the entrance exam.,3
折る,break-fracture-snap off-fold,彼が腕を折ったのは氷の上で滑って転んだためだ。,His broken arm was the result of a slip on the ice.,3
折れる,break-broken-fracture-folded,その鳥の翼は折れていた。,The bird's wing was broken.,3
壊す,break-destroy-demolish,私が誤って窓を壊したのは昨日でした。,It was yesterday that I broke the window by mistake.,3
壊れる,broken-fall through-come to nothing,テレビが壊れていて、修理しないといけなかった。,"My television was broken down, so I had to get it repaired.",3
求める,want-wish for-request-demand-seek-pursue,人々は強い刺激を求める傾向がある。,People tend to require strong stimuli.,3
できる,able to do-can do-completed,あの騒音には我慢できない。,I can't abide that noise.,3
捕らえる,catch-capture-seize-grab-grasp,ケイトはクラスの生徒の心を捕らえた。,Kate captured the hearts of her classmates.,3
捉える,catch-capture-seize-grab-grasp,彼らは人混みの中に男の姿をとらえた。,They caught sight of the man among the crowd of people.,3
変える,change-alter-transform-convert-turn-vary-revise,熱は水を蒸気に変える。,Heat turns water into steam.,3
選択する,choose-select,彼女は衣料品を買うときは注意深く選択する。,She makes careful choices when she buys clothes.,3
下りる,descend-go down-alight-get off-come down,必ず２番のバスに乗って、２１番街で降りなさい。,"Be sure to take the No.2 bus, and get off at 21st Street.",3
入る,enter-go into,今夜は温泉に入りたい気分だ。,I feel like taking a hot spring bath tonight.,3
比較する,compare,この本物の宝石とその偽物とを比較してみなさい。,Compare this genuine jewel with that imitation.,3
不平を言う,complain-grieve-dissatisfied-discontent,彼女はいつも体の具合が悪いと不平を言っている。,She is always complaining of her poor health.,3
混同する,confuse-mix-merge,彼女はいつも塩と砂糖を混同している。,She is always confusing salt with sugar.,3
続ける,continue-keep up-keep on,疲れているいないにかかわらず、彼は作業を続けた。,"He carried on working, regardless of whether he was tired or not.",3
管制する,control,離着陸機を管制する飛行場管制席です。,This is an airfield control seat for takeoff and landing aircraft.,3
料理をする,cook,料理する前にチキンの臓物を抜いてください。,Draw a chicken before cooking.,3
かかる,cost-take,費用は別として、その橋を築くには長い時間がかかるだろう。,"Apart from the cost, it will take long to build the bridge.",3
計算する,calculate,母は毎月の支出を計算した。,Mother calculated her monthly expenses.,3
頼りにする,rely on-count on,作家は自分達の想像力を頼りにして書く。,Writers draw on their imagination.,3
創造する,create,神が世界を創造した。,God created the world.,3
泣く,cry-weep-sob,泣く事は悲しみの表現だ。,Crying is an expression of grief.,3
騙す,trick-cheat-deceive,彼は私を卑劣なやり方で騙したので、仕返しするつもりだ。,"As he played a dirty trick on me, I'll get even with him.",3
飾る,decorate-ornament-adorn,その広間は日本画で飾られていた。,The hall was decorated with Japanese paintings.,3
防衛,defense-defence-protection,防衛運転は事故回避に役立ちます。,Defensive driving can help you avoid accidents.,3
守る,protect-guard-defend-keep-abide,我々は交通法規を守らなければならない。,We must observe the traffic regulations.,3
要求する,"to demand, to request, to require, to desire",労働者達は経営者に給料の引き上げを要求した。,Laborers required raising of a salary of the manager.,3
掘る,"to dig, to excavate, to hollow",山を切り開いて新しいトンネルが掘られた。,A new tunnel has been dug through the mountain.,3
討議する,debate-discuss,その問題は委員会によって討議されている最中だった。,The committee were discussing the problem.,3
する,do-carry out-perform,彼らはその事故について異なる説明をした。,They gave different versions of the accident.,3
疑う,doubt-distrust-be suspicious of-uspect,ぼくのことばをまだ疑っているんですか。,Are you still in doubt about what I have said?,3
落とす,drop-lose-let fall-shed-cast- pour in-leave behind,財布をどこかこの辺に落とした。,I lost my wallet somewhere around here.,3
許す,permit-allow-approve-consent to-forgive-pardon,そういう休暇は私には事情が許さない。,Circumstances do not permit me such a holiday.,3
存在する,exist,物体は固体、液体、気体として存在する。,"Matter can exist as a solid, liquid, or gas.",3
落ちる,fall down-drop-fall- sink-be omitted-be missing-decrease,りんごがいくつか木から落ちた。,Some apples fell down from the tree.,3
見つける,discover-find-come across-detect-spot-locate,私は森の中で野うさぎをみつけた。,I caught sight of the rabbit in the middle of the forest.,3
終える,finish,私はまだ昼食を終えていません。,I have not finished lunch.,3
飛ぶ,fly-soar-jump-leap,空高く一群の鳥が飛んでいるのを見た。,I saw a flock of birds flying aloft.,3
忘れる,forget-leave carelessly,私は彼に伝言するのを忘れました。,I forgot to give him the message.,3
手渡す,hand over-surrender,彼は私に書き物を手渡した。,He handed a note to me.,3
暗示する,suggest-give a hint,彼の言葉は何を暗示しているのか。,What do his words imply?,3
行く,go-move,彼が東京に行ってから半年になります。,It is half a year since he went to Tokyo.,3
出る,leave-exit-go out-come out-get out,我々はいつもより早く昼食を食べて１２時半に出た。,We had an early lunch and set out at 12:30.,3
海水浴,"swimming in the ocean, sea bathing, seawater bath",ハワイでは１年中海水浴が楽しめる。,"In Hawaii, we can enjoy swimming in the ocean all year round.",3
言い当てる,to guess right,彼女の年齢を言い当てられますか。,Can you guess her age?,3
持つ,"to hold, to possess, to have, to own, to keep",農園主は大きな農場を持っている。,The farm owner has a large farm.,3
朝食をとる,to have breakfast,そんなには早く朝食をとる必要はなかったのに。,We need not have eaten breakfast so early.,3
夕食をとる,to have dinner,今晩は夕食をとる気がしない。,I don't feel like eating supper tonight.,3
昼食をとる,to have lunch,空腹のはずがない。彼は昼食とったばかりだから。,He cannot be hungry; he has just had lunch.,3
聞く,"to hear, to listen, to ask, to enquire",おしゃべりをやめて聞きなさい。,Cut the talking and listen.,3
手伝う,"to help, to assist, to aid",あなたが手伝ってくれたらすぐに終わるでしょう。,"If you will help me, we will soon finish.",3
隠す,"to hide, to conceal",彼は感情を決して隠さない。,He makes no disguise of his feelings.,3
希望する,"to hope, to wish, to aspire",彼らは自分たちの見通しと計画の変更を希望した。,They hoped to change their outlook and plans.,3
狩る,to hunt,彼らは鹿や狐を狩った。,They hunted deer and foxes.,3
急ぐ,"to hurry, to rush, to hasten, to make something happen sooner",彼は列車に間に合うように急いだ。,He hurried so as to be in time for the train.,3
知らせる,"to notify, to advise, to inform",彼らはお互いに身振りで知らせた。,They communicate with each other by gesture.,3
振る,"to wave, to shake, to swing",その選手はボールを狙ってバットを振った。,The player swung the bat at a ball.,3
避ける,"to avoid (physical contact with, situation), to ward off, to avert",出来るだけ争いを避けなくてはならない。,We have to avoid a conflict as far as possible.,3
透ける,"to be transparent, to show through",レースのカーテンから透けて見えた世界は暗かった。,The world seen through the lace curtain was dark.,3
主張する,"to claim, to assert, to advocate, to put emphasis",彼らは減税は自分たちの功績だと主張した。,They claimed credit for tax reduction.,3
侮辱する,"to insult, to contempt",彼女は私の言葉を侮辱と受け取ったようだ。,She seems to have taken my remark as an insult.,3
招待する,to invite,君は誰でも好きな人を招待してよい。,You may invite whomever you like.,3
冗談を言う,"to make a joke, to tell ajoke",彼はうまい冗談を言う。,He tells a good joke.,3
保つ,"to keep, to preserve, to hold, to retain, to maintain, to sustain",体調を保つために何をしていますか。,What do you do to stay in shape?,3
沈黙を守る,to keep silent,彼女は沈黙を守る必要はなかったのに。,She need not have kept silent.,3
殺す,to kill,羊が２匹狼に殺されました。,Two sheep were killed by a wolf.,3
知る,"to be aware of, to know, to be conscious of, to cognize, to cognise",私はあの走っている少年を知っています。,I know that running boy.,3
笑う,"to laugh, to smile, to ridicule, to sneer",彼女はこっそり笑って感謝の気持ちを表した。,She smiled her acknowledgment.,3
解放する,"to release, to unleash, to liberate, to set free, to deallocate",人質は無事全員解放された。,All the hostages were released unharmed.,3
好む,"to like, to prefer",彼は飛行機での海外旅行を好む。,He likes travelling abroad by air.,3
探す,"to search (for something desired, needed), to look for",彼女はそのドレスを探すのに歩き回った。,She walked about in search of the dress.,3
愛する,to love,あなたを愛することでいっぱい。,I'm filled with love for you.,3
誤りをする,"to make mistake, to make an error",彼女はたくさんのつづり字の誤りをした。,She made a lot of spelling mistakes.,3
管理する,"to control, to manage",わたしがその工場を管理した。,I got control of the works.,3
意味する,"to mean, to signify",彼女は彼の言葉を同意を意味していると受け取った。,She took what he said as meaning agreement.,3
言及する,"to talk about, to refer",彼はその問題に言及した。,He referred to the subject.,3
欠席する,"to miss, to be absent, not to attend",病気のため彼女は欠席していた。,She was absent on the ground of illness.,3
見かける,"to (happen to) see, to notice, to catch sight of",帰り道でパレードを見かけた。,I caught sight of a parade on my way home.,3
反対する,"to oppose, to contradict, to go against, to object",世論はその政策に反対している。,Public opinion is opposed to the policy.,3
監視する,"to monitor, to watch, to observe",医師は患者の心臓の鼓動と血圧をモニターで監視した。,The doctor monitored the patient's heartbeat and blood pressure.,3
開ける,"to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock",私がその窓を開けなければならないのですか。,Must I open the window?,3
注文する,"to order, to request",彼は焼き魚定食一人前を注文した。,He ordered one grilled fish dinner.,3
命令する,"to order, to command, to decree, to direct, to instruct",彼はだまれと命令された。,He was ordered to shut up.,3
所有する,"to possess, to own",私のおじは莫大な財産を所有している。,My uncle is possessed of great wealth.,3
参加する,"to participate, to join, to adhere",彼は兄の代理として集会に参加した。,He took part in the meeting in place of his brother.,3
払う,to pay,タクシーを降りる前に、お金を払う。,"Before we get out of the taxi, we pay the fare.",3
許可する,"to permit, to approve, to authorize",支配人は我々の計画を許可した。,The manager approved our plan.,3
計画する,"to plan, to schedule, to do a project, to do a program",彼女が何を計画しているかは全然知らなかった。,I had no idea of what she intended to do.,3
遊ぶ,"to play, to enjoy oneself, to have a good time",赤ん坊は猫の尾でおもしろく遊んでた。,The baby was amusing itself with the cat's tail.,3
祈る,"to pray, to wish",道中御無事を祈ります。,I wish you a good journey.,3
好む,"to like, to prefer",私は魚より肉の方を好む。,I'd prefer meat to fish.,3
約束する,to promise,彼は５時にここに来ると約束した。,He gave me a promise to come here at five.,3
発音する,to pronounce,その単語はどう発音されますか。,How is the word pronounced?,3
提案する,"to propose, to suggest",彼らはその計画を直ちに実行に移すべきだと提案した。,They suggested that we should put the plan into practice right now.,3
罰する,"to punish, to penalize, to penalise",規則に当てはめて彼を罰した。,We punished him according to the rules.,3
読む,to read,あなたの興味を引くような本を読みなさい。,Read such books as interest you.,3
推薦する,"to recommend, to refer, to endorse",あなたが推薦する場所はありますか。,Is there any place you recommend?,3
拒絶する,"to refuse, to reject",問題は私が受諾するか拒絶するかである。,The point is whether I accept or refuse.,3
断る,"to refuse, to reject, to dismiss, to turn down, to decline",なぜ彼の申し出を断ったのですか。,Why did you turn down his offer?,3
拒む,"to refuse, to reject, to decline, to prevent (from doing), to deny (e.g. access), to block",彼女は何が起こったのか話すのを拒んだ。,She refused to speak of what had happened.,3
後悔する,"to regret, to repent, to remorse",彼は悪行を後悔している。,He regretted his misdeeds.,3
借りる,"to borrow, to have a loan, to rent, to hire",貴方は、本を借ります。,You borrow books.,3
貸す,"to lend, to loan, to rent out, to hire out",一時間ほど君の自転車を貸してくれないか。,Will you lend me your bicycle for an hour?,3
復唱する,"to recite to oneself, to repeat an order/etc",私の後について各文を復唱しなさい。,Repeat each sentence after me.,3
繰り返す,"to repeat, to do something over again",同じやり方を繰り返したってラチがあかない。,Simply repeating the same method won't do any good.,3
予約する,"to reserve, to have an appointment, to book, to order in advance, to do in advance",大阪行きの便を予約したいのですが。,Can I reserve a flight to Osaka?,3
走る,to run,私は時速５０マイルで走ることが出来ます。,I can run at the rate of fifty miles an hour.,3
救出する,"to rescue, to extricate, to reclaim",乗客は沈みかけている船から救出された。,The passengers were taken off the sinking ship.,3
助ける,"to save, to rescue, to help, to assist",彼はその目の見えない人が通りを横断するのを助けた。,He helped the blind man to cross the street.,3
手伝う,"to help, to assist, to aid",私はしばしば妹が宿題をするのを手伝う。,I often assist my sister to do her homework.,3
言う,"to say, to utter, to declare, to name, to call",彼に会ったらよろしく言ってください。,"In case you see him, please say hello to him for me.",3
叱る,"to scold, to chide, to rebuke, to reprimand",彼は必ず私達を叱るだろう。,He will scold us no matter what.,3
見る,"to see, to look, to watch, to view, to observe",その光景は見るに堪えなかった。,I could not bear to see the scene.,3
売る,to sell,その店ではあらゆる種類の品物を売っている。,The shop sells articles of all kinds.,3
送る,"to send (a thing), to dispatch, to despatch, to transmit",品物は代金引換でお送りいたします。,The article will be sent cash on delivery.,3
叫ぶ,"to shout, to cry, to scream, to shriek, to yell, to exclaim",窓の外で誰かが叫ぶのが聞こえた。,I heard someone shout outside the window.,3
見せる,"to show, to display",部屋を見せていただけますか。,Could I see the room please?,3
着席する,"to take a seat, to sit down",どうぞご着席ください、みなさん。,"Please be seated, ladies and gentlemen.",3
座る,"to sit, to squat",テーブルの向こうの端に座っているのは誰ですか。,Who is the man sitting at the other end of the table?,3
微笑む,to smile,彼女は微笑みながら言いました。,She said with a smile.,3
話す,"to talk, to speak, to converse, to chat",ちょっといっぱいやりながら話そう。,Let's have a talk over a couple of drinks.,3
盗む,to steal,私は、列車の中でカメラを盗まれた。,I had got my camera stolen in the train.,3
止める,"to stop, to turn off",どこで車を止めるかが問題だ。,The question is where to stop the car.,3
止まる,"to stop (moving), to come to a stop",大雨のために列車が止まった。,Trains stopped in consequence of the heavy rain.,3
勉強する,to study,彼は試験にパスするように大いに勉強する。,He works hard that he may pass the examination.,3
泳ぐ,to swim,私の弟は夏になると毎日泳いでいます。,私の弟は夏になると毎日泳いでいます。,3
水泳する,"to swim, swimming",私は夏休み中午後には水泳をした。,I swam in the afternoons during the summer vacation.,3
飲む,"to drink, to gulp, to swallow, to take (medicine)",お酒を飲もうよ。,Let's have sake.,3
取る,"to take, to pick up, to harvest, to earn, to win, to choose",良い席を取るために私は早く家をでた。,I left home early so as to get a good seat.,3
捕る,"to take, to catch, to capture",この川で捕れる魚はみんなおいしい。,The fish caught in this river are all nice.,3
撮る,"to take (a photo), to record (video, audio, etc.), to make (a film)",あなたがパリで撮った写真を見せて下さい。,Let me see the pictures you took in Paris.,3
取れる,"to come off, to be removed, to disappear, to be caught, to be taken as, to be attained",コートのボタンが取れた。,A button has come off my coat.,3
滑る,"to glide, to slide (e.g. on skis), to slip",私は滑って階段から転げ落ちた。,I slipped and fell down the stairs.,3
抱く,"to embrace, to hold in the arms (e.g. a baby), to hug",その子供は母親の腕の中に抱かれて安心した。,That child felt secure in his mother's arms.,3
脅す,"to threaten, to menace, to frighten (into doing)",見知らぬ男が彼女をナイフで脅した。,A strange man menaced her with a knife.,3
触れる,"to touch, to feel, to experience, to come in contact with, to perceive, to touch on",私の手が彼女の手に触れた。,My hand came into contact with her hand.,3
触る,"to touch, to feel",彼は私のほおに触った。,He touched me on the cheek.,3
接する,"to touch, to come in contact with, to border on, to adjoin, to be adjacent,",僕の郷里の町は海に接している。,My hometown is adjacent to the ocean.,3
弄る,"to finger, to touch, to play with, to fiddle with, to toy with",その鍵をいじるな！,Don't play with that key!,3
翻訳する,"to translate, to decipher, to decide",その小説は多くの言語に翻訳されてきた。,The novel has been translated into many languages.,3
訳す,"to translate, to interpret",下線のある文を訳しなさい。,Translate the underlined sentences.,3
信用する,"to trust, to have faith, to have confidence",私以外の会員は皆彼の言うことを信用している。,All the members but me have faith in what he says.,3
試みる,"to try, to attempt, to have a go (at something)",彼はその実験を何度も試みた。,He tried the experiment again and again.,3
試す,"to attempt, to test, to try out",彼はその新しい機械を試してみた。,He tried out that new machine.,3
曲がる,"to bend, to curve, to warp, to wind, to twist, to turn",右へ曲がれば前方に市役所がありますよ。,"Turning to the right, you will find the city hall in front of you.",3
甘く見る,"to not take seriously, to take lightly",対戦相手を甘く見るな。,Don't underestimate your opponent.,3
理解する,"to understand, to comprehend",彼は何でもすぐに理解する。,He understands everything right on the spot.,3
合体させる,"to unite, to ally, to combine, to merge, coalescence, amalgamation, incorporation",２つの国は合体させて１つの国になった。,The two countries were merged into one.,3
待つ,to wait,しばらくこのままお待ち下さい。,"Hold on for a while, please.",3
欲する,"to want, to desire",彼が何を欲しているのか分からない。,I can't make out what he wants.,3
警告する,"to warn, to advice",彼らは我々にこの計画は失敗するかもしれないと警告した。,They warned us of our possible failure in this plan.,3
働く,"to work, to labor, to labour",彼は経理部で働いている。,He is an accountant at the company.,3
書く,"to write, to compose, to pen",それについて書く事柄がない。,I don't have anything about which to write.,3
書き留める,"to write down, to make a note of, to put on record, to chronicle",彼の住所を書き留めなさい。,Put his address down.,3
勤める,"to work (for), to be employed (at), to serve (in), to serve (as), to act (as)",彼の兄は貿易会社に勤めています。,His brother works for a trading company.,3
努める,"to endeavor (endeavour), to try, to strive, to make an effort, to exert oneself",体力を増やすように努めなさい。,Try to build up your strength.,3
喋る,"to talk, to chat, to chatter",私たちはお茶を飲みながら喋っていた。,We were chatting over tea.,3
味わう,"to taste, to savor, to savour, to relish, to appreciate, to go through",これは私が初めて味わった日本料理だった。,This was the first Japanese food I had ever tasted.,3
預かる,"to look after, to take care of, to keep, to hold on to, to keep in custody",この貴重品を預かってもらえますか。,Could you hold these valuables?,3
焦る,"to be in a hurry, to be impatient, to be flustered",彼は遅れを取り戻そうと焦っている。,He's desperately trying to make up for the delay.,3
温まる,"to warm oneself, to sun oneself, to warm up, to get warm",私は風呂で温まった。,I warmed myself in the bath.,3
当たる,"to be hit, to strike, to touch, to be in contact, to be affixed",波は岩に勢いよく当たって砕けた。,The waves dashed against the rocks.,3
