Script.Archi,Meaning.Archi,Script.Sushi,Meaning.Sushi,Script.Vision,Meaning.Vision,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
つくり方がめちゃ面白くて,The way it's built is very interesting.,,,それは障がいの[ある] ―,That's when I see parent's suffering.,,,,,,,,,,,,,,,,,,
建物が出来て１年経ってから みんなで考えて作りました,It was built a year after the building was completed.,,,あるいは 見えにくくなっていく,The parent(s) of a child with,,,,,,,,,,,,,,,,,,
途中作るときは家のことばっかり一生懸命で 他のことは考えられないんですけど,"When we were building it, we were so focused on the house that we couldn't think about anything else.",,,子どもさんを持ってる 親御さんの気持ちですね,"a condition, or progressing conditions.",,,,,,,,,,,,,,,,,,
住んでみてからだと 結構良い答えがでた,"But after living in the house, the answer was pretty good.",,,それは もう一番辛い,It's the most difficult thing for me.,,,,,,,,,,,,,,,,,,
ということで,That's why we decided to build this house.,,,子どもは割と 平気だったりするんですけども,"Often child does not feel the burden so much as his parent,",,,,,,,,,,,,,,,,,,
瀬戸物市があったり寺子屋があったり,"There is a Setomono-Mono (ceramic ware) market, a temple school, and an old lady holds a tea ceremony.",,,親御さんをどう慰めていいのかっていうのは 非常に難しいです,but it is very difficult to console his parents.,,,,,,,,,,,,,,,,,,
おばあちゃんがお茶の会を開いたり,Grandma holds tea gatherings...,,,色んな親子関係を 見せて頂くんですけれども,I observe many parent-child relationships,,,,,,,,,,,,,,,,,,
当然 集会をやったりしています,"Naturally, we hold gatherings and so on.",,,その中で 親御さんが どういう風に その疾患,and I can tell how a parent perceives,,,,,,,,,,,,,,,,,,
ターニングポイントが来ました,There was a turning point.,,,あるいは 視覚障がいを考えているかで,the illness makes,,,,,,,,,,,,,,,,,,
2000年だと思っています,I think it was the year 2000.,,,子どもの人生が全然違います,a huge difference to a child's life.,,,,,,,,,,,,,,,,,,
古い建物があちこちに残り,There are still old buildings here and there.,,,わりと平気に 普通のことのように 接する親の人だと,"If they deal with the condition just like another event in life,",,,,,,,,,,,,,,,,,,
芦屋でも 空き家が 沢山あるそうですが,There are many empty houses in Ashiya.,,,普通に育っていくんですけど,the kid will develop like healthy children.,,,,,,,,,,,,,,,,,,
僕たちは そこに,We're proposing an architecture that doesn't build there.,,,中には「見えないことが可哀想,But some parents become too protective of their children,,,,,,,,,,,,,,,,,,
つくらない建築を提案しています,We are proposing architecture that doesn't need to be built.,,,何もできないからやってあげないと」,But some parents become too protective of their children and take away opportunity,,,,,,,,,,,,,,,,,,
つくらない建築を説明する,I'll explain the architecture not to be built.,,,という風に 囲い込んで,from the child to adapt to the condition.,,,,,,,,,,,,,,,,,,
ちょっとこれ模型を持ってきました,I've brought a model.,,,可哀想にしてしまう 親の方もいらっしゃるんですね,This will make kids more vulnerable.,,,,,,,,,,,,,,,,,,
敷地の中に 両サイドに蔵があります,There are warehouses on both sides of the site.,,,子どもが — 小さな子ども 小学校の低学年ぐらいが,"Those kids - indeed very young, visually-challenged primary schoolers",,,,,,,,,,,,,,,,,,
大きな木が３本あります,There are three big trees.,,,自分も辛いだろうに 不安だろうに,"pretend that they can see,",,,,,,,,,,,,,,,,,,
これを全部残して,We'll leave all of them.,,,親が心配するから 見えるふりをするんですね,"only to make their parents not worried,",,,,,,,,,,,,,,,,,,
大きな屋敷ですが 家は三つだけ建てようと,"It's a big house, but we're only going to build three houses.",,,それに気づく時は いつも非常に辛い気持ちがします,"Whenever I see this, I feel my heart broken.",,,,,,,,,,,,,,,,,,
こんな贅沢が通用するのは,This kind of extravagance is only possible with...,,,これはちょっと違う対応なんじゃないかな と思っていたところ,"What other approaches do we have - I was thinking,",,,,,,,,,,,,,,,,,,
残す建築「つくらない建築」 だからです,"Because it's a ""don't build"" type of architecture.",,,よく考えると 社会全体もそうかなと思います,"then if you think about it, it's the same for the entire society.",,,,,,,,,,,,,,,,,,
１人当たりかなり広いものが つくれます,Each person can build a large house.,,,視覚障がい — 「可哀想」「何もできない人」,"The visually-challenged, tend to be seen as severely handicapped and miserable.",,,,,,,,,,,,,,,,,,
で 低い建物ができます,And we can build low buildings.,,,そういう風に接すると そういう風になってしまう訳ですね,"If you treat people that way, you will encourage them to adapt accordingly.",,,,,,,,,,,,,,,,,,
高い建物はつくりません,We don't build tall buildings.,,,ですから ここを変えないといけないな という風に思った訳です,"If you treat people that way, you will encourage them to adapt accordingly. I thought this had to change.",,,,,,,,,,,,,,,,,,
今 フォークアーキテクチャーの 時代が来ているというのは,I think the age of folk architecture is coming.,,,30年くらい 医療人をやってますと,Working as a physician for over 30 years -,,,,,,,,,,,,,,,,,,
そういう時代の流れを感じて 僕は若い人たちと一緒に,"I feel the trend of the times, and I'm working with young people to promote folk architecture.",,,医療っていうのは,Medical profession is -,,,,,,,,,,,,,,,,,,
フォークアーキテクチャーを 進めるという,I'm working with young people to promote folk architecture.,,,治療を もちろんできたらいいんです —,It's the best if we can cure patients' conditions -,,,,,,,,,,,,,,,,,,
この仕事もそういうことでやっています,That's what I'm doing in this job.,,,治療をすることが本業なんですけれども,our job is to treat patients.,,,,,,,,,,,,,,,,,,
もう一点,One more point.,,,たとえ 治療できなくても,"However, I came to think that even if I cannot cure them right away,",,,,,,,,,,,,,,,,,,
一番 僕が実は今日言いたかったのは,The most important thing I wanted to say today is...,,,患者さんに安心と満足が与えられたら,"However, I came to think that even if I cannot cure them right away, I could make them feel safe and be ok to live with the conditions meanwhile.",,,,,,,,,,,,,,,,,,
建築をつくらない意味は,The meaning of not creating architecture,,,いいのかなという 境地になっているんです,I could make them feel safe and be ok to live with the conditions meanwhile.,,,,,,,,,,,,,,,,,,
蔵を残すことより以上に大事なのは,What is more important than preserving the warehouse,,,そう思いますと,"Then this,",,,,,,,,,,,,,,,,,,
建築家がつくろうと思わないこと,more important than preserving the storehouse is that architects don't think about building it.,,,それっていうのは 医療者だけじゃなくて 誰でもできることなんですね,"this is something can be done by anyone, everyone, not only those in medicine.",,,,,,,,,,,,,,,,,,
みなさんとちゃんと話をすれば,If we have a proper discussion with you all,,,今は 先制医療とか予防医療とかが 非常に重要になってきて,Preemptive and preventive medicine are becoming more and more important.,,,,,,,,,,,,,,,,,,
良いものが勝手に できちゃうというもので,"If we talk with you properly, we can create something good on our own.",,,本当に医療っていうのが 病院の中だけじゃなくて,Preemptive and preventive medicine are becoming more and more important. Healthcare is expanding beyond hospitals.,,,,,,,,,,,,,,,,,,
建築はつくるものではなくて できるものだという風に考えています,"I believe that architecture is not something that is created, but something that can be created.",,,社会に出て行かないといけない時期です,Healthcare is expanding beyond hospitals. I myself have been wondering how I managed,,,,,,,,,,,,,,,,,,
そのメッセージを 今日 みなさんにお伝えしました,That's the message I'm trying to convey to you today.,,,私自身 世界初のiPS細胞を どうしてできたのかな？,"to establish the first iPS cell therapy,",,,,,,,,,,,,,,,,,,
どうもありがとうございます,Thank you very much. Translated with www.DeepL.com/Translator (free version),,,あるいは「ロービジョンケア」というのを 一所懸命やってます,"or why I work relentlessly on ""low vision care"".",,,,,,,,,,,,,,,,,,
,,,,「どうしてですか？」と聞かれたときに,People ask me why I do what I do -,,,,,,,,,,,,,,,,,,
,,,,よく考えたら 別に「人類初のことをしよう」とかですね,"It's not that I want to be the first doing what humanity has ever done,",,,,,,,,,,,,,,,,,,
,,,,あるいは 「患者さんのため」とか 言ってますけど,"or when I hear people say ""I work for my patients"" - when you say you are altruistically motivated,",,,,,,,,,,,,,,,,,,
,,,,「他人のため」っていうのは 大体 自分のために決まってますね,"when you say you are altruistically motivated, it's usually all about yourself.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,よく考えると やっぱり そうではなくてですね,"Then again, if I really think hard, those did not motivate me.",,,,,,,,,,,,,,,,,,
,,,,「半径３メートル以内にいる人が 悲しんでるのを見るのが嫌」っていう,I just don't want to see people within my 3 meters of radius suffering.,,,,,,,,,,,,,,,,,,
,,,,それだけなんですね,That's all.,,,,,,,,,,,,,,,,,,
,,,,それだけでここまで来ました,This simple thought brought me to where I am today.,,,,,,,,,,,,,,,,,,
,,,,私の場合 毎週外来に患者さんが来て 辛い目を見ますので,"This simple thought brought me to where I am today. As for me, I see patients weekly and witness their suffering.",,,,,,,,,,,,,,,,,,
,,,,それをなんとかしたいという 半径３メートルの話だけです,I want to solve sufferings of people within three meters.,,,,,,,,,,,,,,,,,,
,,,,そういう人たちは多分多いはずで,"Probably many out there are feeling the same way,",,,,,,,,,,,,,,,,,,
,,,,ですからこの問題を 皆んなの問題であるっていう風に,so I realized that we can share this among us,,,,,,,,,,,,,,,,,,
,,,,問題を皆んなの３メートル以内に 持っていけばいいなっていうのが分かりました,by bringing it to each of our three meters radius distance.,,,,,,,,,,,,,,,,,,
,,,,それで 公益法人を作って 今やっているのが『isee!運動』です,"Then, created was the ""NEXT VISION"" and the ""isee!"" movement.",,,,,,,,,,,,,,,,,,
,,,,そうやって 例えば企業の方に 理解してもらえないために,"See, still many visually challenged are leaving their workplace,",,,,,,,,,,,,,,,,,,
,,,,まだまだ働ける人が どんどん辞めているんですよ —,because of the lack of employers' understanding.,,,,,,,,,,,,,,,,,,
,,,,「あなたたち 問題は傍にありますよ」 ということを,"We want to point that out and say ""Look, your problem is right there,",,,,,,,,,,,,,,,,,,
,,,,持っていけばいいんじゃないかな というふうに思っています,"We want to point that out and say ""Look, your problem is right there, and you can solve it"".",,,,,,,,,,,,,,,,,,
,,,,そういう風に感じていたところ 最近twitterで見つけた言葉がありました,"Recently, I found this on Twitter;",,,,,,,,,,,,,,,,,,
,,,,「『医学の発達であなたの目もきっと 見えるようになりますよ』って,"""People often tell me in consolation, 'when medicine makes enough progress,",,,,,,,,,,,,,,,,,,
,,,,よく言われるけど,you will be able to see again.',,,,,,,,,,,,,,,,,,
,,,,それは慰めのつもりで言ってくださる度に,"They mean well, but whenever I hear this,",,,,,,,,,,,,,,,,,,
,,,,『目が見えないことが 悪いんかい？』と 思ってしまう」と,"it makes me wonder ""wait, is it such 'a bad thing' that I am blind?""",,,,,,,,,,,,,,,,,,
,,,,「むしろ『見えなくても 生きやすい社会になりますよ』と,"I would rather hear people say 'you will live in a society where you feel it's nothing to be blind.'""",,,,,,,,,,,,,,,,,,
,,,,言っておくれ」ということ,"where you feel it's nothing to be blind.'"" That is the society I envision -",,,,,,,,,,,,,,,,,,
,,,,これは私は 本当にそうだと思っていて こういう社会を作りたいんですね,That is the society I envision - where visual disability does not get in your way.,,,,,,,,,,,,,,,,,,
,,,,そのためには 社会もですし,"For that, everybody needs to change; the society,",,,,,,,,,,,,,,,,,,
,,,,障がい者あるいは見えにくい人も 変わってもらわないといけない,"the disabled, or the partially disabled, must change.",,,,,,,,,,,,,,,,,,
,,,,これよく 私が講演で使うんですけど,"The following is something I use often in my lecture,",,,,,,,,,,,,,,,,,,
,,,,「ニーバーの祈り」という有名な言葉です,"""Serenity Prayer"" by Reinhold Niebuhr:",,,,,,,,,,,,,,,,,,
,,,,「変わらないものを受け入れる 寛容さと,"""Serenity to accept what cannot be changed,",,,,,,,,,,,,,,,,,,
,,,,変わるものを変えようとする勇気,"courage to change what should be changed,",,,,,,,,,,,,,,,,,,
,,,,そしてその２つを取り違えない英知」 これが大事であると,"and wisdom to distinguish the one from the other.""",,,,,,,,,,,,,,,,,,
,,,,確かにそうなんです,This is absolutely true.,,,,,,,,,,,,,,,,,,
,,,,皆さん 再生医療でも残念ながら 元通り見えるようには,"You see, current regenerative medicine does not promise us full recovery of sight, at least not for now.",,,,,,,,,,,,,,,,,,
,,,,今は ならない —,"does not promise us full recovery of sight, at least not for now.",,,,,,,,,,,,,,,,,,
,,,,まあ 50年後は 多分できると思うんだけど 今はならない,"Fifty years from now, may be. But not now.",,,,,,,,,,,,,,,,,,
,,,,だけど それなりに変えられないものを 変えようとして必死でもがいている,We do strive to change what cannot be changed.,,,,,,,,,,,,,,,,,,
,,,,一方で デバイスを使えば 読み書きできるんだけれども,"On the other hand, most of the patients will be reading and writing helped by some devices,",,,,,,,,,,,,,,,,,,
,,,,それをいくら勧めても そうしようと しない方が殆どなんですね,"most of the patients will be reading and writing helped by some devices, but they insist on not using those aids.",,,,,,,,,,,,,,,,,,
,,,,ですので どうやらその２つを 取り間違えてる方が多いんじゃないかなと,"Which, I think, is because they are confused with what can be changed, and what's not.",,,,,,,,,,,,,,,,,,
,,,,それを外来でお伝えして そうすると それだけで,"When I tell this to my patients,",,,,,,,,,,,,,,,,,,
,,,,安堵の涙を流してくれる方も いらっしゃるんです,some sheds tears from relief.,,,,,,,,,,,,,,,,,,
,,,,そういう風に毎週 患者さんにずっと言っていたら,"As I repeat Niebuhr every week to my patients,",,,,,,,,,,,,,,,,,,
,,,,いつのまにか 「あれ？これは患者さん向けじゃなくて,"I notice that this applies not only to them,",,,,,,,,,,,,,,,,,,
,,,,皆んなに あるいは自分にもそうだな」と,but to everyone and myself.,,,,,,,,,,,,,,,,,,
,,,,「間違えてないか？」と —,"""Aren't we confused with",,,,,,,,,,,,,,,,,,
,,,,変えられるところと 変えられないところとを,what can be changed and with what cannot be changed?,,,,,,,,,,,,,,,,,,
,,,,間違えてないかな？っていうのを思いました,"what can be changed and with what cannot be changed? Isn't that what we are quite confused about?""",,,,,,,,,,,,,,,,,,
,,,,もし 不満とか不安があるようでしたら,"If you are facing frustration or have worries,",,,,,,,,,,,,,,,,,,
,,,,ちょっと考え方を変えて ちょっと違うところに行くと,"you might want to try shifting your perspective,",,,,,,,,,,,,,,,,,,
,,,,障害にぶち当たって行き止まりで,you might have been hitting the wall,,,,,,,,,,,,,,,,,,
,,,,直線で行こうと思っているところが,"walking straight into it,",,,,,,,,,,,,,,,,,,
,,,,すっと世界が広がるのかも知れない という風に思っています,"but once you change your perspective, you might see a new horizon before you.",,,,,,,,,,,,,,,,,,
,,,,ですので もし不満とか 不安というのがある場合は,"So, be a person who try different perspectives,",,,,,,,,,,,,,,,,,,
,,,,変える人になってみたらどうかな という風に思います,when in doubt or in frustration.,,,,,,,,,,,,,,,,,,
,,,,それがメッセージです,That is my message.,,,,,,,,,,,,,,,,,,
