Verbs,Reading,Meaning
駆け回る,かけまわる,run around
目論む,もくろむ,plan
懸ける,かける,put a stake in someone's hand
押し遣る,おしやる,push someone around
乗り移る,のりうつる,get on top of
ちぎれる,ちぎれる,tear off
抜け出る,ぬけでる,slip out
窄める,すぼめる,narrow
目する,もくする,see
譲り受ける,ゆずりうける,take over
抗する,こうする,resist
掻き上げる,かきあげる,scrape up
起つ,たつ,raise
盛り付ける,もりつける,heap up
寝付く,ねつく,fall asleep
ぼやける,ぼやける,blur
捜し回る,さがしまわる,look around for something
萎む,しぼむ,fade
押し切る,おしきる,push through
似通う,にかよう,resemble
叱り付ける,しかりつける,scold
捲し立てる,まくしたてる,talk on and on
駆け下りる,かけおりる,run down
書き付ける,かきつける,write down
息衝く,いきづく,gasp
突き飛ばす,つきとばす,push off
巻き起こす,まきおこす,create something new and exciting
花開く,はなひらく,blossom
打ち立てる,うちたてる,set in motion
織り込む,おりこむ,weave
追い抜く,おいぬく,overtake
蔑む,さげすむ,despise
乗り入れる,のりいれる,ride in
忘れ去る,わすれさる,forget
這い上がる,はいあがる,crawl up
仄めかす,ほのめかす,imply
立て掛ける,たてかける,set up
語り継ぐ,かたりつぐ,tell a story
模する,もする,imitate
呼び込む,よびこむ,call in
咳き込む,せきこむ,cough
屈み込む,かがみこむ,bend down
資する,しする,contribute
煮立つ,にたつ,boil
送り返す,おくりかえす,send back
突っ張る,つっぱる,stick out
折り曲げる,おりまげる,bend
分け合う,わけあう,share
憤る,いきどおる,resent
見回る,みまわる,look around
ぶつかり合う,ぶつかりあう,clash
利する,りする,profit
刷る,する,print
脱げる,ぬげる,take off
盗る,とる,steal
縮まる,ちぢまる,shrink
切り替わる,きりかわる,switch
噴く,ふく,blow
捗る,はかどる,progress
抗う,あらがう,resist
伏す,ふす,lie down
舞い戻る,まいもどる,dance back
零れ落ちる,こぼれおちる,spill over
竦む,すくむ,cower
長ずる,ちょうずる,lengthen
狭める,せばめる,narrow
溶く,とく,melt
拝する,はいする,worship
振りかぶる,ふりかぶる,wave a sword over your head
競る,せる,compete
漁る,あさる,scavenge
強請る,ねだる,extort
安らぐ,やすらぐ,be at ease
聞き入る,ききいる,listen to
蔓延る,はびこる,spread
訝る,いぶかる,wonder
兼ね備える,かねそなえる,combine
刳り抜く,くりぬく,gouge out
嬲る,なぶる,tamper
冠する,かんする,crown
埋め立てる,うめたてる,reclaim
見越す,みこす,anticipate
刷り込む,すりこむ,imprint
吹き抜ける,ふきぬける,blow through
着込む,きこむ,land on
駆け上る,かけのぼる,run up
映える,はえる,reflect
待ち合わせる,まちあわせる,wait for
持ち堪える,もちこたえる,hold out
寄せ合う,よせあう,gather
忍び寄る,しのびよる,creep up on each other
へばり付く,へばりつく,cling to
待ち望む,まちのぞむ,wait and look forward to
飛び起きる,とびおきる,jump up
吹き荒れる,ふきあれる,blow up in a storm
育て上げる,そだてあげる,raise up
嘲笑う,あざわらう,ridicule
抱き寄せる,だきよせる,embrace
濯ぐ,ゆすぐ,rinse
食む,はむ,eat
そぐう,そぐう,treat
言い当てる,いいあてる,guess
戦く,おののく,fight
悶える,もだえる,agonize
浮腫む,むくむ,float
落ち合う,おちあう,fall on each other
隔たる,へだたる,separate
磨る,する,grind
務まる,つとまる,serve
焦がす,こがす,burn
焼き付ける,やきつける,burn
禿げる,はげる,bald
転ける,こける,roll
速める,はやめる,quicken
打ち壊す,うちこわす,break down
投げ入れる,なげいれる,throw in
煙る,けむる,smoke
選び出す,えらびだす,pick out
討ち取る,うちとる,defeat
食わす,くわす,feed
湧き出る,わきでる,gush out
思す,おぼす,contemplate
まさぐる,まさぐる,perceive
切り分ける,きりわける,carve out
扮する,ふんする,dress up
炙る,あぶる,burn
遣らす,やらす,do something
抜け落ちる,ぬけおちる,fall out
孵す,かえす,hatch
着飾る,きかざる,dress up
囚われる,とらわれる,be caught
踏み躙る,ふみにじる,tread on
差し当たる,さしあたる,confront
陰る,かげる,be overshadowed
移ろう,うつろう,shift
吹き上げる,ふきあげる,blow up
食い違う,くいちがう,eat differently
扱く,しごく,handle
払い除ける,はらいのける,brush away
帰する,きする,return
押し黙る,おしだまる,shut down
早まる,はやまる,hasten
薄らぐ,うすらぐ,fade away
生き長らえる,いきながらえる,survive
引き入れる,ひきいれる,bring in
縁取る,ふちどる,fringe
潤す,うるおす,enrich
帰り着く,かえりつく,return
撫で下ろす,なでおろす,pat down
戯ける,おどける,play with
締め出す,しめだす,shut out
関わり合う,かかわりあう,relate to each other
勝ち誇る,かちほこる,be proud of your victory
吹き出る,ふきでる,blow out
ばらす,ばらす,scatter
散らかる,ちらかる,make a mess
めげる,めげる,be discouraged
泣き止む,なきやむ,stop crying
言い寄る,いいよる,court
急かす,せかす,hurry him up
寝かす,ねかす,put someone to sleep
身籠もる,みごもる,take in a baby
取り繕う,とりつくろう,make up for it
転げ落ちる,ころげおちる,tumble down
書き送る,かきおくる,write down
擦り下ろす,すりおろす,rub down
飛び出る,とびでる,pop out
寝転がる,ねころがる,lie down
騙る,かたる,cheat
逃げ回る,にげまわる,run away
跳ね返る,はねかえる,bounce back and forth
溢れ出る,あふれでる,overflow
白む,しらむ,turn white
吸い付く,すいつく,suck on
溢れ出す,あふれだす,overflow
送り届ける,おくりとどける,send
凭れ掛かる,もたれかかる,recline on
封じ込める,ふうじこめる,contain
覆い被さる,おおいかぶさる,cover
分け入る,わけいる,divide
明け放つ,あけはなつ,open
紐解く,ひもとく,unravel
走り寄る,はしりよる,run to
律する,りっする,discipline
修める,おさめる,discipline
書き表わす,かきあらわす,write down
潤う,うるおう,moisten
腫れ上がる,はれあがる,swell up
愚痴る,ぐちる,complain
突き破る,つきやぶる,break through
話し込む,はなしこむ,talk about something
浮かれる,うかれる,get carried away
売れ残る,うれのこる,sell out
括り付ける,くくりつける,bundle
反る,そる,warp
慈しむ,いつくしむ,love
頼み込む,たのみこむ,ask someone to do something for you
銘ずる,めいずる,inscribe
舞い込む,まいこむ,dance
覆い隠す,おおいかくす,cover
明け放す,あけはなす,give openly
辱しめる,はずかしめる,humiliate
移り変わる,うつりかわる,change
揺られる,ゆられる,sway
振り向ける,ふりむける,turn around
吹き掛ける,ふきかける,spray
切り刻む,きりきざむ,cut into pieces
売り払う,うりはらう,sell off
掃く,はく,sweep
見切る,みきる,see through
打ち勝つ,うちかつ,conquer
打ち砕く,うちくだく,smash
湛える,たたえる,fill
溶け合う,とけあう,melt together
申し渡す,もうしわたす,make an offer
睨み合う,にらみあう,stare at each other
咲き乱れる,さきみだれる,bloom in profusion
嗜む,たしなむ,enjoy
気付かす,きづかす,notice
侍る,はべる,serve
弔う,とむらう,mourn
作り直す,つくりなおす,remake
送り付ける,おくりつける,send
仕立て上げる,したてあげる,tailor
燃え尽きる,もえつきる,burn up
連れ戻す,つれもどす,bring back
書き写す,かきうつす,transcribe
労う,ねぎらう,work on it
見違える,みちがえる,look different
癒える,いえる,heal
ざわめく,ざわめく,make a noise
手繰る,たぐる,hand over
華やぐ,はなやぐ,flourish
踏み締める,ふみしめる,tread down
切り付ける,きりつける,cut
懸かる,かかる,hang on
読み替える,よみかえる,reread
象る,かたどる,symbolize
媚びる,こびる,flatter
尽かす,つかす,exhaust
寝惚ける,ねぼける,fall asleep
詰め寄る,つめよる,be close to someone's face
薄汚れる,うすよごれる,get dirty
押し通す,おしとおす,push through
押し入る,おしいる,push in
言い添える,いいそえる,add a word or phrase to something
忍ばせる,しのばせる,put something in someone's mouth
取り決める,とりきめる,arrange
盗み出す,ぬすみだす,steal
謗る,そしる,slander
号する,ごうする,call a name
立ち現われる,たちあらわれる,appear on the scene
嗄れる,しわがれる,become hoarse
冷え込む,ひえこむ,get cold
引ける,ひける,recede
踏み止まる,ふみとどまる,stop
連れ去る,つれさる,take away
騒ぎ立てる,さわぎたてる,make a commotion
ごった返す,ごったがえす,crowd
奥まる,おくまる,go deep
躍り出る,おどりでる,leap out
屈む,かがむ,bend down
奮い立つ,ふるいたつ,get excited
咳く,せく,cough
舞い下りる,まいおりる,soar
慮る,おもんばかる,consider
撃ち込む,うちこむ,shoot
へたり込む,へたりこむ,sink into
蝕む,そんとく,undermine
はにかむ,はにかむ,be bashful
提げる,さげる,present
取り纏める,とりまとめる,organize
羨む,うらやむ,envy
思い悩む,おもいなやむ,ponder
捜し当てる,さがしあてる,find
震え上がる,ふるえあがる,tremble
招き入れる,まねきいれる,invite in
そそり立つ,そそりたつ,soar
切り立つ,きりたつ,cut to the quick
唆す,そそのかす,inspire
眠り込む,ねむりこむ,put to sleep
呼び付ける,よびつける,call to mind
掻き消す,かきけす,drown out
転がり込む,ころがりこむ,roll in
度重なる,たびかさなる,repeat
迎え撃つ,むかえうつ,intercept
力む,りきむ,force
立ち塞がる,たちふさがる,stand in the way
巻き付く,まきつく,wrap itself around you
貶す,けなす,undermine
肥える,こえる,grow fat
そびれる,そびれる,towering over
切り抜く,きりぬく,cut through
食い付く,くいつく,bite back
跳ね返す,はねかえす,bounce back
狭まる,せばまる,narrow
捩じれる,ねじれる,twist
見放す,みはなす,give up
浮き出る,うきでる,emerge
滅入る,めいる,perish
誘い出す,さそいだす,lure
滾る,たぎる,boil
荒れ狂う,あれくるう,rage
感付く,かんづく,perceive
思い至る,おもいいたる,come to mind
先んずる,さきんずる,precede
燃え盛る,もえさかる,burst into flames
解き明かす,ときあかす,unveil
囀る,さえずる,sing
満ち足りる,みちたりる,be full to the brim
詰め掛ける,つめかける,crowd
嘗め回す,なめまわす,lick
取り下げる,とりさげる,withdraw
破く,やぶく,tear
挟まる,はさまる,pinch
連れ帰る,つれかえる,take back
出直す,でなおす,come back
有り余る,ありあまる,have more than enough
秀でる,ひいでる,excel
込み入る,こみいる,get stuck in
古ぼける,ふるぼける,grow old
失する,しっする,lose
空かす,すかす,empty
挫ける,くじける,falter
光り輝く,ひかりかがやく,shine
乗り回す,のりまわす,ride around
張り込む,はりこむ,stake out
売り付ける,うりつける,sell
漬け込む,つけこむ,soak it all in
締め切る,しめきる,shut down
寂れる,さびれる,lapse
似せる,にせる,imitate
透かす,すかす,make transparent
寄せ付ける,よせつける,bring together
祟る,たたる,haunt
繋ぎ止める,つなぎとめる,hold together
引き合う,ひきあう,attract each other
擦り替える,すりかえる,rub against each other
遭わす,あわす,make (someone) to meet (someone)
見透かす,みすかす,see through
沈み込む,しずみこむ,sink
廃れる,すたれる,go out of business
踏み潰す,ふみつぶす,trample down
入り乱れる,いりみだれる,get mixed up in
与する,くみする,give
罷る,まかる,dismiss
牛耳る,ぎゅうじる,control
殉ずる,じゅんずる,be a martyr
回り込む,まわりこむ,go around
揺らめく,ゆらめく,swing
慣らす,ならす,get used to
連れ添う,つれそう,accompany
自惚れる,うぬぼれる,be self-conceited
絶やす,たやす,exterminate
吸い上げる,すいあげる,suck up
惚れ込む,ほれこむ,fall in love
居た堪れる,いたたまれる,stay with me
割り振る,わりふる,assign
被さる,かぶさる,cover
読み直す,よみなおす,read again
熱り立つ,いきりたつ,get passionate about
受け合う,うけあう,accept
高ずる,こうずる,be exalted
滑り落ちる,すべりおちる,slip down
塗り替える,ぬりかえる,repaint
戦ぐ,そよぐ,fight
考え合わせる,かんがえあわせる,consider
仕留める,しとめる,finish off
問い直す,といなおす,ask again
上擦る,うわずる,improve
押し進める,おしすすめる,push forward
買い戻す,かいもどす,buy back
出歩く,であるく,go out
気触れる,かぶれる,get in touch with
遣らかす,やらかす,do something about it
ダブる,だぶる,dabble
危ぶむ,あやぶむ,worry about
突き合わせる,つきあわせる,be at odds with each other
備え付ける,そなえつける,provide for
持ち去る,もちさる,take away
飾り立てる,かざりたてる,decorate
慌てふためく,あわてふためく,be in a hurry
澄み切る,すみきる,clear
救い出す,すくいだす,rescue
取り分ける,とりわける,divide
遜る,へりくだる,compliant
殴り付ける,なぐりつける,strike (a person)
領する,りょうする,take possession of
差し押さえる,さしおさえる,seize
くぐもる,くぐもる,mumble
訛る,なまる,speak with an accent
折り返す,おりかえす,turn back
食い下がる,くいさがる,bite down
あやかる,あやかる,take advantage of
吃る,どもる,stutter
引きちぎる,ひきちぎる,tear off
飛び跳ねる,とびはねる,jump up and down
拾い集める,ひろいあつめる,pick up the pieces
妬む,ねたむ,envy
煎ずる,せんずる,roast
呼び覚ます,よびさます,call to mind
走り出る,はしりでる,run out
訴え掛ける,うったえかける,appeal to someone
座り直す,すわりなおす,sit down again
捉え直す,とらえなおす,recapture
和える,あえる,make peace
振り出す,ふりだす,shake out
渡り歩く,わたりあるく,walk across
泡立つ,あわだつ,foam
突っ突く,つっつく,poke and prod
挙がる,あがる,come up
解れる,ほぐれる,unravel
拱く,こまぬく,fold your arms
掬い上げる,すくいあげる,scoop up
蹴散らす,けちらす,kick out
嘯く,うそぶく,boast
娶る,めとる,take to wife
鞭打つ,むちうつ,whip
写し取る,うつしとる,copy
不貞腐れる,ふてくされる,be unfaithful
言わす,いわす,say
ずる,ずる,cheat
勘繰る,かんぐる,make a false accusation
垂れ流す,たれながす,dribble
押し倒す,おしたおす,push down
走り込む,はしりこむ,run into
飽き足る,あきたる,be satisfied
積み重なる,つみかさなる,pile up
滴り落ちる,したたりおちる,drip
はぐらかす,はぐらかす,dodge
刺し殺す,さしころす,stab to death
分け与える,わけあたえる,distribute
伸し上がる,のしあがる,stretch
