V1,R1,M1,V2,R2,M2,V3,R3,M3,V4,R4,M4,V5,R5,M5
降り注ぐ,ふりそそぐ,pour down,振り上げる,ふりあげる,shake out,取り去る,とりさる,take away,見取る,みとる,perceive,与する,くみする,give
灯す,ともす,light up,開き直る,ひらきなおる,reopen,重ね合わせる,かさねあわせる,overlap,分かち合う,わかちあう,share,罷る,まかる,dismiss
靡く,なびく,dominate,泊める,とめる,stay,項垂れる,うなだれる,hang down,立ち返る,たちかえる,return,牛耳る,ぎゅうじる,control
指し示す,さししめす,point to,引っ込める,ひっこめる,retract,織る,おる,weave,先駆ける,さきがける,pioneer,殉ずる,じゅんずる,be a martyr
志す,こころざす,aspire to,淀む,よどむ,stagnate,渇く,かわく,thirst,博する,はくする,expound,回り込む,まわりこむ,go around
偽る,いつわる,disguise,怪しむ,あやしむ,be suspicious of,ときめく,ときめく,flutter,ちらつく,ちらつく,flicker,揺らめく,ゆらめく,swing
恐れ入る,おそれいる,be afraid of,厭う,いとう,dislike,突っ走る,つっぱしる,rush,ぼやく,ぼやく,murmur,慣らす,ならす,get used to
抑え込む,おさえこむ,suppress,行き交う,いきかう,come and go,食する,しょくする,eat,口ずさむ,くちずさむ,hum,連れ添う,つれそう,accompany
滲み出る,にじみでる,ooze,引き籠もる,ひきこもる,shut oneself away,流し込む,ながしこむ,pour,沸き起こる,わきおこる,arise,自惚れる,うぬぼれる,be self-conceited
身構える,みがまえる,prepare oneself,申し入れる,もうしいれる,make an offer,明け暮れる,あけくれる,dawn and dusk,食い縛る,くいしばる,eat and bind,絶やす,たやす,exterminate
年老いる,としおいる,grow old,立ち込める,たちこめる,enshroud,朽ちる,くちる,decay,追い立てる,おいたてる,drive away,吸い上げる,すいあげる,suck up
築き上げる,きずきあげる,build up,蠢く,うごめく,wriggle,穿つ,うがつ,pierce,主立つ,おもだつ,take the lead,惚れ込む,ほれこむ,fall in love
書き留める,かきとめる,write down,点ける,つける,turn on,平伏す,ひれふす,lie down,死する,しする,die,居た堪れる,いたたまれる,stay with me
駆り立てる,かりたてる,impel,損する,そんする,lose money,助け合う,たすけあう,help each other,崇める,あがめる,worship,割り振る,わりふる,assign
尊ぶ,とうとぶ,honor,錆びる,さびる,rust,曝け出す,さらけだす,expose,組み入れる,くみいれる,incorporate,被さる,かぶさる,cover
待たす,またす,make wait,見計らう,みはからう,watch for,呼び戻す,よびもどす,call back,しゃくる,しゃくる,borrow,読み直す,よみなおす,read again
縛り付ける,しばりつける,bind,見破る,みやぶる,see through,立ち並ぶ,たちならぶ,stand side by side,乗り取る,のりとる,ride,熱り立つ,いきりたつ,get passionate about
古びる,ふるびる,grow old,入り交じる,いりまじる,mix,書き残す,かきのこす,leave a note,取り払う,とりはらう,take away,受け合う,うけあう,accept
思い詰める,おもいつめる,ponder,植わる,うわる,plant,涙ぐむ,なみだぐむ,weep,連れ立つ,つれだつ,take away,高ずる,こうずる,be exalted
宛てる,あてる,address,切り落とす,きりおとす,cut down,引き延ばす,ひきのばす,stretch,綻ぶ,ほころぶ,break into pieces,滑り落ちる,すべりおちる,slip down
乾かす,かわかす,dry,傷む,いたむ,damage,塗す,まぶす,paint,漕ぎ着ける,こぎつける,paddle,塗り替える,ぬりかえる,repaint
ばら蒔く,ばらまく,scatter,跨ぐ,またぐ,step over,推し進める,おしすすめる,push forward,執り行なう,とりおこなう,intercede,戦ぐ,そよぐ,fight
損ねる,そこねる,damage,のめり込む,のめりこむ,become engulfed in,炒る,いる,fry,煮詰める,につめる,boil down,考え合わせる,かんがえあわせる,consider
湧き上がる,わきあがる,bring to the surface,巻き上げる,まきあげる,roll up,塞がる,ふさがる,block,あやす,あやす,cherish,仕留める,しとめる,finish off
引き立てる,ひきたてる,enhance,見惚れる,みとれる,admire,障る,さわる,obstruct,生まれ付く,うまれつく,be born,問い直す,といなおす,ask again
奏する,そうする,play,言い付ける,いいつける,describe,照る,てる,illuminate,くすむ,くすむ,diminish,上擦る,うわずる,improve
暴く,あばく,expose,比する,ひする,compare,押し上げる,おしあげる,push up,切羽詰まる,せっぱつまる,become impatient,押し進める,おしすすめる,push forward
計り知れる,はかりしれる,measure,思い直す,おもいなおす,look down on,突き詰める,つきつめる,push to the limit,信じ込む,しんじこむ,believe in,買い戻す,かいもどす,buy back
容れる,いる,contain,見下す,みくだす,look down on,持て囃す,もてはやす,make popular,事欠く,ことかく,run out of things to do,出歩く,であるく,go out
扠置く,さておく,set aside,なぞる,なぞる,trace,宿す,やどす,be in one's mind,潜り抜ける,くぐりぬける,slip through the cracks,気触れる,かぶれる,get in touch with
見過ごす,みすごす,overlook,掘り出す,ほりだす,dig out,受かる,うかる,be accepted,跳ね上がる,はねあがる,jump up,遣らかす,やらかす,do something about it
居合わせる,いあわせる,happen to be present,流れ出る,ながれでる,flow out,貯まる,たまる,accumulate,窮する,きゅうする,be in a tight spot,ダブる,だぶる,dabble
分かつ,わかつ,share,突き当たる,つきあたる,come to the end of something,せがむ,せがむ,urge,揺るぐ,ゆるぐ,shake,危ぶむ,あやぶむ,worry about
跳ぶ,とぶ,jump,言い残す,いいのこす,leave something unsaid,遣り過ごす,やりすごす,do too much,脱ぎ捨てる,ぬぎすてる,take off one's clothes,突き合わせる,つきあわせる,be at odds with each other
拾い上げる,ひろいあげる,pick up,怯む,ひるむ,be frightened,打ち消す,うちけす,cancel,たじろぐ,たじろぐ,flinch,備え付ける,そなえつける,provide for
弄ぶ,もてあそぶ,play with,勝ち取る,かちとる,win,縺れる,もつれる,get entangled,取り調べる,とりしらべる,interrogate,持ち去る,もちさる,take away
導き出す,みちびきだす,derive,役立てる,やくだてる,make use of,甘んずる,あまんずる,take advantage of,撒き散らす,まきちらす,scatter,飾り立てる,かざりたてる,decorate
まつる,まつる,pine for,締め括る,しめくくる,bring to a close,駆け上がる,かけあがる,run up,手間取る,てまどる,take the trouble,慌てふためく,あわてふためく,be in a hurry
取り寄せる,とりよせる,fetch,魅する,みする,charm,擡げる,もたげる,raise,鈍る,にぶる,slow down,澄み切る,すみきる,clear
遣っ付ける,やっつける,finish off​,軋む,きしむ,creak,抱き上げる,だきあげる,pick up,抱き抱える,だきかかえる,hold in one's arms,救い出す,すくいだす,rescue
売り出す,うりだす,market,問い詰める,といつめる,question,鑑みる,かんがみる,take into account,絡み付く,からみつく,entangle,取り分ける,とりわける,divide
草臥れる,くたびれる,lie in the grass,替わる,かわる,replace,絞り込む,しぼりこむ,narrow down,飛び乗る,とびのる,jump on,遜る,へりくだる,compliant
滑り込む,すべりこむ,slip into,晴らす,はらす,clear,焼き付く,やきつく,burn,立て籠る,たてこもる,huddle in a room,殴り付ける,なぐりつける,strike (a person)
報いる,むくいる,reward,生やす,はやす,make alive,溜め込む,ためこむ,accumulate,捜し求める,さがしもとめる,seek out,領する,りょうする,take possession of
打ち破る,うちやぶる,break down,惑わす,まどわす,confuse,膨れる,ふくれる,swell,取り次ぐ,とりつぐ,intercede,差し押さえる,さしおさえる,seize
煮込む,にこむ,stew,承る,うけたまわる,accept,洗い流す,あらいながす,wash away,因る,よる,cause,くぐもる,くぐもる,mumble
悔やむ,くやむ,regret,横たえる,よこたえる,lay down,打ち解ける,うちとける,break the ice,赤らめる,あからめる,redden,訛る,なまる,speak with an accent
呪う,のろう,curse,嵩む,かさむ,bulk up,諫める,いさめる,admonish,出し合う,だしあう,come to a decision,折り返す,おりかえす,turn back
火照る,ほてる,light a fire,舞い上がる,まいあがる,soar,刻み込む,きざみこむ,engrave,思い止まる,おもいとどまる,stop to think,食い下がる,くいさがる,bite down
ぶら下げる,ぶらさげる,dangle,高ぶる,たかぶる,soar,流れ落ちる,ながれおちる,flow down,仕舞い込む,しまいこむ,put away,あやかる,あやかる,take advantage of
詰る,なじる,pack,興す,おこす,rise,寝込む,ねこむ,go to bed,持たす,もたす,give something to someone else,吃る,どもる,stutter
照らし出す,てらしだす,shine out,振り払う,ふりはらう,shake off,書き直す,かきなおす,rewrite,為出かす,しでかす,make a plan,引きちぎる,ひきちぎる,tear off
口籠もる,くちごもる,shut your mouth,移り住む,うつりすむ,move,飛び越える,とびこえる,jump over,匿う,かくまう,hide,飛び跳ねる,とびはねる,jump up and down
裂ける,さける,split,根差す,ねざす,take root,吸い取る,すいとる,suck up,入り組む,いりくむ,be intricate,拾い集める,ひろいあつめる,pick up the pieces
押し潰す,おしつぶす,crush,蹌踉く,よろめく,stagger,陣取る,じんどる,take up a position,架ける,かける,build a bridge,妬む,ねたむ,envy
持て成す,もてなす,entertain,押さえ付ける,おさえつける,hold down,届け出る,とどけでる,report,連れ込む,つれこむ,bring in,煎ずる,せんずる,roast
突き刺す,つきさす,pierce,紛れ込む,まぎれこむ,blend in,聞き付ける,ききつける,listen to,頬張る,ほおばる,chew,呼び覚ます,よびさます,call to mind
畏まる,かしこまる,be in awe of,侮る,あなどる,underestimate,絶する,ぜっする,exterminate,喫する,きっする,eat,走り出る,はしりでる,run out
画する,かくする,draw,長ける,たける,lengthen,押し当てる,おしあてる,press against,瀕する,ひんする,be on the verge of,訴え掛ける,うったえかける,appeal to someone
醸し出す,かもしだす,brew,上り詰める,のぼりつめる,ascend,笑い掛ける,わらいかける,smile upon,奉ずる,ほうずる,serve,座り直す,すわりなおす,sit down again
轟く,とどろく,roar,念ずる,ねんずる,contemplate,生き返る,いきかえる,come back to life,教え込む,おしえこむ,teach,捉え直す,とらえなおす,recapture
座する,ざする,sit,疼く,うずく,tingle,突き抜ける,つきぬける,break through,垂れ下がる,たれさがる,hang down,和える,あえる,make peace
吐き捨てる,はきすてる,spit,混ぜ合わせる,まぜあわせる,mix,切り上げる,きりあげる,cut up,仕向ける,しむける,instruct,振り出す,ふりだす,shake out
こびり付く,こびりつく,stick to,仕込む,しこむ,prepare,苛む,さいなむ,torment,割り出す,わりだす,assign,渡り歩く,わたりあるく,walk across
飛び散る,とびちる,scatter,合わす,あわす,combine,色褪せる,いろあせる,fade away,照らし合わせる,てらしあわせる,illuminate,泡立つ,あわだつ,foam
引っ掻く,ひっかく,scratch,踏み付ける,ふみつける,trample,売り込む,うりこむ,sell,燻る,くすぶる,smoke,突っ突く,つっつく,poke and prod
和らぐ,やわらぐ,relieve,戯れる,たわむれる,play with,うねる,うねる,undulate,羽ばたく,はばたく,flap wings,挙がる,あがる,come up
食い込む,くいこむ,bite into,伸し掛かる,のしかかる,reach out to,競い合う,きそいあう,compete with each other,振り絞る,ふりしぼる,shake out,解れる,ほぐれる,unravel
掻き回す,かきまわす,stir up,振り翳す,ふりかざす,hold aloft,合わせ持つ,あわせもつ,hold together,積み込む,つみこむ,load,拱く,こまぬく,fold your arms
迎え入れる,むかえいれる,welcome,占う,うらなう,divine,裏返す,うらがえす,turn inside out,差し向ける,さしむける,direct,掬い上げる,すくいあげる,scoop up
浮き上がる,うきあがる,float,張り巡らす,はりめぐらす,stretch out,群れる,むれる,flock together,逸する,いっする,deviate,蹴散らす,けちらす,kick out
突き刺さる,つきささる,pierce,過ぎ去る,すぎさる,pass away,萎える,なえる,wilt,紡ぐ,つむぐ,spin,嘯く,うそぶく,boast
遊ばす,あそばす,play,解き放つ,ときはなつ,unleash,生い茂る,おいしげる,grow lush,攻め込む,せめこむ,attack,娶る,めとる,take to wife
敬う,うやまう,honor,弱まる,よわまる,weaken,繰り上げる,くりあげる,move up,掻き毟る,かきむしる,tear down,鞭打つ,むちうつ,whip
貪る,むさぼる,devour,せしめる,せしめる,inflict,恍ける,とぼける,ecstasy,取り壊す,とりこわす,tear down,写し取る,うつしとる,copy
懲りる,こりる,punish,サボる,さぼる,sabotage,取り乱す,とりみだす,be distraught,仕る,つかまつる,do something about it,不貞腐れる,ふてくされる,be unfaithful
口説く,くどく,seduce,聞き入れる,ききいれる,listen to,吹き付ける,ふきつける,blow,聞き流す,ききながす,take no notice of,言わす,いわす,say
持ち上がる,もちあがる,lift up,負わす,おわす,make them lose,満ち溢れる,みちあふれる,overflow,買い込む,かいこむ,buy into,ずる,ずる,cheat
食い止める,くいとめる,hold back,もがく,もがく,struggle,倒れ込む,たおれこむ,fall down,振り切る,ふりきる,shake off,勘繰る,かんぐる,make a false accusation
早める,はやめる,hasten,突き進む,つきすすむ,push forward,通り越す,とおりこす,pass over,振り撒く,ふりまく,disperse,垂れ流す,たれながす,dribble
打ち切る,うちきる,discontinue,奏でる,かなでる,play,決め込む,きめこむ,decide,切らす,きらす,run out,押し倒す,おしたおす,push down
欺く,あざむく,deceive,納まる,おさまる,settle in,絞める,しめる,squeeze,走り抜ける,はしりぬける,run through,走り込む,はしりこむ,run into
根付く,ねづく,take root,居座る,いすわる,stay,考え付く,かんがえつく,come up with,運び出す,はこびだす,carry out,飽き足る,あきたる,be satisfied
押し退ける,おしのける,push away,報う,むくう,reward,和む,なごむ,be at peace,取り仕切る,とりしきる,manage,積み重なる,つみかさなる,pile up
書き上げる,かきあげる,write up,窪む,くぼむ,hollow,動ずる,どうずる,move,作り変える,つくりかえる,remake,滴り落ちる,したたりおちる,drip
叩き込む,たたきこむ,beat into shape,寄り掛かる,よりかかる,lean on,引き戻す,ひきもどす,draw back,絞り出す,しぼりだす,squeeze out,はぐらかす,はぐらかす,dodge
言い放つ,いいはなつ,tell someone what to do,張り詰める,はりつめる,stretch out,仕組む,しくむ,devise,進み出る,すすみでる,advance,刺し殺す,さしころす,stab to death
窘める,たしなめる,rebuke,張り出す,はりだす,stick out,超す,こす,exceed,架かる,かかる,cross over,分け与える,わけあたえる,distribute
呼び止める,よびとめる,call someone out,請け負う,うけおう,undertake,印す,しるす,mark,繰り下げる,くりさげる,defer,伸し上がる,のしあがる,stretch
