Words,Meaning,Sentence,Translation,Level
やがて,"soon, before long, eventually",肉の値段はやがて下がるだろう。,The price of meat will eventually come down.,2
やら~やら, such things as,彼が来るやら来ないやら予想できない。,I can't predict whether he will or won't come.,2
よりほかない,to have no choice but, 彼女に私の秘密を話すよりほかない。, I have no choice but to tell her my secret.,2
ようでは,if,勉強するだけで満足するようでは、外国語は話せるようにならな い。,"If you are satisfied with just studying, you will never be able to speak a foreign language.",2
ようがない,"there’s no way to, it’s impossible to",このカメラは修理しようがない。,There is no way to repair this camera.,2
ようもない,"there’s no way to, it’s impossible to",この複雑な気持ちは言い表しようもない。,I can't even begin to describe the complexity of this feeling.,2
要するに," the point is, in short, to put it simply ",要するに、私たちは資金が不足している。,"In short, we are underfunded.",2
ざるを得ない,"can’t help doing, have no choice but",彼女らはその知らせに驚かざるを得なかった。,They couldn't help but be surprised by the news.,2
ずに済む,get by without doing something,オンライン決済サービスを使えば、高い手数料を銀行に支払わず に済む。,Using an online payment service avoids paying high fees to the bank.,2
ないで済む,get by without doing something,弟が両親と一緒に住み始めたので、両親に毎日連絡を取らないで済む。,My brother has moved in with my parents so I don't have to contact them every day.,2
なくて済む,get by without doing something,考え過ぎなくて済むからね。,I don't have to overthink it.,2
あえて,"dare to, daringly, deliberately, purposely",父親は息子をあえて経済的に支援しなかった。,The father did not dare to support his son financially.,1
あくまでも,absolutely,あくまでも美しい夏の日だった。,It was just a beautiful summer day.,1
案の定 ,"just as one thought, sure enough, as expected",案の定、筆記試験は難しかった。,"As expected, the written exam was difficult.",1
あらかじめ ,"beforehand, in advance, previously ",私はその資料をあらかじめ印刷して持参する。,I would print out the material in advance and bring it with me.,1
ばこそ,only because,あなたを大切に思えばこそ、私は強く警告する。,"Because I care about you, I strongly warn you.",1
場合によっては,depending on the situation,場合によっては、回答が出来ない可能性がある。,"In some cases, it may not be possible to respond.",1
あっての,to owe everything to,どんな小さな成功も努力あってのものだ。,Any small success is a result of hard work.,1
ばそれまでだ, if... then it’s over,あなたが一生懸命勉強しても、試験に遅刻すればそれまでだ。,"You study hard, but if you are late for the exam, that's it.",1
べからず,"must not, should not",電車内で携帯電話を使うべからず。,Do not use cell phones on trains.,1
べく,"in order to, should",営業部は売り上げを改善すべく新しい戦略を導入した。,The sales department introduced new strategies to improve sales.,1
べくもない,"can’t, cannot possibly be",今回の選挙で、野党は勝つべくもない。,"In this election, the opposition has no chance of winning.",1
びる,"seeming to be, behaving as ",高校生になって以降、息子は大人びた服装をするようになった。,"Since high school, my son has dressed more maturely.",1
ぶり,"style, manner",あなたの進歩ぶりに私は満足している。,I am pleased with the progress you have made.,1
ぶる,behaving like,兄は紳士ぶる傾向がある。,My brother tends to play the gentleman.,1
だに,even,私にはその意味がいまだに曖昧だ。,The meaning of this is still unclear to me.,1
だの〜だの ,"and, and the like, and so forth",弟は風邪を引いただの、頭が痛いだのと言って、学校を欠席することが多い。,My brother often misses school because he has a cold or a headache.,1
であれ〜であれ,whether a or b,雨であれ晴れであれ予定どおり私たちは映画を見に行く。,"Rain or shine, we are going to the movies as planned.",1
であれ,"whoever, whatever, however, even", どんな人であれ、この映画は楽しめる。," No matter who you are, you will enjoy this film.",1
であろうと,"whoever, whatever, however, even",どんなに高額であろうとも、彼らはこの商品を購入するに違いない。,"They must buy this product, no matter how expensive it is.",1
でも何でもない,not in the least,その書類は重要でも何でもない。,That document is not important or anything.,1
でなくてなんだろう,"must be, is definitely, If it is not.. then what it is ",彼女に対するこの気持ちは、愛でなくてなんだろう。,What is this feeling I have for her if not love?,
ですら,even,専門家ですら、その質問に答えられなかった。,Not even the experts could answer that question.,
ではあるまいか ,I wonder if it’s not,彼は場所を間違えたのではあるまいか 。,He must have been in the wrong place.,
 ではあるまいし ,"it’s not like, it isn’t as if ",世界が終わるのではあるまいし、元気を出してください。,"It's not the end of the world, cheer up.",
ではすまない ,"it doesn’t end with just, have no choice, must be done",お金がないが新しい教科書を買わないではすまない。,"I don't have the money, but I must buy new textbooks.",
どうにも〜ない ,"not.. by any means, no matter how hard one tries, cannot..",私はこれがどうにも理解できない。,I don't understand this in any way.,
ふと,"accidentally, unexpectedly, suddenly, unintentionally",試行錯誤の末、彼は正しい答えをふと思いついた。,"After much trial and error, he suddenly came up with the right answer.",
がてら,"on the same occasion, at the same time, coincidentally ",散歩がてら夕食用の買い物をしてくる。,I'm going to take a walk and do some shopping for dinner.,
が早いか,as soon as,私を見るが早いか、弟は逃げた。,"As soon as he saw me, my brother ran away.",
が最後,"once something occurs, something else happens",契約書にサインしたが最後、約束を守らねばならない。,"Once you sign a contract, you have to keep your word.",
ごとき,"like; as if, the same as",君ごとき若者に、わたしは負けない。,I will not be defeated by a young man like you.,
ごとく,"like; as if, the same as",彼はイルカのごとく泳げる。,He can swim like a dolphin.,
羽目になる,to end up with (something unpleasant),終電を逃してしまったので、私は歩いて帰る羽目になった。,"Having missed the last train, I had to walk home.",
ひとつ,to give something a try,ひとつ、彼女にもう一度チャンスを与えてみよう。,"One thing, let's give her another chance.",
ほどのことはない,"not worth, no need to",彼の提案は再び議論するほどのことはない。 ,His proposal is not worth discussing again. ,
ほかに〜ない,"no other, nothing else",駅までほかに近道はない。,There is no other shortcut to the station.,
ほうがましだ,would rather,あなたと結婚するくらいなら、独身でいる方がましだ。,I would rather be single than marry you.,
いかなる,"any kind of, whatever",それはいかなる料理にも合う。,It goes well with any dish.,
いかんで,depending on,彼女の気分は天気いかんで変わる。,Her mood changes depending on the weather.,
いかんによって,depending on,飛行機代やホテル代は時期いかんによって大きく変動する。 ,Airfare and hotel costs vary greatly depending on the time of year. ,
おりに,whenever there is an occasion,このことは今度お目にかかった折に詳しくお話しいたします。,I will tell you more about this the next time I see you.,R
さいに,"when, on the occasion of",非常の際はエレベーターを使わずに、階段をご利用ください。,"In case of emergency, please use the stairs instead of the elevator.",R
にさいして,"when, on the occasion",来日に際していろいろな方のお世話になった。,I am indebted to many people who helped me when I came to Japan.,R
とき,when,母は本を読むとき、めがねをかけます。,My mother wears glasses when she reads.,R
ながら,while,わたしはいつも料理の本を見ながら料理を作ります。,I always cook from cookbooks.,R
あいだ,"throughout the time, during, while",わたしは夏の間、ずっと北海道にいました。,I was in Hokkaido all summer.,R
あいだに,"during, when",夏休みの間に引っ越ししたいです。,I want to move during the summer vacation.,R
ところだ,about to,時刻は間もなく3時になるところです。,The time is almost 3 o'clock.,R
において,"in, at",式典は会館において行われる予定。,The ceremony will be held in the hall.,R
にあたって,on the occasion of,新学期にあたって、皆さんに言っておきたいことがあります。,I would like to say something to all of you for the new term.,R
うちに,"before you know it, while, before",今は上手に話せなくても練習を重ねるうちに上手になります。,"Even if you can't speak well now, you will get better with practice.",R
さいちゅうに,in the middle of,会議の最中にいねむりを始めてしまった。,I started to doze off during the meeting.,R
つつ,while,電車に揺られつつ、2時間ほどいい気持ちで眠った。,I slept for a good two hours while being rocked by the train.,R
にあって,"in, at",今、日本は経済成長期にあって、人々の表情も生き生きとしている。,"Japan is now in a period of economic growth, and people are looking lively.",R
まえに,before,食事の前に手を洗いましょう。,Wash your hands before eating.,R
あとで,after,食事の後で、少し散歩しませんか。,"After dinner, why don't we take a short walk?",R
て,then,電気を消して、部屋を出ます。,Turn off the lights and leave the room.,R
てから,after,この仕事をぜんぶやってからビールを飲みます。,"After I have done all this work, I will have a beer.",R
てから,since,わたしが日本に来てから、もう4年たちました。,It has been four years since I came to Japan.,R
たばかりだ,"just finished, just did",去年日本に来たばかりなので、まだ敬語がじょうずに使えません。,"Since I only came to Japan last year, I still can't use keigo very well.",R
たら,after ,夏休みになったら、国へ帰ります。,I will return to my home country after the summer vacation.,R
うちに,while,独身のうちに、いろいろなことをやってみたいです。,I want to try many things while I am still single.,R
にさきだって,"as a precursor to, before, prior to",出発に先立って、大きい荷物は全部送っておきました。,"Before I left, I sent all my large luggage.",R
にさきだって,"as a precursor to, before, prior to",首相が日本を訪問するに先立って両国の政府関係者が打ち合わせを行った。,"Prior to the Prime Minister's visit to Japan, government officials from both countries held a meeting.",R
たとたん,"at the same time, as soon as",ずっと本を読んでいて急に立ち上がったとたん、めまいがしました。,"I had been reading a book for a long time, and as soon as I stood up suddenly, I felt dizzy.",R
とともに,"together with, no sooner than",ベルが鳴るとともに、子どもたちはいっせいに運動場へ飛び出した。,The bell rang and all the children ran out to the playground at once.,R
かとおもうと ,"as i was thinking, no sooner than",うちの子どもは学校から帰ってきたかと思うと、いつもすぐ遊びに行ってしまう。,My child always goes off to play as soon as he thinks he has come home from school.,R
か~ないかのうちに,just barely when,彼はいつも終了のベルが鳴ったか鳴らないかのうちに、教室を飛び出していく。,He always runs out of the classroom before the bell rings.,R
しだい,"as soon as, the moment that",スケジュールが決まり次第、すぐ知らせてください。,"As soon as you have a schedule, let me know.",R
てからでないと,not until after,野菜を生で食べるなら、よく洗ってからでないと、農薬が心配だ。,"If you're going to eat vegetables raw, wash them well before eating, or else I'm worried about pesticides.",R
てはじめて,it is or was not until that,入院してはじめて健康のありがたさがわかりました。,It was not until I was hospitalized that I realized how much I appreciated my health.,R
うえで,"after having, on top of",詳しいことはお目にかかった上で、説明いたします。,I will explain in detail when I see you.,R
うえで,"for, in order to",有意義な留学生活を送る上での注意点は下記のとおりです。,The following are some of the things to keep in mind for a meaningful study abroad experience.,R
ていらい,ever since,大学を卒業して以来、田中さんには1度も会っていません。,I have not seen Mr. Tanaka once since I graduated from the university.,R
がはやいか,"no sooner than, as soon as",小田先生はチャイムが鳴るが早いか、教室に入ってきます。,Dr. Oda enters the classroom as soon as the chime rings.,R
てからは,ever since,先月、禁煙してからは、1度もたばこを吸っていません。,I have not smoked once since I quit smoking last month.,R
やいなや,"no sooner than, the moment that",そのニュースが伝わるや否や、たちまちテレビ局に抗議の電話がかかってきた。,"As soon as the news broke, the TV station immediately received a phone call protesting the situation.",R
なり,as soon as,子どもは母親の顔を見るなり、ワッと泣き出しました。,"When the child saw his mother's face, he started wailing.",R
そばから,just as soon as,小さい子どもは、お母さんがせんたくするそばから、服を汚してしまいます。,The little child soiled her clothes even as her mother was washing them.,R
てからというもの,from the time,たばこを止めてからというもの、食欲が出て体の調子がとてもいい。,"Since I stopped smoking cigarettes, I have a good appetite and my health is very good.",R
からいうと,judging from,教師のわたしの立場からいっても、試験はあまり多くない方がいいのです。,"From my standpoint as a teacher, it is better not to have too many tests.",R
からすると,from the standpoint of,米を作る農家からすると、涼しい夏はあまりありがたくないことだ。,"From a rice farmer's point of view, cool summers are not so gratifying.",R
かと思う,"I believe, I think.. that something is",これ、何かの間違いかと思うんですけど。,I think there is something wrong with this.,R
かと思う,"I believe, I think.. that something is",ちょっと入院してもらったほうがよろしい かと。,I think you should be hospitalized for a while.,R
からって,just because,疲れてるからって、休むわけにいかないよ。,Just because you are tired doesn't mean you should rest.,R
からって,just because,おいしいからって、食べ過ぎないで。,Don't eat too much just because it tastes good.,R
っていうか,"you could say, you might say",なんか、この料理、素人っぽいっていうか。,This dish looks amateurish.,R
というより,"more like than, rather than",おかずというより、お菓子だね。,It's more like a snack than a side dish.,R
ないことはない,not as if you can’t,行けないことはないんですけ。,"It's not as if I can't go, but...",R
