Kanji,Reading,Script,Translation
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
刊,かん,朝刊,Morning Edition
刊,かん,本が刊行させる,A book is published
刊,かん,夕刊,evening paper
刊,かん,日刊紙,Daily Newspaper
刊,かん,週刊誌,Weekly magazine
刊,かん,創刊号,First issue
著,あらわ。す　いちじる。しい　チョ,本を著す,book is written
著,あらわ。す　いちじる。しい　チョ,著しい進歩,Significant Progress
著,あらわ。す　いちじる。しい　チョ,著書,Book
著,あらわ。す　いちじる。しい　チョ,著者,Authors
著,あらわ。す　いちじる。しい　チョ,古典文学の名著,Famous Works of Classic Literature
著,あらわ。す　いちじる。しい　チョ,著名な作品,Famous works
著,あらわ。す　いちじる。しい　チョ,著作権を有する,Copyrighted
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
勉,べん,日本語の勉強をする,study japanese language
勉,べん,勉学に励む,study hard
勉,べん,勤勉な青年,diligent young man
勉,べん,猛勉強をする,studying hard
勉,べん,勉強不足,not studying hard enough
勉,べん,勉強不足,not studying hard enough
