W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
降る,Falling,枠,frame,無理,Impossible.,当てる,guess,妥当,reasonable,青,blue
倍,Double,王様,King,会う,meet,再,re,明らか,Obvious,写真,Photo
博物館,Museum,都,city,採る,take,子供,child,壮大,Magnificent,山岳,Mountains
堀,Moat,快適,Comfortable,増加,increase,留守,absence,維持,Maintenance,経路,pathway
大きな,Big,電球,Light bulb,感じ,Feelings,なる,be,園芸,gardening,万能,universal
幹,trunk,下がる,lower,実物,Real thing,片付ける,put away,ご馳走,Treats,成り立つ,consists of
人種,Race,猛烈,fierce,缶,can,カーテン,curtains,文書,Document,部,part
拒否,Rejection,有名,famous,見本,sample,役目,role,コンサート,Concert,手帳,handbook
東洋,Orient,乗せる,give a ride,展望,outlook,運営,operation,克服,Overcoming,崩れる,collapse
どうか,Asia,弁論,argument,不明,unknown,磁気,Magnetism,味噌,Miso,足す,add to
私鉄,private railway,専用,dedicated,止める,stop,夕飯,Supper,阻む,hinder,何とも,I can't believe it.
肌,skin,系,system,正解,correct,訴訟,Lawsuit,酢,vinegar,暖かい,warm
存じる,I think,勘定,account,奪う,take away,答え,Answer,主題,Subject,打合せ,meeting
それでは,then,広場,plaza,終了,End,分類,Classification,着ける,put on,円,circle
寝る,sleep,人生,Life,ひどい,Terrible,食べ物,Food,怪しい,suspicious,農場,Farm
薄暗い,Dimly lit,発足,launch,夢,Dream,伺う,ask,たちまち,at once,水面,surface of water
検査,Inspection,鳥,Bird,お母さん,Mother,金融,Finance,相手,opponent,覚ます,wake up
同じ,Same.,作曲,Composition,悲観,Pessimism,上着,jacket,以内,within,株,stock
数字,Numbers.,連盟,Federation,実行,Execution,喧嘩,quarrel,少数,few,大陸,Continent
議会,Congress,あう,meet,道,Path,意,intention,農民,peasants,埃,Dust
駅,Station,上,on,挟む,between,主要,Main,人物,People,怪我,injury
比率,Ratio,形容詞,Adjective,どっち,which way,気候,Climate,慣習,Custom,ことわざ,proverb
分布,Distribution,紹介,Introduction,真っ直ぐ,straight,お腹,stomach,緩和,Relaxation,危ない,dangerous
炊く,Cook,爆破,detonation,屋根,Roof,芯,core,勤労,work,迎える,welcome
名誉,Honor,補助,aid,引き出し,Drawer,蒸す,steam,うろうろ,loitering,筋,plot
爆弾,Bomb,求める,seek,秋,fall,苦い,Bitter,救助,rescue,対話,Dialogue
決定,Decision,魅力,Attraction,障る,hinder,矢,arrow,依然,still,候補,candidate
辞職,resign,塗る,Painting,めでたい,showy,切実,earnest,図書館,library,太陽,Sun
堪える,endure,戦い,Fight,かかる,fall on,知り合い,acquaintance,電線,Electric wire,失う,lose
情,Emotion,いとこ,Cousin,こちら,this way,実る,bear fruit,木曜日,Thursday,親友,Best friend
研究,Research,血圧,Blood pressure,出勤,going to work,表紙,front cover,ずっと,All the time,白,White
多少,more or less,描写,description,後ろ,behind,大使館,Embassy,養成,Training,恩恵,Benefit
回す,turn,風呂,Bath,ボールペン,Ballpoint pen,ひどい,Terrible.,同調,Tuning in,墨,ink
保育,nurturing,出す,take out,謝る,I apologize.,上がる,Coming up,温泉,Hot spring,すごい,Great
限度,limit,適切,Appropriate,担当,In charge,乳,Milk,吐き気,Nausea,内心,inner heart
重い,Heavy,警官,policeman,栄える,Prosper,中毒,Addiction,習う,learn,閉会,adjournment
乾杯,Cheers,募金,donation,国連,United Nations,喜ぶ,Rejoice,辞める,quit,役職,Position
うさぎ,rabbit,別荘,villa,皮肉,Sarcasm,倒産,Bankruptcy,戸,door,生地,Fabric
意志,will,入院,Hospitalization,詐欺,Fraud,森林,forest,永久,permanent,投資,Investment
舞う,dance,出会い,Encounter,削除,Delete,君,You,学部,Faculty,無言,Mute
合間,Between,複雑,Complicated,包装,Packaging,接触,Contact,恋人,lover,実現,Realization
悪魔,Devil,沼,swamp,字,character,突然,sudden,田舎,country,混乱,Confusion
親指,Thumb,講習,Training,命,life,財布,wallet,資本,capital,宝,Treasure
農薬,Pesticide,値,Value,両替,money exchange,級,class,志,aspiration,荒れる,Rough
施設,Facilities,世帯,Household,せい,Holy,回復,recovery,合格,pass,相互,mutual
お金,Money,教育,Education,県庁,prefectural government,済む,get rid of,起こす,cause,通勤,Commuting
固める,Harden,産物,products,証人,witness,生ずる,arise,文芸,literature,農産物,agricultural products
当選,Election,偉い,great,計算,calculation,基礎,foundation,旅客,passenger,きつい,Hard
拡充,expansion,芽,sprouts,以外,other than,伝統,Tradition,延びる,extend,上空,Sky
祭り,festival,毒,Poison,仕事,Work,情報,Information,改めて,again,結局,Eventually
有能,Competent,度,degree,煙,Smoke,去る,leave,曲,bend,成功,Success
命令,order,斗,star,効果,Effect,対象,Object,近所,neighbourhood,傾向,Tendency
廃棄,Disposal,地球,Earth,貝,Shell,殺人,Murder,狂う,go mad,配慮,Consideration
意味,Meaning,住居,Housing,会館,meeting hall,瓦,tile,随分,very,競技,Competition
将棋,Shogi,芸術,Art,徹底,thoroughness,確率,Probability,家,house,いよいよ,Finally
シャツ,Shirt,抽選,Lottery,食う,Eat,自己,Self,寺院,temple,負担,Burden
全集,Complete Collection,達する,Reach,症状,Symptoms,立ち止まる,Standstill,教授,professor,救う,Save
ちっとも,not at all,基づく,Based on,徴収,collection,風俗,customs,王,King,出発,Departure
広める,broaden,離婚,Divorce,散る,scatter,強調,Emphasis,血液,Blood,男,Man
不安,anxiety,自宅,Home,傾ける,Tilt,想,Sou,食料,Food,報酬,Reward
焦点,focus,旧,Old,茹でる,Boil,恐らく,Perhaps,勝負,Victory,英文,English text
紳士,gentleman,目的,Purpose,異論,Disagree,矛盾,contradiction,自身,Himself,催し,Suggestion
止む,stop,噂,Rumor,所有,Possession,納得,conviction,方程式,equation,句,phrase
ごめん,sorry,上陸,Landing,需要,Demand,前提,premise,心身,Mind and body,落ちる,Falling
相場,market,津波,Tsunami,冒険,Adventure,土台,foundation,判決,Judgment,ぼんやり,vaguely
兼ねる,also,ぐっと,quickly,集まる,Gather,乗り換える,Transferring,強める,strengthen,財,goods
蚊,mosquito,所定,Prescribed,離す,Let go,こっそり,secretly,わけ,reason,もったいない,wasteful
残り,Remaining,大家,landlord,連想,association,惑星,Planet,本物,real,対策,countermeasures
可能,possible,防ぐ,prevent,問屋,wholesaler,設立,Establishment,少ない,Less,規範,norm
還元,reduction,おしゃれ,fashion,校長,school principal,たばこ,tobacco,混ざる,mixed,講演,Lecture
伝える,tell,為す,do,用途,purpose,押す,push,正直,Honesty,禁止,Prohibition
悔しい,frustration,育ち,grow up,配達,delivery,只,only,障害,Obstacles,村,Village
創造,Creation,匹敵,comparable,美味しい,Delicious,毎度,every time,行列,Procession,交換,Exchange
毛布,Blanket,相当,equivalent to,協会,Association,発音,pronunciation,ホスト,Host,日,Day
劣る,inferior,あの,that,おしゃべり,Chattering,利用,use,余地,margin,参照,See also
こっち,This way,終わる,finish,殻,Shell,天皇,emperor,組み立てる,Assemble,くだらない,Nonsense
食べる,Eat,全,all,例えば,For example,単語,Word,描く,Draw,痩せる,Lose weight
汚い,Dirty,蒸し暑い,Hot and humid,宣伝,propaganda,壊れる,break,損,loss,推進,Promotion
兵隊,Soldiers,本体,Body,代金,money,依頼,Request,複合,Compound,消防,Firefighting
集中,Concentration,要望,request,涙,tears,方言,Dialect,任命,Appointment,一部,Some
恐怖,Fear,進路,Way forward,問答,questions and answers,結論,Conclusion,先行,precedence,条件,Conditions
意義,Significance,あらゆる,Any,割れる,split,必ず,Always,腐る,Rot,見物,Watching
体験,Experience,二,Two,協調,cooperation,美人,Beauty,鉛筆,Pencil,有料,charge
補給,Supply,通路,Passage,遡る,go back,解剖,Dissection,合計,Total,売り場,For sale
逃げる,Escape,約,about,全然,not at all,増減,Increase/Decrease,そこ,there,大切,Important
根拠,Rationale,足る,Sufficient,大学院,graduate school,容器,Container,見出し,Headline,ぶらぶら,Strolling
雇う,hire,換算,conversion,取り出す,take out,響く,Hibiki,同盟,Alliance,費,Expense
本音,true feelings,内,within,起源,origin,別に,Separate,原爆,Atomic bomb,感心,admiration
麻,hemp,話す,Talk,前,Before,双子,Twins,山,Mountain,鉱業,Mining
歌う,sing,全員,All,共産,Communism,調べる,Examine,譲る,concede,月末,end of month
やはり,I knew it,毎年,Every year,期末,End of term,発展,development,進歩,progress,不審,suspicious
逆らう,defy,舌,tongue,しつこい,persistent,莫大,enormous,とうとう,east,甘い,lenient
革新,innovation,技術,Technology,そろそろ,about time,芸能,entertainment,源,source,開放,open
演技,acting,主義,principle,加速,acceleration,ややこしい,complicated,動く,move,無用,useless
傍ら,beside,制定,establish,材料,Material,親しい,close,不自由,lack of freedom,時,Time
可愛らしい,Adorable,控える,hold back,高度,Altitude,沈む,sink,もうすぐ,soon,性格,Personality
集団,Group,お参り,visit,種類,Type,跡,trace,タクシー,Cab,切ない,Sad
繊維,Fiber,風邪,Cold,一つ,One,茶,tea,個性,Individuality,月給,Monthly salary
夜,Night,地理,Geography,美しい,Beautiful,浮かべる,float,空き,Vacancy,知恵,Wisdom
可愛い,pretty,台所,kitchen,どれ,Which,以降,since,盛ん,flourish,総合,Overall
怠る,neglect,強,Strength,保つ,Keep,復興,Reconstruction,咲く,bloom,桜,Cherry blossoms
心中,heart,料金,Charges,今後,future,折る,fold,解放,release,正午,Noon
後者,the latter,突く,Poke,時差,time difference,まだ,Still,特長,Features,中断,Interruption
医療,medical care,見事,beauty,記述,Description,水曜,Wednesday,伝説,Legend,物資,Supplies
さっき,earlier,年,Year,デパート,department store,通り,Street,殴る,hit,樹木,Trees
押さえる,hold back,移動,Travel,鼻,nose,欠点,Drawbacks,渋滞,Traffic jam,英雄,Hero
昔,The past,区間,Section,物質,Substance,貫く,go through,稽古,training,姪,Niece
下町,Downtown,記事,Article,ゆっくり,slowly,苦しむ,Suffer,極めて,extremely,南北,north and south
分,Minutes,田,field,語る,talk,特許,Patent,分ける,divide,承る,accept
娘,Daughter,空間,space,次いで,Next,鉱山,Mine,映像,image,頑固,stubborn
移転,Relocation,上,up,良質,good quality,使い,use,塾,cram school,規模,scale
それなのに,And yet,分配,distribution,抱っこ,Embrace,負け,Lose,はる,spring,多い,many
検事,Prosecutor,飴,candy,工学,engineering,次ぐ,next,燃える,burning,取り除く,remove
綺麗,clean,安易,easy,耐える,endure,奨励,Encouragement,数,Number,特別,special
決議,Resolution,属する,belong to,学ぶ,Learn,午前,morning,民主,democracy,偏見,Prejudice
注意,Caution,電子,electron,特産,special products,長所,Advantages,選挙,election,把握,grasp
悪い,Bad,寸法,Dimensions,とにかく,Anyway,募集,Recruitment,周り,around,レコード,Record
固定,Fixed,今年,This year,出場,Appearance,描く,Draw,起きる,Wake up,負ける,Lose
航海,Voyage,ひじ,elbow,利点,Advantages,無料,Free,模型,Model,強制,Force
光景,Light view,砂糖,sugar,心臓,Heart,動物,Animals,暗殺,assassination,付ける,Put on
助教授,Assistant Professor,書物,books,独り,alone,捕獲,Capture,歴史,History,主婦,Housewife
継続,Continuation,阻止,blocking,宮殿,Palace,屋敷,house,哲学,Philosophy,診断,Diagnosis
食品,Food,製作,production,自在,Independence,事務所,Office,改革,reform,挑戦,Challenge
燃焼,Combustion,特急,express,薬,Medicine,中世,Middle Ages,定義,Definition,各自,Each person
紫,Purple,後,after,換気,Ventilation,相,phase,沖,Offshore,規律,Discipline
美術,Art,乾く,dry,本当に,Really,共和,Republic,勘違い,Misunderstanding,斜め,Diagonal
長い,Long,どきどき,throb,無断,Unauthorized,警察,Police,涼しい,Cool,活躍,Activity
灰,Ash,緩める,loosen,税金,Taxes,生徒,Student,仕掛け,trick,祖父,Grandfather
空想,Fancy,性別,gender,見る,Watch,番目,number,官僚,bureaucrat,運用,Operation
決して,Never,可,acceptable,操縦,Steering,一般,General,本名,real name,列,column
文学,Literature,昼寝,nap,精密,precision,年齢,Age,側面,Aspect,直ちに,immediately
色々,Various,心配,Worried,留める,fasten,便,Flight,預金,Deposit,赴く,go to
絶対,Absolute,どうしても,I have to,テレビ,TV,但し,However,枚数,Number of Sheets,調べ,check
中心,Center,主演,starring,権利,Rights,賢い,Smart,天然,Natural,雲,cloud
文体,Literary style,勇気,Courage,素敵,Lovely,こと,Thing,権,Rights,走る,run
保証,Guarantee,蓄える,save up,現に,in reality,あっち,that,死体,Dead Body,つながり,connection
免税,Tax free,病院,hospital,つぶれる,ruin,主体,subject,金属,Metal,商売,business
選択,Choice,近頃,recently,間接,Indirect,捕まる,catch,水着,Swimsuit,大人,Adult
難しい,Difficult,標識,sign,導入,Introduction,是非,right and wrong,凍る,Freeze,園,Garden
柔らかい,Soft,有望,promising,強化,strengthen,高等,higher,飛行機,Airplane,零,zero
好調,Good,成人,Adult,館,building,受け止める,accept,翼,Wings,艶,charm
番,number,直接,Direct,例える,compare,対照,contrast,普遍,Universal,敵,enemy
鬼,Ogre,集会,Gathering,先頭,first,途端,on the verge,一層,one layer,狩り,hunting
吹く,Blow,点数,Number of points,回路,circuit,登校,going to school,退職,retirement,業者,supplier
牧師,pastor,器,Instrument,気配,sign,置く,put,率,rate,生まれる,born
冷やす,cool,明るい,Bright,不正,injustice,眺め,view,偉大,Great,動,movement
商品,commodity,柔道,Judo,吸う,suck,もう,no more,保障,security,外貨,Foreign currency
侵略,Invasion,金魚,Goldfish,帯,belt,無くなる,no more,情緒,Emotion,意図,intention
携帯,Mobile Phone,地点,Earth point,松,Pine,うどん,Udon,鑑賞,Appreciation,急速,rapid
金曜日,Friday,間違える,Mistake,疲れる,Tired,生まれ,born,公式,Formula,満たす,fill
者,Person,公用,Official,大体,Mostly,実際,In fact,呼び出す,Calling,駐車,parking
船舶,Ship,軍事,military,関係,Relationship,先日,the other day,花粉,Pollen,頬,cheek
知能,Intelligence,認める,admit,電話,Phone,会議,meeting,有,Yes,移行,Migration
文章,Text,学期,School term,興味,Interest,釘,nail,育成,Grow,演劇,Play
設定,Setting,しばらく,a while,あっさり,Quickly,消毒,Disinfection,延期,Postponement,どの,Which
絵,Picture,未来,future,引き下げる,Withdrawal,損失,Loss,戦闘,Combat,大胆,Daring
あの,that,済み,Completed,寄付,Donation,平凡,mediocre,途上,On the way,知事,Governor
児,child,回転,Rotation,触る,Touching,彼女,Her,聞く,Listen,忙しい,Busy
宗教,Religion,家内,Home,貸し出し,Lending,濃度,Concentration,しゃべる,speaking,成果,Results
合図,Signals,調和,Harmony,反,Anti,働く,Work,味わい,taste,案内,Guide
竹,bamboo,小,Small,峠,Pass,貯金,Savings,開催,Held,断る,Refuse
行ける,can do,腐敗,Decay,閉まる,Close,主催,Organized,ある,be,解答,Solution
肝心,heart,実例,Examples,日本,Japan,黄金,Gold,付く,follow,教える,Teach
あちこち,here and there,碑,Monument,前後,front and rear,頂上,Summit,機械,machine,質疑,Question
正月,New Year,現金,Cash,通じる,pass through,足跡,Footprints,文,sentence,除く,Exclude
海岸,seashore,真っ黒,Pitch black,段,Dan,具体,Concrete,刺激,Stimulus,私立,private
舟,boat,商社,Trading company,グラム,gram,僅か,few,桁,Digit,用,use
くっきり,Clearly,兵器,Weapons,観点,Perspective,団,group,今月,This month,話,Talk
猿,monkey,女優,Actress,実家,family,原子,atom,仲間,Friends,協力,Cooperation
等,etc.,学級,School Class,欄,column,法,law,翌,next,外国,Foreign
弁当,lunch,抽象,Abstract,衣類,Clothing,嬉しい,Glad,協定,Agreement,性,sex
水道,water supply,丁寧,polite,住民,Residents,制服,Uniform,科,department,契約,Contract
代名詞,Pronouns,数える,count,現れる,Appear,廃止,abolition,概念,Concept,立派,Honorable
別,part,風船,balloons,下りる,Going down,委員,Commissioner,黒い,Black,分析,Analysis
別れる,part from,夕刊,evening paper,安定,Stability,少々,A little,巧妙,clever,若い,Young
自慢,boast,監視,Monitoring,形態,Form,百,hundred,揚げる,raise,湯,hot water
原料,raw materials,経済,Economy,足,Feet,磨く,Polishing,低い,Low,心得る,understanding
集まり,gathering,定める,Determine,欠席,Absence,喜び,pleasure,きれい,Clean,工事,construction
巣,nest,問い合わせ,Inquiry,発表,Announcement,ついに,Finally,作成,Create,隊,team
解く,release,募る,Solicit,実,Actual,気の毒,Pity,注,Note,気分,mood
弟子,disciple,爆発,Explosion,知人,acquaintances,世論,public opinion,奉仕,Service,輸送,transport
ようやく,finally,狭い,Narrow,取り上げる,Take up,儀式,Rituals,保健,Health,褒める,praise
索引,index,猫,cat,強い,strong,公園,Park,削減,Reduction,入学,Enrollment
余分,extra,勤務,Work,列島,Archipelago,いざ,now,ふらふら,Wobbly,昼食,Lunch
取り付ける,install,新築,New construction,港,port,標準,Standard,交互,alternation,見通し,Outlook
解散,dissolve,自覚,Self-awareness,騙す,deceive,運搬,Carrying,首相,Prime Minister,頭,head
役,role,兄弟,Brothers,自衛,Self-defense,石油,Oil,音,sound,度,degree
利益,benefit,撮る,Taking pictures,力強い,strong,温度,Temperature,与党,ruling party,例,Example
断定,determination,何とか,something,賠償,compensation,情熱,Passion,そば,the side,耕作,cultivation
切れる,cut,競馬,horse racing,理解,Understanding,そちら,there,女史,Ms.,人気,Popularity
絵画,painting,映す,Projection,通知,Notification,格好,Appearance,遅れる,delay,外科,Surgery
気温,Temperature,道徳,Morality,死亡,Death,真珠,Pearls,肉体,the body,成績,Achievements
土曜,Saturday,冷たい,Cold,事柄,Circumstances,著名,Prominence,恐れる,fear,俳優,Actor
枚,sheet,女の子,Girl,何,what,暴力,violence,取る,take,書類,documents
物,object,筋肉,Muscles,電源,Power,影,Shadow,形成,form,構える,preparation
応用,Application,完全,Perfect,慰める,comfort,重要,Important,絞る,squeeze,有力,leading
式,Formula,行進,March,戦力,forces,千,thousand,企画,Planning,通る,get through
派,school,人,People,乗る,ride,セーター,Sweater,九,9,伝わる,Communicate
正面,front,写す,picture,東西,east and west,規定,Provisions,夫人,Mrs.,美,Beauty
歩道,sidewalk,利息,Interest,払う,sweep away,受け入れ,Acceptance,そして,and,安い,Cheap
捜索,search,姉さん,sister,彼等,them,似合う,Fits,役場,town hall,服装,Clothing
課程,course,政党,political party,代替,Alternative,なる,Be,最高,Best,妨害,Obstruction
荷,load,バス,bus,嘘,Lie,お礼,Thank you,衣料,Clothing,引っ越し,Moving
分野,Field,短歌,tanka,活発,active,毎朝,Every morning,削る,cut down,公正,Fairness
抱える,hold,寿命,life span,電流,Electric current,様子,look,夏休み,Summer vacation,裏,Back
追跡,tracking,我,I,憧れる,Admire,真ん中,Middle,寒い,Cold,内臓,Internal organs
光線,ray of light,哀れ,Pity,着く,Follow,スカート,Skirt,持ち上げる,lift,プレゼント,Gifts
礼儀,Courtesy,入社,joining a company,書く,write,加工,Processing,売れ行き,sales,無数,innumerable
同士,Colleagues,悩む,distress,宅,home,焼く,Bake,不振,slump,育児,childcare
上演,performance,内閣,cabinet,始める,begin,入れる,Put,一,one,覚える,learn
公開,Public,務める,serve,名詞,noun,医師,doctor,得点,score,近寄る,approaching
郊外,Suburbia,亜,sub,気付く,notice,差す,insert,主張,claim,プール,pool
理想,Ideal,法案,bill,構成,composition,尿,urinate,大学,University,見当,look
食物,Food,差し上げる,give,王子,prince,這う,crawl,男子,Men,掲げる,raise
エレベーター,Elevator,腕,arm,議決,resolution,常に,Always,以前,Previous,足元,at your feet
引退,Retirement,正義,justice,辞退,decline to vote,修正,fix,通信,Communication,喫茶店,coffee shop
注文,Order,塀,fence,過ぎる,too much,念願,wish,泥,mud,日常,daily life
勧誘,Solicitation,広告,advertisement,不便,inconvenience,それほど,So much,資源,Resources,念,mind
才能,Talent,欠く,lack,合理,reasonable,健全,healthy,少なくとも,At least,西暦,Western calendar
奇妙,Strange,本気,seriousness,公務員,Public officials,経歴,career,誠実,Sincerity,放り込む,toss in
望む,Desire,司法,justice,被害,Damage,縦,vertical,靴,Shoes,南米,South America
傾斜,inclination,発,departure,真理,Truth,印刷,printing,明かり,Light,届ける,deliver
好み,Preference,歯,teeth,工芸,Craft,灰色,Gray,執筆,Writing,家屋,house
慣行,Practice,煮る,boil,状況,Situation,家事,Housework,穀物,grain,文化財,Cultural assets
太る,Fatness,指揮,command,きっちり,Tightly,新入生,New student,揃える,Align,連合,Union
調節,Adjustment,亡くなる,die,向き,direction,密か,secret,体格,physique,昨日,Yesterday
気持ち,Feelings,差額,difference,そう,so,統治,Governing,地質,geology,人工,Artificial
水曜日,Wednesday,汚れる,get dirty,びっくり,Surprise,とても,Very,変わる,change,知らせる,Let me know
基地,Base,係わる,be involved in,陰,shadow,先輩,Senior,公演,Performances,ベル,Bell
稲,Rice,裁く,judge,注射,injection,測量,surveying,周囲,surroundings,角,corner
参る,Coming,論争,Dispute,再発,recurrence,出来事,Event,その,The,届,notification
会,Meeting,点検,Inspection,動揺,agitation,滝,Waterfall,幼稚園,Kindergarten,充実,fulfillment
売る,Sell,同意,Consent,今日,Today,指令,Directive,実態,actual situation,世話,care
優位,advantage,小児科,Pediatrics,要するに,In short,枕,Pillow,氏,Mr.,化,化
要因,factor,間に合う,Just in time,頭痛,headache,彫る,Carve,父さん,Dad,博士,Doctor
応援,support,就業,Employment,下ろす,lowering,ビル,Bill,敗戦,Defeat,一昨日,day before yesterday
彫刻,Sculpture,職,occupation,正当,legitimate,特に,Especially,放射能,Radiation,将来,future
祈る,Prayer,産地,place of birth,外交,diplomacy,攻撃,Attack,進展,Progress,監督,director
用品,Supplies,盗難,theft,草,grass,給与,Salary,人間,Human,ぶつ,object
既婚,Marriage,近々,soon,見なす,regard as,割り当て,Assignment,新た,New,丸,Maru
背中,Back,仙,retired,隔てる,Separate,急激,Rapid,羽,Feather,会計,Accounting
導く,Guidance,外す,remove,未定,undecided,列車,Train,基本,Basic,犠牲,sacrifice
栄養,Nutrition,樹立,tree,管,tube,泳ぐ,Swim,平均,Average,潮,tide
絶滅,Extinction,伸びる,grow,震える,tremble,開始,Start,悲劇,Tragedy,握手,handshake
実習,Practice,測る,measure,配布,distribute,見える,Seen,密,Density,丁目,city block
ひょっと,Perchance,降りる,descend,助手,assistant,時計,Clock,一定,Constant,国立,National
技能,skills,以下,below,採決,Vote,過ごす,Spend,しばらく,A while,怒る,Anger
ズボン,pants,真実,truth,姉妹,Sisters,転ぶ,Fall down,福,happiness,飢える,hunger
好評,popularity,申告,Declare,景気,economy,演説,Speech,蹴る,kick,暗記,memorize
手間,hassle,比べる,compare,干す,dry,脂肪,Fat,締める,tighten,得る,get
尋ねる,ask,鈴,bell,転落,fall,同情,sympathy,油断,Abstinence,怒鳴る,yell
倒す,Beat,拡大,Enlarge,取り替える,replace,発射,launch,祖母,grandmother,札,bill
面,face,新聞,Newspaper,練習,Practice,機会,Opportunity,直す,fix,飽きる,get tired of
昆虫,Insects,固まる,harden,うん,Yeah.,完成,Completion,果実,fruit,販売,sell
不可欠,essential,澄む,Clear,何より,Above all,夫妻,husband and wife,着替え,change of clothes,編む,weave
最近,Recent,事故,Accident,どこ,Where,騒音,Noise,世間,world,偽造,counterfeit
格差,disparity,嗅ぐ,Smell,注ぐ,Pouring,戯曲,play,野外,outdoors,無線,Radio
商,business,基金,fund,磁石,Magnet,報告,Report,録音,recording,修理,Repair
フィルム,film,きっと,I bet,廊下,Hallway,現在,Present,良好,Good,暗い,Dark
町,Town,掘る,dig,前進,Advancement,通過,Passage,希望,hope,両側,Both sides
谷,Valley,箇所,place,居住,Residence,大いに,Much,抜ける,Out,次第,Next
我々,We,殆ど,almost,なかなか,Not quite,戦争,war,合成,Composite,名,Name
在学,enrolled,迫害,persecution,治る,Heal,優勢,superiority,出会う,Encounter,扉,Door
損害,damage,騒ぐ,noise,休息,Rest,勝つ,Victory,結束,Unity,楽しむ,Enjoy
噛む,bite,土産,souvenirs,職員,staff,他,other,割引,Discount,官庁,government office
丈,length,芝生,lawn,仲,Friendship,避ける,Avoid,苦情,Complaints,分担,share
大使,Ambassador,以上,more than,向く,face,財政,Finance,法廷,Courtroom,作用,action
漫画,Cartoon,案,plan,汲む,draw,一律,uniformity,論議,Argument,公衆,public
天才,genius,ごく,at least,憲法,Constitution,バター,Butter,区切る,Separate,同僚,colleagues
崩壊,Collapse,溢れる,full of,信頼,trust,休暇,Vacation,マッチ,Match,防止,Prevention
弁護,Defense,窓口,contact,新興,emerging,講義,Lecture,従う,Obey,流れ,flow
症,disease,交際,socializing,週間,Weekly,劇団,theater,圏,sphere,南極,Antarctica
記者,Press,日程,schedule,赴任,new assignment,生じる,produce,姿勢,posture,班,group
醜い,Ugly,入浴,bathing,悲鳴,Scream,実用,practical use,肺,lung,仰る,say
化合,Compound,予習,Prep,下り,down,頂く,receive,地図,Map,国際,international
正体,identity,治療,Treatment,石炭,Coal,交流,exchange,幼い,Young,試す,Try
様式,Style,日帰り,Day trip,可決,approval,推薦,recommend,主,Lord,残念,Sorry
人類,Humanity,分裂,Division,公表,public announcement,感謝,Thanks,誤り,Mistakes,投入,input
文明,Civilization,欲,desire,儲かる,profit,金額,Amount,毎週,Every week,旅館,Ryokan
製造,Manufacturing,亡くす,lose,印鑑,seal,悲しい,Sadness,華やか,glamorous,類,type
温暖,Global Warming,じっくり,Slowly,予備,reserve,許容,Tolerance,今晩,Tonight,騒動,disturbance
取り消す,Revoke,学習,Learning,了,completion,項目,Item,縛る,Bind,避難,Evacuation
立法,Legislation,直径,diameter,認識,recognition,宣言,Declaration,輪,ring,自由,Freedom
位置,Location,医者,doctor,創立,founding,考慮,Consideration,どうせ,What?,交付,Grant
出生,Birth,部長,Director,ため息,sigh,非常,Emergency,明ける,open,無限,Infinite
五,5,取れる,Can be taken,向かう,go to,速度,Speed,丘,Hill,天下,God's will
毎晩,Every night,骨折,Bone fracture,上る,go up,沿岸,Coast,基準,Standard,やむを得ない,Unavoidable
納入,Delivery,祖先,Ancestor,親,Parent,尻,Buttocks,本文,Main text,座席,Seat
教室,Classroom,テーブル,table,件,matter,生年月日,Date of birth,時代,Age,叩く,beat
瞬間,Instant,頑張る,work hard,共通,common,取り巻く,Surrounding,音色,Tone,出掛ける,go out
運転,Driving,前者,former,人,person,個人,individual,母国,Motherland,広がる,spread out
所在,Location,明後日,Day after tomorrow,借りる,Borrow,並,line,野党,Opposition,価値,Value
洪水,Flood,する,do,ちょっと,A little,賛成,for,良識,Decency,子,child
黒,Black,経つ,pass,解ける,Solve,太い,thick,勉強,Study,黒字,Black
全く,Totally,味わう,taste,職人,craftsman,権威,authority,ご存じ,Know,今度,Now
先祖,Ancestor,証言,testimony,片道,one way,劇,drama,シャワー,Shower,鋭い,sharp
間,between,牧場,pasture,疑う,doubt,浜,beach,拡散,Spread,病気,Sick
巻,Winding,比重,specific gravity,提出,Submit,正,Positive,物凄い,Terrible,面白い,Interesting
発病,disease,感慨,emotion,誘導,guide,先端,tip,厳しい,Severe,大きい,Big
全部,All,島,island,砲,gun,権限,Authority,設置,Installation,日時,Date and time
自転車,Bicycle,軒,house,訪ねる,visit,通用,common use,計,Measure,当たり前,natural
出品,exhibit,湿気,humidity,相違,difference,友情,friendship,起す,Cause,貸し,Lending
速やか,promptly,疲れ,fatigue,弱,Weak,密接,close,税,Tax,反映,Reflection
伸ばす,extend,母さん,mother,激しい,intense,抱く,Embrace,ステレオ,Stereo,品,goods
出費,expenses,実質,real,緩い,loose,人口,Population,鞄,bag,泥棒,thief
電車,train,無効,invalid,虹,rainbow,作,production,嘆く,lament,ふざける,joke
富,wealth,馬鹿,Fool,道具,Tools,金持ち,rich,脂,fat,診る,examine
新人,newcomer,要点,key point,平日,Weekdays,名物,specialties,参考,Reference,固い,hard
技師,Engineer,続く,To be continued,訪問,Visit,言う,say,対談,Dialogue,くっつく,stick to
厳重,strict,対応,Correspondence,説,theory,ガソリン,gasoline,支える,support,覆う,cover
物事,things,月日,Month Day,洗濯,Laundry,送料,shipping,近く,Near,最善,best
一帯,whole area,連絡,Contact,区域,Area,仏,Buddha,教会,Church,小さな,small
