Verb,Reading,Meaning,Sentence
稼ぐ,kasegu,make money,彼はおおいに稼ぐ。
騒ぐ,sawagu,make noise,そんなに騒ぐな。
拵える,koshiraeru,make;  to manufacture;,長いわずらいで彼は借金をこさえた。
結婚する,kekkon suru,marry,彼女と結婚したい。
合う,au,"match, fit",目と目が合った。
熟す,jukusu,"mature, ripen",りんごが熟している。
計る,hakaru,"measure, plan, plot",体温を計る。
会う,au,meet,来月会いしましょう。
溶ける,tokeru,"melt, dissolve, come untied",砂糖は水に溶ける。
どじる,dojiru,mess up,あう～、あたしったらまたドジっちゃいました。
外す,hazusu,miss,的を外してしまった。
混ぜる,mazeru,mix,牛乳と卵を混ぜなさい。
動く,ugoku,move,地面が動いた。
動かす,ugokasu,"move, operate",信仰は山をも動かす。
とちる,tochiru,mess up one’s lines,この新人のアナウンサーさっきからとちってばかりいる。
かける,kakeru,multiply,さんかけるさんはきゅう。
要る,iru,need,昼食はいらない
知らせる,shiraseru,notify,後で知らせるよ
起こる,okoru,"occur, happen",いつ起こったの？
開ける,akeru,open,目を開けてください
開く,hiraku,"open, hold (an event, party etc)",本を開くな
注文する,chuumonsuru,order (items at restaurant),じゃあ注文します
漲る,minagiru,overflow,町は活気でみなぎっていた
見逃す,minogasu,"overlook, let pass",見逃すことはありませんよ
倒す,taosu,"overthrow, knock down",トムは彼を殴り倒した
塗る,nuru,paint,壁を塗っている人は私のお父さんだ
慌てる,awateru,"panic, be flustered",彼らは非常にあわてていた
文字る,mojiru,"parody, twist",その取っ手を右にねじると箱は開きます
別れる,wakareru,"part, separate from, be divided, divorced",トムはガールフレンドと別れた
過ぎる,yogiru,"pass by, drop in",恐ろしい考えが私の心をよぎった。
過ぎる,sugiru,"pass, exceed",しかし回収時間が早すぎるため、ゴミの日に出すことが難しいです。
払う,harau,pay,私が払います
滅びる,horobiru,perish,肉体は滅びるが霊魂は不滅である
口説く,kudoku,"persuade, make advances (to a woman)",それ、わたしを口説いてるの？
せびる,sebiru,pester for,私にお金をせびらないでくれ
写す,utsusu,"photograph, copy, reflect",彼は友達のノートを写すのに忙しかった
拾う,hirou,"pick up, find",彼らは木の実を拾い集めている
穿る,hojiru,"pick, dig out",鼻をほじるな
積もる,tsumoru,"pile up, accumulate",雪は２メートル積もった
重ねる,kasaneru,"pile up, repeat",彼は悪事を重ねた
抓る,tsuneru,pinch,彼女は私の腕をきつくつねった
計画する,keikaku suru,plan,鈴木氏はいろいろと説得して息子の留学計画をやめさせた
企てる,kuwadateru,"plan, scheme",投資家グループは企業買収を企てています
植える,ueru,plant,彼女は庭でバラを植えている
遊ぶ,asobu,play,遊ぶよりはまず仕事
弾く,hiku,play (string instrument),妹の方が私よりも上手にピアノを弾けます
もて遊ぶ,moteasobu,play with feelings,彼女の愛情をもて遊ぶな
企む,takuramu,"plot, scheme",彼は何か企んでいるように思える
毟る,mushiru,"pluck, pick, tear",ぐはっ！？俺の貴重な頭髪を、むしるな！
刺す,sasu,"point out, sting, stab",蚊が刺した
磨く,migaku,polish,彼女の車はぴかぴかに磨いてある
のばす,nobasu,"postpone, extend",彼女は滞在を５日間延ばした
褒める,homeru,praise,みんないつもトニーをほめる
祈る,inoru,"pray, wish for",みんなで祈ろう
さきのばしにする,saki no boshi ni suru,procrastinate,仕事が多いので旅行はのでさきのばしにしている
産む,umu,"produce, give birth, lay eggs",鳥は卵を産む
儲ける,mokeru,"profit, make money",彼はかなりの金をもうけた
守る,mamoru,protect,彼らは祖国を守った
証明する,shoumei suru,prove,この事実は彼の無罪を証明している
引く,hiku,pull,潮の全てはひく
殴る,naguru,"punch, hit",彼は彼女を殴った
押す,osu,"push, press",押しボタンを押して下さい
置く,oku,put,ここに置いていいですか？
入れる,ireru,"put in, let in",中に入れてよ
のせる,noseru,"put on top off, put on board",マトと玉ねぎをのせてください
履く,haku,"put on, wear (on feet or legs – trousers/shoes etc)",靴を履いて
届く,todoku,reach,郵便が届いた
及ぶ,oyobu,"reach, extend to",彼女は母親にはとても及ばない
読む,yomu,read,本を読んでいるところです
詰る,najiru,rebuke,彼らはお互いにすぐなじんだ
受け取る,uketoru,"receive, accept",報酬を受け取るのを彼のプライドが許さなかった
もらう,morau,"receive, get",うん。前の先生に紹介してもらって、転院したの
認める,mitomeru,recognize,我々は彼の才能を認めている
減らす,herasu,"reduce, decrease",彼女は自分の経費を減らそうとしている
断わる,kotowaru,"refuse, decline",彼女は彼の求婚を断った
惜しむ,oshimu,"regret, be reluctant",彼の死は惜しんでも余りあるものだ
思い出す,omoidasu,remember,ああ思い出したぞ
覚える,oboeru,"remember, learn",覚えていない
外す,hazusu,"remove, unfasten",それから彼はメガネをはずした
直す,naosu,"repair, cure",誤りを直せ
繰り返す,kurikaesu,repeat,歴史は繰り返す
頼む,tanomu,"request, order, ask favour",頼むよー
求める,motomeru,"request, seek, buy, ask",誰でも幸福を求める
救う,sukuu,"rescue, save",彼女は自分の子供達が溺れるのを、救った
似る,niru,resemble,メアリーは父親似だ
尊敬する,sonkei suru,respect,僕は彼のような奴を尊敬したくない
休む,yasumu,rest,休みたいですか
抑える,osaeru,"restrain, control",彼は怒りを抑えた
帰る,kaeru,return,家に帰る
戻る,modoru,"return, go back",すぐに戻ります
戻す,modosu,"return, put back, vomit",それを私に戻して下さい
復習する,fukushuu suru,review,第５課を復習しましょう
嘲る,azakeru,ridicule,彼は私の努力をあざけった
実る,minoru,"ripen, bear fruit",彼の努力が実った
走る,hashiru,run,列車が橋の上を走っているのを見てごらん
逃げる,nigeru,"run away, escape",逃げるな
蓄える,takuwaeru,"save money, put aside, store",彼は富を蓄えた
ためる,tameru,"save, store, accumulate",原住民は雨水をためて飲料水にしている
言う,iu,say,「あばたもえくぼ」って言うからね
叱る,shikaru,"scold, tell off",父は私が時間を守らないと言って叱った
泣き叫ぶ,nakisakebu,scream,怪我をしないうちから泣き叫ぶな
探す,sagasu,search,何を探しているの？
探す,sagasu,search for,コートを探してます
見る,miru,see,我々を見てにたりと笑った
売る,uru,sell,母は自分の大切なものをすべて売ってしまった
送る,okuru,"send, see off",駅まで車で送ってくれませんか
気付く,kizuku,"sense, realize, notice",彼は私がいることに気づいた
離れる,hanareru,"separate from, leave",なぜ頭から離れない
照る,teru,shine,降ろうが照ろうが、私は行く
光る,hikaru,"shine, glitter",凍結した道路が日光を浴びてまばゆく光った
輝く,kagayaku,"shine, sparkle",夜は太陽が輝かない
撃つ,utsu,shoot,動くな撃つぞ
見せる,miseru,show,料金表を見せて下さい
閉める,shimeru,shut,忘れずに安全ベルトを閉めなさい。
歌う,utau,sing,彼はうまく歌うことが出来ない。
観光する,kankou suru,sightsee,今日は休んで明日観光します。
座る,suwaru,sit,すべての人が座るのに十分な席がある。
腰掛ける,koshikakeru,sit in (western style),彼女は腰掛けて足を組んだ。
サボる,saboru,skip school/class,彼らはいつも学校をサボっています。
寝る,neru,"sleep, go to bed",寝るのが好き。
平手打ちする,hirateuchi suru,slap,その子はお行儀悪くして母親に平手打ちされた。
滑る,suberu,slip,彼は氷の上ですべった。
壊す,kowasu,smash,誰がこれを壊したのですか？
吸う,suu,smoke,私はタバコを吸う。
くしゃみする,kushumi suru,sneeze,うちの犬がくしゃみするのは見たことあるけど、猫は一度もないな。
解く,toku,"solve, untie",この問題は解くのが難しい。
こぼす,kobosu,spill,私は床に卵をこぼした。
こぼれる,koboreru,"spill, overflow",ミルクが煮えこぼれた。
敷く,shiku,"spread out, lay",床にカーペットを敷いた。
広まる,hiromaru,"spread, become popular",ニュースはすぐに広まった。
広める,hiromeru,"spread, make popular",旅行は人の視野を広める。
見張る,miharu,"stand guard, keep lookout",彼を見張れ。
構える,kamaeru,stand prepared,気長に構える必要があります。
立つ,tatsu,stand up,立ちなさい。
始める,hajimeru,start,では始めましょう。
盗む,nusumu,steal,盗むのは悪いことだ。
踏む,fumu,step on,彼は電車の中で、態と私の足を踏みました。
張る,haru,"stick, put something on",封筒にもう１枚切手をはりなさい。
止まる,tomaru,stop,ここで止まるな。
黙る,damaru,stop talking,黙ってろ。さもないと命はないぞ。
止める,yameru,"stop, give up, resign",喋るのをやめろ
固める,katameru,strengthen,守りを固めろ！来るぞ！
強める,tsuyomeru,strengthen,このビタミンは病気に対する抵抗力を強めます。
励む,hagemu,"strive, make every effort",彼は勉強に励んでいる。
詰める,tsumeru,stuff into/pack/fill,バスの中ほどへ詰めて下さい。
登録する,touroku,subscribe,新しいメルマガに登録しました。
差し引く,sashihiku,subtract/minus,はちひくいちはななです。
成功する,seikou suru,succeed,彼は必ず成功する。
苦しむ,kurushimu,suffer,胃痛に苦しむ。
言い出す,iidasu,"suggest, start talking",これはだれかの言い出したことかい。
適う,kanau,"suit, come true",夢は叶った。
支える,sasaeru,support,彼女は彼が貧しいときも彼を支えるすばらしい配偶者だった。
囲む,kakomu,"surround, enclose",彼女の家は白い垣根で囲まれている。
泳ぐ,oyogu,swim,彼は泳げる。
取る,toru,take,メモを取りなさい。
掛かる,kakaru,take (length of time),何分かかりますか。
浴びる,abiru,take a shower,さっとシャワーを浴びた。
引き受ける,hikiukeru,take charge of,がそれを引き受けます。
脱ぐ,nugu,"take off, remove (shoes, clothes)",コートを脱ぎなさい。
離陸する,ririku suru,take off (plane),午後十時に離陸する。
関わる,kakawaru,"take part in, affect",私は関わっていない。
話す,hanasu,talk,ジャックは英語を話す。
言い換える,iikaesu,"talk back, retort",それを他の言葉に言い換えなさい。
教える,oshieru,"teach, show",教える事は学ぶ事である。
破る,yaburu,"tear, break, defeat",彼は決して約束やぶらない。
冷やかす,hiyakasu,"tease, make fun of",人前で彼を冷やかすなんて君は意地悪だ。
戒める,imashimeru,"tell off, caution",彼は息子の怠惰さを戒めた。
試す,tamesu,"test, try, taste",このソース試してみて。
感謝する,kansha suru,thank,心から感謝します。
考える,kangaeru,think,考えてください。
思う,omou,think,そう思います。
思いつく,omoitsuku,Think of / come into your mind,良いアイデアが思いついた。
投げる,nageru,throw,ボールを投げてください。
捨てる,suteru,throw away,こにゴミを捨てるべからず。
結ぶ,musubu,"tie, knot, make a contract",靴の紐を結びなさい。
上回る,uwamawaru,"top, exceed",もちろん利潤は生産費を上回るべきです。
虐める,ijimeru,"torment, bully",彼は以前友達をいじめていた。
いびる,ibiru,"torment, roast",私をいびらないで。
触れる,fureru,touch,手を触れるな。
触る,sawaru,touch or feel (physically),それに触るな。
乗り換える,norikaeru,transit,乗り換えるのですか。
旅行する,ryoukousuru,travel,私はよく旅行します。
騙す,damasu,trick,私を騙さないで下さい。
挑戦する,chōsen suru,try,スカイダイビングに挑戦したいのです。
曲がる,magaru,turn,左へ曲がりなさい。
消す,kesu,"turn off, erase",電気を消すな。
点ける,tsukeru,"turn on, light",ラジオをつけなさい。
捩じる,nejiru,twist,その取っ手を右にねじると箱は開きます。
捩る,yojiru,"twist, distort",わらをよじって縄を作った。
分かる,wakaru,understand,彼の言っていることは分からない。
組む,kumu,"unite, put together",私はテニスで彼女と組んだ。
解く,hodoku,untie,その問題を解くのは難しい。
使う,tsukau,use,私がそれを使います。
使う,tsukau,"use, operate",私がそれを使います。
消える,kieru,"vanish, go out, be extinguished",頭痛が消えた。
ゲロをはく,gero wo haku,vomit/throw up,私は大変気分が悪い。ゲロをはきたいです。
待つ,matsu,wait,ちょっと待って。
起こす,okosu,wake (somebody) up,彼女は彼を起こした。
歩く,aruku,walk,歩きましょうか。
欲しがる,hoshigaru,"want, desire, to appear to want to have (something), to seem to want",赤ん坊は母乳を欲しがる。
洗う,arau,wash,足を洗いなさい。
暖まる,atatamaru,"warm up, heat up",この部屋はすぐに暖まる。
見る,miru,watch,私はテレビを見る。
眺める,nagameru,"watch, view",星をながめるのは興味深い。
着る,kiru,wear,コートを着なさい。
被る,kaburu,"wear (on your head), put on",彼女は帽子をかぶった。
勝つ,katsu,win,どっちが勝ってるの？
働く,hataraku,work,彼女はよく働く。
勤める,tsutomeru,work for,あなたはどこに勤めていますか。
気遣う,kizukau,"worry about, consider",彼女は君の安否を気遣っているよ。
祀る,matsuru,worship,この記念碑は祖国に命を捧げた兵士を祭っている。
傷つける,kizutsukeru,"wound, damage, harm",他人を傷つけることはよくない。
包む,tsutsumu,wrap,美しい包装紙に包んでもらえますか。
書く,kaku,write,脚本を書いていて、行き詰まった時はどうする。
あくびする,akubi wo suru,yawn,大あくびをして。
怒鳴る,donaru,yell,私に怒鳴ったりしないでよ。
為る,する,"to do, carry out, perform",父は食料品店をしている。
居る,いる,"to be, exist, stay",この山には熊がいる。
有る,ある,"to be, exist, live, have",彼は金と暇がある。
言う,いう,"to say utter, declare, to name, call",彼女は言いたいことを言った。
成る,なる,"to become, get, change into, consist of",分子は原子から成る。
来る,くる,to come,バスが来ましたよ。
思う,おもう,"to think, consider",それを思うとわくわくした。
行く,いく,"to go, move, proceed",私は明朝大阪へ行きます。
見る,みる,"to see, look, watch, view, look over, observe",子供たちは蝶々をよく見た。
出来る,できる,"to be able to, be ready, be completed, be made",バターは牛乳から出来る。
拠る,よる,"to be due to, be caused by, depend on, based on",この党のよって立つ地盤は労働者だ。
仕舞う,しまう,"to finish, end, do completely, happen to do, close, keep, store, put away",店は７時にしまう。
分かる,わかる,"to understand, comprehend, grasp, know",答の分かった人は手を挙げなさい。
持つ,もつ,"to hold, take, carry, possess, own, have",そんな大金を持っていると危ない。
考える,かんがえる,"to consider, think, bear in mind",返事をする前によく考えさせてください。
遣る,やる,"to do, undertake, perform, send, give, stage, held",その展覧会はいつやるのですか。
出る,でる,"to leave, exit, go out, come out",何時に家を出ようか。
就く,つく,"to take, assume, be hired, be employed, ascend, commence, set out, study under",彼は欧州旅行の途に就いた。
取る,とる,"to take, pick up, grab, pass, hand, give, get, obtain",これはひどく時間を取る。
聞く,きく,"to hear, listen, ask, enquire, query",そのことは聞いています。
下さる,くださる,"to give, confer, bestow, to favor",この本を私にくださるのですか。
知る,しる,"to know, be aware, sense",この近くでよいお医者さんを知りませんか。
呉れる,くれる,"to give, let one have",書くものを貸してくれませんか。
入る,はいる,"to enter, go into, break into, join, enrol. contain",裏口から入る。
置く,おく,"to put, place, leave behind, establish",ここに置いといて。
使う,つかう,"to use, make use",どの部屋でも自由に使ってください。
対する,たいする,"to face, be facing, directed toward, be in response to",友人に対する思いやり。
出す,だす,"to take out, get out, put out, submit, publish, send, serve food",夜は子供を外へ出すな。
作る,つくる,"to make, produce, build, prepare food",この工場ではハードディスクを作っている。
行う,おこなう,"to perform, do, conduct, carry out",実験を行う。
知れる,しれる,"to become known, come to light, be known",反対派の数は知れている。
書く,かく,"to write, compose",今新しい戯曲を書いている。
付ける,つける,"to attach, join, add, append, affix, furnish",履歴書に写真を付ける。
貰う,もらう,"to receive, take, accept, get someone to do something",彼女は兄に車を修理してもらった。
教える,おしえる,"to teach, instruct, tell, inform",このクッキーの作りかたを教えてください。
掛ける,かける,"to hang up, let hang, raise, hoist, put on, cover, make a call, spend, pour",窓にカーテンを掛ける。
得る,える,"to get, earn, acquire, procure, gain, obtain,, understand, be able to",彼の話は何も得る所がない。
見える,みえる,"to be seen, be in sight, be visible, to look, seem, appears",細菌は肉眼では見えない。
入れる,いれる,"to put in, let in, take in, insert, install, accept, include",コーヒーにクリームを入れますか。
受ける,うける,"to receive, get, catch, be struck by, incur, undergo",超勤手当の支払いを受けた。
付く,つく,"to be attached, be connected with, adhere, stick",この定食にはコーヒーが付いている。
違う,ちがう,"to differ, be different, be distinct, be incorrect",僕の意見は君のと違う。
始める,はじめる,"to start, begin, initiate, start up",彼は商売を始めた。
呼ぶ,よぶ,"to call, call out, invoke, summon, invite, name, brand",名前を呼んだが返事はなかった。
上げる,あげる,"to raise, elevate, launch, deep-fry, give",彼は箱を棚の上に上げる。
過ぎる,すぎる,"to pass through, pass by, go beyond, elapse, expired, exceed, surpass",この荷物は20キロを過ぎている。
感じる,かんじる,"to feel, sense, experience",彼は生命の危険を感じた。
続ける,つづける,"to continue, keep up, keep on",その日もいつもどおり仕事を続けた。
食べる,たべる,to eat,朝ごはんを食べましたか。
掛かる,かかる,"to take, hang, arrive, start, deal, handle, cover, fasten",戸のかぎが掛からない。
変わる,かわる,"to change, transform, alter, move to, be different, be uncommon",最近私は人生に対する考え方が変わってきた。
読む,よむ,to read,私は授業でシェイクスピアを読んでいます。
買う,かう,to buy,あの店で安く花を買った。
生きる,いきる,"to live, exist, make a living",このような人生に生きる価値があるのか。
切る,きる,"to cut, sever",そのケーキはナイフで切ってはいけない。
立つ,たつ,"to stand, rise, stand up",毎朝電車では立って通勤している。
帰る,かえる,"to return, come home, go home, leave",今日はいつもより早く帰るよ。
話す,はなす,"to speak, talk, tell",うちの赤ん坊はだいぶ話せるようになった。
飲む,のむ,"to drink, gulp",私は毎朝野菜ジュースを飲む。
示す,しめす,"to show, demonstrate, point out",彼は私が言ったことに興味を示さなかった。
関する,かんする,"to concern, be related",彼は少し内気だが勉強に関しては申し分ない。
与える,あたえる,"to give, bestow, grant, provide",読書は楽しみを与える。
頂く,いただく,"to receive, get, accept, take, eat, drink, have",この絵葉書を１枚いただきたいのですが。
戻る,もどる,"to turn back, return, go back",席に戻ってよい。
開く,ひらく,"to open, undo, unseal, unpack",既存のファイルを開く。
死ぬ,しぬ,"to die, pass away",これじゃ死ぬに死ねない。
従う,したがう,"to obey, abide, follow, conform",川に従って行く。
止める,やめる,"to stop, turn off, park, suppress",車を止める所がない。
願う,ねがう,"to desire, wish, hope, request",お手伝いをお願いできますか。
歩く,あるく,to walk,職場まで歩いて20分です。
待つ,まつ,to wait,焦らず機会を待て。
求める,もとめる,"to want, wish for, request, require, seek",社長に面会を求めた。
認める,みとめる,"to recognise, notice, assess, deem, approve, admit",彼は自分の誤りを認めた。
会う,あう,"to meet, encounter, see",彼女には全然会ったことがない。
続く,つづく,"to continue, go on, last, leads to, adjoins",大売り出しは今日から３日間続く。
向かう,むかう,"to face, go towards, heading",船は長崎から香港に向かっている。
生まれる,うまれる,to be born,来月姉に子供が生まれる予定だ。
見せる,みせる,"to show, display",病人はようやく食欲を見せた。
当たる,あたる,"to be hit, be in contact, be selected, gets",この部屋はよく日が当たる。
終わる,おわる,"to end, come to an end, close",家の改築はまだ終わらない。
乗る,のる,"to get on, get in, board, reach, take part",広島で新幹線に乗った。
残る,のこる,"to remain, be left",金はもう幾らも残っていない。
述べる,のべる,"to state, express, say, tell, mention",私は真実を述べているのです。
御座る,ござる,to be, 提案がございます。
立てる,たてる,"to stand up, put up, set up, erect, make",海は大波を立てている。
答える,こたえる,"to answer, reply",次の問いに答えなさい。
働く,はたらく,"to work, labor, function, operate, to do, act",朝は頭がよく働かない。
送る,おくる,"to send, dispatch, transmit, see off, pass",駅までお送りしましょう。
始まる,はじまる,"to start, begin, commence",梅雨は６月半ばに始まる。
含む,ふくむ,"to contain, compromise, have, hold, include, bear in mind",この事情を含んでおいてください。
起こる,おこる,"to occur, happen",聴衆から笑いが起こった。
関わる,かかわる,"to be affected, be influenced, be concerned with",もう誰とも関わりたくない。
忘れる,わすれる,to forget,彼女に会ったことがあるのを忘れたのか。
済む,すむ,"to finish, end, be completed",試験が済むまでは帰省できない。
笑う,わらう,"to laugh, smile",彼の前では無理に笑ってみせた。
為さる,なさる,to do,それはこういう風にやりなさい。
変える,かえる,"to change, alter, transform, convert",気持ちを変えるなよ。
引く,ひく,"to pull. tag, lead, draw, attract",いすを炉の側に引く。
売る,うる,to sell,中古の車を50万円で売った。
進む,すすむ,"to advance, go forward, precede, make progress",作業は遅々として進まない。
渡る,わたる,"to cross over, go across, extend, cover, span",彼らは歩いて川を渡った。
選ぶ,えらぶ,"to choose, select",この二つの中からどちらかを選びなさい。
走る,はしる,to run,この船は１時間30ノットで走る。
現われる,あらわれる,"to appear, come in sight, come out, become apparent",薬の効き目が徐々に現れてきた。
住む,すむ,"to live, reside, inhabit, dwell",彼女はそこに約５年間住んだ。
伝える,つたえる,"to convey, report, transmit, tell, impart",家族に悲報を伝える。
動く,うごく,"to move, stir, shift, operate, run, vary",停電で電車が動かなくなった。
決める,きめる,"to decide, choose, determine, settle",子供は一人でいいと決めていた。
勧める,すすめる,"to recommend, advice, urge, offer",人に勧められてご相談にうかがいました。
気付く,きづく,"to notice, recognise, perceive, realize",彼の間違いはだれにも気付かれずに済んだ。
描く,えがく,"to draw, paint, sketch, depict, imagine",美しい風景を心に描く。
覚える,おぼえる,"to memorize, remember",そのことは今でもはっきり覚えている。
打つ,うつ,"to hit, strike, knock, beat, pound",男が棒で打たれた。
成す,なす,"to build, establish, form, accomplish, do",若くして名を成した。
開ける,あける,"to open, unwrap, clear out, make room",窓は開けておいてください。
向ける,むける,"to turn towards, point",担当者に質問を向ける。
殺す,ころす,"to kill, slay, slaughter, suppress",多くの無実の人々が殺された。
語る,かたる,"to talk about, speak of, tell, narrate, indicate",彼は経験談を語った。
信ずる,しんずる,"to believe, place trust in, confide in, have faith in",私たちに因果を深く信ずる事と説く。
合わせる,あわせる,"to match, join together, unite, combine, add up, mix, face, compare",四国と九州を合わせたほどの面積である。
用いる,もちいる,"to use, make use, utilize, utilise",この方法には重力の法則が用いられている。
連れる,つれる,"to take someone, bring along, go with, accompanied by",彼は多くの供を連れていた。
異なる,ことなる,"to differ, vary, disagree",趣味は人によって異なる。
離れる,はなれる,"to be separated, be apart, de stint, leave, go away, quit, give up, drift away",彼は両親と離れて暮らしている。
残す,のこす,"to leave behind, leave undone, save, set aside, reserve, hold on",妻子を故郷に残して東京に出た。
探す,さがす,"to search, look for, hunt for, seek",地図でその場所を捜してごらん。
至る,いたる,"to arrive at, reach a stage, attain, lead to a place, get to. result in",今に至るまで彼から連絡がない。
経つ,たつ,"to pass, elapse",彼がここに移り住んでから３年経った。
似る,にる,"to resemble, look like, be like, be alike, be similar, take after",この赤ん坊はだれに似ているのだろう。
守る,まもる,"to protect, guard, defend, keep, abide, observes obey, follow",節操を守る。
困る,こまる,"to be troubled, have difficulty, be in a fix, be at loss, be bothered",ひどい雨にあって困った。
加える,くわえる,"to add, add up, sum up, append, annex, increase, include, count in, inflict",彼を仲間に加えたらどうだろうか。
調べる,しらべる,"to examine, look up, investigate, check up, sense, study, inquire, search",故障はないかと機械を調べた。
生ずる,しょうずる,"to produce, yield, cause, result from, arise, be generated",これらの現象は比較的女性に多く生ずる。
驚く,おどろく,"to be surprised, be astonished",彼の成功は驚くにはあたらない。
失う,うしなう,"to lose, miss, concede",彼はバブル崩壊で全財産を失った。
合う,あう,"to come together, merge, unite, meet, fit, match, suit, do to each other",このサラダはほとんど何にでも合う。
無くなる,なくなる,"to be lost, be missing, be used up, run out, consumed, disappear",それには興味が無くなった。
増える,ふえる,"to increase, multiply",この町の人口は10年間に３倍に増えた。
上がる,あがる,"to rise, go up, come up, ascend, raise, increase, get out, improve, enter, come in",どうぞお上がりください。
起きる,おきる,"to get up, rise, blaze up, wake up. be awake, occur, happen",昨夜はずっと起きていた。
座る,すわる,"to sit, squat. assume a position, hold still",なにか座るものを見つけよう。
聞こえる,きこえる,"to be heard, be audible,  sound like, be well known",呼べば聞こえる所にいなさい。
思い出す,おもいだす,"to recall, remember, recollect",その歌を聞くとある少女を思い出す。
許す,ゆるす,"to permit, allow, approve, consent to, forgive, pardon, exempt, remit, let off, acknowledge, admit, trust",母は私が外泊するのを許してくれなかった。
落ちる,おちる,"to fall down, drop, sink, be omitted, be missing, decrease, fail, lose, degenerate, ruined, fade",針の落ちる音も聞こえるほどの静けさだ。
繰り返す,くりかえす,"to repeat, do something over again",彼は何度も繰り返して言った。
回る,まわる,"to turn, revolve, visit several places, function well, pass a certain time, go via, earn interest",ヨーロッパからアメリカを回って帰る。
起こす,おこす,"to raise, raise up, set up, pick up, wake up, cause, bring about, lead to, generate, produce, start, launch",会社が新しい事業を起こした。
通ずる,つうずる,"to be open, lead to, communicate with, flow, pass, get through, be understood, be good, be honored",日本語で話が通じますか。
決まる,きまる,"to be decided, settled, fixed, arranged",それは前の会議で決まったことだ。
寝る,ねる,"to sleep, go to bed, lie in bed, lie down",彼らは今夜はストーブの横に寝る。
比べる,くらべる,"to compare, make comparison, vie",去年に比べて今年は収穫量が少ない。
限る,かぎる,"to restrict, limit, confine, be limited to, be best for",入場者は女性に限ります。
振る,ふる,"to wave, shake, swing, sprinkle, throw, cast, allocate, extract",彼女はさよならと手を振った。
表す,あらわす,"to re present, signify, stand for, reveal. show, display, express",その壮大な眺めは筆では表せない。
通す,とおす,"to stick through, force through, go through, let pass, through",この肉にもう一度よく火を通してください。
致す,いたす,to do,いかが致しましょうか。
基づく,もとづく,"to be based on, be grounded on, be in accordance with",給料は資格に基づいて支払われる。
消える,きえる,"to disappear, vanish, go out of sight, go away, fade",彼の姿が霧の中に消えた。
尋ねる,たずねる,"to ask, enquire, search, look for, look into, investigate",駅に行く道を人に尋ねる。
見付ける,みつける,"to discover, find, come across, detect, spot, locate",品物に傷があるのを見付ける。
触れる,ふれる,"to touch, feel, experience, come in contact, perceive, mention, bring up, violate, infringe, make known",この問題は序文でちょっと触れてある。
払う,はらう,"to pay, brush off, wipe away",現金で払うと安くなりますか。
遊ぶ,あそぶ,"to play, enjoy oneself, hang out, meet up",遊ぶ時間は結構あります。
頼む,たのむ,"to request, beg, ask, call, order, reserve, entrust to, rely on",そんなことは頼まれたってやらない。
頑張る,がんばる,"to persevere, persist, keep at it, do one’s best",援軍が来るまで頑張った。
抱く,いだく,"to hold in one’s arms, embrace, hug, have thought, harbor, bear",大きな野心を抱く。
楽しむ,たのしむ,to enjoy,暖かい春の日射しを楽しむ。
流れる,ながれる,"to stream, flow, run, washed away, drift, stay, circulate, lapse, pass",鼻から血が流れていた。
捨てる,すてる,"to throw, away, cast away, dump, discard, abandon, give up",彼は婚約者に捨てられた。
着る,きる,"to wear, put on, take, bear",学校へ制服を着て行く。
迎える,むかえる,"to go out to meet, receive, welcome, greet, accept, approach",専門家を迎える。
取れる,とれる,"to come off, removed, diaper, be caught, taken as, be attained",この染みはなかなか取れない。
押す,おす,"to push, press, press down, stamp, affix, repress",書類に承認印を押す。
超える,こえる,"to cross over, cross, pass through, go beyond, exceed, surpass",今日の気温は 35 度を超えるでしょう。
並ぶ,ならぶ,"to line up, stand in line, rival, match",子供たちは背の低い順に並んだ。
定める,さだめる,"to decide, determine, establish, prescribe, provide",出発の日を明日と定めた。
学ぶ,まなぶ,"to lear, study, take lesson in",しきたりを古老に学ぶ。
頷く,うなずく,"to nod, bow, agree",係員が頷いたので彼女は小切手を書きそれを手渡した。
通る,とおる,"to go by, go past, go along, pass through, go via, go between, go through",我々は横町を通った。
運ぶ,はこぶ,"to carry, transport, convey, to go well",けが人を急いで病院に運んだ。
伴う,ともなう,"to accompany, bring with, take with, be involved in",雨はひどい風を伴った。
広がる,ひろがる,"to spread put, stretch, reach get around, fill",見渡す限り花畑が広がっていた。
付き合う,つきあう,"to associate with, keep company with, go out with, go steady",お義理で彼に酒を付き合った。
泣く,なく,"to cry, weep, sob",子供は医者の前で泣きわめいた。
進める,すすめる,"to advance, move forward, proceed",車をこの線まで進めて下さい。
繋がる,つながる,"to be tied together, be connected, be linked, lead to, related to",写真に関わるあらゆる人々と繋がることが出来る機会です。
挙げる,あげる,"to raise, elevate",彼を会長候補に挙げることが決まった。
捉える,とらえる,"to catch, capture, seize, arrest, grab, grasp, perceive",ビジネスチャンスを確実に捉える。
見詰める,みつめる,"to stare at, gaze at, look hard, watch intently",彼はびっくりして彼女を見つめた。
喜ぶ,よろこぶ,"to be delighted, be glad, be pleased",ご回復と伺って一同大いに喜びました。
避ける,さける,"to avoid, ward off, avert, put aside, move out of the way",僕の質問を避けてはいけない。
応ずる,おうずる,"to answer, respond, meet, satisfy",彼は収入に応じた生活をしている。
