Concept,Sentences,Translation,Meaning,Structure
かねない,こんなに暑いと熱中症になりかねないよ,"It's so hot, you could get heat stroke.","might, possible, quite capable of, could happen",⚭ Vnoun-stem + kanenai
かねない,健康的な生活を送らないと体調を崩しかねません,"If you don't lead a healthy life, you may get sick.","might, possible, quite capable of, could happen",⚭ Vnoun-stem + kanenai
かねない,誤解を招きかねない表現だから、まだ教えるのはよそう,"It's a misleading expression, so let's not teach it yet.","might, possible, quite capable of, could happen",⚭ Vnoun-stem + kanenai
かねない,このまま放置しておくと大問題に発展しかねない,"If left unchecked, this could turn into a big problem.","might, possible, quite capable of, could happen",⚭ Vnoun-stem + kanenai
ものなら,やれるもんなら、やってみな,"If you can do it, do it.",if one can do something,⚭ Vpot + mono nara
ものなら,この問題を一分で解けるものなら解いてみろ,"If you can solve this problem in a minute, go ahead and try to solve it.",if one can do something,⚭ Vpot + mono nara
ものなら,逃げられるものなら逃げてみろ,"If you think you can escape, go ahead and try it.",if one can do something,⚭ Vpot + mono nara
ものなら,そんな事を言おうものなら大変なことになる,"If you think you can escape, go ahead and try it.",if one can do something,⚭ Vpot + mono nara
なにも~ない,なにも匂いませんでしたよ,I didn't smell anything.,"there’s no need to.., nothing, (not) ~ at all",⚭ nanimo + Vnai
なにも~ない,私たちはなにも話さなかった,We didn't talk about anything.,"there’s no need to.., nothing, (not) ~ at all",⚭ nanimo + Vnai
なにも~ない,どのみち何も聞こえなかった,I didn't hear anything anyway.,"there’s no need to.., nothing, (not) ~ at all",⚭ nanimo + Vnai
にすぎない,彼のスピーチは他の人を真似したにすぎない,His speech was merely an imitation of the others.,"no more than, just, merely, only",⚭ Vplain + ni suginai
にすぎない,英語が話せるといっても簡単な会話ができるにすぎません,"Although I said that I can speak English, I can only use simple expressions.","no more than, just, merely, only",⚭ Vplain + ni suginai
ずに済む,お店の商品を壊してしまったが必死に謝ったらお金を払わずに済んだ,"I broke a product in a store, but I apologized desperately and didn't have to pay for it.","get by without doing, you don’t have to, it doesn’t matter if you don’t have to",⚭ Vneg-stem + zuni sumu
ずに済む,今年は涼しかったのでエアコンを使わずに済みました,"It was cooler this year, so we didn't have to use the air conditioner.","get by without doing, you don’t have to, it doesn’t matter if you don’t have to",⚭ Vneg-stem + zuni sumu
ないで済む,人身事故で電車が遅れたがあまり待たないで済んだ,"The train was delayed due to a personal injury, but we didn't have to wait too long","get by without doing, you don’t have to, it doesn’t matter if you don’t have to",⚭ Vneg-stem + naide sumu
なくて済む,今日は３０分早く起きたので慌てなくて済みました,"I woke up half an hour earlier today, so I didn't have to panic!","get by without doing, you don’t have to, it doesn’t matter if you don’t have to",⚭ Vneg-stem + nakute sumu
せずにすむ,ホテルがどこも満室だったかが知り合いが泊めてくることになったので野宿せずに済んだ,"All the hotels were full, or so it seemed, but a friend of mine agreed to put us up, so we didn't have to stay out in the open.","get by without doing, you don’t have to, it doesn’t matter if you don’t have to",⚭ Vneg-stem + nakute sumu
こと,私語は慎むこと,Refrain from whispering,"should do, may do, ought to",⚭ Vru + koto
こと,制服を着用のこと,Refrain from whispering,"should do, may do, ought to",⚭ Vsuru-stem + no koto
ことで,僕が十万円出すことで問題は解決した,"The problem was solved by my paying 100,000 yen.","by doing, because, result in, cause",⚭ Vru + koto de
ことで,僕が参加することであなたに迷惑はかかりませんか,Wouldn’t my participation cause you trouble,"by doing, because, result in, cause",⚭ Vru + koto de
