W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,W7,W8
建築,Construction,今年度,current year,飲みすぎる,Drinking too much,疾患,Disease,伸びる,grow,,,
見学,Tours,好ましい,Favorable,お腹,Tummy,ただ,Just,延びる,extend,,,
見解,Tour,この度,this degree,痛い,Painful,止める,Stop,詫びる,apologize,,,
健康,Health,孤立,Isolation,忘れる,Forgetting,期間,Period,食べる,eat,,,
研究者,Researcher,個性,Individuality,今でも,Even now,突然,sudden,述べる,state,,,
研究所,Institute,子育て,Parenting,手紙,Letters,肺炎,Pneumonia,決まる,decide,,,
憲法,Constitution,応える,Responding to,美術館,museum,初めは,At first,閉まる,close,,,
権利,Rights,個体,Individual,家,Home,取れる,can be removed,染まる,dye,,,
検査,Inspection,固定,Fixation,会社,office,扱う,Handle,溜まる,accumulate,,,
建設,Construction,古典,Classical,地下鉄,Subway,理解,Understand,詰まる,close,,,
見当,Prospect,言葉遣い,language,バス,Bus,かなり前に,Long time ago,止まる,stop,,,
検討,consideration,事柄,things,遠い,Far,脳卒中,Stroke,泊まる,stay,,,
欠席,Absence,こつこつ,perseverance,長い,Long,言下,speech,留まる,stay,,,
決心,Decision,高,high,待つ,Wait,話す,speak,填まる,fill,,,
化粧,make-up,好調,good,比べる,Compare,分け合う,share,染みる,soak in,,,
決定,decision,高度,high,駅,station,続ける,continue,埋める,fill up,,,
欠点,Drawbacks,行動力,power of action,最近,recent,兆候,signs,決める,decide,,,
血圧,Blood pressure,公演,Performance,運動,Exercise,初対面,first meeting,込める,contain,,,
血液,Blood,校外,Off-campus,天気,Weather,少年,Boy,覚める,wake up,,,
血液型,Blood Type,公害,Pollution,日,Sun,不可,Impossible,冷める,cool down,,,
結論,Conclusion,後半,Second half,遠く,Far,担う,bear,閉める,close,,,
気に入る,You'll like it,高品質,High quality,歩く,Walk,二つ,Two,締める,tighten,,,
気の毒,Pity,好印象,Good impression,雨,Rain,価格,Price,占める,occupy,,,
希望,Hope,向上,improvement,昨日,Yesterday,青い,Blue,責める,reproach,,,
希望者,Candidates,恒常,constant,電車,Train,努める,strive,攻める,attack,,,
きちんと,Properly,公開,Public,傘,umbrella,飲む,drink,染める,dye,,,
貴重,Valuable,好感,Good impression,忘れる,Forgetting,上がる,go up,溜める,fill,,,
寄付,Donation,後期,Later period,駅,station,無茶,reckless,詰める,fill,,,
機嫌,Good mood,高級,High class,下りる,getting off,喘息,Asthma,留める,stop,,,
期限,Deadline,交流会,Exchange meeting,色,color,曲がる,Bend,止める,stop,,,
企業,Company,項目,Item,黒,black,足,Legs,泊める,stay,,,
基本,Basics,高熱,High Heat,短い,short,座る,Sit,嘗める,lick,,,
生地,Fabric,光熱費,Utilities,日記,diary,緑,Green,填める,fill,,,
記事,Article,好悪,good or bad,デパート,Department store,無意識,Unconsciousness,褒める,praise,,,
機械,Machine,高齢,Aging,西口,West exit,説明,Description,揉める,trouble,,,
期間,Period,高齢化,Aging,会う,Meet,便秘,Constipation,止める,stop,,,
機関,Institution,高齢者,Elderly,約束,appointment,苦労,Difficulty,辞める,quit,,,
帰国,Return home,小売,Retail,時半,Half an hour,脈拍,Pulse,ほめる,praise,,,
気候,Climate,効率,Efficiency,東口,East exit,効率,Efficiency,積もる,accumulate,,,
効く,Effect,公立,Public,間違える,I got it wrong.,脅す,threaten,降りる,get off,,,
決まり,rules,効力,Efficacy,やはり,I knew it.,事務,office work,下りる,go down,,,
気味,feeling,工作,Craft,おかしい,It's not right.,昼,day,借りる,borrow,,,
金,money,考察,Consideration,思う,I think.,どうか,price,懲りる,learn,,,
緊張,tension,公正,Fairness,すぐ,Right away.,契約,contract,足りる,have enough,,,
近代,modern,光線,Light ray,どうして,Why?,いかにも,indeed,入れる,put in,,,
禁煙,No smoking,講師,Lecturer,音楽,Music,近視,Myopia,売れる,sell,,,
記念品,Souvenir,更新,Update,銀行,Bank,理解する,Understand,折れる,break,,,
金額,Amount of money,公衆,Public,務める,Work,地域,Region,枯れる,dry up,,,
気になる,To feel like,高層,High-rise,それから,And then...,良性,benign,涸れる,run out,,,
気にする,To care doing,香水,Perfume,ギタ－,Guitar,接する,contact,切れる,run out,,,
金庫,Safe,交代,Alternation,土曜日,Saturday,預かる,Take care of,暮れる,run out,,,
筋肉,Muscle,肯定,Affirmation,日曜日,Sunday,遠視,Farsightedness,呉れる,run out,,,
金銭,Money,紅葉,Autumn Leaves,忙しい,Busy,食品,Food,擦れる,wane,,,
禁止,Prohibited,効用,Utility,起きる,I get up.,心が狭い,narrow-minded,逸れる,deviate,,,
金属,Metal,口座,Account,そして,And,口に合う,palatable,垂れる,hang down,,,
奇妙,Strange,講座,Course,朝ごはん,Breakfast,率直,frank,取れる,take,,,
記念,Memorial,構造,Structure,食べる,Eat,熱い,Hot,慣れる,get used to,,,
機能,Function,小遣い,Pocket money,それから,Then,味わう,Taste,馴れる,get used to,,,
記入,Entry,怖がる,Fear,区,Ward,担ぐ,carry,濡れる,get wet,,,
金融,Finance,苦,Suffering,体育館,Gymnasium,高速,Fast,晴れる,clear up,,,
記憶,Memory,砕く,Crush,運動,Exercise,盗む,steal,腫れる,swell,,,
気温,Temperature,くどい,Disagreeable,夕方,Evening,地球,Earth,触れる,touch,,,
霧,Fog,区切り,break,近く,Nearby,泳ぐ,Swim,漏れる,leak,,,
切れ,cut,苦情,Complaint,スーパー,Supermarket,出る,get out,揺れる,shake,,,
切れる,Cut,組み替える,recombine,肉,Meat,全体,Whole,割れる,break,,,
記録,Records,組み込む,incorporate,牛乳,Milk,作業,Work,植わる,Plant,,,
記者,reporter,暗闇,Darkness,ときどき,Occasionally,おかしい,Funny,終わる,End,,,
岸,shore,繰り返し,repeat,料理,Cooking,胃炎,Gastritis,変わる,change,,,
基礎,Basis,車椅子,Wheelchair,作る,cook,見にくい,Difficult to see,代わる,replace,,,
期待,Expectation,苦戦,Struggle,宿題,Homework,連絡,Contact,やっ付ける,get rid of,,,
帰宅,Return home,国々,Countries,一週間,One week,母,mother,ぶら下げる,Hanging,,,
際,time,くしゃみ,Sneeze,はやい,Quickly,金融,Finance,やり遂げる,accomplish,,,
嫌う,Hate,くたくた,Sneezing,毎日,Every day,激しい,intense,損なう,damage,,,
傷,Wound,空洞,Hollow,同じ,Same,立て込む,crowded,逆らう,defy,,,
器用,Dexterity,空間,Space,生活,Life,合体させる,Combine,味わう,taste,,,
気付く,notice,空席,Empty seat,しかし,But,人間,human,賑わう,thrive,,,
こぼす,spill,空想,Imagination,楽しい,Fun,歯痛,toothache,動かす,move,,,
越える,go over,悔やむ,regret,合う,Together,微笑む,Smiling,脅かす,scare,,,
恋,love,崩す,destroy,週末,Weekend,見学,Observation,乾かす,Dry,,,
濃い,strong,客観的,objective,暇,Leisure,以下,Below,転がす,roll,,,
恋人,lover,客席,audience,テープレコーダー,tape recorder,欲する,Desire,及ぼす,influence,,,
恋しい,love,拒否,Reject,後ろ,back,慢性,Chronic,滅ぼす,destroy,,,
個人,Individual,曲線,curve,ボタン,button,無事,safe,悩ます,annoy,,,
国家,Nation,極端,Extremes,押す,Press,荒らす,Ruin,励ます,encourage,,,
国会,Parliament,強風,Strong wind,青い,Blue,不自然,Unnatural,費やす,spend,,,
国境,Border,教員,Faculty,白い,White,虫垂炎,Appendicitis,遅らす,delay,,,
黒板,Blackboard,強弱,Strong and weak,テープ,Tape,発表,Announce,凝らす,elaborate,,,
国語,National language,強化,Strengthening,入れる,Insert,勉強する,Study,齎らす,bring about,,,
克服,Overcoming,協会,Association,次,Next.,単位,Unit,悲しむ,grieve,,,
国民,People,教師,Teacher,交番,Switchboard.,一,one,苦しむ,suffer,,,
穀物,Grain,恐縮,Fear,橋,Bridge,脇,side,親しむ,love,,,
故郷,Home,教養,Cultivation,渡る,Go across.,出会う,meet,楽しむ,enjoy,,,
呼吸,Breathing,共有,Sharing,まっすぐ,Straight ahead,甘やかす,pampering,赤らむ,blush,,,
小麦,Wheat,旧,Old,左側,Left side,環境,Environment,危ぶむ,fear,,,
今後,Future,休暇明け,After vacation,どれぐらい,How far?,代表,Represent,膨らむ,swell,,,
今回,This time,急病,sudden illness,左,Left,警告する,Warn,率いる,lead,,,
粉,flour,休業,leave of absence,横,side,信用する,Trust,用いる,use,,,
困難,Difficult,求人,Job offer,向こう,the other side,代表,Representative,与える,give,,,
今日,Today,休養,leave of absence,散歩,Walk,便利,Convenience,甘える,spoil,,,
好み,Prefer,急増,sudden increase,広い,wide,機能,Function,押える,hold down,,,
好む,Prefer,町並み,Town,何時,what time,咳,Cough,教える,teach,,,
混乱,Confusion,まぶた,eyelids,喫茶店,coffee shop,甘く見る,Underestimate,怯える,frighten,,,
婚約,Engagement,間近,close to,昼ごはん,Lunch,状態,State,覚える,remember,,,
混雑,Congestion,窓際,by the window,レストラン,Restaurant,喋る,talk,抱える,hold,,,
氷,Ice,窓口,window,美味しい,Delicious,目的,Purpose,数える,count,,,
凍る,freeze,魔法,magic,一昨日,day before yesterday,案内,Guide,叶える,make it happen,,,
転ぶ,fall down,前向き,facing forward,雨,Rain,年率,Annual rate,構える,prepare,,,
殺す,kill,間際,in front of,降る,Falling,炎症,Inflammation,鍛える,train,,,
腰,Back,巻き込む,involve,傘,umbrella,すぐそこ,Immediately there,加える,add,,,
骨折,Fracture,まく,roll,借りる,borrow,悪性,Malignancy,栄える,flourish,,,
異なる,Different,真似る,imitate,ドア,door,能率,rate,凍える,freeze,,,
断る,refuse,満員,full,ところ,place,食中毒,Food poisoning,支える,support,,,
諺,Proverb,満足度,satisfaction,置く,Put,八,8,答える,answer,,,
好物,Favorites,稀,rare,お菓子,sweets,結婚,Marriage,備える,prepare,,,
行動,Action,真っ先,Right ahead,返す,return,操る,manipulation,具える,equip,,,
講演,Lecture,真っ白,pure white,建物,building,卒業,Graduation,聳える,tower,,,
幸福,Happiness,まとめる,Summarize,静か,quiet,試す,Try,揃える,prepare,,,
攻撃,Attack,目,eye,写真,Photo,計画,Plan,例える,compare,,,
公平,Fairness,目に触れる,touches the eye,撮る,Taking pictures,上り,Ascend,違える,make a mistake,,,
候補,Candidate,目新しい,new,煙草,Smoke,右,Right,仕える,serve,,,
後方,Backward,目当て,eye catching,吸う,smoking,余る,Too much,伝える,tell,,,
工事,Construction,目立つ,noticeable,今朝,This morning,半,Half,唱える,chant,,,
効果,Effect,恵み,blessing,朝ご飯,Breakfast,夢,Dream,捕える,catch,,,
硬貨,Coins,恵む,blessing,新聞,Newspaper,電気,Electricity,控える,hold back,,,
高価,High value,名簿,list of names,先に,First thing.,道,road,震える,tremble,,,
交換,Exchange,名物,specialty,ゆっくり,Slowly.,抱く,have,交える,mingle,,,
光景,Light view,名産,famous product,日本人,Japanese,率先,take the initiative,迎える,welcome,,,
貢献,Contribution,名刺,business card,昼ご飯,Lunch,歩み寄る,approach,預かる,take care of,,,
広告,Advertisement,明示,clarification,よく,Well,狂う,go crazy,助かる,help,,,
航空,Aviation,明確,clear,辛い,Spicy,表す,show,儲かる,make a profit,,,
公共,Public,名門,name,食べ物,food,始まる,begin,嫌がる,dislike,,,
購入,Purchase,明瞭,clarity,この間,The other day,無愛想,unsociable,転がる,roll over,,,
考慮,Consideration,名所,famous place,中学校,Junior high school,評価,evaluation,繋がる,Connect,,,
交流,Interaction,目印,landmarks,英語,English,焦る,be in a hurry,広がる,Spread,,,
交際,Interaction,面会,meeting,教える,Teaching,添う,Accompanying,塞がる,block,,,
構成,Composition,面する,face,文,Sentence,供給,supply,跨がる,straddle,,,
高速,Fast,目線,eye contact,つまらない,Boring,釣り合う,balance,群がる,swarm,,,
後者,latter,目覚める,wake up,始める,Start,糖尿病,Diabetes,預ける,deposit,,,
交通費,Transportation,未,not yet,だいたい,Mostly,当てはまる,apply to,砕ける,break,,,
幸運,Good Luck,見合う,looking at each other,簡単,easy,わがまま,Selfishness,授ける,give,,,
小屋,Hut,身振り手振り,gestures,覚える,memorize,自然,Nature,助ける,help,,,
小包,parcel,密着,close contact,選ぶ,choose,水泳する,Swimming,続ける,continue,,,
配る,distribute,道案内,leading the way,いじめる,torment,待つ,Waiting,届ける,deliver,,,
区別,distinction,導く,guiding,バスケットボ－ル,Basket ball,洗う,Washing,蕩ける,be prodigal,,,
工夫,device,道のり,following a path,面白い,Interesting,重要,Important,怠ける,slacken,,,
組,union,乱れる,disturbance,興味,Interesting,活動,Activity,儲ける,make money,,,
組合,union,見出し,heading,楽しい,Fun,集まる,Gathering,設ける,set up,,,
組み立てる,Assemble,見張る,look out for,お腹,Tummy,着席する,Be seated,掲げる,put up,,,
曇,Cloudy,見直す,look again,痛い,Ouch,共同,Sharing,捧げる,dedicate,,,
曇る,cloud,見慣れる,get used to seeing,焼く,Bake,靴,Shoes,繋げる,connect,,,
組む,Assemble,民家,private house,サラダ,Salad,苦労,Hardship,広げる,spread out,,,
訓練,training,見逃す,overlook,ベッド,Bed,触る,Touching,案じる,plan,,,
位,position,身の回り,around us,見せる,Let me see,聞き飽きる,Tired of listening,演じる,perform,,,
暮らし,life,民族,peoples,結構,Well enough,大きい,Big,応じる,respond to,,,
暮らす,live,密閉,sealed,病気,Disease,第三に,Thirdly,感じる,feel,,,
暮れ,end,密接,Close,原因,Cause,食べ飽きる,Tired of eating,禁じる,forbid,,,
繰り返す,repeat,満たす,fill,会議室,Conference room,神社,Shrine,信じる,believe,,,
苦労,hardship,見通し,outlook,利用,Use,走る,Run,通じる,pass,,,
苦しい,painful,見積書,estimate,ビル,Building,捕る,catch,転じる,turn,,,
苦しむ,Suffer,見積もる,estimate,予約,Reservation,関連,Related,報じる,report,,,
狂う,go mad,見分ける,distinguish,か月,Months,温まる,warm up,命じる,order,,,
臭い,smell,見渡す,look over,事務所,Office,偉い,great,論じる,argue,,,
鎖,chain,溝,groove,貼る,Post,勤める,work,愛する,love,,,
腐る,Rot,持ち出す,bring out,予定,schedule,下痢,diarrhea,害する,harm,,,
癖,habit,持ち込む,bring in,浴びる,shower,出し抜く,outsmart,関する,concern,,,
きつい,tight,持ち主,bring up,危ない,Watch out!,箱,box,恋する,love,,,
苦痛,pain,潜る,go under,あげる,give up,未使用,unused,察する,perceive,,,
加える,add,模範,model,赤/赤い,red/red,会議,meeting,制する,control,,,
詳しい,Detailed,模型,model,明るい,bright,急に,Suddenly,接する,come in contact with,,,
加わる,add,木製,Wooden,開ける,open,合わせる,match,即する,be immediate,,,
句,phrase,目的地,Destination,秋,Fall,弄る,tamper with,属する,belong to,,,
食う,eat,木材,Wood,開く,open,一生,lifetime,対する,oppose,,,
悔しい,frustrating,問題点,Problem,甘い,Sweet,確率,probability,達する,reach,,,
巨大,Huge,物真似,Imitation,雨,Rain,取る,take,脱する,escape,,,
許可,permission,物足りない,Not enough,あなた,You,耐える,endure,適する,fit,,,
局,Bureau,盛り上がる,Exciting,兄,Brother,小学校,elementary school,徹する,penetrate,,,
距離,Distance,もったいない:,wasteful:,姉,Sister,訳す,translate,熱する,heat,,,
強調,Emphasis,猛,intense,青い,Blue,つまり,In other words,罰する,Punish,,,
共同,Joint,催し,event,洗う,Wash,撮る,take,反する,Against,,,
恐怖,Fear,最寄り,nearest,有る,There is,侮る,underestimate,面する,face,,,
競技,Competition,無,no,歩く,Walking,初めて,For the first time,有する,Own,,,
競合,Competition,無縁,unrelated,朝,morning,震え,tremble,要する,require,,,
教授,Professor,無限,infinite,朝ご飯,breakfast,触れる,Touch,演ずる,play,,,
教科書,Textbooks,無意識,unconscious,明後日,Day after tomorrow,期待,Expectation,応ずる,respond,,,
供給,Supply,無条件,unconditional,足,Legs,書き留める,Write it down,感ずる,feel,,,
協力,Cooperation,矛盾,Contradiction,明日,Tomorrow,冷静,Calm,禁ずる,forbid,,,
強力,Powerful,無関係,no relation,遊ぶ,play,決定,Decision,信ずる,believe,,,
教師,Teacher,無関心,Indifference,あそこ,There,貧血,Anemia,報ずる,inform,,,
共通,Common,昔話,Old stories,頭,head,働く,Work,命ずる,command,,,
共通点,Common,むかつく,disgusted,暖かい,Warm.,余す,Spare,論ずる,discuss,,,
級,Class,向き合う,facing each other,新しい,New.,高校,High School,被せる,put on,,,
急に,Suddenly,無口,not talking,後,After,日本,Japan,任せる,leave to others,,,
急激,Rapidly,無給,unpaid,暑い,Hot,不合格,Rejected,隔たる,be distant,,,
休日,Holiday,無線,wireless,熱い,Hot,軽率,thoughtless,慌てる,panic,,,
救助,Rescue,蒸し暑い,hot and humid,厚い,thick,滑る,Slip,煽てる,incite,,,
休暇,Vacation,結びつく,Connected,会う,meet,鼻水,snot,育てる,raise,,,
休憩,Break,無数,countless,晩ご飯,dinner,誤る,Mistake,隔てる,separate,,,
給料,Salaries,傾らか,inclined,番号,number,今回,This time,重なる,overlap,,,
吸収,Absorption,長続き,long-lasting,勉強,Study,一般,General,異なる,differ,,,
急速,Rapid,嘆く,lament,便利,Convenience,争う,Dispute,連なる,join,,,
眩しい,Glaring,和やか,harmonious,帽子,hat,脳震盪,Concussion,重ねる,overlap,,,
間違い,Mistake,内,inside,病院,Hospital,止まる,Stop,訪ねる,visit,,,
間違う,wrong,内部,internal,病気,Sickness,通る,Passage,尋ねる,ask,,,
窓口,window,内包,inside,豚肉,Pork,良い,Good,連ねる,join,,,
孫,grandchild,内線,inside line,茶色,Brown,利率,Interest rate,萎びる,diminish,,,
迷子,lost,中庭,courtyard,茶碗,Teacup,当たる,Hitting,滅びる,perish,,,
任せる,leave to,生中継,Live Broadcast,父,Father,書く,Write,比べる,compare,,,
負け,lose,滑らか,Smooth,違う,Different,切り抜く,Cut out,調べる,examine,,,
幕,curtain,何度も,Many times,小さい,Small,熱,Heat,並べる,line up,,,
豆,beans,軟弱,Soft,近い,Close,来年,Next year,集まる,gather,,,
守る,protect,何らか,Somewhat,近く,Close,風邪,Cold,埋まる,fill up,,,
学ぶ,learn,慣れ,familiarity,地下鉄,Subway.,通う,go through,収まる,to fall within,,,
真似,imitate,成り立つ,To consist of,ちょっと,Just a little,叫ぶ,scream,納まる,to fit into,,,
招く,invite,成し遂げる,accomplish,ちょうど,Just,体温,Body temperature,治まる,to die down,,,
万一,all,悩み,worry about,地図,Map,日,day,固まる,harden,,,
満点,perfect score,名づける,name,台所,Kitchen,試みる,try,定まる,be fixed,,,
満足,satisfaction,値上がり,price increase,大学,University,見せる,show,静まる,subside,,,
丸,circle,値引き,price reduction,大丈夫,It's okay.,感じ,feel,高まる,rise,,,
真逆,Exactly opposite,根っこ,root,段々,Step by step,潰瘍,Ulcer,縮まる,shrink,,,
正に,Exactly,寝転がる,lying down,誰,Who,型,Type,捕まる,be caught,,,
増す,Increasing,年度,Fiscal year,誰か,Who?,静か,Quiet,勤まる,be diligent,,,
回り,turn,年金,Pension,出す,Get out.,効率的,Efficient,強まる,strengthen,,,
回す,turn,年内,Within the year,出口,Exit,軟膏,Ointment,留まる,stay,,,
迷う,go astray,狙う,Aim at,出かける,Go out,相談,Consultation,止まる,stop,,,
先ず,first,熱する,Heat up,電気,electricity,却下,Rejected,挟まる,get caught,,,
混ぜる,mix,根強い,persistent,電車,train,下り,go down,始まる,begin,,,
貧しい,poor,鈍い,Sluggish,電話,telephone,気絶する,Faint,広まる,widen,,,
命じる,order,日用品,commodities,出る,answer,期間,Period,深まる,deepen,,,
明確,clear,濁る,cloudy,どちら,Where,熱に浮かされる,Faint from heat,纏まる,coalesce,,,
命令,command,日課,Daily routine,どこ,where,階段,Stairs,弱まる,weaken,,,
迷惑,annoying,憎い,hateful,どう,how,出発,Departure,集める,Gather,,,
面,face,憎しみ,hatred,動物,animal,手術,Surgery,苛める,Torment,,,
綿,cotton,認識,Perception,どうも,Thank you,物質,Substance,痛める,hurt,,,
面倒,bother,偽物,Fake,どうして,Why?,努力,Effort,炒める,fry,,,
免許,license,日数,Days,どうぞ,Come in.,診断,Diagnosis,薄める,Dilute,,,
免許証,license,荷造り,Packing,土曜日,Saturday,抜く,Extraction,収める,Contain,,,
面接,interview,乗り越える,Get over,絵,picture,お金,Money,納める,Contain,,,
飯,food,乗り継ぐ,transit,映画,movie,報告,Report,治める,Fix,,,
目覚まし時計,Alarm clock,農園,plantation,映画館,Movie theater,いわゆる,So called,固める,consolidate,,,
身,body,納品,delivery,英語,English,より,than,定める,fix,,,
実,real,濃厚,concentration,駅,Station,別れ,parting,沈める,sink,,,
身につける,wear,能率,efficiency,鉛筆,Pencil,聾,deaf,進める,advance,,,
満ちる,fill,農作物,crops,服,Clothes,重篤,serious,勧める,advise,,,
身近,near oneself,農薬,Pesticide,吹く,Blow,集中治療,Intensive care,高める,increase,,,
見事,sight,覗く,peek,二人,two people,記憶,Memory,縮める,reduce,,,
味方,friend,入会,Admission,二日,two days,国会,Parliament,勤める,work,,,
見舞い,visit,入会金,Admission Fee,降る,Falling,療法,Therapy,務める,work,,,
未満,less than,入金,Admission fee,古い,Old,性格,Personality,努める,strive,,,
見送り,Seeing off,入居,Moving in,封筒,Envelope,発表,Presentation,強める,strengthen,,,
見送る,Seeing off,入居者,Tenants,冬,Winter,学習,Learning,咎める,reproach,,,
未来,future,入門,Admission,学校,School,言語,Language,留める,stop,,,
魅力,Attraction,乳製品,Dairy Products,学生,Student,嘔吐,Vomiting,止める,stop,,,
認める,Admit,覚え書き,Memo,外国,Foreign,重度,Severe,始める,begin,,,
見つめる,look at,落ち込む,Depression,外国人,Foreigner,痙攣,Convulsions,眺める,look at,,,
土産,souvenir,驚き,Surprise,元気,Energy,効果的,Effective,広める,broaden,,,
都,city,補う,compensate for,玄関,Entrance,発行,Issue,深める,deepen,,,
持上げる,lift up,追い返す,catch up with,月曜日,Monday,確か,Certain,含める,Include,,,
持ち運び,carry,追い求める,overtake,銀行,Bank,日射病,Sunstroke,纏める,put together,,,
用いる,use,追い越す,overtake,牛肉,Beef,正確,Accurate,丸める,round off,,,
持ち物,carry something,追い抜く,overtake,牛乳,Milk,複雑,Complex,認める,acknowledge,,,
戻す,bring back,おかしな,strange,五,5,医師,Doctor,求める,ask for,,,
燃える,burn,臆病,timid,午後,Afternoon,生まれる,Born,休める,Rest,,,
文字,Character,屋外,Outdoors,ご飯,Rice,軽度,Mild,緩める,relax,,,
目標,Target,遅れ,lagging behind,午前,Morning,狂う,deviate,弱める,weaken,,,
目的,Objective,奥底,Depths,歯,Teeth,先天性,Congenital,早める,Accelerate,,,
文句,statement,思いがけない,Unexpected,八,8,間,Between,呆れる,be dismayed,,,
者,person,思い返す,Think back,葉書,postcard,看護婦,Nurse,暴れる,Violent,,,
物語,story,思い切り,Thinking back,母,mother,心配して,Worry,溢れる,Overflow,,,
物事,things,思い込み,expectation,入る,enter,数字,Numbers,遅れる,Slow down,,,
物音,sound of a thing,思い立つ,remember,灰皿,Ashtray,参加,Participation,恐れる,Fear,,,
盛り,time,思いつき,make up your mind,始め,First time,不景気,Recession,溺れる,Drown,,,
元,source,思いつく,come to mind,初めて,for the first time,考え抜く,Think through,隠れる,Hide,,,
求める,seek,思い浮かぶ,come to mind,始まる,beginning,妊娠中絶,Pregnancy abortion,崩れる,fall apart,,,
最も,most,重苦しい,heavy,箱,Box,切断手術,Amputation,汚れる,get dirty,,,
毛布,blanket,重み,weight,半分,Half,あざ,Bruises,拗れる,get messy,,,
申し込み,Application,お似合い,suitable for,花,Flower,不安定,instability,零れる,spill,,,
申込書,Application form,恩恵,benefit,鼻,nose,伝染,Infection,壊れる,break,,,
申し込む,apply for,温厚,warmth,話,talk,感染,Infection,痺れる,be numb,,,
申し訳,Sorry,音量,volume,話す,talk,妊娠している,Pregnancy,優れる,be kind,,,
模様,pattern,大通り,Main street,晴れる,sunny,冷やす,Chill,廃れる,go out of use,,,
夢中,dreaming,大げさ,exaggerated,春,spring,怪我する,Injury,倒れる,fall,,,
無駄,waste,大声,Loud,貼る,put up,遊び,Play,縮れる,shrink,,,
迎え,welcome,大幅,Loud,箸,chopsticks,中止,Abort,疲れる,get tired,,,
向かい,facing,多く,Much,橋,bridge,論じる,Discuss,潰れる,go under,,,
向ける,facing,多目に,A lot,走る,Running,森,Forest,流れる,flow away,,,
向く,face,大手,Big,二十歳,Twenty years old,疲れ果てる,Exhausted,逃れる,escape,,,
剥く,pare,折り返し,Fold back,働く,Work,絆創膏,Bandage,外れる,get away,,,
胸,breast,折り畳む,Fold up,二十日,20 days,回復する,Recover,離れる,get away,,,
無料,Free,収まる,fit together,早い,early,健康,health,放れる,Let go,,,
無視,Ignore,納める,store,早く,fast,打身,Battering,膨れる,swell,,,
虫歯,Tooth decay,おしゃれ,Fashionable,速い,Fast,足を引きずる,Limping,紛れる,be confused,,,
結ぶ,tie,惜しい,close,辺,around,障害者,Disabled,乱れる,be disordered,,,
妙,strange,押し付ける,press,下手,lower,積雪,Snowfall,凭れる,recline,,,
名,name,教わる,teach,部屋,Room,都市,Urban,破れる,be torn,,,
鍋,pot,お勧め,recommend,日,Sun,細菌,Germs,汚れる,get dirty,,,
撫でる,stroke,お手本,example,火,fire,非常,Emergency,別れる,break up,,,
長生き,long life,お手数,trouble,左,left,打撲傷,Bruises,忘れる,Forget,,,
眺め,view,お得,benefit,東,East,呼吸,Breathing,教わる,Be taught,,,
眺める,look at,大人しい,mature,弾く,Play,運動する,Exercising,係わる,Be involved,,,
流れ,flow,訪れる,Visiting,引く,Pull,同様,Similar,加わる,Be part of,,,
流れる,flow,欧米,Europe and America,低い,Low,大量,Mass,備わる,be part of,,,
流す,flow,応募者,Applicant,飛行機,airplane,明かり,Light,伝わる,communicate,,,
慰める,comfort,応答,Response,暇,Leisure,行く,Go,交わる,meet,,,
内緒,secret,親子,Parent and child,広い,Wide,開始,Start,出会う,meet,,,
内容,content,および:,and :,昼,Lunch,最も,Most,出合う,meet,,,
仲,friendship,来日,coming to Japan,昼ご飯,Lunch,調子が悪い,Not good,似合う,meet,,,
半ば,half,来学期,coming to school,人,People,ワイン,Wine,背負う,carry,,,
仲間,friends,来場,coming to school,一人,One person,どもる,Stammering,仕舞う,take care of,,,
中身,inside,来場者,Visitors,一つ,one,経験,Experience,見舞う,visit,,,
仲直り,reconciliation,来年度,next year,本,book,錠剤,Tablets,藻掻く,be in a hurry,,,
生,raw,来店,coming,本棚,Bookshelf,医療,Medical,気付く,notice,,,
怠ける,Slacking,来店者,visitors,本当,TRUE,詰め物,Fillings,目指す,aim,,,
波,Waves,楽観,optimism,他,other,天,Heaven,目立つ,stand out,,,
涙,Tears,欄,column,百,hundred,商品,Commodity,仕切る,take charge,,,
直,Direct,乱暴,violent,一,the first,積雪量,Snowfall,出切る,cut off,,,
情けない,Shameful,冷房,Cooling,一番,the first,身長,Height,区切る,divide,,,
納得,Acceptance,例外,Exceptions,一日,one day,抱え込む,Carry,湿気る,damp,,,
懐かしい,nostalgic,礼儀作法,Courtesy,家,house,脱ぐ,take off,強請る,extort,,,
縄,rope,冷水,Cold water,いい,good,刺す,Stab,怒鳴る,yell,,,
悩む,distress,恋愛,Love,否,No,ただし,However,真似る,imitate,,,
謎,mystery,連休,Consecutive holidays,池,Pond,歯医者,Dentist,威張る,show off,,,
根,root,理解力,Comprehension,行く,go,患者,patient,流行る,go viral,,,
熱中,Enthusiasm,理系,Science,幾ら,how much,成し遂げる,Accomplish,付合う,go along with,,,
値段,Price,陸上,Athletics,幾つ,how many,看護する,nurse,揶揄う,make fun of,,,
願い,Wish,裏面,Back side,今,Now,療養,Recuperate,間違う,make a mistake,,,
願う,Wishes,臨時,Temporary,意味,Meaning,熱がある,Fever,手伝う,help,,,
年代,Age,履歴書,Resume,妹,Sister,年代,Age,振舞う,behave,,,
年中,All year,立食,Standing meal,犬,dog,時期,time,似通う,resemble,,,
年間,Year,利点,Advantages,入れる,Let in,怪しい,Suspicious,支払う,pay,,,
年齢,Age,論戦,Argument,入口,entrance,出血,bleeding,躊躇う,Hesitate,,,
