P1,T1,P2,T2,P3,T3
一番 最後の日記が 書かれてます,And the last one.,ずっと相手のこと 考えちゃいますもんね,You're thinking about them all the time.,どこ行く？ってなって 沖縄ってなって結果的に,Where should we go? And then we decided on Okinawa.
読んじゃって いいですか？,Can I read them?,何してるんだろう？とか,I wonder what they're doing. Or...,じゃあ 行こうかって なったんだけど,So we decided to go.
横浜を訪ねた,You visit Yokohama.,そう　連絡取れないんだもん,That's right. You can't get in touch with them.,俺んち 犬がたくさんいて 犬をたくさん飼ってて,But we have a lot of dogs. We have a lot of dogs.
 あなたは 運命の相手と 突然出逢う, You will suddenly meet your destiny.,一番 これが,This is the hardest part.,最終的に“俺が家に残る”,"In the end, I said, ""I'll stay home."""
運命の相手,The one you're meant to be with.,ちょっと 酷かも しれないですけれども,It may seem a little harsh.,そのほかの家族が 全員 沖縄に旅行 行くって,The rest of the family was going on a trip to Okinawa.
運命の相手と突然,"Suddenly, you meet your destiny.",最後には 必ず別れがやってくる,"In the end, there's always a goodbye.",だから 俺だけ 唯一 沖縄に行けてない,So I'm the only one who hasn't been to Okinawa.
もう いきなりですよね,"It's a bit sudden, isn't it?",それですよね これですよ,"That's what this is, isn't it?",逆に 雪 見たことないです,"On the other hand, I've never seen snow."
じゃあ 次 めくっていただいて,Please turn to the next page.,なんか すごい素敵な映像で だまされてますけど,"You've been lured in by the wonderful images, but...",うん マジで見たことない,"No, I've never seen snow."
初めての 共同作業を終えた,I've seen what looks like snow that a machine put out.,めちゃくちゃ 残酷なんじゃ ないですか？　これって,"But it's really cruel, isn't it?　This...",沖縄 降らないよね 絶対に ,"It never snows in Okinawa, right? "
 ２人の前には １輪のひまわり, A single sunflower in front of them.,最後に別れるっていう 結末が決まってて,"In the end, there's always a parting of the ways.",降らないから,It never falls.
ひまわりの 花言葉は“一目惚(ぼ)れ”,"The language of sunflowers is ""love at first sight.""",好きになろうってなります？,Do you want to like him?,機械が出した雪みたいなのは見たことがある,I've seen what looks like snow that a machine put out.
一目惚れ”とか したことないです,"I've never had ""love at first sight.",どうなんだろうね？,I wonder...,本当の雪は見たことない,But I've never seen real snow.
一目惚れ”するんですね,"Love at first sight, huh?",どうせ 私 別れるなら,If I'm going to break up with her anyway.,じゃあ 北海道 雪しかないから,"Hokkaido, there's nothing but snow."
男の人のひげって,A man's beard...,なんか 最初から,From the beginning.,冬なんて もうすごいよ,Winter is amazing.
そっちゃおうかな,I think I'll shave it off.,好きになるのつらいし,It's hard to fall in love.,めちゃくちゃ寒い,It's so cold.
ここに １冊の特別な日記があります,I have a very special diary here.,好きにならないでおこうって ,I don't want to fall in love with you. ,北海道から 昨日 来たんですか？,Did you come from Hokkaido yesterday?
世界で たった一つ,The only one in the world.,なっちゃう気がする,I feel like I'm becoming,北海道から上京してきて,I came to Tokyo from Hokkaido.
過去ではなく 未来の出来事が記された日記,"A diary of future events, not the past.",なっちゃう？ ,You would? ,今は レストランで料理やってて,I'm currently working as a chef at a restaurant.
それこそが 未来日記なのです,That is the diary of the future.,傷つく,I'll get hurt.,上京したいって気持ちは めっちゃある,I've always wanted to come to Tokyo.
それでは 皆さん,Ladies and gentlemen.,ということでね 今回の主人公 改めてね ,That's why I'd like to introduce you to the main character. ,うん　行きたいなって 思ってるけど,"Yeah, I'd like to."
ステージ中央のモニターに ご注目ください,Please pay attention to the monitor in the center of the stage.,ご紹介しましょう,Let me introduce you.,好きな人とかは いないわけじゃん？,"You don't have anyone you like, right?"
全く知らない男女へ届けられる ,Delivered to a completely unknown man and woman ,選ばれた２人,The two chosen.,初っ端から聞くけどさ ,Let me ask you something right from the start. 
未来日記には,In Future Diary,沖縄と北海道って また両極端ですよね,"Okinawa and Hokkaido are two extremes, aren't they?",異性に対して,The opposite sex?
２人の未来が書かれています,Their future is written in it.,普通に過ごしてたら ,"You know, if we were just living our lives. ",好きなタイプとかはさ どうなの？,What's your favorite type?
信じられない出逢い,An unbelievable encounter.,会わなそうな ２人というか,I don't think I'd ever see you two together.,タイプ どうだろう？ 求めるものとか,My type. I don't know. What are you looking for?
２人を襲う 非日常的な試練の数々,The extraordinary ordeal that awaits them.,この19歳のときの ５個上で,He's five years older than I was when I was 19.,やっぱ 話しやすい人がよくて,I'm looking for someone who's easy to talk to.
どんな内容であっても,No matter what it says.,しかも 相手 社会人って,And he's a working man.,面白い人とか ,Someone interesting. 
日記に書かれた指示には従わなくてはいけない,You must follow the instructions in the diary.,結構 年上で大人っていう感じに思う気がします,I think he's older and more mature.,見た目で,In terms of looks.
また お互いに 連絡先を交換したり,"Also, you can't exchange contact information with each other.",でも 絶対に ひげは そって正解だと思います,But I definitely think it's a good idea to shave your beard.,見た目で？,In terms of looks?
撮影以外で逢うことは できません,You will not be allowed to see each other outside of the shoot.,ええ～ 私 ひげあり好きです,"Yes, I like men with beards.",見た目で言うなら ひげがある人がいい,"In terms of looks, I like someone with a beard."
そして 最後に渡される日記には,And in the diary that was given to me at the end.,男性陣は ひげそって正解なんですよ,Men are right to shave their beards.,ああっ そういうことか ひげがある人ね,"Oh, I see. Someone with a beard."
永遠の別れが書いてあります,It says goodbye forever.,ひげそらないほうが よかった派でしょ？,You're in the camp that would've preferred I didn't shave.,ちょっとさ… いや まだ言わないわ,I'm not going to tell you yet.
出逢い恋に落ち別れる運命が決まっている男女,"A man and woman who meet, fall in love, and are destined to separate.", ひげあってほしかった派です , I wish you had a beard. ,いや なんかさ,"No, I don't know."
 本当に 恋に落ちていくのでしょうか？, Are we really going to fall in love?,ワイルド支持派です,"I'm in the ""wild"" camp.",ひげがある人が好きって 言ったじゃん？,You said you like people with beards.
さあ 運命の２人の物語は,The story of two people who are destined to be together,ひげ 胸毛 全部オーケーです ,"Beard, chest hair, all OK. ",俺 昨日まで 実はさ ひげあってさ,"Until yesterday, I actually had a beard."
ここから始まるのです,This is where it all begins.,胸毛までね,Even chest hair.,めっちゃ生えてた,It was really big.
気付きました？ 全然,Did you notice that? Not at all.,でも 真愛ちゃんの反応見ると,But seeing Maa's reaction...,すげえ めちゃくちゃ 生えてたんだけど,"It was really big, but..."
全く気付かなかった,I didn't notice at all.,最初 すごいドキドキしてる感じ,She seemed really nervous at first.,そっちゃった,But it's gone!
マジで びっくりしたわ,"Seriously, you scared me.", あったじゃないですか," You were, weren't you?",ウケる,That's funny.
えっ みんな いなくなっ…,What? They're all gone...,ドキドキすると やっぱ そういう サプライズ,"When you're nervous, there's always a surprise.",めっちゃ後悔するとは,I didn't know I'd regret it so much.
２人だけってことですよね ,"It's just the two of us, right? ",つり橋効果って いうじゃないですか,It's called the suspension bridge effect.,大丈夫 すぐ生えるから ひげなんて,"Don't worry, it'll grow back soon."
あっ はじめまして,（Nice to meet you.,好きになっちゃう気がする,I think I'll fall for you.,いや でも いいよ　それでも ,"No, but it's okay. "
あっ あっちですか,"Oh, that way?",女の子 そういうの弱いから,Girls are weak against that kind of thing.,うん 似合ってる,"Yeah, it looks good on you."
こういう感じか,Like this?,じゃあ 生まれるね ,Then you'll be born. ,話してて素直というか,You're so honest when you talk.
全然 気付かなかった,I didn't notice at all.,なに 断定？,What are you so sure of?,あんまり気を使わないで 話せるのかなって,I felt like I could talk to you without worrying too much.
えっ おいくつですか？,How old are you?,生まれてほしい,I want you to be born.,素直に思えたので,I could honestly see that.
どうやって出会うのかなって考えたんですけど,I was wondering how we'd meet.,２人は横浜のカフェで ,They were at a cafe in Yokohama. ,一緒にいていいなとは 思いましたね,I thought it would be nice to be with you.
まあ やっぱ 全然 予想はつかなくて,I couldn't predict it at all.,初めて お互いの事を話した,They talked about each other for the first time.,やっぱ 話しやすかったって いうのがあって,I thought you were easy to talk to.
こんな形で会うとは 思わなかったっすね,I never thought we'd meet like this.,えっ すごい すげえ,"Wow, wow, wow, wow.",初対面でも めっちゃ好印象でいます 今,"Even though we've never met, I have a good impression of you."
振り返った瞬間に 誰もいなくて ,"The moment I turned around, there was no one there. ",ハア… まだ緊張します？,Are you still nervous?,あと 笑った顔 かわいかったです,"Also, your face when you smiled was so cute."
１人だったじゃないですか,I was alone.,めっちゃ… えっ してないんですか？,You're not?,かわいかった かわいかった,She was cute. She was cute.
２人しかいない状況で,There were only two of us.,いや さ… 最初よりは,"No, more than at first.",横浜の橋の上で 待ち合わせた２人は,The two of them met on a bridge in Yokohama.
その瞬間 もう バクバクですよね ドキドキして,"At that moment, my heart was racing. I was so nervous.",緊張しすぎて…,I'm too nervous...,レトロな車に乗り 故郷の話をした,We got in a retro car and talked about our hometowns.
ちょっと話したんですけど 何も覚えてないです,"We talked a little, but I don't remember anything.",そうですよね はい,That's right. Yes.,あれかな？ すげえ かわいいの来たよ,Is that it? I've got something really cute.
これ 真愛さんに新たな日記です,"This is a new diary for you, Maa.",普通だったら緊張するよね,"Normally, I'd be nervous.",すげえ これなの？,"Wow, is this it?"
この日記は 真愛さんだけの 日記なので,This diary is only for you.,あれっ お名前 もう一度 いいですか？,May I ask your name again?,あかいくつって えっ これ だよね？,"How many are there? This one, right?"
彼は この日記の 存在を知りません,He doesn't know this diary exists.,19歳ですもんね？,"You're 19, right?",これだよ いいよ 先,This is it. Go ahead.
どんなに 気持ちが動いても,No matter how I feel.,若いな,So young.,どこでもいいのかな？ ,Does it matter where it is? 
分かりました,I understand.,まあ でも 24なんで 僕も まだ若いかな,"Well, I'm 24, so maybe I'm still young.",どこでもいいんじゃない？,Anywhere's fine.
隠すってことですよね？,"You mean hide it, right?",分かんないですけど ,I don't know. ,ひげ生やしてんの？,You have a beard?
えっ 顔に出ちゃったら,What? If it shows on my face.,いや 若いですよ 若いですよね？,"You're young, right?",えっ すぐ気付いた？ ,Did you notice right away? 
ダメですよね？,"That's not good, is it?",最初 名前 言い合ったじゃないですか,We told each other our names at first.,当たり前,Of course not.
分かりました,I understand.,全く覚えてなくて ,I don't remember any of them. ,だって こんなのなかったのに,I've never had one before.
小樽 その地元に めっちゃ似てんだよ,It's very similar to my hometown.,外国人 めっちゃいる,There are so many foreigners here.,ひげ嫌いって言ったら そるわけ？,"If I said I hated beards, you'd shave it off?"
こんな感じなの？,It's like this?,海鮮いいよね 好きなの？,Seafood is good. You like it?,うん そるそる　全然そる,"Yes, I do. I totally do."
いや なんか こんなデカい建物が,"No, there's this huge building.", 寿司っていうか 好き, I like sushi.,だから もう 次の日には そってる,So I'll shave it off the next day.
めっちゃ バーンって あるわけじゃないけど,It's not like there's a whole bunch of buildings.,案内係できる？,Can I be your guide?,いや いいと思う,"No, I think it's fine."
こういう川みたいな デッカい川があって,But there's a big river like this one.,沖縄 案内係できる,I can show you around Okinawa.,めっちゃ きれいな街だよ,It's a really beautiful city.
でも そこの周りに めっちゃ海鮮とかあって,But there's a lot of seafood around there.,沖縄とかだったら どこ行っても,Anywhere you go in Okinawa...,でも 若干ね 俺の地元 小樽なんだけどさ,But it's a little... my hometown is Otaru.
ハートロック 古宇利島の,Heart Rock on Kouri Island.,写真 撮れるスポットが たくさんあるよ 絶対,I'm sure there's lots of places to take pictures.,でも見たことある,I've seen it before.
