Kanji,Reading,Meaning
一級,いっきゅう,"one grade, first-class, primary"
等級,とうきゅう,"grade, class, degree, rank, rating, order, points"
中産階級,ちゅうさんかいきゅう,"middle class, bourgeoisie"
最高級,さいこうきゅう,"highest grade, top class"
同級,どうきゅう,"the same grade, same class"
進級,しんきゅう,promotion
特級,とっきゅう,"high grade, special grade, classy"
昇級,しょうきゅう,"promotion, advancement"
分解,ぶんかい,"disassembly, dismantling, disaggregating, analysis, disintegrating"
理解,りかい,"understanding, comprehension, appreciation, sympathy"
解決,かいけつ,"settlement, solution, resolution"
解放,かいほう,"release, unleashing, liberation, emancipation, setting free"
見解,けんかい,"opinion, point of view"
解散,かいさん,"breaking up (e.g. meeting), dispersing (e.g. crowd)"
解釈,かいしゃく,"explanation, interpretation"
解説,かいせつ,"explanation, commentary, exposition, elucidation"
解体,かいたい,"demolition, taking down, dismantling, disassembly, taking apart"
和解,わかい,"reconciliation, amicable settlement, accommodation, comprom"
了解,りょうかい,"comprehension, consent, understanding, agreement"
誤解,ごかい,misunderstanding
解除,かいじょ,"cancellation, rescinding, release, calling off, lifting"
解答,かいとう,"answer, solution"
正解,せいかい,"correct, right, correct interpretation (answer, solution)"
解雇,かいこ,"discharge, dismissal"
解消,かいしょう,"cancellation, liquidation, resolution, reduction"
解く,とく,"to untie, to unfasten, to unwrap, to undo, to unbind, to unpack"
難解,なんかい,"difficult to understand, unintelligible, abstruse"
解剖,かいぼう,"dissection, autopsy, analysis"
解明,かいめい,"elucidation, explication, explaining, unravelling, clarification"
図解,ずかい,"schematic, schema, illustration, explanatory diagram"
解約,かいやく,cancellation of a contract
雪解け,ゆきどけ,"snow thaw, thawing"
溶解,ようかい,"dissolution, dissolving, solution (e.g. chemical)"
弁解,べんかい,"explanation, excuse, justification, defense"
解析,かいせき,"analysis, analytical study, parsing, parse"
解きほぐす,ときほぐす,"to disentangle, to untangle, to unravel"
解読,かいどく,"deciphering, decoding"
不可解,ふかかい,"incomprehensible, mysterious, inexplicable, inscrutable"
解剖学,かいぼうがく,anatomy
解かす,とかす,to dissolve
解任,かいにん,"dismissal, discharge, removal"
未解決,みかいけつ,"unsettled, pending, unresolved"
解ける,とける,"to be solved, to be resolved, to loosen, to come untied"
解す,ほぐす,"to unravel, to untie, to untangle, to loosen"
解像度,かいぞうど,"resolution (e.g. display, dpi), granularity (e.g. timer)"
解熱,げねつ,"lowering a fever, alleviation of fever"
解する,かいする,"to understand, to appreciate, to interpret"
解凍,かいとう,"thaw, defrosting, decompression, unpacking, extracting, unzipping"
電気分解,でんきぶんかい,electrolysis
読解,どっかい,reading comprehension
電解質,でんかいしつ,electrolyte
解題,かいだい,"synopsis, review of subject, annotation"
解く,ほどく,"to undo, to untie, to unfasten, to unlace, to unravel, to loosen"
解ける,ほどける,"to come loose, to come untied, to come undone, to unravel"
解決方法,かいけつほうほう,"way of solving (a problem), solution"
絵解き,えとき,"explanation of a picture, explanation by pictures"
解熱剤,げねつざい,"fever medicine, antipyretic, antifebrile"
解決策,かいけつさく,"solution, solution strategy"
瓦解,がかい,"collapse, downfall"
読み解く,よみとく,"to read and understand, to subject to close analysis"
生分解性,せいぶんかいせい,biodegradable
半知半解,はんちはんかい,"superficial knowledge, half knowledge"
結婚,けっこん,marriage
結構,けっこう,"splendid, nice, wonderful, delicious, sweet"
結合,けつごう,"combination, union, binding, catenation, coupling, joining"
結果,けっか,"result, consequence, outcome, effect"
結び,むすび,"ending, conclusion, join, union, connecting, knot"
結ぶ,むすぶ,"to tie, to bind, to link, to bear, to close, to conclude"
連結,れんけつ,"concatenation, coupling, connection, linking, consolidation"
結局,けっきょく,"after all, in the end, ultimately, eventually"
結晶,けっしょう,"crystal, crystallization, fruits (of labor, union, etc.)"
凍結,とうけつ,freezing
結論,けつろん,conclusion
団結,だんけつ,"unity, union, solidarity, combination, teaming up"
結成,けっせい ,"formation, combination"
結びつき,むすびつき,"connection, relation"
結核,けっかく,"tuberculosis, tubercule"
結末,けつまつ,"end, conclusion"
結集,けっしゅう,"concentration (of efforts, forces, etc.), gathering together"
結婚式,けっこんしき,"marriage ceremony, wedding, nuptials"
結束,けっそく,"union, unity, solidarity, bundling, binding, tying"
妥結,だけつ,"settlement, an agreement"
終結,しゅうけつ,"end, close"
決着,けっちゃく,"conclusion, decision, end, settlement"
結びつく,むすびつく,"to be related, to be connected, to result in, to lead to"
締結,ていけつ,"conclusion, execution (of a contract), entering (into treaty)"
結社,けっしゃ,"association, society"
完結,かんけつ,"conclusion, completion"
結党,けっとう,formation of a party
肺結核,はいけっかく,"pulmonary tuberculosis, consumption"
大同団結,だいどうだんけつ,merger
帰結,きけつ,"consequence, result, conclusion"
結び付ける,むすびつける,"to combine, to join, to tie on, to attach with a knot, to bind"
結節,けっせつ,"knot, nodule, tubercule, node"
結婚相手,けっこんあいて,"marriage partner, spouse"
結託,けったく,"conspiracy, collusion"
直結,ちょっけつ,"direct connection, direct link"
結納,ゆいのう,engagement gift
結露,けつろ,"condensation, formation of dew"
髪結い,かみゆい,"hairdresser, hairdressing"
結う,ゆう,"to do up (hair), to dress, to arrange"
構造,こうぞう,"structure, construction, makeup, framework, organization, pa"
構成,こうせい,"organization, organisation, configuration, composition"
構う,かまう,"to mind, to care about, to be concerned about"
構想,こうそう,"plan, plot, idea, conception, vision, scheme"
機構,きこう,"mechanism, organization, organisation"
待ち構える,まちかまえる,"to lie in wait, to be on the watch for"
構築,こうちく,"construction, building, putting up, erecting, creation, formulation"
構内,こうない,"premises, grounds, campus, compound, precincts"
虚構,きょこう,"fiction, fabrication, concoction"
心構え,こころがまえ,"preparedness, readiness, mental attitude, frame of mind"
構図,こうず,composition
構える,かまえる,"to set up, to build, to establish, to run, to maintain"
遺構,いこう,"remains, remnants"
気構え,きがまえ,"readiness, preparedness, attitude"
身構え,みがまえ,"posture, attitude"
構文,こうぶん,"syntax, sentence structure"
構造物,こうぞうぶつ,structure
構造体,こうぞうたい,structure
構成要素,こうせいようそ,"component, element, part"
入出力機構,にゅうしゅつりょくきこう,"input-output unit, input-output device"
構外,こうがい,"off grounds, outside the premises"
転送構文,てんそうこうぶん,transfer syntax
建築,けんちく,"construction, architecture (of buildings)"
新築,しんちく,"new building, new construction"
改築,かいちく,"structural alteration, reconstruction, rebuilding, remodeling"
築き上げる,きずきあげる,"to build up, to establish (one's reputation)"
建築学,けんちくがく,architecture
建築士,けんちくし,authorized architect and builder
築山,つきやま,artificial hill
本建築,ほんけんちく,permanent construction
建築物,けんちくぶつ,"building, structure"
建築家,けんちくか,architect
築造,ちくぞう,"construction, building"
築く,きずく,"to build, to construct, to erect"
築城,ちくじょう,"fortification, castle construction"
木造建築,もくぞうけんちく,"wooden building, wooden architecture"
防火建築,ぼうかけんちく,a fireproof building
超高層建築,ちょうこうそうけんちく,skyscraper
混合,こんごう,"mixing, mixture, meld"
混雑,こんざつ,"congestion, crush, crowding, jam, confusion, disorder"
混乱,こんらん,"disorder, chaos, confusion, mayhem"
混む,こむ,"to be crowded, to be packed"
混迷,こんめい,"turmoil, chaos, confusion"
混同,こんどう,"confusion, mixing, merger"
混じる,まじる,"to be mixed, to be blended with, to associate with, to mingle with"
混ぜ合わす,まぜあわす,"to mix together, to blend, to compound"
混ざる,まざる,"to be mixed, to be blended with, to associate with, to mingle with, to join"
混戦,こんせん,"confused fight, free-for-all, melee, close contest"
混入,こんにゅう,"mixing, blending, adding, adulteration"
入り混じる,いりまじる,"to mix with, to be mixed, to be mingled"
混ぜ物,まぜもの,"mixture, adulteration"
混ぜる,まぜる,"to mix, to stir, to blend"
混成,こんせい,"mixed (e.g. team, chorus)"
混み合う,こみあう,"to be crowded, to be packed, to be jammed"
混信,こんしん ,"jamming, interference, cross talk"
混凝土,こんくりいと,concrete
混ぜ返す,まぜかえす,"to stir, to mix, to banter, to stir"
混交,こんこう,"mixture, intermixture, mixing up"
混じりけ,まじりけ,"mixture, impurities"
電気,でんき,electricity
空気,くうき,"air, atmosphere, mood, situation"
元気,げんき,"lively, full of spirit, energetic, vigorous, vital, spirited"
景気,けいき,"business conditions, the market, economic activity, economic climate"
人気,にんき,"popularity, public favor"
気分,きぶん,"feeling, mood"
天気,てんき,"weather, the elements"
病気,びょうき,"illness, disease, sickness"
気持ち,きもち,"feeling, sensation, mood"
勇気,ゆうき,"courage, bravery, valour, valor, nerve, boldness"
意気,いき,"spirit, heart, disposition"
気づく,きづく,"to notice, to recognize, to recognise, to become aware of"
磁気,じき,magnetism
大気,たいき,"atmosphere, magnanimity, generosity"
本気,ほんき,"seriousness, earnestness, truth, sanctity"
強気,つよき,"confident, assured, self-assured, firm, strong, bullish"
気味,きみ,"sensation, feeling, tendency, propensity"
気楽,きらく,"carefree, comfortable, at ease, easygoing, happy-go-lucky"
気象,きしょう,"weather, climate, disposition, temperament"
気候,きこう,climate
活気,かっき,"energy, liveliness"
色気,いろけ,"colouring, coloring, shade of color, sex appeal, sexual urge"
気配,けはい,"indication, sign, hint, presence, trend"
浮気,うわき,"extramarital sex, affair, fooling around"
陽気,ようき,"cheerful, jovial, merry, lively, weather, season"
気がかり,きがかり,"worry, anxiety, concern"
寒気,さむけ,"chill, the shivers, shivering fit, cold, coldness, cold air"
気軽,きがる,"carefree, buoyant, lighthearted, sprightly"
気質,きしつ,"disposition, temperament, nature, mentality, spirit, character"
不景気,ふけいき,"economic slump, hard times, recession, depression"
気温,きおん,air temperature
気合,きあい,"spirit, motivation, effort"
弱気,よわき,"timid, weak-kneed, fainthearted, bearish"
気力,きりょく,"willpower, energy, vitality"
根気,こんき,"patience, perseverance, persistence, tenacity, energy"
不気味,ぶきみ,"weird, ominous, eerie, uncanny, ghastly"
水蒸気,すいじょうき,"water vapour, water vapor, steam"
気圧,きあつ,atmospheric pressure
蒸気,じょうき,"steam, vapour, vapor"
気の毒,きのどく,"pitiful, unfortunate, poor, miserable, wretched"
低気圧,ていきあつ,"low (atmospheric) pressure, low-pressure system, depression"
湿気,しっけ,"moisture, humidity, dampness"
熱気,ねっき,"heat, hot air, enthusiasm"
気配り,きくばり,"care, attentiveness, attention, consideration "
気に入る,きにいる,"to like, to be pleased with, to be delighted with"
換気,かんき,ventilation
気前,きまえ,generosity
気まぐれ,きまぐれ,"whim, caprice, whimsy, fickle, moody, uneven temp"
一気,いっき,one breath
気体,きたい,"gas, vapour, vapor, gaseous body"
味気ない,あじけない,"wearisome, insipid, dull, irksome, wretched, vain"
外気,がいき,open air
高気圧,こうきあつ,"high (atmospheric) pressure, high-pressure system"
気難しい,きむずかしい,"hard to please, moody, crusty, fastidious"
気取る,きどる,"to affect, to put on airs, to act like, to pretend to be"
水気,みずけ,"water content, moisture, juiciness, dampness"
生意気,なまいき,"impertinent, saucy, cheeky, conceit, audacious, brazen, feisty"
乗り気,のりき,"interest, eagerness, enthusiasm"
意気地,いくじ,"self-respect, self-confidence, guts, backbone, pride, drive, willpower"
気勢,きせい,"fervour, fervor, vigour, vigor, ardour, ardor, spirit"
語気,ごき,"tone, manner of speaking"
陰気,いんき,"gloomy, dismal, miserable, melanchol"
気遣い,きづかい,"consideration, concern, fear, worry, solicitude"
何気ない,なにげない,"casual, unconcerned, nonchalant"
気さく,きさく,"friendly, openhearted, sociable, amiable, good-hum"
短気,たんき,"short temper, quick temper, hot temper, impatience"
湯気,ゆげ,"steam, vapour, vapor"
排気,はいき,"exhaust, emission, ventilation"
意気込む,いきごむ,"to be enthusiastic about, to be eager, to be keen"
眠気,ねむけ,"sleepiness, drowsiness"
気性,きしょう,"disposition, temperament, temper, nature"
無邪気,むじゃき,"innocent, simple-minded"
呑気,のんき,"carefree, optimistic, careless, reckless, heedless, happy-go-lucky"
内気,うちき,"shy, bashful, timid, reserved"
気味,ぎみ,"-like, -looking, -looked, tending to"
気負い,きおい,"eagerness, enthusiasm, fervor, excitement, fighting spir"
気迫,きはく,"spirit, soul, drive, vigor, vigour"
嫌気,いやき,"dislike, disgust, disinclination, tired of"
士気,しき,morale
気をつける,きをつける,"to be careful, to pay attention, to take care"
気兼ね,きがね,"constraint, reserve, feeling hesitant, being afraid of troubling someo"
生気,せいき,"life, vitality, verve, vigor, vigour, animation, spirit"
人気,ひとけ,"sign of life, human presence"
人気者,にんきもの,"popular person, favorite, favourite"
気がつく,きがつく,"to notice, to become aware, to perceive, to realize"
気心,きごころ,"temper, disposition"
気管,きかん,trachea
気絶,きぜつ,"faint, swoon"
気球,ききゅう,"balloon, blimp"
狂気,きょうき,"madness, ins"
気品,きひん,"elegance, refinement, grace, dignity, aroma"
火の気,ひのけ,"source of fire, sign of fire"
気象学,きしょうがく,meteorology
心意気,こころいき,"spirit, disposition"
無気力,むきりょく,"apathy, lassitude, lethargy, languor"
息吹,いぶき,"breath, vitality"
気晴らし,きばらし,"recreation, diversion, relaxation"
覇気,はき,"spirit, drive, vigour, vigor"
気に入り,きにいり,"favorite, favourite, p"
負けん気,まけんき,"competitive spirit, spirit of rivalry"
気鋭,きえい,"spirited, energetic"
意気盛ん,いきさかん,in high spirits
気管支,きかんし,bronchial tube
気丈,きじょう,"stout-hearted, firm, courageous, brave, tough"
気概,きがい,"strong spirit, mettle, backbone, guts, fighting spirit"
飾り気,かざりけ,"affectation, showing off"
気泡,きほう,bubble
一気に,いっきに,"in one go, in one gulp, in one breath, without stopping"
何気なく,なにげなく,"unintentionally, calmly, inadvertently, innocently"
臭気,しゅうき,"bad smell, stink"
気持ち悪い,きもちわるい,"bad feeling, feeling bad, disagreeable, unpleasant"
気筒,きとう,cylinder
気象台,きしょうだい,meteorological observatory
管区気象台,かんくきしょうだい,district meteorological observatory
気道,きどう,"respiratory tract, air duct"
怒気,どき,"anger, wrath"
天気図,てんきず,weather map
通気,つうき,"ventilation, airflow"
静電気,せいでんき,static electricity
気持ちいい,きもちいい ,"good feeling, feeling goo"
勝手気まま,かってきまま,self-willed
気分転換,きぶんてんかん,"change of pace, change of mood"
香気,こうき,fragrance
電気器具,でんききぐ,electrical appliance
気触れ,かぶれ,"rash, eruption"
気まま,きまま,"willful, wilful, selfish, self-centered, egoistic"
気のせい,きのせい,in one's imagination
悪気,わるぎ,"ill will, malice, evil intent"
健気,けなげ,"admirable, commendable, praiseworthy, laudable, brave"
汁気,しるけ,juice
呆気,あっけ,"being taken aback, state of shock, dumbfoundedness"
気づかれ,きづかれ,"mental fatigue, worry, boredom"
気密,きみつ,airtight
圧縮空気,あっしゅくくうき,compressed air
気が済む,きがすむ,"to be satisfied, to find peace of mind, to feel good"
本気にする,ほんきにする,"to take seriously, to believe in, to fall for"
換気扇,かんきせん,ventilation fan
天気雨,てんきあめ,"sun shower, sudden rain from a blue sky"
気がある,きがある,"to have an interest (in something), to feel inclined"
気が散る,きがちる,"to get distracted, to jump off the track"
気を配る,きをくばる,"to pay attention, to be watchful"
気色,けしき,"sign, indication"
搭乗,とうじょう,"embarkation, boarding"
搭載,とうさい,"loading (on board), equipping"
搭乗口,とうじょうぐち,"boarding gate (airport), aircraft door"
搭乗手続き,とうじょうてつづき,"boarding, check-in"
搭乗券,とうじょうけん,"boarding passes, boarding tickets"
搭乗者,とうじょうしゃ,passenger
搭乗員,とうじょういん,crew member
搭乗案内,とうじょうあんない,boarding announcement
搭乗橋,とうじょうきょう,"gangway, boarding bridge"
搭乗率,とうじょうりつ,"load factor, seat occupancy"
確率,かくりつ,"probability, likelihood, chances"
率直,そっちょく,"frank, candid, straightforward, openhearted, direct"
効率,こうりつ,efficiency
軽率,けいそつ,"rash, thoughtless, careless, hasty, imprudent"
能率,のうりつ,"efficiency, moment"
比率,ひりつ,"ratio, proportion, percentage"
倍率,ばいりつ,"magnification, leverage, amplification, scaling factor, pass rate"
利率,りりつ,interest rate
年率,ねんりつ,annual rate (of interest)
率先,そっせん,taking the initiative
死亡率,しぼうりつ,"death rate, mortality"
率いる,ひきいる,"to lead, to spearhead"
税率,ぜいりつ,"tariff, tax rate"
伸び率,のびりつ,"growth rate, coefficient of extension"
打率,だりつ,batting average
効率的,こうりつてき,efficient
高率,こうりつ,high rate
硬い,かたい,"hard, solid, tough,  stiff, tight, strong, firm"
強硬,きょうこう,"firm, strong, unbending, unyielding, uncompromising, stubborn, tough"
硬貨,こうか,"coin, hard currency"
硬化,こうか,"hardening, vulcanization, curing, firming up"
硬さ,かたさ,"firmness, hardness, stiffness, honesty"
硬直,こうちょく,"stiffening, rigidity, rigor, stiffness, ossification, petrification"
硬派,こうは,"hard-liners, diehards, hawks"
硬度,こうど,"hardness, solidity"
硬質,こうしつ,"hardness, stiffness"
硬式,こうしき,hard
硬骨,こうこつ,"bone, firm, uncompromising"
硬木,こうぼく,hardwood
生硬,せいこう,"crude, immature, unpolished"
貨物,かもつ,"cargo, freight"
通貨,つうか,currency
外貨,がいか,"foreign currency, foreign money, foreign exchange, foreign goods"
貨幣,かへい,"money, currency, coinage"
百貨店,ひゃっかてん,department store
貨車,かしゃ,"freight car, van"
雑貨,ざっか,"miscellaneous goods, general goods, sundries"
金貨,きんか,gold coin
銀貨,ぎんか,silver coin
貨幣価値,かへいかち,currency value
銅貨,どうか,copper coin
円貨,えんか,yen currency
新貨,しんか,new currency
百貨,ひゃっか,all kinds of goods
年賀,ねんが,New Year's greetings
年賀状,ねんがじょう,New Year's card
祝賀,しゅくが,"celebration, congratulations"
祝賀会,しゅくがかい,celebration
貧乏,びんぼう,"poverty-stricken, destitute, poor, penurious"
貧困,ひんこん,"poverty, penury, need, destitution"
貧しい,まずしい,"poor, needy, lacking"
貧弱,ひんじゃく,"poor, meagre, meager, feeble, scanty, shabb"
貧富,ひんぷ,"wealth and poverty, rich and poor"
貧血,ひんけつ,"anemia, anaemia"
貧相,ひんそう,"seedy-looking, thin"
資本,しほん,"funds, capital"
資金,しきん,"funds, capital"
資産,しさん,"property, fortune, means, assets"
投資,とうし,investment
資源,しげん,resources
資料,しりょう,"materials, data, document"
資格,しかく,"qualifications, requirements, capabilities"
物資,ぶっし,"goods, materials, commodities, resources, supplies"
資本主義,しほんしゅぎ,capitalism
出資,しゅっし,"investment, contribution, financing"
融資,ゆうし,"financing, loan"
資本家,しほんか,"capitalist, financier"
外資,がいし,"foreign capital, foreign investment"
資質,ししつ,"nature, disposition, temperament, qualities, attributes, talents"
資本金,しほんきん,capital stock
自己資本,じこしほん,"net worth, owned capital"
資金繰り,しきんぐり,"fundraising, financing, cash flow"
固定資産,こていしさん,fixed assets
資材,しざい,raw material
資する,しする,"to contribute, to play a part in, to have a hand in"
原資,げんし,"capital, principal"
増資,ぞうし,increase of capital
無資格,むしかく,"unqualified, unlicensed, uncertified"
投資信託,とうししんたく,investment trust
投融資,とうゆうし,investment and lending
学資,がくし,"school expenses, education fund"
資金調達,しきんちょうたつ,fundraising
資力,しりょく,"means, resources, wealth"
天然資源,てんねんしげん,natural resources
設備投資,せつびとうし,"capital investment, capital expenditure"
資金注入,しきんちゅうにゅう,cash injection
資金運用,しきんうんよう,"fund management, fund operation"
資産買い入れ,しさんかいいれ,asset purchase
先行投資,せんこうとうし,prior investment
賃貸,ちんたい,"lease, rent, hire"
貸す,かす,"to lend, to loan, to rent out, to hire out"
貸借,たいしゃく,"loan, debit and credit, lending and borrowing"
貸し切り,かしきり,"reserving, chartering, engaging, reserva"
貸付,かしつけ,loan
貸し出す,かしだす,"to lend, to loan, to let out on hire"
貸金,かしきん,"loan, advance"
貸出用,かしだしよう,circulation or lending 
貸家,かしや,house for rent
貸与,たいよ,"loan, lending"
貸間,かしま,"room to let, room for rent"
預貸率,よたいりつ,loan-deposit ratio
賃金,ちんぎん,"wages, cash payment of rent"
家賃,やちん,rent
運賃,うんちん,passenger fare
賃上げ,ちんあげ,wage increase
賃借,ちんしゃく,"hiring, renting, leasing"
割増賃金,わりましちんぎん,extra pay
賃金格差,ちんぎんかくさ,wage differential
最低賃金,さいていちんぎん,minimum wage
特別運賃,とくべつうんちん,special rate
賛成,さんせい,"approval, agreement, support, favour, favor"
賞賛,しょうさん,"praise, admiration, commendation, approbation"
賛否,さんぴ,"yes and no, for and against"
賛同,さんどう,"approval, endorsement"
賛美,さんび,"praise, glorification, extolment"
協賛,きょうさん,"support, mutual aid, cooperation, approval, authorizatio"
賛意,さんい,"approval, assent"
賛助,さんじょ,"support, patronage"
賛辞,さんじ,"eulogy, compliment"
分散,ぶんさん,"dispersion, breakup, scattering, decentralization, distribution, variance"
散歩,さんぽ,"walk, stroll"
解散,かいさん,"breaking up (e.g. meeting), dispersing (e.g. crowd), dissolving"
散らし,ちらし,"scattering, leaflets"
発散,はっさん,"emission, emanation, radiation, diffusion, dispersion, letting out"
散る,ちる,"to fall (e.g. blossoms, leaves), to scatter, to be dispersed"
散々,さんざん,"thoroughly, completely, utterly, severely, harshly, terribly, scattered"
散らす,ちらす,"to scatter, to cause a shower of, to disperse, to distribute, to spread"
拡散,かくさん,"scattering, diffusion, spread (e.g. signal across the spectrum)"
閑散,かんさん,"deserted (store, market, town, streets), quiet, still, inactive, off-season"
散髪,さんぱつ,"having a haircut, hair-cutting, hair-dressing"
散布,さんぷ,"dissemination, scattering, sprinkling, spraying"
散会,さんかい,adjournment
散文,さんぶん,prose
散発,さんぱつ,"sporadic, scattering"
集散,しゅうさん,collection (gathering) and distribution
散らかる,ちらかる,"to be in disorder, to lie scattered around"
散らばる,ちらばる,to be scattered about
飛散,ひさん,"scattering, dispersal, flying off, flying apart"
離散,りさん,"dispersal, scattering, discrete"
散漫,さんまん,"vague, desultory, distracted, loose, half-hearted, diffuse, scatt"
散乱,さんらん,"dispersion, scattering, spreading out, diffusion"
散骨,さんこつ,scattering of ashes (cremated remains)
散策,さんさく,"walking, strolling, roaming, wandering, exploring"
散らかす,ちらかす,"to scatter around, to leave untidy"
散歩道,さんぽみち,"promenade, walk, path, trail, esplanade, mall, parade"
母分散,ぼぶんさん,population variance
食い散らす,くいちらす,"to eat untidily, to eat a bit of everything"
標本分散,ひょうほんぶんさん,sample variance
散水,さんすい,"sprinkling water over, irrigating"
政策,せいさく,"political measures, policy"
対策,たいさく,"measure, provision, step, countermeasure"
方策,ほうさく,"plan, policy"
策略,さくりゃく,"scheme, tactic, stratagem, trick"
失策,しっさく,"blunder, slip, error"
無策,むさく,"lack of policy, having no measures, lacking means"
得策,とくさく,"profitable plan, good plan"
策定,さくてい,"formulation (of a plan, policy, etc.), decision, settling on"
国策,こくさく,national policy
画策,かくさく,"plan, scheme, program formulation, programme formulation"
施策,しさく,"policy, measure"
策動,さくどう,"maneuverings, manoeuverings, machinations"
社会政策,しゃかいせいさく,social policy
万策,ばんさく,all means
解決策,かいけつさく,"solution, solution strategy"
秘策,ひさく,secret plan or measures
策謀,さくぼう,"strategy, artifice"
小策,しょうさく,"petty trick, ruse"
下策,げさく,poor plan
景気対策,けいきたいさく,economic measure
産業政策,さんぎょうせいさく,industrial policy
金利政策,きんりせいさく,interest rate policy
景気改善策,けいきかいぜんさく,economy recovery plan
水害対策,すいがいたいさく,flood control measures
改革,かいかく,"reform, reformation, reorganization"
改める,あらためる,"to change, to alter, to revise, to replace, to reform, to correct, to mend"
改善,かいぜん,"betterment, improvement"
改正,かいせい,"revision, amendment, alteration"
改良,かいりょう,"improvement, reform"
改造,かいぞう,"remodeling, remodelling, restructuring, reconstruction, reshuffling"
改札,かいさつ,"examination of tickets, ticket gate, ticket barrier"
改築,かいちく,"structural alteration (of a building), reconstruction, rebuilding"
改めて,あらためて,"another time, again, over again, once again, anew"
改まる,あらたまる,"to be renewed, to change, to be improved, to be reformed, to be revised"
改定,かいてい,"revision, alteration, change"
改装,かいそう,"remodelling, remodeling, reorganization, reorganisation"
改訂,かいてい,"revision (of text), alteration, change"
改選,かいせん,re-election
改新,かいしん,reformation
改修,かいしゅう,"repair, improvement"
改名,かいめい,name change
農地改革,のうちかいかく,agrarian reform
更改,こうかい,"renewal, extension, revision"
改編,かいへん,"reorganization, reorganisation"
改組,かいそ,"reorganization, reorganisation, reshuffle"
改訂版,かいていばん,revised edition
改憲,かいけん,"constitutional change, revising the constitution"
改宗,かいしゅう,religious conversion
改悪,かいあく,"deterioration, changing for the worse"
改ざん,かいざん,"alteration, falsification, faking"
改札口,かいさつぐ,"ticket barrier, ticket gate, wicket"
改行,かいぎょう,"new line, new paragraph"
改め,あらため,"former (e.g. name), previous, changed"
言い改める,いいあらためる,to correct oneself
強制改行,きょうせいかいぎょう,"hard line break, hard return"
制御,せいぎょ,"control (of a machine, device, etc.), governing, management"
強制,きょうせい,"compulsion, coercion, forcing (to do), enforcement"
制限,せいげん,"restriction, restraint, limitation, limit"
制度,せいど,"system, institution, organization, organisation"
規制,きせい,"regulation, (traffic) policing, control, restriction"
体制,たいせい,"order, system, structure, set-up, organization, organisation"
制作,せいさく,"work (film, book), production, creation, turning (something) out"
制服,せいふく,uniform
制約,せいやく,"limitation, restriction, condition, constraints"
抑制,よくせい,"control, restraint, suppression, constraint, curtailment, inhibition"
制定,せいてい,"enactment, establishment, creation"
統制,とうせい,"regulation, control"
無制限,むせいげん,"unlimited, unrestricted, limitless"
制裁,せいさい,"sanctions, punishment"
先制,せんせい,"head start, initiative, preemption"
税制,ぜいせい,tax system
制する,せいする,"to hold back, to get the better of, to control, to command"
制圧,せいあつ,"gaining total control, suppression, oppression, control, mastery"
法制,ほうせい,"legislation, laws"
新制,しんせい,new system
定時制,ていじせい,part time (school system)
制止,せいし,"control, check, restraint, inhibition"
自制,じせい,"self control, self restraint"
反体制,はんたいせい,anti-establishment
二十四時間制,にじゅうよじかんせい,around-the-clock system
専制,せんせい,"despotism, autocracy"
産児制限,さんじせいげん,birth control
管制塔,かんせいとう,control tower
制球,せいきゅう,pitcher's control
管制,かんせい,control
管制官,かんせいかん,controller (usually air-traffic)
旧制,きゅうせい,"old system, old order"
制覇,せいは,"conquest, domination, mastery"
禁制,きんせい,"prohibition, ban, embargo"
自動制御,じどうせいぎょ,automatic control
強制的,きょうせいてき,"forced, compulsory"
会員制,かいいんせい,membership system
電子制御,でんしせいぎ,electronic control
漁業,ぎょぎょう,fishing (industry)
漁船,ぎょせん,fishing boat
漁村,ぎょそん,fishing village
漁獲,ぎょかく,"fishing, catch, haul"
漁民,ぎょみん,fishermen
漁場,ぎょじょう,"fishing grounds, permitted fishing zone"
漁港,ぎょこう,"fishing harbour, fishing harbor"
豊漁,ほうりょう,"good catch, good haul"
大漁,たいりょう,big catch
出漁,しゅつぎ,going fishing
不漁,ふりょう,poor catch
密漁,みつりょ,poaching (fish or seafood)
入漁,にゅうぎょ,fishing in restricted waters
漁る,あさる,"to fish, to look for, to search for, to hunt for, to scavenge"
漁業水域,ぎょぎょうすいいき,"fishing zone, fishery waters"
出漁権,しゅつぎょけん,fishing rights
予備,よび,"reserve, spare, preparation, preliminaries"
準備,じゅんび,"preparation, arrangements, getting ready, provision, setup, reserving"
整備,せいび,"maintenance, servicing, putting in place, establishment"
設備,せつび,"equipment, facilities, installation, accommodations, conveniences"
備える,そなえる,"to furnish with, to equip with, to provide, to install, to prepare for"
軍備,ぐんび,"armaments, military preparations"
守備,しゅび,"defense, defence"
警備,けいび,"defense, defence, guard, policing, security"
不備,ふび,"defect, deficiency, imperfection, inadequacy, lack"
備わる,そなわる,"to be furnished with, to be provided with, to be equipped with"
備え,そなえ,"preparation, provision, guarding"
装備,そうび,equipment
配備,はいび,"deploy, deployment"
備蓄,びちく,"stockpile, reserves, storing, stocking up, laying in (supplies)"
兼ね備える,かねそなえる,"to have both, to possess both, to combine with"
備品,びひん,"fixtures, furnishings, equipment"
準備金,じゅんびきん,reserve fund
予備知識,よびちしき,"background knowledge, prerequisite knowledge"
予備費,よびひ,"reserve funds, emergency funds"
完備,かんび,"(being) fully equipped, (being) fully furnished"
備え付け,そなえつけ,"equipment, provision"
