P1,T1,P2,T2,P3,T3
もちろん彼は絶対に正しい。,Of course he's absolutely right.,この本は初心者向きである。,This book is for beginners.,モーターがきちんと動かない。,The motor doesn't work properly.
もちろん、帰ってくるさ。,Of course I'll come back.,この本は子供向きに書き換えてある。,The book has been rewritten to be suitable for children.,きちんと授業に出席すること。,Attend class properly.
もちろん、戻ってくるよ。,Of course I'll come back.,彼は太っているくせに声は細い。,"He is fat, but his voice is thin.",食事療法にきちんと従うように。,Follow the diet properly.
もちろん、そうするわ。,Of course I will.,冬が近づきつつある。,Winter is approaching.,ちょっときついです。,They're a little tight.
もちろん、いいですよ。,Of course I will.,人口は増加しつつある。,The population is growing.,この靴はきつすぎる。,These shoes are too tight.
もちろん彼を訪ねます。,Of course I'll visit him.,太陽が今昇りつつある。,The sun is rising now.,このジャケットはきつい。,This jacket is too tight.
もちろん、冗談だよ。,"Of course, I'm kidding.",物価が上がりつつある。,Prices are rising.,彼はこっそりささやいた。,He whispered secretly.
もちろん、喜んで。,"Of course, with pleasure.",大気が汚染されつつある。,The air is becoming polluted.,彼はこっそりと裏口へ移動した。,He moved stealthily to the back door.
もちろんいいとも。,Of course I'm willing.,彼女は目方がふえつつある。,Her eyes are getting bigger.,いつもこんなに無口なの？,Why is he always so quiet?
火事の場合はベルを鳴らせ。,"If there's a fire, ring the bell.",だんだん暗くなりつつある。,It's getting darker and darker.,なんでこんなに眠いんだろう。,I wonder why I'm so sleepy.
君の場合は例外としよう。,I'll make an exception in your case.,そういう問題じゃないよ。,That's not the point.,こんなに嬉しいことはないよ。,I've never been so happy.
その場合は君が正しい。,"In that case, you're right.",そういうのは気に入らんな。,I don't like it when you do that.,さっさとやりなさい。,Get on with it.
雨の場合私は行かない。,"If it's raining, I'm not going.",まさしくそういう意味です！　,That's exactly what I mean!,さっさと準備しなさい。,Get ready.
それは極端な場合だ。,That's an extreme case.,服がぴったり合っていた。,The clothes fit perfectly.,さっさと宿題をしなさい。,Get your homework done.
彼は科学者として有名だ。,He is famous as a scientist.,それはぴったりの番号だ。,That's a perfect number.,ほら、さっさと答えなよ。,"Come on, answer the questions."
彼は芸人として成功した。,He is a successful comedian.,この上着は私にぴったり合う。,This jacket fits me perfectly.,冷水浴で彼はさっぱりした。,The cold water bath refreshed him.
神戸は港市として有名だ。,Kobe is famous as a port city.,彼はその仕事にぴったりだ。,He's perfect for the job.,一風呂浴びてさっぱりした。,I took a bath and felt refreshed.
彼女は女優として有名です。,She is famous as an actress.,その帽子は彼女にぴったりだ。,That hat fits her perfectly.,ドイツ語がさっぱり分からない。,I don't understand a word of German.
彼女は通訳として雇われた。,She was hired as an interpreter.,彼は７時ぴったりに家に着いた。,He arrived home at exactly seven o'clock.,あなたをさっぱり理解できない。,I don't understand you at all.
彼は教師としての経験が浅い。,He is inexperienced as a teacher.,これは私の好みにぴったりです。,This fits my taste perfectly.,人生ずっと勉強。,I've been studying all my life.
彼女を秘書として使ってみよう。,Let's use her as a secretary.,そのバスは８時ぴったりに到着した。,The bus arrived at exactly eight o'clock.,彼はずっと忙しい。,He's always busy.
彼は翻訳家として働いている。,He is working as a translator.,彼は彼女をしっかりと抱いた。,He held her tightly.,ずっと考えてたの。,I've been thinking.
ガソリンは燃料として使われる。,Gasoline is used as fuel.,彼はしっかりと枝につかまった。,He held on tightly to the branch.,娘は母にそっくりです。,My daughter looks just like her mother.
冬の到来と共に日が短くなりつつある。,"With the arrival of winter, the days are getting shorter.",彼女の腕をしっかりとつかんだ。,I grabbed her arm tightly.,その絵は本物そっくりだ。,That painting looks so real.
彼らの親密さは年月とともに深まった。,Their intimacy has deepened over the years.,私は彼女をしっかり抱きしめた。,I held her tightly.,時間はたっぷりある。,There is plenty of time.
精神は肉体とともに発達させるべきである。,The mind should be developed along with the body.,本は一まとめにしっかり縛ってあった。,The book was tied tightly in a bundle.,時間はたっぷりあった。,I had plenty of time.
春の訪れとともに暖かくなり、美しい花が咲く。,"With the arrival of spring, the weather is getting warmer and beautiful flowers are blooming.",手を離さないでしっかりつかみなさい。,Don't let go and hold on tight.,食べ物はたっぷりある。,There's plenty of food.
年齢を重ねるとともに知恵がついてくるのです。,"As we age, we gain wisdom.",彼女はその小包にしっかりと紐をかけた。,She tied the parcel tightly.,彼女はお色気たっぷりだ。,She's very sexy.
彼を見たとたん私は吹き出した。,As soon as I saw him I was blown away.,しっかり勉強しなさい。,Study hard.,どうせやるなら上手にやれ。,"If you're going to do it, do it well."
家を出たとたん、偶然彼女に会った。,"As soon as I left home, I ran into her.",しっかり頑張ってこい。,Do your best.,どうせ行くんでしょ。,You're going anyway.
家に着いたとたん嵐になった。,"As soon as I arrived home, there was a storm.",ドアはしっかり閉まっている。,The door is firmly closed.,時がどんどんたってゆく。,The time was ticking away.
彼女に会った途端、僕は恋に落ちた。,"As soon as I saw her, I fell in love.",ロープにしっかり捕まりなさい。,Hold on tight to the rope.,風がどんどん強くなった。,The wind was getting stronger and stronger.
私は彼女に会ったとたん誰だか分かった。,"As soon as I saw her, I knew who she was.",彼は私の手をしっかりと握った。,He grasped my hand tightly.,彼は眼鏡を外した。,He took off his glasses.
全てが好きとは限らない。,Not everything is love.,ラケットをしっかりにぎりなさい。,Hold the racket tightly.,マスクを外さないで。,Don't take off your mask.
その陳述は全くの真実とは限らない。,The statement may not be entirely true.,約束はきちんと果たすべきだ。,You should make good on your promise.,気に入った？,Do you like it?
金持ちが必ずしも幸せとは限らない。,Rich doesn't always mean happy.,食事療法にきちんと従うように。,Follow the diet properly.,気に入ってる？,Do you like it?
いつもうまくいくとは限りませんよ。,It doesn't always work out.,貴方の仕事をきちんとしなさい。,Do your work well.,たいした奴だ。,He's a great guy.
日曜日はいつも家にいるとは限らない。,You don't always stay home on Sunday.,部屋の中をきちんと整理しなさい。,Keep your room neat and tidy.,彼女はたいした美人だ。,She's a real beauty.
必ずしも苦い薬が行く効くとは限らない。,It's not always the bitter medicine that goes that works.,彼は仕事の面できちんとしていた。,He was neat in his work.,それはたいした功績だ。,That's a big deal.
理論と実践は常に両立するとは限らない。,Theory and practice don't always go hand in hand.,きちんと座りなさい。,Sit properly.,大したことじゃないさ。,It's not a big deal.
善人が必ずしも成功するとは限らない。,Good people don't always succeed.,きちんと戸を閉めなさい。,Close the door properly.,大した違いはありません。,It doesn't make much difference.
どんなに速く走っても、君は勝てない。,"No matter how fast you run, you can't win.",すべてきちんと整っている。,Everything is in order.,私は海を見下ろした。,I looked down at the ocean.
どんなに高くても、あの古い時計を買います。,"No matter how expensive it is, I will buy that old watch.",モーターがきちんと動かない。,The motor doesn't work properly.,彼は床を見下ろした。,He looked down at the floor.
人はどんなに年をとっても学ぶことができる。,"No matter how old you are, you can always learn.",ちゃんと座ってろ。,Sit down properly.,職員意外立ち入るべからず。,Not to be entered by unauthorized personnel.
どんなに忙しくても新聞ぐらいは読むべきです。,"No matter how busy you are, you should at least read the newspaper.",ちゃんと歯を磨いていますか。,Are you brushing your teeth properly?,意外な結果が発表された。,Surprising results were announced.
どんなに遅くなっても必ず起こしてくださいよ。,"No matter how late it gets, you should always wake me up.",ちゃんと聞いてるよ。,I'm listening to you.,彼女がそう言ったのは意外だ。,I'm surprised she said that.
どんなに探しても無くした時計は見つからなかった。,"No matter how hard I looked, I couldn't find the watch I lost.",ストーブちゃんと消した？,Did you turn off the stove properly?,その映画は意外と面白かった。,The film was surprisingly interesting.
どんなにたくさん食べても、私は決して太らない。,"No matter how much I eat, I will never get fat.",本当にちゃんとわかった？,Are you sure you understand?,我々は言語で意思を伝える。,We use language to communicate.
どんなに速く歩いてもあなたは彼に追いつけない。,"No matter how fast I walk, you will never catch up with him.",ちゃんと戸締りはしたか？,Did you lock the door properly?,意思伝達は色々な形をとる。,Communication can take many forms.
事態は悪くなる一方です。,Things are only going to get worse.,ちゃんと思い出せないんだ。,I can't remember.,私は自分の本に有名な言葉を引用した。,I quoted a famous speech in my book.
謎は深まる一方だわ。,The mystery just keeps getting worse.,自分の目でちゃんと見たのよ。,I saw it with my own eyes.,新聞はその演説から数箇所引用していた。,The newspaper quoted several passages from the speech.
その上に座るな。,Don't sit on it.,ちゃんと体調管理をしなさいよ。,You should take better care of yourself.,非難されるべきは君だ。,It is you who should be blamed.
学校は丘の上だ。,The school is on a hill.,こんにちは。,Hello.,僕の行動は非難を招いた。,My actions were reprehensible.
私は草の上に寝た。,I lay down on the grass.,今晩は。,Good evening.,湖は直径３マイルある。,The lake is three miles in diameter.
辞書が机の上にある。,The dictionary is on the desk.,お元気ですか。,How are you?,池の直径はどのくらいですか。,What is the diameter of the pond?
彼は努力のおかげで成功した。,He succeeded because of his efforts.,はい、元気です。あなたは？,"Yes, I'm fine. How are you?",その池は直径１００メートルある。,The pond is a hundred meters in diameter.
そのおかげで誤解が解ける。,"Thanks to him, the misunderstanding is cleared up.",おかげさまで。,Thanks to you.,彼女は最後まで耐えた。,She held out until the end.
君のおかげで成功できた。,"Thanks to you, I succeeded.",まあまあです。,So-so.,それは見るに耐えない。,It's unbearable to watch.
奨学金のおかげで彼女は留学した。,"Thanks to the scholarship, she went to study abroad.",じゃあ、失礼します。,"Now, if you'll excuse me.",彼女はよく悲しみに耐えた。,She endured the grief well.
錠剤のおかげで痛みがなくなった。,"Thanks to the pills, the pain is gone.",人を待たせていますので、これで失礼いたします。,"I have people waiting, so I'll be going now.",痛みに耐えねばなりません。,You have to endure the pain.
彼は能力と勤勉のおかげで成功した。,He succeeded because of his ability and hard work.,またあとで。,I'll see you later.,どうにか泳げます。,Somehow I can swim.
一行おきに書け。,Write every other line.,お休みなさい。,Have a good night.,どうにか乗り越えるよ。,I'll get over it somehow.
３０分おきに出ます。,I leave every half hour.,がんばって下さい。,Please do your best.,彼はどうにか難局をのがれた。,He somehow managed to get out of the predicament.
私は１日おきに入浴する。,I take a bath every other day.,楽しんで下さい。,Have fun.,彼はどうにか逃げる事が出来た。,Somehow he managed to escape.
六時間おきに体温を測った。,I took his temperature every six hours.,楽しい休暇を。,Have a nice vacation.,彼女はあっさりと答えた。,She answered easily.
彼は数日おきにここに来る。,He comes here every few days.,楽しい旅行を。,Have a nice trip.,彼はその問題をあっさり解いた。,He solved the problem easily.
汽車は２時間おきに出発する。,The train leaves every two hours.,誰ですか？,Who is this?,彼はどうやら正しいようだ。,He was apparently right.
会議は一週間おきに行われる。,Meetings are held every other week.,この近くで何か面白いことがありますか。,Are there any interesting things to do near here?,どうやら明日は雨のようだ。,It looks like it's going to rain tomorrow.
ここではバスは十分おきに通る。,The bus goes by here every ten minutes.,どんなホテルですか。,What kind of hotel is it?,どうやら晴れるようですね。,It looks like it's going to be sunny.
４時間おきにこの薬をのみなさい。,Take this medicine every four hours.,トイレはどこにありますか。,Where are the toilets located?,どうやら誤解があるようだ。,There seems to be a misunderstanding.
その番組は１週間おきに放送される。,The program will be broadcasted every other week.,どちらに行かれますか。,Where are you going?,どうやら道に迷ったようだ。,We seem to have lost our way.
恐れるな。,Don't be afraid.,どこから来ましたか。,Where are you coming from?,天気はどうやら回復しそうだ。,It looks like the weather is going to improve.
動物は火を恐れる。,Animals are afraid of fire.,どのくらい遠いですか。,How far away is it?,年々公害が悪化する。,Every year the pollution gets worse.
彼は危険を恐れない。,He is not afraid of danger.,どこで起こりましたか。 ,Where did it happen?,事態はますます悪化した。,Things have gotten worse.
人々は変化を恐れる。,People are afraid of change.,何をなくしましたか。,What did you lose?,悪化したのですか。,Has it gotten worse?
彼はヘビを恐れている。,He is afraid of snakes.,何が盗まれましたか。 ,What was stolen?,自然環境の悪化を阻止しましょう。,Let's stop the deterioration of the natural environment.
おそれることは何もない。,There is nothing to be afraid of.,身分証明書を見せて下さい。 ,Please show me your ID.,橋が圧力で落ちた。,The bridge fell down under pressure.
ミスをすることを恐れるな。,Don't be afraid to make a mistake.,それは何時でしたか。 ,What time did it happen?,彼は圧力に屈した。,He succumbed to the pressure.
間違えることを恐れないで。,Don't be afraid of making mistakes.,誰が関係しましたか。 ,Who was involved?,私の意図は十分あなたに伝わった。,My intentions have been well communicated to you.
人は洪水や火災などの災害を恐れる。,People are afraid of disasters such as floods and fires.,証人がいますか。 ,Do you have any witnesses?,彼は病院の管理運営に責任がある。,He is responsible for the administration and management of the hospital.
私の願いがかなわないと恐れている。,I am afraid that my wish will not be fulfilled.,ここに記入してください。 ,Please fill out this form.,学校を運営する費用が上昇し続けた。,The cost of running the school kept rising.
あなたを怒らせることを恐れています。,Fear that I will offend you.,ここにサインをして下さい。 ,Please sign here.,その工場は大規模で運営されている。,The factory is run on a large scale.
質問をする事を恐れてはいけない。,Don't be afraid to ask questions.,通訳が必要ですか。 ,Do you need an interpreter?,彼は事業を大規模に営んでいる。,He runs his business on a large scale.
新しい物事に手を出すのを恐れるな。,Don't be afraid to try new things.,保険のために写しをください。,Please provide a copy for insurance purposes.,その島には漁業を営む人たちが住んでいた。,The island was inhabited by fishermen.
ここへ来たきっかけは何ですか？,What brought you here?,全部失いました。,I've lost everything.,川に沿って歩いた。,We walked along the river.
ここへ来たきっかけは何ですか？,What brought you here?,お金が全部なくなりました。,I've lost all my money.,船は岬に沿って回った。,The boat went around the cape.
横にお掛けなさい。,Please sit down beside me.,お金を少し貸して下さいますか。,Can you lend me some money?,私は通りにそって歩いた。,I walked along the street.
川が枯れかけている。,The river is dying.,通訳が必要です。,I need a translator.,その通りは川に沿っている。,The street follows the river.
迷惑かけてごめんね。,I'm sorry to bother you.,私は無罪です。,I'm not guilty.,船は四国の海岸にそって進んだ。,The boat went along the coast of Shikoku.
彼は麻酔をかけられた。,He was put under anesthesia.,何も知りません。,I don't know anything.,私たちの家は道路に沿って立っている。,Our house stood along the road.
彼は上着を鉤にかけた。,He put his jacket on the hook.,英語が話せる弁護士がほしいんです｡,I need a lawyer who speaks English.,崖っぷちに沿って狭い道が通っている。,A narrow street runs along the edge of the cliff.
二かける七は十四です。,Two times seven is fourteen.,そのピザは美味しそうです。,That pizza looks good.,この通りに沿って行けば駅に着きます。,"If you follow this street, you will reach the station."
彼女はカーテンを掛けた。,She hung the curtains.,あなたの車は古そうです。,Your car looks old.,重要な役を演じる。,Play an important role.
戸にロックをかけなさい。,Put a lock on the door.,このテストは難しそうです。,This test is going to be difficult.,黄金のベッドで眠る金持ち。,A rich man sleeping in a golden bed.
彼は感情を表わしがちだ。,He tends to show his emotions.,今日は寒なさそうですね。,It doesn't look cold today.,蟹は甲殻類だよ。,The crab is a crustacean.
彼は約束を忘れがちである。,He tends to forget his promises.,このビールは冷たくなさそうです。,This beer doesn't seem to be cold.,この汽車は世界の果て行きの終列車です。,This train is the last train to the end of the world.
彼は電車に傘を忘れがちだ。,He tends to forget his umbrella on the train.,あの公園は静かそうです。,That park looks quiet.,河川は豪雨で氾濫しました。,The river was flooded by heavy rains.
私たちは間違いをしがちです。,We are apt to make mistakes.,このホテルは便利じゃなさそうです。,This hotel doesn't look convenient.,河川の盆地には普通肥沃な農地がある。,There is usually fertile farmland in the river basin.
彼は学識を自慢しがちであった。,He was apt to boast of his learning.,あれはやそうな車ですね。,That looks like a fast car.,保護回路を飛ばしてしまおう。,Let's skip the protection circuit.
事故はとかく起こりがちなもの。,Accidents are apt to happen.,静かそうなこうえんです。,It looks like a quiet park.,回路を調べる前に、電源のスイッチを切りなさい。,"Before examining the circuit, switch off the power supply."
私達は他人の悪口を言いがちだ。,We tend to speak ill of others.,元気そうな赤ちゃんですね。,That baby looks healthy.,そのシステムには、保護回路が組み込まれています。,There is a protection circuit built into that system.
学生は時間を浪費しがちである。,Students tend to waste their time.,日本人のふりをしました。,I pretended to be Japanese.,彼女の思考回路がまったく理解できない。,I don't understand her thought process at all.
老人は過去を振り返りがちである。,Old people tend to look back on the past.,若いふりをしました。,I pretended to be young.,男の人の思考回路って分かんない。,I don't know what a man's thought process is.
果物はすぐにくさりがちである。,Fruit tends to go bad quickly.,日本語が分からないふりをしました。,I pretended that I didn't understand Japanese.,新しいエネルギーを開発しなくてはならない。,We need to develop new energy sources.
風邪かな？,Is it a cold?,もう若いふりができません。,I can't pretend to be young anymore.,いくつかの地方自治体では開発を禁止した。,Some local governments have banned its development.
恋かな？,Is it love?,日本人のふりをしません。,I don't pretend to be Japanese.,彼らは高度な技術のコンピューターを開発した。,They developed a computer with advanced technology.
遅れたかな？,Am I late?,友達はよく、寝たふりをしています。 ,My friends often pretend to be asleep.,私はあなたに仕事を確保できる。,I can secure you a job.
今晩暇かな？,Are you free tonight?,忙がしいふりをしないで、手伝って下さい。 ,Please help me and don't pretend to be busy.,緊急時の飲料水の確保は、大丈夫ですか？,Are you sure you have enough drinking water for emergencies?
そうなのかな？,Is it?,最近、落ち込こんでいます。 ,I've been feeling depressed lately.,ニュートンは引力の法則を確立した。,Newton established the law of gravitation.
可能性あるかな？,Do you think it's possible?,落ち込まないで、頑張りましょう。 ,"Don't be depressed, let's do our best.",私たちは週休二日制確立を目指している。,We're trying to establish a two-day workweek.
晴れるのかなあ？,Is it going to be sunny?,卒業式でクラスメートと別れるのは、寂しいです。 ,I'm sad to say goodbye to my classmate at the graduation ceremony.,彼の頭脳の働きは活発だった。,His mind was active.
道間違えたかな？,Did I take a wrong turn?,別れたいと言ったけど、彼女は聞いてくれなかった。 ,"I told her I wanted to break up with her, but she didn't listen to me.",私たちは活発な討論をした。,We had a lively debate.
彼に話すのかな。,I wonder if I should tell him.,別わかれる時は、泣くより笑ったほうがいいです。 ,"When you have to say goodbye, it is better to laugh than to cry.",明日から梅雨前線が活発になります。,The rainy season front will become active tomorrow.
それって変かな？,Would that be weird?,10年飼っていた犬と別れるのは、辛かったです。,It was hard to say goodbye to the dog I had for 10 years.,適度の運動は血液の循環を活発にする。,Moderate exercise stimulates the circulation of the blood.
あれで十分かな？,Would that be enough?,若い時は、生活に困っていました。 ,"When I was young, I had a hard time making ends meet.",さつまいも掘りをしましょう。,Let's dig sweet potatoes.
誰を呼ぼうかな。,I wonder who I should call.,娘がずっと泣いて、本当に困りました。,"My daughter cried all the time, and I was really troubled.",サツマイモを掘ろうよ。,Let's dig sweet potatoes.
誰にしようかな？,Who should I call?,友達の家があまりにも汚くて、困こまりました。,My friend's house was so dirty that I was in trouble.,それは細菌感染に有効だ。,It's effective against bacterial infections.
同席してもいいかな。,Is it okay if I sit in?,海外旅行で困ったことはありますか。,Do you have any problems when traveling abroad?,変化したウイルスは感染しやすい。,The altered virus is easy to transmit.
彼女の話は本当かな？,Do you think she's telling the truth?,何で？先週、話してたでしょう？ ,Why? Didn't we talk about it last week?,感染の徴候は見られない。,I don't see any signs of infection.
夕食に何作ろうかな。,What should I make for dinner?,そうなんだけど..明日、友達に会ってほしかったの。 ,"I know, but... I wanted you to meet my friends tomorrow.",梅毒は性行為を通じて感染する病気です。,Syphilis is a disease transmitted through sexual intercourse.
あれは関係あるかな？,Is that relevant?,明日、日本に行くから、どきどきしています。,"I'm going to Japan tomorrow, so I'm very excited.",パソコンがウイルスに感染したようです。,It seems that my computer has been infected by a virus.
次はいつ会えるかな？,When can I see her again?,妹が怒っていて、部屋から出てきません。 ,My sister is angry and won't come out of her room.,朝食用のパンはぎりぎり足りる。,There is just barely enough bread for breakfast.
私は週末にかけて伊豆へ行くつもりだ。,I'm going to Izu over the weekend.,私の友達が今晩、テレビに出てきますよ。,My friend is going to be on TV tonight.,費用はギリギリまで切り詰められた。,The expenses were cut down to the barest minimum.
雨がよく降るのは、５月から８月にかけてです。,It rains a lot from May to August.,私はテニスをする時、汗をかきます。,"When I play tennis, I sweat a lot.",飛行機にはギリギリ間に合ったよ。,I just barely made it to the plane.
わたしはソファーにかけている。,I'm hanging on the couch.,汗をかいたら、水をたくさん飲みます。,"When I sweat, I drink a lot of water.",彼は終電にぎりぎり間にあった。,He was just in time to catch the last train.
やるからには最善を尽くしなさい。,"If you're going to do it, do it the best you can.",天気が暑い時、汗が出でます。 ,"When the weather is hot, I sweat a lot.",時間はあっという間に過ぎた。,The time flew by.
注射器を見たからには落ち着いてきた。,"Now that I've seen the syringe, I've calmed down.",夏に汗が凄く出るから、シャワーをよくします。,"In summer, I sweat so much that I often take a shower.",休暇はあっという間に過ぎた。,The vacation went by in a flash.
バスの代わりに電車で行こうよ。,Let's take the train instead of the bus.,今日は忙しいけど、何とか時間を作つくります。 ,"I'm busy today, but I'll try to make time for you.",あっという間に逃げてしまった。,He got away in a flash.
彼は上司のかわりに会議に出席した。,He attended the meeting instead of his boss.,給料は少ないですが、何とかお金が貯められました。  ,"The salary was not much, but I managed to save some money.",休暇はあっという間に終わった。,The vacation was over in the blink of an eye.
私は勉強するかわりにテレビを見た。,I watched TV instead of studying.,困っていたけど、何とかなりました。,"I  was troubled, but it all worked  out. ",彼はあっという間に寝入ってしまった。,He fell asleep in no time at all.
英語の代わりにフランス語を習いました。,I learned French instead of English.,困っていたけど、何とかしました。 ,"I  was troubled, but I figured it out. ",電子レンジはあっという間に食べ物を温める。,The microwave oven warmed up the food in no time.
5時ぐらいだよ。,It's about five o'clock.,手伝って下さいませんか。,Can you help me?,ぎゅっと抱きしめて。,I hugged her tightly.
何時ぐらい？,What time is it?,教えて下さいませんか。,Teach me.,彼女をぎゅっと抱きしめた。,I hugged her tightly.
何日ぐらいで着きますか。,How long will it take you to get there?,連れていって下さいませんか。,Can you take me there?,赤ん坊には善悪が認識出来ない。,Babies can't recognize right and wrong.
３週間ごとに会ってます。,We meet every three weeks.,予約していただけますか。,Can you make a reservation for me?,世界は彼を認識していなかった。,The world did not recognize him.
バスは１５分ごとにでます。,The bus leaves every 15 minutes.,ベジタリアン料理はありますか。,Do you have any vegetarian dishes?,美の認識は倫理の検査となり得る。,The perception of beauty can be a test of ethics.
２時間毎に局部を湿布しなさい。,Do a local compress every two hours.,これを持って行ってもいいですか。,Can I bring this with me?,私は自分が変なことをしたいのだと認識した。,I recognized that I wanted to do something strange.
電車は３０分ごとに走っている。,The train runs every 30 minutes.,タバコを吸ってもいいですか。,Can I smoke?,私は大切な仕事を任された。,I was given an important job.
食前ごとにこの薬を飲みなさい。,Take this medicine before every meal.,はい 、もちろん 。,"Yes, of course.",彼はコンピューターの販売をまかされていた。,He was in charge of selling computers.
この薬は３時間毎に飲んでください。,You should take this medicine every three hours.,はい、どうぞ。,"Yes, please.",第一の難関はどうにか突破した。,I managed to get past the first obstacle.
先生のこと好き？,Do you like the doctor?,ちょっと待って下 さ い 。,"Wait a minute, please.",私は持ち前の頑張りの精神で難関を突破した。,I managed to overcome the first obstacle with the spirit of hard work that I possessed.
変なこと言うなよ。,Don't say anything funny.,すみませんが、時間がありません。,"I'm sorry, but I don't have time.",もう一回挑戦してみたいです。,I would like to try again.
危ない事はするな。,Don't do anything dangerous.,不可能です。,It's impossible.,私は一か八か彼の挑戦を受けてみた。,I took a chance and accepted his challenge.
そのことで悩むな。,Don't let it bother you.,そう思います。,I think so.,私はこの挑戦をとても楽しんでいる。,I'm really enjoying this challenge.
それって凄いこと？,Is that a big deal?,誰もいません。,There's no one here.,スカイダイビングに挑戦したことある？,Have you ever tried skydiving?
食べたことあるの？,Have you ever eaten?,何でもありません。,It's nothing.,僕らは一度もそれに挑戦したことがない。,We've never tried it.
やったことあるの？,Have you ever done that?,それで結構です。,That's fine.,ウィンドサーフィンに挑戦したことある？,Have you ever tried windsurfing?
これ見たことある？,Have you seen this?,違います。,"No, it's not.",君は挑戦したら出来ると僕は確信してる。,I'm sure you can if you try.
簡単な事じゃない。,It's not easy.,賛成です。,I agree.,事故の原因はまだ捜索中だ。,We're still searching for the cause of the accident.
これは普通のこと？,Is this normal?,賛成出来ません。,I don't agree.,私たちは散開して森の中を捜索した。,We've spread out and searched the woods.
何も言うことはないの？,Don't you have anything to say?,どうもありがとうございます。,Thank you very much.,この湖はこの箇所が一番深い。,This part of the lake is the deepest.
もちろんそんなことはない！,"No, of course not!",本当に楽しかったです。,I really enjoyed it.,私はスキー中に２箇所も骨折した。,I broke my arm in two places while skiing.
お前なんかに話すことはない。,I have nothing to say to you.,知らなかったので、申し訳ありません。,I'm sorry I didn't know.,先生はもう一度重要な箇所を要約した。,The teacher summarized the important points again.
もう二度と起こることはないよ。,It won't happen again.,どちらがお好きですか。,Which do you like better?,新聞はその演説から数箇所引用していた。,The newspaper quoted several passages from the speech.
今晩は列車がとても込んでいる。,The train is very crowded this evening.,どう思いますか。,What do you think?,強風のため電線が数箇所で切断された。,High winds had knocked down power lines in several places.
この価格は昼食代込みですか？,Does this price include lunch?,踊るのが嫌いですか。,Do you hate to dance?,これはその分析を始めるのに良い箇所だ。,This is a good place to start the analysis.
食事代はサービス料も込みになっています。,The price of the meal includes the service charge.,何でもいいです。,Anything is fine.,私達の計画はことごとく失敗した。,Our plans have failed at every turn.
彼は手紙を火の中に投げ込んだ。,He threw the letter into the fire.,よかった。,Good.,いまさら遅いよ。,It's too late now.
終わり際になってその実験は失敗であると気づいた。,"Toward the end, he realized that the experiment was a failure.",悪くいですね!,That's not bad!,今さら謝っても遅いよ。,It's too late to apologize now.
危機の際には赤ランプが点灯する。,"In times of crisis, the red light comes on.",すばらしい!,Excellent!,彼女は服をさっと着た。,She put on her clothes quickly.
お困りの際には、お電話ください。,"If you need help, please call us.",おいしい!,Delicious!,さっとシャワーを浴びた。,She took a quick shower.
言語を学ぶ際に間違うことを恐れてはいけないのです。,Don't be afraid to make mistakes when learning a language.,楽しいですねえ!,It's fun!,さっとシャワー浴びてくる。,I'm going to take a quick shower.
実際に何が起こったのか。,What actually happened?,すてき!,It's great!,彼女の表情がさっと変わった。,Her expression changed quickly.
学校の場所さえ分かるか？,Do you even know where the school is?,とても楽しんでいます。,I'm enjoying it very much.,頭上の雲がさっと流れていった。,The clouds above my head quickly drifted away.
彼は私に謝りさえしなかった。,He didn't even apologize to me.,それを楽しみに待っています。,I'm looking forward to it.,猛烈な暑さだ。,The heat was fierce.
綺麗じゃない？,Isn't it beautiful?,すごい!,Great!,彼らは、猛烈にいがみあっている。,They are bickering furiously.
嘘じゃないよ。,I'm not lying.,残念!,Too bad!,赤ちゃんは猛烈に泣き始めた。,The baby began to cry furiously.
これじゃないよ。,It's not this.,うんざりだよ。,I'm sick of it.,彼女はひとりでやるのが望ましい。,She preferred to do it alone.
もう好きじゃない。,I don't like him anymore.,もうあきた。,I'm tired of it.,結果は望ましいものではなかった。,The result was not desirable.
遊びじゃないんだ。,It's not a game.,自己紹介してもよろしいですか。,May I introduce myself?,それは望ましい結果とは言えない。,It is not a desirable outcome.
現実じゃなかった。,It wasn't real.,お名前は?,What's your name?,人口は変動しないでいる。,The population remains unchanged.
笑い事じゃないよ！,It's not funny!,これは妻です。,This is my wife.,金の価格は日ごとに変動する。,The price of gold fluctuates from day to day.
そこに行くたびに彼女に会う。,I see her every time I go there.,これは友達です。,This is my friend.,消費者物価指数は激しく変動しています。,The consumer price index fluctuates wildly.
この映画を見るたびに泣く。,I cry every time I watch this movie.,これは母です。,This is my mother.,工場の閉鎖が決まった。,The factory has been closed.
この本は読むたびに発見がある。,I discover this book every time I read it.,これは夫です。,This is my husband.,その鉱山は閉鎖している。,The mine is closed.
彼は上京するたびに私の家に泊まる。,"Every time he comes to Tokyo, he stays at my house.",これは息子です。,This is my son.,工場は十年前に閉鎖された。,The factory was closed ten years ago.
彼はいつでも英語を話す度に間違いをする。,He always makes a mistake every time he speaks English.,初めまして 。どうぞよろしく 。,Nice to meet you. Nice to meet you.,雪のため学校は閉鎖している。,The school is closed due to snow.
壁は落書きだらけです。,The walls are covered with graffiti.,お目にかかれて嬉しいです。,It's nice to meet you.,空港は霧のために閉鎖された。,The airport has been closed due to fog.
彼の手は泥だらけだった。,His hands were covered with mud.,お国はどちらですか。,What country are you from?,その博物館は今は閉鎖している。,The museum is closed now.
