Words,Reading,Meaning,Type,S1,S2,T1,T2,T3,S3,W1,W2,W3
申し上げる,もうしあげる,"to say, to tell, to express, to offer, to extend (greetings, congratulations), to do",,,,,,,,,,
役立つ,やくだつ,"to be useful, to be helpful, to serve the purpose",,,,,,,,,,
頼る,たよる,"to rely on, to depend on, to count on, to turn to (for help)",,,,,,,,,,
計る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,,,,,,,,
測る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,,,,,,,,
量る,はかる,"to measure, to weigh, to survey , to time (sound, gauge, estimate), to infer, to conjecture, to surmise",,,,,,,,,,
図る,はかる,"to plan, to attempt, to devise, to plot, to conspire, to scheme, to aim for, to strive for, to work towards, to seek, to deceive, to trick, to take in",trans.,市場の拡大を図っている,できるだけ便宜を図りましょう,They are planning ways to expand their market.,I will do everything I can to help you.,He tried to recover his lost standing.,彼は再挙を図った,地図。合図。意図,,
諮る,はかる,"to consult with, to discuss, to confer, to deliberate",,,,,,,,,,
就く,つく,"to take (set, position, course, etc), to ascend, to be hired, to be employed, to start a journey, to commence, to depart",,,,,,,,,,
着く,つく,"to arrive, to reach, to sit on, to sit at",,,,,,,,,,
付く,つく,"to be attached, to be connected with, to adhere, to stick, to cling, to accompany, to attend, to side with",,,,,,,,,,
点く,つく,"to be lit, to be lighted, to catch fire",,,,,,,,,,
突く,つく,"to prick, to stab, to poke, to prod, to push, to thrust, to nudge, to hit, to strike, to press against, to attack",,,,,,,,,,
吐く,つく,"to breathe out, to breathe, to tell (lies), to vomit, to disgorge ",,,,,,,,,,
触れる,ふれる,"to touch, to feel,  to experience, to come in contact with, to perceive, to touch on a subject",,,,,,,,,,
治る,なおる,"to be cured, to get well, to be healed, to be mended, to be repaired, to be fixed",,,,,,,,,,
値する,あたいする,"to be worth, to be worthy of, to deserve, to merit",,,,,,,,,,
殺す,ころす,"to kill, to slay, to murder, to slaughter",,,,,,,,,,
包む,つつむ,"to wrap up, to tuck in, to pack, to do up, to cover with, to dress in",,,,,,,,,,
間違える,まちがえる,"to make a mistake, to commit an error, to confuse",,,,,,,,,,
抱える,かかえる,"to hold or carry under or in the arms, to employ, to engage",,,,,,,,,,
黙る,だまる,"to be silent, to say nothing",,,,,,,,,,
見つめる,みつめる,"to stare at, to gaze at, to look hard at to watch intently, to fix one’s eye on",,,,,,,,,,
折る,おる,"to break, to fracture, to break off, to snap off, to pick (flowers), to fold, to bend, to make origami, to interrupt, to end",,,,,,,,,,
保つ,たもつ,"to keep, to preserve, to maintain, to sustain",,,,,,,,,,
用いる,もちいる,"to use, to make us of, to utilise, to utilize",,,,,,,,,,
輝く,かがやく,"to shine, to shine, to sparkle",,,,,,,,,,
引き起こす,ひきおこす,"to cause, to induce, to bring about, to provoke, to pull upright, to help up",,,,,,,,,,
話しかける,はなしかける,"to address someone, to talk to someone, to begin to talk, to start a conversation",,,,,,,,,,
足りる,たりる,"to be sufficient, to be enough, to be worth doing, to be worthy of, to deserve, to do (the job), to serve",,,,,,,,,,
動かす,うごかす,"to move, to shift, to stir, to budge, to change position, to inspire, to rouse, to influence, to change",,,,,,,,,,
投げる,なげる,"to throw, to hurl, to fling, to toss, to cast, to give up, to abandon, to throw away, to cast (a glance, shadow, doubt, etc.)",,,,,,,,,,
告げる,つげる,"to tell, to inform, to announce, to indicate, to signal, to mark",,,,,,,,,,
通す,とおす,"to stick thorough, to force, through, to spread throughout, to defuse",,,,,,,,,,
植える,うえる,"to plant, to grow, to raise, to insert, to transplant, to implant, to set (type), to inoculate, to instil (idea, value)",,,,,,,,,,
育つ,そだつ,"to be raised, to be brought up, to grow up",,,,,,,,,,
知らせる,しらせる,"to notify, to advice, to inform",,,,,,,,,,
連れて行く,つれていく,"to take someone, take along, to lead someone away",,,,,,,,,,
飼う,かう,"to keep (pet), to have, to own, to rear, to feed",,,,,,,,,,
果たす,はたす,"to accomplish, to achieve, to carry out, to fulfil, to realise, to execute, to perform, to do",,,,,,,,,,
去る,さる,"to leave, to go away, to pass, to elapse, to be distant, to send away, to drive off, to do completely",,,,,,,,,,
眺める,ながめる,"to look at, to gaze at, to watch, to stare at, to look out over., to get a view of. to admire the scenery",,,,,,,,,,
見逃す,みのがす,"to overlook, to miss, to fail to notice, to let pass a matter, to pass up (opportunity), to let go by",,,,,,,,,,
迫る,せまる,"to approach, to draw near, to be imminent, to press for something, to urge, to compel",,,,,,,,,,
露呈する,ろていする,"to expose, to disclose",,,,,,,,,,
登録する,とうろくする,"to register, be registered (with), put on record",,,,,,,,,,
通じる,つうじる,"to be open (to traffic), to lead to, to communicate (with), to flow (liquid, current). to pass, to get through to",,,,,,,,,,
解除する,かいじょする,"to cancel, te rescind, to release, to call off, to lift (sanctions), delisting",,,,,,,,,,
泣き出す,なきだす,"to burst into tears, to begin to cry",intrans.,今にも泣き出しそうな様子をしていた,今にも泣き出しそうな空模様だ,She looked like she was about to start crying.,The sky looks like it's about to burst into tears.,She'd start crying right away.,彼女はすぐに泣き出す,泣き虫。泣き声。泣き叫ぶ,,
気がする,きがする,"to have a certain feeling or mood, to have a haunch",suru,今晩は夕食をとる気がしない,彼女は今日来るような気がする,I don't feel like having dinner tonight.,I have a feeling she's coming today.,She felt like crying when she heard that.,それを聞いて彼女は泣きたい気がした,勇気。気候。吐き気,,
思える,おもえる,"to seem, to appear likely",ichidan,とても面倒な問いに思えた,一層難しくなるようにおもえた,That seemed like a very troublesome question.,It seemed to get more difficult.,I can't believe she'd do something like that.,まさか彼女がそんな事をやるとはおもえない,思惑。思想。意思,,
割る,わる,"to divide, to cut, to halve, to separate, to split, to break, to crack, to smash, to dilute, to fall below, to discount, to step over (a line, etc.)",trans.,誰かがこの皿を割りました,竹を細く割ってかごを作った,Someone has broken this plate,I split the bamboo into thin strips and made a basket,She hit the ball and broke the window.,ボールをぶつけて窓ガラスを割ってしまった,役割。割合。割引,,
満ちる,みちる,"to be full, be filled (with), to wax (moon), to rise (tide), to mature, to expire",intrans.,希望に満ちている,月が満ちている,I'm full of hope.,The moon is full.,Young people are usually full of energy.,若者はたいてい活気に満ちている,満足。不満。満場,,
応じる,おうじる,"to respond, to satisfy, to accept, to comply with, to apply for",intrans.,先方の条件に応じる,収入に応じて税金が課される,I'll accept your terms.,Taxes are levied according to income.,I can't comply with your request.,あなたの要求に応じることはできない,反応。一応。応援,,
下げる,さげる,"to hang, to suspend, to wear (decoration), to lower, to reduce, to bring down, to demote, to move back, to pull back, to clear (plates), to remove (food)",trans.,機長は機首を下げた,窓にカーテンを下げる,The captain has lowered the nose of the plane.,I pulled down the curtains at the window.,Turn down the temperature.,温度を下げる,靴下。地下。廊下,,
片付ける,かたずける,"to tidy up, to put in order, to straighten up, to clan, to settle, to clear, to bring something to an end",trans.,部屋を片付ける,いすを部屋の隅に片付けた,I'll clear the room.,I put the chair away in the corner of the room.,She got the job done quickly.,彼女はてきぱきと仕事を片付けた,破片。片道。片隅,,
救う,すくう,"to rescue from, to help out of, to save",trans.,頭は悪いが性格がよいので救われる,この犬は山の遭難者を救うように訓練されている,"I'm not very smart, but I'm saved by my good character.",This dog has been trained to save people in distress in the mountains.,"Whenever I ran into difficulties, my brother always came to my rescue.",困難にぶつかるといつも兄が救ってくれた,救済。救助。救急車,,
減る,へる,"to decrease, to diminish, to abate",intrans.,会員数が減った,体重が５キロ減った,Membership has been reduced,I've lost five kilograms.,I'm running low on kerosene.,灯油の貯えが減ってきた,加減。減少。削減する,,
減らす,へらす,"to abate, to decrease, to diminish, to shorten",trans.,出費を減らす,医者に酒を減らせと言われた,Reduce expenses,The doctor told me to drink less.,I'm trying to eat less and lose weight.,減食して体重を減らしているところだ,減量。減税。激減,,
伺う,うかがう,"to ask, to inquire, to hear, to be told, to seek direction, to visit, to speak to",trans.,この問題についてご意見を伺いたい,ちょっと伺いますが駅はどっちでしょう,I'd like your opinion on this issue.,Let me ask you something. Which way is the station?,I've heard a lot about you.,おうわさはかねがね伺っております,伺い書。経伺。機嫌伺い,,
祈る,いのる,"to pray, to wish",trans.,彼は日に何度か祈る。,幸運を祈ります。,He prays several times a day.,I wish you good luck.,I wish you all the best.,成功を祈っているよ。,,,
頑張る,がんばる,"to persevere, to persist, to keep at it, to hang on, to hold out, to do one’s best",intrans.,よし、今日も一日頑張るぞ！,疲れてるけど、勉強頑張るよ。,"All right, let's make a day of it!","I'm tired, but I'll study hard.",Good luck as best you can.,精一杯、頑張りなさい。,,,
晒す,さらす,"to expose (sun, public, danger, etc.), to bleach, to refine, to rinse (vegetables), to soak",trans.,その船は雨風にさらされた。,彼は危険に身をさらした。,That ship was exposed to the wind and rain.,He exposed himself to danger.,She did not expose her skin to the sun.,彼女は肌を太陽にさらさなかった。,,,
届く,とどく,"to reach, to arrive, to get get through, to be attentive, to pay attention, to be delivered, to carry (sound)",intrans.,これが届くと思うか。,伝言が届いております。,Do you think this will reach you?,You have received a message.,Can't you reach the books on the shelf?,棚の本に届きませんか。,,,
踊る,おどる,to dance,intrans.,私も踊るのが好きです。,一緒に踊りませんか？,"I like to dance, too.",Would you like to dance with us?,I'd rather sing than dance.,踊るよりも歌いたいです。,,,
歌う,うたう,to sing,trans.intrans.,彼女は上手に歌を歌う。,彼女は昔の歌を歌うのが好きだ。,She sings well.,She likes to sing old songs.,He likes to sing popular songs.,彼は流行歌を歌うのが好きです。,,,
気にする,きにする,"to mind, to care about, to worry, to pay undue attention",suru,他人のことは気にするな。,結果は気にしてないよ。,Don't worry about the others.,I don't care about the outcome.,He cares very much about his reputation.,彼は自分の評判をとても気にしている。,,,
腹を立てる,はらをたてる,"to take offense, to take offense, to get angry, to lose one’s temper",ichidan,彼は娘に腹をたてていた。,彼は侮辱されて腹を立てた。,He was angry with his daughter.,He was insulted and offended.,He was offended by her words.,彼は彼女の言葉に腹を立てた。,,,
似合う,にあう,"to suit, to match, to become, to be like",intrans.,その青い服は彼女に似合う。,君には笑顔が一番似合うよ。,That blue dress looks good on her.,You look best with a smile on your face.,That hat looks good on you.,その帽子、よく似合ってますよ。,似る。真似。類似,,
打つ,うつ,"to hit, to strike, to knock, to beat, to punch, to slap, to tap, to bang, to clap, tp pound, to move, to impress, to touch, to drive in, to inject, to type, to send",trans.,鉄は熱いうちに打て。,時計が１０時を打った。,Strike while the iron is hot.,The clock struck ten.,The rain was beating down hard.,雨が激しく打っていた。,打撃。打率。打開,,
押さえる,おさえる,"to pin down, to hold down, to press down, to cover, to press (a body part), to get a hold of, to obtain, to contain, to grasp (a point), to subdue",trans.,チケットを２枚押さえておいてください,耳を押さえる。,Please hold on to your two tickets.,I pressed my ear.,He held the door tightly so that the wind wouldn't blow it away.,風に飛ばされないように戸をしっかりと押さえていた。,押収。押入れ。押し込む,,
結ぶ,むすぶ,"to tie, to bind, to link, to bear (fruit), to close (a deal), to connect, to close tightly, to unite, to ally",trans.,靴ひもを結ぶ。,このバス路線は２都市を結んでいる。,Tie your shoelaces.,This bus line connects two cities.,They were united by affection.,彼らは愛情によって結ばれた。,結婚。結果。結構,,
呼び捨てにする,よびすてにする,"addressing (someone) without using a suffix such as ""san"" or ""chan""",suru,,,,,,,,,
透かす,すかす,"to look through, to hold up to the light, to make an opening; to leave space; to space (lines); to prune (trees)",trans.,窓ガラスを透かして内部をうかがった,紙を太陽に透かしてみると，透かしがはっきり見えた,I looked through the window glass to get a glimpse of the inside.,"When I looked at the paper through the sun, the watermark was clearly visible",You might want to make this part a little more transparent.,ここのところをもう少し透かしたほうがよい,透明。浸透。透き通る,,
透ける,すける,"to be transparent, to show through",intrans.,この紙は透ける。,肌が透けて見えるブラウス,This paper is transparent.,A blouse through which the skin shows through,This cloth is not transparent when wet.,この布は水に濡れても透けない,手透き。透明度。透徹,,
透く,すく,"to be transparent, to leave a gap",intrans.,この辺は枝が透いている。,歯が透いている,The branches are transparent around here.,Teeth showing through,You can see through it.,透いて見える,透析。不透明。透過性,,
浸かる,つかる,"to be submerged, to be soaked, to be pickled, to be well seasoned, to be totally immersed ",intrans.,全村が水に浸かった。,家が床下まで水に浸かった,The whole village was immersed in water.,My house was flooded to the bottom of the floor,I drank sake while soaking in the hot spring.,温泉に浸かりながら酒を飲んだ,浸透。浸水。侵食,,
漬ける,つける,"to soak (in), to steep, to dip, to dunk, to pickle, to preserve (in salt, vinegar, etc.)",trans.,洗濯物を水に漬ける。,魚を酢に漬けると腐りにくい,Soaking laundry in the water,Soaking fish in vinegar prevents them from rotting,Soak dirty dishes in water for a while before washing them.,汚れた食器は少し水に浸けてから洗いなさい,漬物。茶漬け。漬け,,
浸る,ひたる,"to be soaked in, to be flooded, to be submerged, to be immersed in",intrans.,川があふれて村が水に浸った。,湯船に浸る,The river overflowed and flooded the village.,Soaking in a bathtub,He was immersed in an indulgence.,彼は逸楽に浸った,浸透。浸水。侵食,,
浸す,ひたす,"to soak; to dip, to steep, to immerse, to moisten; to wet",trans.,豆を水に浸す。,スポンジを水に浸した,Soaking the beans in the water,Soaking a sponge in water,He soaked his dirty clothes in soapy water for ten minutes.,石けん水に10分ほど汚れた衣類を浸しておいた,浸透。浸水。侵食,,
癒す,いやす,"to heal, to cure, to satisfy (e.g. hunger, thirst), to alleviate (e.g. sorrow, fatigue)",trans.,心を癒すピアノ音楽。,時が彼女の悲しみを癒した,Piano music to soothe the soul,Time healed her sorrow.,Time heals all wounds.,時はすべての傷を癒してくれる,治癒。癒着。快癒,,
探検する,たんけんする,"exploration, expedition",suru,未知の国を探検する。,彼は北極の探検に出掛けた,Exploring an Unknown Country,He went on an expedition to the North Pole.,He likes to go on exploratory trips to Africa.,彼はアフリカへ探検旅行に行くのが好きだ,探す。探求。検査,,
屈む,かがむ,"to stoop, to lean over, to bend forward​, to bend down, to crouch, to squat",intrans.,年を取って腰がかがんでいる。,低い戸口をかがんで通り抜けた,Old and bent over at the waist,He bent down to walk through a low doorway.,She crouched over the child and said something.,彼女は子供の上にかがみ込んで何か言った,退屈。理屈。屈折,,
屈める,かがめる,"to stoop, to bend (e.g. one's knees)​",trans.,ひざをかがめる。,身をかがめて床の紙くずを取ろうとした,Bending the knee,She bent down to pick up a scrap of paper from the floor.,The boxer ducked down to avoid his opponent's blow.,ボクサーは身をかがめて相手のブローを避けた,窮屈。屈指。屈服,,
屈服する,くっぷくする,"yielding, submission, surrender, giving way, succumbing",suru,敵に屈服するぐらいなら死んだほうがましだ,彼の命令に屈服した,I'd rather die than give in to the enemy,She surrendered to his commands.,"Finally, she gave in to his persistence.",とうとう彼の執拗しつようさに屈服してしまった,服装。制服。屈託,,
屈する,くっする,"to yield, to give in, to be daunted, to shrink, to bend (knee, etc.), to subdue, to overpower, to feel down",suru,彼はついに誘惑に屈した,不当な仕打ちにも屈しなかった,He finally gave in to temptation.,She would not give in to injustice.,She was not the kind of person to give in to misfortune.,彼女は不幸に遭っても屈するような人ではない,偏屈。屈伸。屈折率,,
屈折する,くっせつする,"bending, curving, twisting, turning, winding, warping (of feelings, logic, etc.), distortion, twisting, refraction",suru,光は水に入る時屈折する,彼は彼女に屈折した感情を抱いていた,Light is refracted when it enters water.,He had inflected feelings for her.,A Crooked Path,屈折した道,屈折光線。屈折角。屈折望遠鏡,,
退く,しりぞく,"to step back, to move back, to retreat, to withdraw, to leave, to exit, to resign, to retire, to quit, to concede",intrans.,彼は一歩退いた,大学の職を退く決心をした,He took a step back.,He decided to step down from his position at the university.	,He didn't take a step back,彼は一歩も退かなかった,退屈。退職。退治,,
退く,ひく,"to move back, to draw back, to recede​, to lessen, to subside, to go down (e.g. of swelling), to resign; to retire; to quit",intrans.,彼は役職から退いた。,,He retired from office.,,,,退院。退学。後退,,
退く,どく,"to step aside, to move (i.e. out of the way), to make way​, to resign, to retire, to quit, to secede",intrans.,じゃまにならないようにわきへどきなさい,そこをどいてくれ,Step aside so we don't get in the way.	,Get out of the way.,They wouldn't move out of the way.,彼らはどいてくれなかった,辞退。脱退。撤退,,
退ける,のける,"to put something out of the way, to move (something, someone) aside, to remove, to exclude, to take away, to set aside, to keep apart",trans.,いすを脇へのける,じゃまな物をのける,Move the chair to the side.	,Get out of the way.,"Move the chair aside a little, please.",少しいすをのけてくれませんか,衰退。退社。敗退,,
許す,ゆるす,"to forgive, permit, allow, admit into",trans.,教室での喫煙は許されていません,父は私が車の免許を取るのを許してくれた,Smoking is not allowed in the classroom.,My father allowed me to get my driver's license.,I'd like to take a long vacation if my boss will let me.,上司が許してくれたら長い休みが取りたい,,,
酔う,よう,"to get drunk, become intoxicated",intrans.,ゆうべお酒を飲み過ぎて酔ってしまいました,私は乗り物に酔いやすい,I drank too much alcohol last night and got drunk.,I get motion sick easily.,Her beautiful voice intoxicated the audience.,彼女の美しい声は聴衆を酔わせました,,,
寄る,よる,"to draw near, drop in",intrans.,家へ帰る前にコンビニへ寄りました,銀行に寄って、お金を下ろしました,I stopped at a convenience store before going home.,I stopped at the bank to withdraw some money.,Please move closer to the middle so I can take your picture.,写真を撮りたいから、真ん中に寄ってください,,,
因る,よる,"to depend on, be due to",intrans.,習慣は国によって違います,その事故は彼の不注意運転に因るものでした,Customs vary from country to country.,The accident was the result of his careless driving.,,,,,
喜ぶ,よろこぶ,"to be glad, be delighted",trans.intrans., 母は私の成功をとても喜んでくれた,急な変化を喜ばない人もいる, My mother was very pleased with my success.,Some people don't appreciate sudden changes.,"If there's anything I can do, I'll be happy to help.",私にできることがあれば、喜んでお手伝いしましょう,,,
呼ぶ,よぶ,"to call, invite, attract (customers)",trans.,佐藤さんがあなたを呼んでいますよ,を食事に呼びましょう,Mr. Sato wants to see you.,Let's invite him to dinner.,Please call me a cab.,電話でタクシーを呼んでください,,,
雇う,やとう,"to employ, hire",trans.,その会社は千人労働者を雇っている,彼は会社に運転手として雇われています,That company employs a thousand workers.,He's employed by the company as a chauffeur.,You should hire an expert.,誰か専門家を雇ったほうがいい,,,
痩せる,やせる,"to lose weight, become thin, become infertile",intrans.,ここ三か月で五キロやせた,彼女はとてもやせている,I've lost five kilos in the last three months.,She's very thin.,This land is terribly thin.,この土地はひどくやせている,,,
やる,やる,"to do, to give, send",trans.,彼は今、宿題をやっている,テニスでもやらない,He's doing his homework now.,I don't play tennis.,I feed the dog every morning.,毎朝犬に餌をやります,,,
止める,やめる,"to stop doing, abandon",trans.,疲れたから買い物に行くのをやめました,たばこをやめたほうがいいよ,I'm tired. I've stopped going shopping.,You'd better quit smoking.,I'm thinking of quitting the sports club,スポーツクラブをやめようと思っています,,,
辞める,やめる,"to resign, retire",trans.,彼は会社を辞めさせられた,,He was forced to quit the company,,,,,,
求める,もとめる,"to demand, ask, seek, buy",trans.,社長に面会を求めました,声を上げて助けを求めた,I asked for a meeting with the president,I raised my voice and called for help.,Please purchase admission tickets at the entrance counter.,入場券は入口の窓口でお求めください,,,
向ける,むける,"to turn toward, point at",trans.,彼は急に顔をこちらに向けた,彼女は怒って私に背を向けた,He suddenly turned his face toward me.,She angrily turned her back on me.,He left for Japan.,彼は日本に向けて出発した,,,
向く,むく,"to look toward, to suit",intrans.,写真を撮りますからこちらを向いてください,この部屋は南に向いている,Please turn around so I can take your picture.,This room faces south.,I think she's cut out to be a teacher.,彼女は教師に向いていると思います,,,
剥く,むく,"to peel, to strip off",trans.,じゃがいもの皮をむいてください,,Please peel the potatoes.,,,,,,
向かう,むかう,"to face, to go towards, to head towards",intrans.,季節は夏に向かっていた,船は長崎から香港に向かった,The season was turning to summer.,The ship left Nagasaki for Hong Kong.,The sick man is on the road to recovery.,病人は回復に向かっている,,,
繋ぐ,つなぐ,"to connect, to link together​, to tie; to fasten; to restrain, to maintain; to preserve; to keep, to transfer (phone call), to put a person through",trans.,インターネットにつなぐ,マウスをパソコンにつなぐ,Connecting to the Internet,Connecting the mouse to the computer,Please keep the dog tied up.,犬はつないでおいてください,,,
含める,ふくめる,"to include, to convince",trans.,税金を含めて三万五千円です,鈴木さんを含めると全部で十人になります,"It's 35,000 yen including tax.","Including Mr. Suzuki, there are ten of us in all.",Please don't include the cost of this book in your receipt.,領収書にこの本の代金を含めないでください,,,
含む,ふくむ,"to contain, include, hold something in the mouth",trans.intrans.,この値段には消費税が含まれていますか,このあめには砂糖は含まれていません,Does this price include consumption tax?,There is no sugar in this candy,The case seems to involve a lot of complicated issues.,その事件は複雑な問題を含んでいるようだ,,,
諦める,あきらめる,to give up,trans.,あきらめてはいけません,決して愛を諦めないで,Don't give up.,Don't ever give up on love,Don't ever give up on your dreams.,絶対に夢は諦めるな,,,
飽きる,あきる,"to be tired of, fed up with",intrans.,毎日同じ仕事をするのに飽きました,勉強に飽きたら散歩します,I'm tired of doing the same job every day.,"When I get tired of studying, I go for a walk",I'm tired of hearing that sermon.,そんな説教は聞き飽きた,,,
遣う,つかう,"to use (a tool, method, etc.), to make use of, to put to use",trans.,パソコン遣ってもいい？,,Can I use your computer?,,,,,,
出てくる,でてくる,"to come out, to appear, to turn up, to emerge",intrans.special,彼は会議室から最後に出てきた,あの役者は最近独特の持ち味が出てきた,He was the last one out of the conference room.,Recently that actor has begun to show a distinctive style.,I'm going out for a while.,ちょっとそこまで出てきます,輸出する。出版。出血,,
恵まれる,めぐまれる,"to be blessed with, to be rich in, to abound in",intrans.,恵まれた才能を生かす,当日はすばらしい上天気に恵まれた,Making the Most of Your Giftedness,The day was blessed with beautiful weather.,Japan is blessed with natural resources.,日本は天然資源に恵まれている,知恵。恵む。恩恵,,
凌ぐ,しのぐ,"to endure, to keep out (e.g. rain), to stave off (e.g. starvation), to pull through, to get over, to survive, to defy, to surpass",trans.,この一杯の飯で今日一日はしのげる,暴風をしのいで進む,This bowl of rice will keep me going for the rest of the day.,Weathering the storm and moving on,The summer heat is more bearable for me than the winter cold.,冬の寒さより夏の暑さのほうが私にはしのぎよい,凌ぎ場。凌雲。凌ぎ場,,
罵る,nonoshiru,abuse verbally,trans.,彼女はさんざん私の事をののしった,,She called me many terrible things.,,,,,,
馴染む,najimu,adapt to,intrans.,旧弊な人は新しい事になじめない,,You can’t teach an old dog new tricks.,,,,,,
足す,tasu,add,trans.,砂糖を少し足して下さい,,"Add a bit of sugar, please.",,,,,,
加える,kuwaeru,add to,trans.,"それに私も加えておいて
",,Count me in.,,,,,,
答える,kotaeru,answer,intrans.,私は質問に答えたでしょうか,,Have I answered your question?,,,,,,
着く,tsuku,arrive,intrans.,あなたがロンドンに着くころ頃には晩秋となっているだろう,,It will be late autumn when you get to London.,,,,,,
志す,kokorozasu,aspire to,intrans.,彼はやろうと志すものは、何でもやり遂げる,,He accomplishes whatever he sets out to do.,,,,,,
襲う,osou,attack,trans.,台風が東京を襲った,,The typhoon hit Tokyo.,,,,,,
"目立つ
めだつ",medatsu,"attract attention, stand out",intrans.,林に竹が目立つ,,Bamboo stands out in the woods.,,,,,,
避ける,sakeru,"avoid, dodge",trans.,揚げ物はしばらく避けなさい,,Avoid fried foods for a while.,,,,,,
焼く,yaku,"bake, grill",trans.,母は日曜日にはクッキーを焼く,,Mother bakes cookies on Sundays. ,,,,,,
禁じる,kinjiru,"ban, prohibit",trans.,彼女は喫煙を禁じられた,,She was prohibited from smoking.,,,,,,
いる,iru,be,intrans.,田中さんはいないです,,Mr. Tanaka isn’t here.,,,,,,
耽る,fukeru,be absorbed in/obsessed by,intrans.,彼女は飲酒にふけった,,She abandoned herself to drinking.,,,,,,
生きる,ikiru,be alive,intrans.,生きる意味を教えてくれ,,Tell me the meaning of life.,,,,,,
聞こえる,kikoeru,"be audible, able to hear",intrans.,虫の音がきこえます,,I can hear the chirping of insects.,,,,,,
基づく,motozuku,be based on,intrans.,彼女は事実に基づいて議論を展開する,,Her argument was founded on fact.,,,,,,
眩む,kuramu,"be blinded, get dizzy",,彼女はその豪華な部屋に目のくらむ思いがした,,She was dazzled by the gorgeous room.,,,,,,
生まれる,umareru,be born,,油断なく注意さえしておれば好機はおのずからうまれる,,"Plenty of opportunities will present themselves, if only you are awake to them. ",,,,,,
折れる,oreru,"be broken, snap",,彼は顎の骨を折って、歯も何本か折れた,,He got a broken jaw and lost some teeth.,,,,,,
焦げる,kogeru,"be burned, charred",,このコーヒーはこげた味がする,,This coffee tastes burnt.,,,,,,
治る,naoru,"be cured, healed",,風邪が治るのに長くかかった,,It took me a long time to get over my cold.,,,,,,
決まる,kimaru,"be decided, agreed upon",,話は決まった,, Let’s leave it at that.,,,,,,
異なる,kotonaru,be different from,,毎日同じ教室を２つの異なった生徒達の集団で使っているのです,,We use the same classroom for two different groups of students each day.,,,,,,
違う,chigau,"be different, wrong",,意見がそれぞれ違う,,Opinions differ,,,,,,
酔っ払う,yopparau,be drunk,,私は少し酔っている,,I am a bit drunk.,,,,,,
足りる,tariru,"be enough, suffient",,必要を満たすに足りる収入,,An income adequate for one’s needs.,,,,,,
ドキドキする,dokidoki suru,be excited,,彼は次の旅行の事を考えると、ドキドキする,,"Whenever he thinks of the trip he’s got coming up, he gets all excited.",,,,,,
見つかる,mitsukaru,be found,,明日の朝起きたらすてきなものが見つかるよ,,"When you wake up tomorrow morning, you will find a wonderful thing. ",,,,,,
魂消る,tamagiru,be frightened,,彼女がワインをからにしたのにはたまげた,, I was amazed that she had drunk all of the wine.,,,,,,
喜ぶ,yorokobu,"be glad, pleased",,喜んで行きます,,I’ll be glad to come.,,,,,,
困る,komaru,be in trouble,,雨が降ると困るから傘を持ってきた,,I took an umbrella because I didn't want to get caught if it rained.,,,,,,
遅れる,okureru,"be late, lag behind",,列車は雪のため遅れた,,The train was delayed by snow.,,,,,,
怠ける,namakeru,be lazy,,彼は勉強を怠けている,,He is lazy in his study.,,,,,,
無くなる,nakunaru,"be missing, vanish",,欲に目がくらんで判断力が無くなったらしい,,Greed seems to have blinded his good judgement.,,,,,,
混じる,majiru,"be mixed,",,トムは知らない人に混じって居心地が悪かった,,Tom is ill at ease among strangers.,,,,,,
次ぐ,tsugu,be next,,きれい好きは敬神に次ぐ美徳,, Cleanliness is next to godliness.,,,,,,
緊張する,kinchou suru,be nervous,,緊張する必要はありまんせん,,There’s no need to be nervous.,,,,,,
もてる,moteru,be popular,,彼はモテる,,He’s popular with the ladies.,,,,,,
儲かる,mokaru,"be profitable, make money",,この商売は儲かりません,, There isn’t much money in this business,,,,,,
迷う,mayou,be puzzled,,彼は森で迷った,,He lost his way in the woods.,,,,,,
蘇る,yomigaeru,be resurrected;,,春の雨が花に生気をよみがえらせた,,A spring rain revived the flower.,,,,,,
悲しむ,kanashimu,"be sad, grieve",,悲しんでいる彼女をそっとしておきなさい,,Don’t intrude on her sorrow.,,,,,,
たまる,tamaru,"be saved, accumulated",,彼は借金がたまって夜逃げ同然に町を去った,, He was deeply in debt. And he and his family skipped town. ,,,,,,
滑る,numeru,be slippery,,彼女はすべらないようにゆっくりと歩いた,, She walked slowly so she wouldn’t slip. ,,,,,,
驚く,odoroku,"be suprised, amazed",,トムは驚いた,,Tom was shocked.,,,,,,
見える,mieru,"be visible, able to see",,モロに見える,,It’s completely visible.,,,,,,
恨む,uramu,bear a grudge,,セーラは恨むような女の子ではないだろうが,,"Well, I don’t think Sara is the sort of girl to bear grudges.",,,,,,
なる,naru,become,,春になった,,Spring is here.,,,,,,
霞む,kasumu,"become blurred, hazy",,山は遠くにかすんでいた,,The mountain was dimly visible in the distance.,,,,,,
込む,komu,become crowded,,劇場はひどく込んでいた,,The theater was packed to capacity.,,,,,,
現る,kageru,become dark,,月が雲のかげから現れた,,The moon emerged from behind the cloud.,,,,,,
乾く,kawaku,become dry,,乾いた砂は水を吸い込む,,Dry sand absorbs water,,,,,,
空く,suku,"become empty, uncrowded",,お腹は空いていますか？,,Are you hungry?,,,,,,
痛む,itamu,"become hurt, damaged",,背中が痛む,,My back hurts.,,,,,,
