Sentences,Translation,Remarks
五人が夕食の席に一緒に座りました。,Five people sat together at the dinner table.,1999- 五人/gonin [n] five people
入り口はどこですか。,Where is the entrance?,2000- 入り口 /iriguchi [n] entrance
日本人のふりをしました。,I pretended to be Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
先生のことが好きじゃないけど、好きなふりをしました。,I pretended to like my teacher even though I didn't like him.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
若いふりをしました。,I pretended to be young.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
日本語が分からないふりをしました。,I pretended not to understand Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
日本人のふりをしません。,I don't pretend to be Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
先生 のことが好きじゃないけど、好きなふりをします。,"I don't like my teacher, but I will pretend to like him.","2001- ふりをする/furiwosuru [v] to act like, to pretend "
もう若いふりができません。,I can't pretend to be young anymore.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
日本語が分からないふりをしたくないです。,I don't want to pretend that I don't understand Japanese.,"2001- ふりをする/furiwosuru [v] to act like, to pretend "
この植物は九州北部から中部にかけて見られる。,This plant is found in northern and central Kyushu.,"2002- から〜にかけて/kara~nikakete [exp] from~up to, approximate range"
台風の影響で、昨夜から今朝にかけて、激しい雨が降り続いた。,"Due to the typhoon, it rained heavily from last night to this morning.","2002- から〜にかけて/kara~nikakete [exp] from~up to, approximate range"
数学の答案は間違いだらけだった。,My math answer sheet was full of mistakes.,"2003- だらけ/darake [sfx] full of, covered all over with"
山頂までの道は石ころだらけだ。,The path to the summit was strewn with stones.,"2003- だらけ/darake [sfx] full of, covered all over with"
白しら髪が が少ないおかげで若く見られることが多い。,"Thanks to my lack of gray hair, I often look younger.",2004- おかげ/okage [exp] thanks to
医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, the average life expectancy has increased.",2004- おかげ/okage [exp] thanks to
彼の言うことを信じたおかげでひどい目にあった。,"Thanks to I believed what he said, I got into a terrible mess",2004- おかげ/okage [exp] thanks to
わたしは夏の間ずっと北海道にいました。,I've been in Hokkaido all summer.,"2005- あいだ/aida [n,grm] throughout the time, during"
夏休みの間に引っ越ししたいです。,I want to move during the summer vacation.,"2006- あいだに/aidani [grm] during, when"
長時間にわたる議論のあげく結論は先送りされた。,"After a long discussion, the conclusion was postponed.","2006- あげく/ageku [grm] after all, in the end"
先生の受賞のお祝いに何かさしあげましょうよ。,Why don't we give you something to celebrate your award?,2007- あげる/ageru [grm] to give
愛あっての結婚生活だ。,Love is what makes a marriage work.,"2008- あっての/atteno [grm] comprised of, co-existence, owing to"
食事の後で少し散歩しませんか。,Why don't we take a short walk after dinner?,"2009- 後で/atode [grm] after, afterwards"
合格の知らせを聞いて彼女はうれしさのあまり泣き出した。,She was so happy when she heard the news that she had passed the exam that she started to cry.,"2010- あまり/amari [grm] (not) very, (not) much"
あまりの大変さに時々会社を辞めたくなる。,"It's so hard, sometimes I feel like quitting the company.","2011- あまりの~に/amarino~ni [grm] due to (not) very, due to (not) much, due to excessive"
商品の説明のし方いかんで売れ行きに大きく差が出てきてしまう。,The way you explain a product can make a big difference in its sales.,"2012- いかんで/ikande [grm] in accordance with, depending on"
本の売れ行きいかんではすぐに増刷ということもあるでしょう。,"Depending on how well the book sells, there may be an immediate reprint.","2013- いかんでは/ikandewa [grm] in case of, in accordance with, depending on"
この区では場所のいかんにかかわらず路上喫煙は禁止です。,"Smoking on the street is prohibited in this ward, regardless of the location.",2014- いかんにかかわらず/ikannikakawarazu [grm] regardless of
進行状況のいかんによらず中間報告を提出してください。,Please submit an interim report regardless of the progress.,"2017- いかんによらず/ikanniyorazu [grm] regardless of, doesn’t depend on whether"
身内に医者がいるとなんかと安心だ。,It's a relief to have a doctor as a relative.,2015- 身内/miuchi [n] relative
彼女は肉親の一人を失った。,She had lost one of her immediate family members.,"2016- 肉親/nikushin [n] immediate family, blood relative"
この机は頑丈に出来ている,This desk is solidly built.,"2017- 頑丈/ganjou [adj] solid, firm, stout, burly, strong, sturdy"
明日お天気がよいようなら、ハイキングにいけませんか。,"If the weather is going to be good tomorrow, shall we go hiking?","3500- ようなら/younara [g] if it looks/seems its the case, in case"
遅れるようだったら、おでんわください。,"If you are going to be late, please call.","3501- ようだったら/youdattara [g] if it looks/seems its the case, in case"
6月が来たばかりなのに真夏のような暑さだ。,"Although June has only just begun, it is hot like midsummer.",3502- のような/noyouna [g] something like something
会場は割れるような拍手に渦につつまれた,The grounds were engulfed by tumultuous applause.,3503- ような/youna [g] something like to do
