Subtitle1,Translation1
“あっ 私は他の人と 違うから”みたいなふうに⸺,I wondered if you were feeling down because you're different from others emotionally.
塞ぎ込んでないかなって,because you're different from others emotionally.
いや 分からないです ２回のデートでは⸺ そこまで確信 持って 言えなかったですけど,"On our second date, I wasn't able to say that with certainty."
でも 昨日 頭洗ってる時に⸺ 何か ぱっと 思ったんですよ それ,"But yesterday, when I was washing my hair, it just came to me."
僕は 一緒になりたい人に 何を求めるかっていうと⸺,"What I want, the person I want to be with,"
苦しいところを この人と 乗り越えたいって思える人と⸺ 一緒になりたいです,is someone who I can overcome the tough times with together.
だから ちゃんと 話せる人がいいです だから 僕が言ったことを はいはいっていう人は嫌です,"I want to be with someone who can talk about things, not just agree with me."
“これはダメでしょ”みたいな ちゃんと言える… だから 僕は年上がいいし そういう意味では,"Someone who'll say if something's wrong. In that sense, I prefer someone older."
そう それも あって 私は 年下？　ん？　年…,"Oh, yeah. That was another thing. I thought maybe a younger guy wouldn't want to be with someone older."
下は年上が 嫌なんじゃないかみたいな,a younger guy wouldn't want to be with someone older.
そういうコンプレックス,I felt insecure about that.
ナナコさんが言ってる コンプレックスは⸺ 僕にとって 一つも何にも どこにも引っかかってないです,But I don't have any hang-ups over what you're insecure about.
（オダッチ）びっくりするわ でも よく ありません？,It's surprising. Isn't that nice?
自分が コンプレックスって 思ってることって⸺ 人にとって長所だったりとか 何かプラスだったりしません？,"That your complexes can be seen as strengths, as positives, to someone else?"
（ナナコ）そっちのほうとかね （オダッチ）だから 僕⸺ すごいうれしいです その…,I'm really happy about that.
ナナコさんが 今言ってる コンプレックスすべてが⸺ 僕にとって ストライクだっていう…,All of these complexes you told me about are pluses for me.
いや だから 私は すごい何か安心っていうか… （ナナコ）できるなって今 （オダッチ）安心しました？,-I'm so relieved. -You are?
泣いてたね,You were crying.
泣かした 泣かされた,You made me cry.
（オダッチ）泣いてたよ （ナナコ）泣かされた,-You were crying. -You made me.
（ナナコ）ひどいねとか言って （オダッチ）ひどいね,-It's so mean. -Mean?
泣かすとかひどいね,It's mean to make me cry.
いやいや ひどくないでしょ,"No, I'm not mean."
（ミドリ）ハア… 緊張する,I'm so nervous.
（ワタル） こんにちは ワタルですよ （ミドリ）ミドリです,-Hi. It's Wataru. -Midori here.
ああ ちょっと緊張する マジで,-I'm so nervous. Seriously. -Why?
（ワタル）なんで？ （ミドリ）えっ 分かんない,-I'm so nervous. Seriously. -Why? I don't know.
（ワタル） 休めた？　昨日 （ミドリ） 全然 休めなかった,-Did you get to rest yesterday? -Not at all.
（ワタル） え？　なんでよ,What? Why not?
今日 ２時半に起きちゃって,I woke up at 2:30.
２時半？　今日 ２時半に起きた？　夜中じゃん,2:30? You got up at 2:30? That's in the middle of the night.
ちょっと ドキドキしてるしさ,My heart's racing.
そう 今さ ミドリさんから見てさ 俺 どういう印象？,"Midori, what's your impression of me?"
えっ すごいいいと 思ってるんだけど 分かんない でも どう…,"It's really good, I think. Well, I don't know."
どういう人… どういう人物だと思ってる？,What kind of person do you think I am?
（ミドリ）すごい似てるなって 思うところが いっぱいある,I think we're similar in a lot of ways.
だけど たぶん 実は すごい弱い人なのかなとも…,"But actually, I also think you're weak."
（ワタル）ふーん… （ミドリ）思う　だからこそ⸺ 何かホントは もっと何だろう…,Because I think you're-- How do I put this?
何だろう 構ってほしいじゃないけど⸺,It's not that you want someone to care.
寂しいってことを⸺ 分かってほしいんじゃ ないかなって思うし,But I think maybe you want me to know you're lonely.
ワタルさんって たぶん すごい周りに気を遣って⸺,I think you're really mindful of others.
こう 一人でも 輪から外れてたら⸺ 一緒に行こうよみたいに 言うタイプでしょ たぶん,"If someone is left out, you're the type who'd bring them back in."
（ワタル）うん うん ええ そうします,"Yes, I do that."
（ミドリ）そう　何か… 私 すごい いいなって 感覚的に思ってるんだけど,"Well, that's why I intuitively like that."
すごい似てるなっていう 勝手にね 勝手に思ったのは すごい似てるなっていう…,I just assumed that. That we're really similar.
（ワタル） 似てるなっていうのは その…,In what way?
（ミドリ）今 言ったこと 全部 自分の話だから,Because I just described myself.
分かんない ちょ… 男性は分からないけど⸺ たぶん 女子は みんな めっちゃ考えてるよ,"I don't know about the men, but we're taking this seriously."
（ワタル）いやいや 俺らも考えてるから 真剣に向き合ってるから,So are we! We're taking this seriously.
おい ナメんな メンズをナメんじゃねえ,Don't look down on us.
（ワタル）おい コラ （ミドリ）ごめん ごめん…,-Hey! -Sorry about that.
（ミドリ）ねえ 私が… （ワタル）メンズたちも真剣,-Men are serious too. -I mean-- Yeah.
だから 向き合いまくって 俺 逆に 何かすごい自分が⸺,"Just because I've been so serious, I actually don't really know what's important to me anymore."
すごい大事にしてることは 何だっけみたいな…,I actually don't really know what's important to me anymore.
自分探しの旅に出てるみたいな 気持ちになってるんだけど,I'm on a journey to figure that out.
私 もう そのフェーズは 終わったかな,-I'm way past that phase. -You are? Wow.
（ワタル）あっ 終わった？ 迷える子羊になってるじゃん,-I'm way past that phase. -You are? Wow. I'm like a lost lamb.
置いてかないでくれないかな,Don't leave me behind.
（ミドリ）でも また話したい 普通にホントに もし ワタルさんが 話したかったらでいいけど,"I really want to talk again, if you'd like to."
そんな 謙虚だね,You're holding back.
（ミドリ）何か 私だけ 盛り上がってる感⸺ すごいあったわ マジで,It kind of felt like I was the only one getting so intense.
（ナナ）それ お酒 飲んだからじゃなくて？,Maybe it was the drink?
（ミドリ）２人とも 飲んでたんだけど 全然,We were both drinking.
（マキ）ああ そう 相手は冷静な感じだった？,So he was being aloof?
慣れてるからなのかな？ 何か…,Am I being misled?
私 すごいいいと思ってるって めっちゃ言ってあげたのに 何か そうでも… 何か そういう感じでもなかったから,"I told him I really liked him, but it didn't seem like he felt that way."
なんで でも いいって思うんだろう？ 正直 言って,Why do I like him? I honestly wonder.
（ナナ）それがさあ （ミドリ）ヤバい 乱される…,"-Hey, listen… -Oh, no. I'm shaken up."
（ナナ）その理由がないほうが ステキだと思う,I think not having a reason is better.
頭で考えてることになるじゃん 分かるってことは,"NANA, 31 ONLINE MARKETING If you knew why, you'd be using your head."
心が動いたから 心が動いたから 以上でよくない？,But your heart is moved. Shouldn't it have the final say?
カッコいいなナナ先輩 （ナナ）なりたいと思ったから 以上でいいし⸺,"-You're so cool, Nana. -If your heart is moved, that's enough."
もっと話したいって 思ったことの連続に⸺,Continuously wanting to talk more
夫婦とか 毎日一緒にいる 結婚生活があればいいから… ミドリちゃん,"is good if you are going to be married and living together, Midori."
（ミドリ）早く知りたい 向こうが誰が 一番いいと思ってるのか,I just want to know who he likes best already.
あれで もし 私のことホントに⸺ 気になってるんだと したら,"If he really does like me,"
マジで ちょっと ホントに あの… 38年間どうやって⸺,how has he survived 38 years like this?
生きてきたんですかって 感じ ホントに ホントに,how has he survived 38 years like this? Really. Honestly.
ねっ 思わない？ ちょっと みんな…,Don't you guys agree?
ただいま,I'm back.
（プリア） おつきあいしてる中で これ 私のコンセプトが 好きなのかなって⸺,I've often thought guys like the concept of me when dating.
思ったことが 多々あるんですよ,I've often thought guys like the concept of me when dating. FROM TOKYO
そう 何か この やってる内容とか⸺,"What I do,"
持ってるものとか,"what I have,"
外見とかも そうで 何か その…,how I look too. Being popular isn't like my safety net.
持ってて安全な バッグじゃないけど,Being popular isn't like my safety net.
そうじゃなくところで つながれるところで⸺,I was hoping I could go through Love is Blind
「ラブ･イズ･ ブラインド」を通して 出会えたら 何か それは⸺,to connect with somebody outside of that.
かけがえのない 関係かもと思って…,Maybe I'll find someone I can't live without.
結婚相手がここに いたらと思って⸺ 応募しました,I signed up because I hoped the guy I'd marry would be here.
（プリア）あっ そうなんだよね （ワタル） 何か聞きたいことないの？ （プリア） 話さないとね,"-Yeah, we should. -Anything you want to ask me?"
じゃあ そうだね これからを どう描いてるんだろう？,"Okay, then. How do you imagine your future?"
あの俺 離婚歴があるんだよね,"Well, I'm divorced."
（プリア）あっ そうなんだ （ワタル）そう,-You are? -Yes.
あの… 一回 結婚したことがあって えっと… もう３年前ぐらいに 離婚してるんだけど,I was married once and got divorced about three years ago.
実は 結婚生活やったことはある 俺は,So I've actually been married.
…で その人とは別に⸺ 短かったわけじゃなくて 長かったんだけど,"It wasn't a short relationship, it was a long one."
今はもう まったく あの 連絡も取ってないし まったく 関係もないんだけれども,We don't stay in touch now. We have no relationship whatsoever.
まっ そういう観点から 結婚… 恋してる時と⸺,"From that standpoint, I want to build a relationship"
結婚生活の この長い橋の中で⸺,"From that standpoint, I want to build a relationship where maintaining the romance throughout the length of the marriage"
同じような気持ちを ずーっと維持できるって⸺,"where maintaining the romance throughout the length of the marriage isn't lots of work, but comes easily."
あの 努力じゃなくて ちょっと肩の力を抜く？,"isn't lots of work, but comes easily."
関係をどう作るかみたいなことを すごい大事にしてんのさ,How the relationship is built is really important to me.
ちなみに 私ね 結婚歴とかはね あの 何だろうな 全然 気にならない人なの,It doesn't bother me at all that you have a history.
私は 旦那さんになったから⸺,"I don't think I need to be a typical ""wife"""
“嫁”みたいな感じって 一般的よりかは⸺,just because I have a husband.
何か 女でいたいって 思うの ずっと,I just want to be a woman.
だから 女性らしくいたいし,"I just want to be feminine,"
らしさが 人ぞれぞれかもしんないけど,which of course varies from person to person.
だから 何か そういうような 夫婦感を育めるのは⸺ 大事だなって思う,I think what's important is nurturing a marriage like that.
子供がいるからとかじゃなくて⸺,Not for kids or anything…
（ワタル）うんうんうん そうそう それはある 自分自身としては そう,-Right. That's-- -…but for myself.
すごいね プリなんか 考えを巡らせてるからさ,"I'm impressed with how much you've thought about it, Pri."
すごい それだけでも すげえ参考になる,That's good to know.
教室みたいじゃん,It's like a lesson.
（ワタル）プリアさん 気に入りましたね,I like Priya.
自分の感じてきた人生と⸺ まあ 今 彼女が感じてる 人生っていうのは⸺ 共通する部分が あるんじゃないかなと思いました,I think there are commonalities between the life she's experienced and mine.
盛り上がってしまいましたね あの話は,We really hit it off.
ワタルさんは 話のテンポとかもよかったし,I like the pace Wataru speaks at.
落ち着いて 大人だなっていう 雰囲気を察しとったのと⸺ あと英語ができたからかな？,Maybe it's because he's mature. He's a grown-up and speaks English.
でも 怖いのは 表情とか 普通 見えるじゃないですか,What's scary is that you normally see a person's expression.
あっ この人に 刺さってないなとか,You can see if they're impressed. You don't have that here at all.
これ まったくないから 自分がいいと思った人に⸺,You can see if they're impressed. You don't have that here at all. The person you like might not like you back.
いいと 思われてなかったらという…,The person you like might not like you back.
もともと自己肯定感 あんまないんですので⸺ 自信がないから,I've never had a lot of self-esteem. I don't have confidence.
それが一番の恐怖って 思っちゃった,So that's what I'm most afraid of.
（女性たち）おかえり,-Welcome back. -Welcome back.
（プリア） 楽しかった　ワタルさん,"-How was it? -It was fun. -It was Wataru. -Oh, nice."
今日は深い話した,We had a deep conversation today.
もう 誰とも被らない人を 好きになればよかった,I wish I liked someone nobody else did.
いや こんなしんどいと 思わなかった ホントに,I didn't think it would be so hard.
こんなに人のことを考える⸺ 日々になると 思ってなかったです,I didn't think I would be thinking about somebody so much.
すごいつらい もう それが でも⸺,It really hurts.
あの子も すごいいいと 思ってるんだろうなって思うと⸺,"But when I think that she's into him too,"
もう何か 戦いたくないから どうぞって⸺ 思っちゃうんですよね　私,"I don't want to fight, so it makes me want to yield."
♪ 君を思い浮かべて,I think of you
♪ 興奮して眠れないよ,And get so excited I can't fall asleep
♪ 壁の向こうに はっきりと,I distinctly feel you sighing
♪ 君の吐息を感じるんだ,From your side of the wall
俺 もう…,I…
あれなんやけど,You know.
（ナナコ）何なんやろ？ （オダッチ）ん？,What?
ちょっと もう…,I kind of…
ちょっと もう？　えっ 何？,Kind of what?
好き,…like you.
めっちゃ うれしい,I'm so glad.
（オダッチ）何かね （ナナコ）うん,-You know? -Yeah?
（オダッチ） 周りの人を みんな⸺ 何か幸せにしたいなっていう… したいなって思うのね,I want to make everybody happy.
それは自分の手の 届く範囲だけだと思うけど,Just within what I am capable of doing.
でも そうしたいって 心からホントに思うし,"But I really do, from the bottom of my heart."
お父さんが⸺,My dad got acute hepatitis…
劇症肝炎になった 時に⸺,"My dad got acute hepatitis… ACUTE HEPATITIS: RAPIDLY WORSENING HEPATITIS, W/ JAUNDICE AND PRESYNCOPE"
あの 東日本大震災の １日前だったのね,…the day before the Great East Japan Earthquake.
ロビー… 何か待合室で⸺,"In the hospital lobby, the waiting room…"
日本地図の周りに⸺ ピカピカ めっちゃ点滅してて,you could see warning signals flashing all around the map of Japan on the news.
“東日本大震災です 日本中が危ないです”っていう⸺,"""This is the Great East Japan Earthquake. All of Japan is in danger."""
ニュースがやってたけど,"All of Japan is in danger."""
何も感じなくて…,I didn't feel anything.
お父さんだけ助かってくれたら いいって思ったから…,All I wanted was for my father to be saved.
ああ 何か 俺って たぶん… 世の中をよくしようとか⸺,"I've probably said I want to make the world a better place or something,"
誰かのために 何かできるようになりたいなとか,or that I want to be able to help somebody.
何か そういう カッコつけたこと言ってたけど,"I might say these things,"
誰よりも家族だけが 大事だなと思って,but I think family is the most important thing.
俺にとって一番 大事なのは⸺ 世界が終わっても⸺,"To me, what's most important is that even if the world is coming to an end,"
その人だけ 生きててほしいって思う…,I just want my partner to survive.
大事な家族だから,Because she's my family.
そう思える⸺,I want to feel that way…
相手にしたい,about my partner.
ナナコちゃんを,"About you, Nanako."
（ナナコ）うれしい （オダッチ）めちゃくちゃ… めちゃくちゃ大事にする,I'll take the best care of you.
それぐらい… それに負けないぐらい,I can do that much.
できると思う,I think I can do it.
自信ある,I know I can.
（ナナコ）うん,Yeah.
始まる時って いつもワクワクして⸺ 終わる時って 悲しいじゃないすか,Isn't the beginning always so exciting? And isn't the ending sad?
だから 産まれた時は 周りが いっぱい笑って⸺,"When you're born, everybody smiles a lot,"
死ぬ時って周りが いっぱい泣くじゃないですか,"and when you die, everybody cries."
…で 必ず来るその終わりを 誰と迎えたいかなとか,When I thought about who I want to face the inevitable with…
始まりは 誰とでもいいんですけど,"I thought, ""I don't care who's at the beginning,"
終わりがナナコさんじゃなきゃ 嫌だなって思ったんで,"but I need to be with Nanako at the end."""
カッコよくない？,That was hot.
もしかして,No?
（オダッチ）頑張るぞ （男性たち）おおっ,-Here I go! -Yeah!
え… ちょっと待って…,Wait a minute.
（オダッチ）いらっしゃい （ナナコ）え… すごい,"-Welcome. -Oh, wow!"
めっちゃうれしい　ヤバい,I love it. Amazing.
ちょっと じゃあ 月の前に 来てもらっていいっすか,-Could you come up to the moon? -Okay.
（オダッチ）立った？ （ナナコ）はい,-Are you standing? -Yes.
（オダッチ）いる？ （ナナコ）うん （オダッチ）そこに… （ナナコ）いるよ,-Are you… there? -Yeah. Yes.
（オダッチ）ええ… （せきばらい）,Okay.
（息を吐く音） （オダッチ）手汗がすごい,My hands are sweating.
結婚してください よろしくお願いします,Please marry me.
はい お願いします,"Yes, I will."
私も オダッチを大事にするし,I'll also take care of you.
家族も… 大事にしたいと思うし,I want to take care of my family too.
幸せにしたいなって思います,I want to make you happy.
（オダッチ）やりました！,We did it!
みんな ありがとう！,"Thanks, everybody!"
やったよ！,I did it!
（ナナコ）今まで 年下だから嫌だって⸺ 勝手に思ってたとこも あったけど,"I'd always assumed it wouldn't work with someone younger,"
何か そうじゃないんだなって 思ったし,but that's not true.
投げかけてくれる言葉とかが⸺,He never said
何だろ？　私にとって 嫌味が一つもなくてというか,a single unkind word to me.
でも しっかり 聞いてほしいことを⸺ 聞き出してくれたりとか 聞いてくれる,But he asked what I wanted him to ask and listened.
何か この人になら ついていけるのかなとかって…,I felt like maybe
思えたのかなって,I could spend my life with him.
さあ エア日本 ええ ただいまですね,"This is Air Japan, taking off on the runway of happiness."
幸せの滑走路を加速中で,taking off on the runway of happiness.
今 離陸いたしました ありがとうございます！,taking off on the runway of happiness. Thank you very much!
えっ ちょっと待って ちょっと待って こんな感じなん？,Wait a second. Everyone's so quiet.
（オダッチ）ありがとう！,Thank you!
やりました,I did it!
はあ… 幸せ,I'm so happy.
ただ もう これが１つ 問題があるんですよ 対面に,But now we'll meet in person.
わあっと出て行って…,If I do this
いやいやいや 無理 無理 無理 ぐわあってくるし,"and she's like, ""No way. No, no, no,"" I'd be crushed."
“無理”みたいな,"Like, ""Nope."""
めちゃくちゃ そこが不安ですね 一番,That's what I'm most nervous about.
（男性） 今 いるのが当たり前になってる,Now it's like she's always there.
（男性）これすごい 逃げられてると思って,I think she's avoiding me.
（女性）家族を作るっていう イメージが⸺ まだ私の中では湧いてない,I can't picture starting a family with him yet.
（男性） どこで間違えてんだろうな,I wonder where I went wrong.
（女性）そもそもこの企画に 乗り気じゃないし,…not wild about this experiment to begin with.
（男性）でも 俺の気持ちは ちゃんとあるから ちゃんと手を伸ばして 待ってるよっていう,I really do have feelings. I'm waiting for you.
（女性）分かんないんだよね これだったら１人でいたほうが いいじゃんってなる,I don't understand. It's like I'm better off alone than like this.
（男性）嫌いです こういうのは好きじゃないし,I hate this. I don't really like this kind of thing.
（女性）プロポーズと現在⸺,The moment you proposed to me and the present is different.
私は どんどん どんどん かけ離れていってる,It's feeling further and further away.
（男性）お互いぶつかるじゃない （女性）ぶつかってなくない？,You're going to clash. Are we clashing?
（男性）昨日までは 続けたくないって思ってた,I didn't want to continue up to yesterday.
（女性）男の人として すごい好きみたいなのが⸺ 降りてないっていうだけ,I just don't feel that kind of affection for him as a man.
（男性）俺は だから ずっとブレてないから 俺は ずっと好きだからさ,I won't sway. I will always love you.
（男性）俺が知りたいのは⸺ 条件ではなくて 気持ちなんだよ,It's not conditions I want to know about. It's how you feel.
（女性）信じたい,I want to believe.
（男性）10年後も20年後も 同じように横で笑ってくれたら,"Ten years, 20 years from now, I hope you're still smiling by my side."
