W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4,W5,R5,T5
いらっしゃる,いらっしゃる,to come,防ぐ,ふせぐ,to prevent,怒鳴る,どなる,to yell,炒める,いためる,to fry,連なる,つらなる,to stretch out
出掛ける,でかける,to go out,論ずる,ろんずる,to discuss,鳴らす,ならす,to ring,潰れる,つぶれる,to be crushed,凍る,こおる,to freeze
眺める,ながめる,to view,押さえる,おさえる,to seize,壊す,こわす,to break,追い付く,おいつく,to catch up with,悲しむ,かなしむ,to be sad
飾る,かざる,to decorate,就く,つく,to take up employment,割る,わる,to break,寄る,よる,to come from,換える,かえる,to replace
萎む,しぼむ,to fade,謝る,あやまる,to apologize,過ごす,すごす,to spend,やり遂げる,やりとげる,to accomplish,零れる,こぼれる,to spill
赴く,おもむく,to go in the direction of,向かう,むかう,to be on the way,見る,みる,to see,壊す,こわす,to break,報じる,ほうじる,to report
経る,へる,to pass,跨がる,またがる,to straddle,任せる,まかせる,to entrust,渇く,かわく,to be thirsty,掃く,はく,to sweep
弱まる,よわまる,to weaken,縮む,ちぢむ,to shrink,妬む,ねたむ,to envy,霞む,かすむ,to be hazy,殴る,なぐる,to strike
迎える,むかえる,to welcome,取れる,とれる,to be taken,残る,のこる,to remain,上る,あがる,"to ascend, climb",溶く,とく,to dissolve
憎む,にくむ,to hate,沸く,わく,to boil,更ける,ふける,to grow old,語る,かたる,to talk,説く,とく,to preach
横切る,よこぎる,to cross (e.g. road),終わる,おわる,to end,立つ,たつ,to stand,費やす,ついやす,to spend,撃つ,うつ,to shoot
贈る,おくる,to send,訪ねる,たずねる,to visit,塞がる,ふさがる,to be blocked,通う,かよう,to go through,澄む,すむ,to clear (weather)
飽きる,あきる,to get tired of,移る,うつる,to move (house),浮ぶ,うかぶ,to float,示す,しめす,to show,緩む,ゆるむ,to relax
閉める,しめる,to close,盛る,もる,to serve,親しむ,したしむ,to befriend,変わる,かわる,to change,分かる,わかる,to understand
載る,のる,to be placed on,染みる,しみる,to be steeped in,命じる,めいじる,to command,心得る,こころえる,to understand,優れる,すぐれる,to be gentle
従う,したがう,to obey,省く,はぶく,to save,凝る,こごる,to be stiff,煮える,にえる,to boil,図る,はかる,to plan
鍛える,きたえる,to train,勤まる,つとまる,to be employed,散蒔く,ばらまく,to scatter,求める,もとめる,to seek,囲む,かこむ,to surround
障る,さわる,to interfere with,具える,そなえる,to equip,納まる,おさまる,to be settled,酔う,よう,to be intoxicated,直す,なおす,to fix
近付く,ちかづく,to get closer,被る,かぶる,to be covered with,酌む,くむ,to serve (wine),増える,ふえる,to increase,認める,みとめる,to acknowledge
剃る,する,to shave,担ぐ,かつぐ,to carry on one's shoulders,飼う,かう,to keep,帰す,かえす,to return,吐く,はく,to spit out
論じる,ろんじる,to discuss,磨く,みがく,to polish,味わう,あじわう,to savor,要する,ようする,to require,溶ける,とける,to dissolve
加わる,くわわる,to join,連ねる,つらねる,to put together,仰ぐ,あおぐ,to look up,縮れる,ちぢれる,to shrivel,無くす,なくす,to lose something
書く,かく,to write,曇る,くもる,to cloud over,広げる,ひろげる,to spread,言い出す,いいだす,to suggest,違える,ちがえる,to differ
下がる,さがる,to fall,恨む,うらむ,to resent,諮る,はかる,to consult,進む,すすむ,to advance,増す,ます,to increase
収める,おさめる,to bring to a close,傲る,おごる,to be proud of,造る,つくる,to build,止まる,とまる,to stop,関する,かんする,to concern
浮く,うく,to float,背く,そむく,to turn one's back on,聞く,きく,to listen,潜る,もぐる,to dive (into),見下ろす,みおろす,to look down on
命ずる,めいずる,to command,加える,くわえる,to add to,怠ける,なまける,to neglect,鈍る,なまる,to be dull,荒らす,あらす,to devastate
当てる,あてる,"to hit, expose, apply, guess",論ずる,ろんずる,to discuss,褒める,ほめる,to praise,載せる,のせる,to place on (something),止まる,とどまる,to stop
殖える,ふえる,to multiply,照る,てる,to shine,漏らす,もらす,to leak,綴じる,とじる,to bind,干す,ほす,to dry up
務める,つとめる,to serve,害する,がいする,to harm,潜る,くぐる,to dive,救う,すくう,to save,止む,やむ,to cease
滑る,すべる,to slip,枯れる,かれる,to dry up,休む,やすむ,to rest,曲がる,まがる,to be crooked,剥げる,はげる,to disconnect
炒る,いる,to roast,触れる,ふれる,to touch,背負う,せおう,to carry on one's back,映える,はえる,to be reflected,明ける,あける,to open
叱る,しかる,to scold,貼る,はる,to paste,続ける,つづける,to continue,叶う,かなう,"to fulfill, come true",付合う,つきあう,to follow
惜しむ,おしむ,to begrudge,燃える,もえる,to burning,傾く,かたむく,to incline toward,恵む,めぐむ,to bless,帯びる,おびる,to be tinged with
強いる,しいる,to force,腐る,くさる,to corrupt,止める,とめる,to stop,動く,うごく,to move,係わる,かかわる,to be involved in
備わる,そなわる,to be furnished with,掬う,すくう,to scoop up,溜まる,たまる,to accumulate,揺らぐ,ゆらぐ,to waver,据える,すえる,"to set, palce, fix"
腫れる,はれる,to swell,罰する,ばっする,to punish,悲しむ,かなしむ,to grieve,拾う,ひろう,to pick up,挑む,いどむ,to challenge
残す,のこす,to leave,遮る,さえぎる,to interrupt,錆びる,さびる,to rust,片付く,かたづく,to be put away,緩める,ゆるめる,to loosen
答える,こたえる,to answer,漏る,もる,to leak,植わる,うわる,to be planted,曲げる,まげる,to bend,閉まる,しまる,to close
練る,ねる,to knead,応ずる,おうずる,to respond,連なる,つらなる,to be in a row,裏返す,うらがえす,to turn inside out,貫く,つらぬく,to penetrate
外す,はずす,to remove,添う,そう,to follow,奪う,うばう,to take away,導く,みちびく,to lead,注ぐ,つぐ,to pour (into)
散る,ちる,to scatter,擦れる,すれる,to wear out,崩れる,くずれる,to collapse,為る,する,to do,覚える,おぼえる,to remember
遡る,さかのぼる,to go back to,咎める,とがめる,to condemn,放る,ほうる,to release,遂げる,とげる,to accomplish,譲る,ゆずる,to give in
設ける,もうける,to establish,測る,はかる,to measure,解く,ほどく,to untie,絡む,からむ,to be involved in,返す,かえす,to return
浮かぶ,うかぶ,to float,摘む,つまむ,to pluck,潰す,つぶす,to crush,配る,くばる,to distribute,交える,まじえる,to exchange
得る,える,to get,引受る,ひきうける,to take over,見付かる,みつかる,to be found,嵩む,かさむ,to increase,吸う,すう,to smoke
述べる,のべる,to state,蕩ける,とろける,to be prodigal,熱する,ねっする,to heat,捜す,さがす,to search for,焼く,やく,to bake
返る,かえる,to return,経つ,たつ,to pass,司る,つかさどる,to govern,応じる,おうじる,to respond to,廃れる,すたれる,to become obsolete
受かる,うかる,to be accepted,治す,なおす,to heal,望む,のぞむ,to desire,区切る,くぎる,to delimit,抜く,ぬく,to extract
離す,はなす,to let go,訳す,やくす,to translate,拭く,ふく,to wipe,擦る,かする,to scrape,飲む,のむ,to drink
飛ばす,とばす,to skip,滅びる,ほろびる,to perish,沈む,しずむ,to sink,交わる,まじわる,to mingle with,途絶える,とだえる,to cease to exist
選ぶ,えらぶ,to choose,唱える,となえる,to recite,落とす,おとす,to drop,似通う,にかよう,to resemble each other,溜める,ためる,to store
達する,たっする,to reach,馴らす,ならす,to accustom,浸す,ひたす,to soak,劣る,おとる,to inferior,老いる,おいる,to grow old
急かす,せかす,to hasten,売る,うる,to sell,禁じる,きんじる,to forbid,歌う,うたう,to sing,戦う,たたかう,to fighting
来る,きたる,to come,含める,ふくめる,to include,断る,ことわる,to refuse,空く,あく,to have a hole,得る,うる,to get
悟る,さとる,to realize,並ぶ,ならぶ,to line up,痛む,いたむ,to ache,鳴る,なる,to sound,気付く,きづく,to notice
上る,のぼる,"to ascend, climb",与える,あたえる,to give,脱ぐ,ぬぐ,"to take off (clothes, shoes)",強める,つよめる,to strengthen,探す,さがす,to search (something)
老ける,ふける,to grow old,励む,はげむ,to encourage,巻く,まく,to wind,育てる,そだてる,to raise,占う,うらなう,to occupy
有する,ゆうする,to own,消える,きえる,to disappear,儲かる,もうかる,to be profitable,賜る,たまわる,to give,堪える,たえる,to endure
慕う,したう,to adore,苦しむ,くるしむ,to suffer,溶かす,とかす,to dissolve,揉む,もむ,to rub,勧める,すすめる,to recommend
誤る,あやまる,to make a mistake,羨む,うらやむ,to envy,突く,つつく,to poke,欠ける,かける,to be lacking,減らす,へらす,to reduce
発つ,たつ,to depart,植える,うえる,to plant,起きる,おきる,to get up,折れる,おれる,to be broken,届ける,とどける,to deliver
怒る,おこる,to be offended.,負う,おう,to bear,通す,とおす,to pass through,在る,ある,"to be, exist",蹴飛ばす,けとばす,to kick off
出切る,できる,to come to a conclusion,隠れる,かくれる,to hide,近寄る,ちかよる,to approach,見落とす,みおとす,to overlook,朽ちる,くちる,to decay
揺れる,ゆれる,to shaking,茂る,しげる,to be overgrown,比べる,くらべる,to compare,締める,しめる,to fasten,叫ぶ,さけぶ,to shout
炙る,あぶる,to grill,漕ぐ,こぐ,to paddle,触る,さわる,to touch,跳ぶ,とぶ,to jump,築く,きずく,to build
始める,はじめる,to begin,洒落る,しゃれる,to dress up,感ずる,かんずる,to sense,縛る,しばる,to bind,余る,あまる,to be in excess
試す,ためす,to test,弾く,ひく,to play string instruments,逸れる,それる,to go astray,物語る,ものがたる,to tell a story,焚く,たく,to burn (in flames)
放す,はなす,to let go,留まる,とまる,to stay,罹る,かかる,to be afflicted,真似る,まねる,to imitate,止める,とどめる,to stop
頼る,たよる,to rely on,留める,とどめる,to stop,積もる,つもる,to accumulate,定まる,さだまる,to become settled,漂う,ただよう,to drift away
剥がす,はがす,"to tear off, peel off",召す,めす,to call,逃がす,にがす,to letting go,反する,はんする,to go against,掛かる,かかる,"to take, hang"
跳ねる,はねる,to jump up and down,膨れる,ふくれる,to swell,延ばす,のばす,to prolong,慣れる,なれる,to get used to,困る,こまる,to be in trouble
報ずる,ほうずる,to reward,構える,かまえる,to set up (a house),写る,うつる,to be reflected,信ずる,しんずる,to believe in,面する,めんする,to face
入る,はいる,to enter,届く,とどく,to reach,防ぐ,ふせぐ,to prevent,嫌う,きらう,to dislike,暮れる,くれる,to run out
伸ばす,のばす,to extend,剃る,そる,to shave off,退く,しりぞく,to retreat,増やす,ふやす,to increase,傷付く,きずつく,to be wounded
話す,はなす,to speak,吊る,つる,to hang,切れる,きれる,to be cut off,収まる,おさまる,to fit,捗る,はかどる,to make progress
足りる,たりる,to be enough,潤う,うるおう,to be moist,脅かす,おどかす,to frighten,争う,あらそう,to fight,去る,さる,to leave
囁く,ささやく,to whisper,責める,せめる,to condemn,数える,かぞえる,to count,操る,あやつる,to manipulate,対する,たいする,to against
呆れる,あきれる,to be dismayed,起こる,おこる,to happen,恐れる,おそれる,to fear,仕える,つかえる,to serve,垂れる,たれる,to drip
濯ぐ,すすぐ,to rinse,黙る,だまる,to be silent,欺く,あざむく,to deceive,浸ける,つける,to soak,沸かす,わかす,to boil
始まる,はじまる,to beginning,挟む,はさむ,to pinch,忘れる,わすれる,to forget,冷える,ひえる,to cool down,強請る,ねだる,to extort
抱える,かかえる,to hold,ずらす,ずらす,to shift,払う,はらう,to pay,赤らむ,あからむ,to blush,慎む,つつしむ,to refrain from
狙う,ねらう,to aim at,蒔く,まく,to sow,開く,ひらく,to open,果たす,はたす,to fulfill,育つ,そだつ,to grow
包む,つつむ,to wrap up,起す,おこす,to cause,好む,このむ,to prefer,分ける,わける,to divide,転がる,ころがる,to roll over
習う,ならう,to learn,遣る,やる,to do,填まる,はまる,to be filled,染まる,そまる,to be dyed,例える,たとえる,to compare
編む,あむ,to knit,儲ける,もうける,to make a profit,煮る,にる,to boil,追い付く,おいつく,to catch up with,尖る,とがる,to be sharp
貶す,けなす,to discredit,取り巻く,とりまく,to surround,貰う,もらう,to get,化する,かする,to transform,耐える,たえる,to withstand
慌てる,あわてる,to be flustered,刈る,かる,to reap,演じる,えんじる,to perform,抜ける,ぬける,to be removed,涼む,すずむ,to cool off
倒す,たおす,to knock down,付ける,つける,to affix,受ける,うける,to receive,回る,まわる,to turn,巡る,めぐる,to go around
轢く,ひく,to run over,映す,うつす,to reflect,飢える,うえる,to starve,射す,さす,to shoot,痛める,いためる,to hurt
備える,そなえる,to provide for,驚く,おどろく,to surprised,粘る,ねばる,to stick to,瞑る,つぶる,to meditate,晴れる,はれる,to clear up
悩ます,なやます,to afflict,描く,えがく,to paint,汚す,よごす,to defile,産む,うむ,to give birth,稼ぐ,かせぐ,to earn
志す,こころざす,to aspire to,彫る,ほる,to carve,目指す,めざす,to aim for,調べる,しらべる,to examine,焦る,あせる,to be impatient
逃れる,のがれる,to escape,釣る,つる,to catch,放れる,はなれる,to release,縫う,ぬう,to sew,撒く,まく,to scatter
直る,なおる,to be repaired,茹でる,ゆでる,to boil,開く,あく,to open,化ける,ばける,to turn into,逃す,のがす,to let escape
疲れる,つかれる,to become tired,済む,すむ,to be completed,凭れる,もたれる,to recline on,励ます,はげます,to encourage,楽む,たのしむ,to enjoy (oneself)
謙る,へりくだる,to abase oneself,似る,にる,to be like,唸る,うなる,to roar,請う,こう,to beg,嗅ぐ,かぐ,to sniff
潰れる,つぶれる,to be crushed,結ぶ,むすぶ,to tie,負かす,まかす,to defeat,静まる,しずまる,to calm down,守る,まもる,to protect
居る,いる,to be,弱める,よわめる,to weaken,蒸す,むす,to steam,裏切る,うらぎる,to betray,量る,はかる,to measure
転じる,てんじる,to turn,痩せる,やせる,to lose weight,叩く,たたく,to strike,終える,おえる,to finish,仕掛ける,しかける,to set (traps)
上がる,あがる,to rise,著す,あらわす,to publish,繋がる,つながる,to be connected,開ける,あける,to open,奉る,たてまつる,to serve
案じる,あんじる,to plan,怒鳴る,どなる,to yell at someone,拗れる,こじれる,to be frizzled,濁る,にごる,to become muddy,探る,さぐる,to explore
丸める,まるめる,to round off,降る,ふる,to fall (rain),繋ぐ,つなぐ,to connect,卸す,おろす,to unload,授ける,さずける,to give (to a person)
研ぐ,とぐ,to sharpen,刻む,きざむ,to carve,懲りる,こりる,to be chastened,照らす,てらす,to illuminate,紛れる,まぎれる,to get mixed up
変える,かえる,to change,止す,よす,to stop,映る,うつる,to be reflected,足す,たす,to add to,冷やす,ひやす,to cool down
教わる,おそわる,to be taught,拐う,さらう,to kidnap,冴える,さえる,to be clear,生きる,いきる,to live,蘇る,よみがえる,to revive
寄せる,よせる,to bring near,交わす,かわす,to interlace,着せる,きせる,to put on,涸れる,かれる,to run out,砕ける,くだける,to break up
捩る,ねじる,to twist,乾かす,かわかす,to dry out,弄る,いじる,to play with,煙る,けむる,to smoke,流れる,ながれる,to flow
齎らす,もたらす,to take,頼む,たのむ,to ask,叶える,かなえる,"to grant (request, wish)",填める,はめる,to fill,有る,ある,"to be, exist"
因る,よる,to be caused by,鳴らす,ならす,to sound,掛ける,かける,to cover,催す,もよおす,to prompt,溢れる,あふれる,to overflow
悩む,なやむ,to be worried about,刺さる,ささる,to stick into,落着く,おちつく,to be subdued,尽くす,つくす,to devote,下す,おろす,to unload
苛める,いじめる,to torment,脱する,だっする,to get out of,出す,だす,to put forth,隔たる,へだたる,to be distant,演ずる,えんずる,to perform
打付ける,ぶつける,to strike (hard),押える,おさえる,to suppress,交ざる,まざる,to mingle with,代わる,かわる,to replace,転がす,ころがす,to roll
描く,かく,to paint,労る,いたわる,to work hard,募る,つのる,to solicit,賄う,まかなう,to provide for,打つ,うつ,to strike
昇る,のぼる,"to ascend, climb",弾く,はじく,to play string instruments,遭う,あう,to meet,裁く,さばく,to judge,富む,とむ,to become rich
保つ,たもつ,to keep,異なる,ことなる,to different,炊く,たく,to cook (grains),通じる,つうじる,to be understood,適する,てきする,to suit
降りる,おりる,to get off,詰まる,つまる,to be clogged,刺す,さす,to stab,縮まる,ちぢまる,to shrink,為す,なす,to do
固める,かためる,to consolidate,除く,のぞく,"to remove, exclude",点ける,つける,to turn on,預かる,あずかる,to take charge of,満ちる,みちる,"to fill, become full of"
凍える,こごえる,to freeze,願う,ねがう,to i wish,吊す,つるす,to hang,生かす,いかす,to make the most of it.,広がる,ひろがる,to spread
制する,せいする,to control,嵩張る,かさばる,to become bulky,揚げる,あげる,to raise,怠る,おこたる,to neglect,纏まる,まとまる,to come together
膨らむ,ふくらむ,to swell up,遅らす,おくらす,to delay,織る,おる,to weave,絶える,たえる,to be unbroken,捕る,とる,to catch
噛む,かむ,to chew,着ける,つける,to add,伴う,ともなう,to involve,混ざる,まざる,to be mixed,降ろす,おろす,"to lower, take down"
取り次ぐ,とりつぐ,to act as an intermediary,伝わる,つたわる,to be transmitted,片寄る,かたよる,to be one-sided,延びる,のびる,to be prolonged,弱る,よわる,to weaken
見せる,みせる,to show,怒る,いかる,to be offended,殖やす,ふやす,to increase,履く,はく,"to put on, wear (footwear)",犯す,おかす,to commit
汚れる,よごれる,to be stained,固まる,かたまる,to harden,付き合う,つきあう,to keep company with,微笑む,ほほえむ,to smile,喋る,しゃべる,to talk
倣う,ならう,to follow,撮る,とる,to take (a photo),上げる,あげる,to raise,祝う,いわう,to celebrate,要る,いる,to need
剥ぐ,はぐ,to peel off,剥く,むく,to peel,詰める,つめる,to pack,阻む,はばむ,to prevent,支える,ささえる,to support
着飾る,きかざる,to dress up,広める,ひろめる,to broaden,踊る,おどる,to dance,思う,おもう,to think,騒ぐ,さわぐ,to make noise
あざ笑う,あざわらう,to mock,渡る,わたる,to cross over,超す,こす,to exceed,薄める,うすめる,to thin out,交じる,まじる,to mingle with
輝く,かがやく,to shine,痺れる,しびれる,to numb,使う,つかう,to use,汚す,けがす,to defile,点く,つく,to light up
閉じる,とじる,to close,すれ違う,すれちがう,to pass by each other,凝らす,こごらす,to concentrate on,砕く,くだく,to break,歪む,いがむ,to be distorted
続く,つづく,to follow,借りる,かりる,to borrow,役立つ,やくだつ,to be useful,取る,とる,to take,感じる,かんじる,to feel
倒れる,たおれる,to collapse,病む,やむ,to be ill,眠る,ねむる,to sleep,塗る,ぬる,to paint,引出す,ひきだす,to draw out
信じる,しんじる,to believe in,継ぐ,つぐ,to join (a series),傾く,かたぶく,to incline toward,差し引く,さしひく,to subtract,落ちる,おちる,to fall
添える,そえる,to support,問う,とう,to ask,基づく,もとづく,to be based on,見渡す,みわたす,to look out over,損なう,そこなう,to undermine
占める,しめる,to occupy,乱れる,みだれる,to be disturbed,深まる,ふかまる,to deepen,引返す,ひきかえす,to retrace one's steps,吹く,ふく,to blow
治める,おさめる,to govern,呟く,つぶやく,to murmur,澄ます,すます,to clear,現す,あらわす,to show,重なる,かさなる,to overlap
凌ぐ,しのぐ,to survive,退く,どく,to retreat,果てる,はてる,to come to an end,凍る,こおる,to freeze,勝る,まさる,to prevail
出合う,であう,to meet,伝える,つたえる,to communicate,下る,くだる,to descend,覆す,くつがえす,to overturn,詫びる,わびる,to apologize
座る,すわる,to sit,散らす,ちらす,to scatter,ほめる,ほめる,to praise,萎びる,しなびる,to wither,押す,おす,to push
捕まる,つかまる,to be caught,滲む,にじむ,to soak through,及ぶ,およぶ,to reach,偏る,かたよる,to be biased,仕上がる,しあがる,to be finished
休める,やすめる,to rest,養う,やしなう,to provide for,注ぐ,そそぐ,to pour,走る,はしる,to run,甘える,あまえる,to take advantage of
起こす,おこす,to wake up,滅ぼす,ほろぼす,to destroy,祭る,まつる,to worship,濡らす,ぬらす,to wet,見える,みえる,to seeing
誇る,ほこる,"to boast of, be proud of",匂う,におう,to smell,任す,まかす,to entrust,飛ぶ,とぶ,to fly,破る,やぶる,to tear
纏める,まとめる,to put together,沈める,しずめる,to submerge,計る,はかる,to measure,光る,ひかる,to shine,治る,なおる,to be cured
吠える,ほえる,to howl,行く,いく,to go,盗む,ぬすむ,to steal,察する,さっする,to judge,手伝う,てつだう,to help
注す,さす,to pour,率いる,ひきいる,to lead,観る,みる,to see,睨む,にらむ,to glare at,捕える,とらえる,to seize
襲う,おそう,to attack,被せる,かぶせる,"to cover, put on",縮める,ちぢめる,to shrink,辿る,たどる,to follow,当たる,あたる,"to be hit, strike, in contact"
解ける,とける,to be untied,詰る,なじる,to stuff,交ぜる,まぜる,to mix,生える,はえる,to grow,促す,うながす,to prompt
咲く,さく,to bloom,浴びる,あびる,to bask in,迫る,せまる,to press,泊める,とめる,to stay overnight,運ぶ,はこぶ,to carry
決まる,きまる,to be decided,煽てる,おだてる,to stir up,間に合う,まにあう,to be in time for,呉れる,くれる,to give,指す,さす,to point
高める,たかめる,to enhance,怯える,おびえる,to be frightened,許す,ゆるす,to allow,漏れる,もれる,to leak,助ける,たすける,to help
込む,こむ,to put into,行う,おこなう,to do,絶つ,たつ,to die out,満たす,みたす,to fill (a cup),逆らう,さからう,to defy
負ける,まける,to be defeated,集まる,あつまる,to gather,高まる,たかまる,to be promoted,生やす,はやす,to let it grow,跨ぐ,またぐ,to step over
実る,みのる,to bear fruit,崩す,くずす,to destroy,掘る,ほる,to dig,伸びる,のびる,to extend,仕切る,しきる,to take charge
捧げる,ささげる,to devote,洗う,あらう,to wash,漬ける,つける,to dip,差す,さす,"to shine, be felt, be visible",明かす,あかす,to reveal
冷める,さめる,to cool down,殺す,ころす,to kill,乾く,かわく,to dry up,臨む,のぞむ,to face,向ける,むける,to turn toward
繋げる,つなげる,to connect,働く,はたらく,to work,揃える,そろえる,to arrange,畳む,たたむ,to fold,反る,かえる,to turn around
泊まる,とまる,to stay overnight,歩く,あるく,to walk,接ぐ,つぐ,to join (a series of),投げる,なげる,to throw,転ぶ,ころぶ,to fall down
離れる,はなれる,to leave,用いる,もちいる,to use,通る,とおる,to pass through,努める,つとめる,to strive,沿う,そう,to follow
愛する,あいする,to love,入れる,いれる,to put in,広まる,ひろまる,to widen,目立つ,めだつ,to stand out,盛る,さかる,to flourish
冷ます,さます,to cool down,即する,そくする,to be adapted to,釣り合う,つりあう,to go well together,見舞う,みまう,to visit,折る,おる,to break
深める,ふかめる,to deepen,替える,かえる,to replace,溺れる,おぼれる,to drown,頂く,いただく,to receive,早める,はやめる,to quicken
徹する,てっする,to be devoted to,寝る,ねる,to sleep,含む,ふくむ,to include,攻める,せめる,to attack,裂く,さく,to rip
繕う,つくろう,to mend,学ぶ,まなぶ,to learn,尽きる,つきる,to run out,混む,こむ,to be mixed in with,覆う,おおう,to cover
引っ掻く,ひっかく,to scratch,扇ぐ,あおぐ,to fan,凹む,へこむ,to dent,入る,いる,to go into,隔てる,へだてる,to separate
尊ぶ,たっとぶ,to value,喜ぶ,よろこぶ,to rejoice,弾む,はずむ,to bounce,宛てる,あてる,to address,毟る,むしる,to pluck
暴れる,あばれる,to rage,恥じる,はじる,to feel ashamed,裂ける,さける,to split,済ます,すます,to clear,売り出す,うりだす,to put on the market
煎る,いる,to roast,決める,きめる,to decide,下げる,さげる,to lower,為す,なす,to do,焼ける,やける,to burn
定める,さだめる,to determine,進める,すすめる,to advance,登る,のぼる,to climb,擦る,こする,to scrape,割れる,われる,to crack
敬う,うやまう,to honor,馴れる,なれる,to get used to,賑わう,にぎわう,to flourish,活ける,いける,to be alive,壊れる,こわれる,to break
為る,なる,"to be (in a state, condition)",呼ぶ,よぶ,to call,及ぼす,およぼす,to exert (influence),突く,つく,to poke,担う,になう,to carry on one's shoulders
越える,こえる,to cross over,見送る,みおくる,to see you off,侵す,おかす,to invade,挟まる,はさまる,to be caught in,乱す,みだす,to disturb
動かす,うごかす,to move (something),蹴る,ける,to kick,預ける,あずける,to deposit,抓る,つねる,to pinch,組む,くむ,to assemble
辞める,やめる,to quit,追う,おう,to pursue,流行る,はやる,to be fashionable,掲げる,かかげる,to hoist,覗く,のぞく,to look into
打つ,ぶつ,to strike,嘆く,なげく,to lament,張る,はる,to put up (a tent),支払う,しはらう,to pay,略す,りゃくす,to abbreviate
指差す,ゆびさす,to point to,ぶら下げる,ぶらさげる,to hang down,告げる,つげる,to tell,躓く,つまずく,to stumble,重ねる,かさねる,to pile up
振舞う,ふるまう,to behave,絞る,しぼる,to squeeze,生る,なる,to be born,集める,あつめる,to gathering,覚ます,さます,to wake up
歩む,あゆむ,to walk,持てる,もてる,to possess,焦がす,こがす,to scorch,助かる,たすかる,to be saved,討つ,うつ,to defeat
外れる,はずれる,to be removed,覚める,さめる,to wake up,消す,けす,to extinguish,混じる,まじる,to be mixed,回す,まわす,to turn
混ぜる,まぜる,to mix,湿気る,しける,to damp,越す,こす,to go beyond,染める,そめる,to dye,燃やす,もやす,to burn
並べる,ならべる,to arrange,積む,つむ,to pile up,急ぐ,いそぐ,to hurry,下りる,おりる,to go down,噛る,かじる,to chew
禁ずる,きんずる,to forbid,踏む,ふむ,to step on,置く,おく,to place,隠す,かくす,to hide,逸らす,そらす,to get rid of
遅れる,おくれる,to delay,欠く,かく,to chip,葬る,ほうむる,to bury,給う,たまう,to award,扱う,あつかう,to treat
響く,ひびく,to resound,慣らす,ならす,to accustom,乗る,のる,to get on,乗せる,のせる,to take for a ride,削る,けずる,to scrape off
教える,おしえる,to teach,採る,とる,to take (a sample),笑う,わらう,to laugh,強まる,つよまる,to become stronger,失う,うしなう,to lose
次ぐ,つぐ,to follow (in succession),埋まる,うずまる,to be filled,握る,にぎる,to hold,疑う,うたがう,to doubt,合わす,あわす,to place together
湿る,しめる,to become damp,契る,ちぎる,to make a pact,診る,みる,to examine,遊ぶ,あそぶ,to play,止める,やめる,to stop
脅す,おどす,to threaten,太る,ふとる,"to grow fat (stout, plump)",超える,こえる,to exceed,滞る,とどこおる,to stagnate,駆ける,かける,"to run, dash"
招く,まねく,to invite,落す,おとす,to drop,控える,ひかえる,to refrain from,挙げる,あげる,to raise,戻す,もどす,to return
過ぎる,すぎる,to pass,挿す,さす,to insert,悔やむ,くやむ,to regret,聳える,そびえる,to rise,代える,かえる,to replace
来る,くる,to come,懐く,なつく,to harbor,雇う,やとう,to hire,嘗める,なめる,to lick,振る,ふる,to shake
治まる,おさまる,to be fixed,逃げる,にげる,to escape,整う,ととのう,to arrange,移す,うつす,"to move, transfer",寄こす,よこす,to hand over
撫でる,なでる,to stroke,抜かす,ぬかす,to remove,留まる,とどまる,to stop,立てる,たてる,to make,減る,へる,to decrease
掴む,つかむ,to grasp,似合う,にあう,to suit,騙す,だます,to deceive,仕舞う,しまう,to store,帰る,かえる,to return
泳ぐ,およぐ,to swim,恋する,こいする,to love,解く,とく,to untangle,舞う,まう,to dance,捻る,ひねる,to twist
楽しむ,たのしむ,to enjoy,群がる,むらがる,to crowd,軋む,きしむ,to creak,構う,かまう,to look after,勝つ,かつ,to win
送る,おくる,to send,貸す,かす,to lend,揉める,もめる,to trouble,建つ,たつ,to be erected,込める,こめる,to put into
篭る,こもる,to be confined to a room,破れる,やぶれる,to be torn,渡す,わたす,to pass,炒める,いためる,to fry,弛む,たるむ,to relax
上回る,うわまわる,to be above,暮らす,くらす,to live,汚れる,けがれる,to get dirty,敷く,しく,to lay out,住む,すむ,to reside
建てる,たてる,to build,違う,ちがう,to not.,接する,せっする,to come in contact with,受け継ぐ,うけつぐ,to inherit,限る,かぎる,to limit
間違う,まちがう,to make a mistake,誓う,ちかう,to swear,施す,ほどこす,to apply,営む,いとなむ,to run a business,嫌がる,いやがる,to dislike
罵る,ののしる,to abuse,汲む,くむ,to draw (water),見直す,みなおす,to look again,危ぶむ,あやぶむ,to fear,写す,うつす,to photograph
死ぬ,しぬ,to die,成る,なる,to become,補う,おぎなう,to supplement,戻る,もどる,to return,捨てる,すてる,to throw away
零す,こぼす,to spill,耕す,たがやす,to cultivate,揃う,そろう,"to be collected, gather, be complete",揶揄う,からかう,to make fun of,退ける,どける,to move out of the way
濡れる,ぬれる,to get wet,作る,つくる,to make,眺める,ながめる,to view,見逃す,みのがす,to overlook,長引く,ながびく,to linger
表す,あらわす,to represent,兼ねる,かねる,"to serve two or more functions, finf it difficult to do",掻く,かく,to scratch,威張る,いばる,to be overbearing,売れる,うれる,to sell
栄える,さかえる,to flourish,属する,ぞくする,to belong to,這う,はう,to crawl,狂う,くるう,to go mad,記す,しるす,to note
