W1,T1,W2,T2,W3,T3
研究者,researcher,小石,pebble,一番,most
及ぼす,to exert (influence),落石,falling rocks,水中,underwater
眠たい,sleepy,墓地,a cemetery,脇道,a side street
来年,next year,日程,schedule,乗客,a passenger
労働組合,a trade union,可愛い,pretty,観光に依存する,to depend on tourism
培養,cultivation,亜鉛,zinc,止まる,stop
初期設定,default settings,交通,the traffic,食べてみたところ,I tried to eat it
普及,"spread, diffusion",熱心,enthusiasm,作付け,planting
軽率,thoughtless,前年,previous year,今夜,tonight
育児,childcare,外務省,ministry of foreign affairs,一方通行,one-way traffic
見るにつけ,whenever (one) sees (it),石炭,coal,緩い,loose
牛乳,(cow's) milk,葉書,postcard,下手,not good
節句,seasonal festival,大量,mass,図書,books
損害,damage,長年,many years,知りつつ,knowingly
厚生施設,welfare facilities,掃除,clean,傷付く,to be wounded
加わる,add,疑い,doubt,ソケット,a socket
手本,model,血液,blood,悪用,misuse
頑丈,sturdy,注意にほかならない,nothing but caution,条件付き,conditionally
体調いかんで,depending on one's health,乾物,dry provisions,間近,near
徒歩で,on foot,経由,via,消防署,a fire station
残念でしょうがない,so shameful,終結とともに,with the end,図書館,a library
読んだ上で,after reading,彫像,the statue,注文品,ordered goods
鈍感,insensitivity,売り言葉,inflammatory words,立ち上がる,stand up
同じる,to approve,生まれつき,by birth,注ぎ込む,to pour into
小節,"bar, measure",純粋,pure,寝袋,a sleeping bag
お手洗い,bathroom,鉄橋,railway bridge,稚魚,fingerling
既設,established,相互交流,mutual exchange,本書とともに,together with this book
手数料,a commission,生き方,way of life,モスク,a mosque
進歩,progress,割り込む,fall below,出張,a business trip
研修,training,上,up,平成,heisei
建設,construction,井戸,water well,賜物にほかならない,nothing but a gift
接見,"audience, reception",花嫁,bride,噴水,a fountain
知らないうちに,before one knew it,保健センター,a health centre,付く,comes with
免許,license,収穫,harvesting,キャンプに行く,to go camping
路面標識,road markings,ラウンドアバウト,a roundabout,夜に出かける,to go out at night
約束,an appointment,同時,simultaneous,県立,prefectural
乱用,"abuse, misuse",試合終了,end of a match,困難,difficulty
乱暴,"violence, assault",青い,blue,言い換える,rephrase
昨年に比べて,compared to last year,石器時代,stone age,突っ込む,penetrate
乾かす,"to dry up, to desiccate",配役,casting,急停車,sudden stop
散乱,"dispersion, scattering",病院,hospital,外,outside
接客,serving customers,些事,something small,組み合わせ,combination
田んぼ,rice paddy,キリスト教,christianity,近付き,acquaintance
接続,"connection, attachment",汚染,contamination,吸い込む,suction
彼,he,買い物,shopping,取り出す,take out
広告,an advertising,争議,"dispute, quarrel",鵞鳥,goose
使節,envoy,通路,the passage,付き,"furnished with, including"
水洗,washing with water,私用,personal use,世界中を旅する,to travel around the world
百,hundred,環境において,in an environment,付き合い,association
時差ぼけ,jetlag,映る,show,批評,criticism
配達する,to deliver,地下鉄,subway,一人で,alone
研修生,trainee,政策,policy,搭乗券,a boarding pass
雨につけ,whenever it rains,レストラン,a restaurant,ガイドブック,a guidebook
人工乳,formula (milk),受け身,passive,愛あっての結婚生活,marriage with love
学部,faculty,映画館,a cinema,はがき,a postcard
月謝,monthly payment,生活,life,雲,cloud
耳鼻科,otolaryngology,夏の間,during the summer,注目,notice
乾電池,dry cell,戦争記念碑,a war memorial,停電,power outage
請求する,to invoice,胆石,gallstones,学校,a school
苦しむ,suffering,下水道,the sewers,注釈,"notes, comment"
休日,holiday,オフィスブロック,an office block,砂浜,sandy beach
入手する,to obtain,了承済み,acknowledged,港,a harbour
三日,three days,変わる,change,淡水魚,freshwater fish
接点,point of contact,規則なので,since it’s a rule,天ぷら,tempura
道,road,堤防,an embankment,入試,entrance exam
進化,broadcasting,目立つ,noticeable,コンサートホール,a concert hall
油絵,oil painting,入門,introductory,実用,practical
違う,different,銅器,copperware,恐れる,fear
易しい,easy,皮,skin,法学部,school of law
時々,sometimes,通知,notification,机,desk
沈める,sink,鉄,iron,七面鳥,turkey
喪失,a loss,市長,mayor,鳥皮,chicken skin
測定する,to measure,了見,"idea, thought",気にするあまり,worrying too much
姓名,family name,宮殿,a palace,役所,town hall
日曜日に限らず,not limited to Sundays,開発,development,住まい,living
旧市街,an old town,歯科医,dentists,生魚,raw fish
間接,indirection,略,strategy,表紙,cover
九つ,nine,公園,(public) park,休日になる,to be on holiday
甲乙,first and second,乾き,"drying, dryness",飽きる,get tired of
主婦,housewife,石碑,stone monument,打付ける,to strike
破産,a bankruptcy,戦前,before the war,カメラ,a camera
特別オファー,a special offer,店舗,the store,リラックスする,to relax
唾,spit,油井,oil well,キャンセルします,to cancel
結果,a result,建物,a building,追い付く,to catch up (with)
占める,occupy,信号機,traffic lights,政治家,politicians
片道チケット,one way ticket,製鉄,iron manufacture,夜空,night sky
接ぎ木,grafting,宿泊施設,an accomodation,裏付け,support
予防接種,vaccination,国々,countries,打ち上げる,launch
建設会社,construction company,初日,first day,ゴミ箱,dustbin
商標,a trademark,敷石,paving stones,将来にかかわる,concerning the future
万,all,石垣,stone wall,牛丼,gyudon
指差す,pointing at something,重役,(company) director,死亡,"death, dying"
推定する,to estimate,乾咳,dry cough,魚介類,seafood
乳幼児,infants,純銀,pure silver,出席率いかんでは,depending on attendance
家出,running away from home,争う,to compete,地帯,zone
研究所,research institute,開く,open,稽古,practice
先,ahead,花束,bouquet,付け込む,to take advantage of
削り節,flaked bonito,筒井,round well,方,direction
開設,opening,絵のような,picturesque,日帰り,a day trip
本当に,really,バス待合所,a bus shelter,休暇,vacation
増加します,an increase,銀行員,bank employee,茶碗,teacup
金利,an interest rate,商店,a store,亡骸,corpse
直前,just before,銅合金,copper alloy,逃亡,"escape, flight"
憧れ,longing,賃金,"wages, pay",盲導犬,guide dog
利益率,profit margin,嬉しいことに,to one's joy,惜しいことに,regrettably
直接投資,direct investment,欠ける,lack,亀,turtle
研ぐ,to sharpen,実業家,industrialist,会話帳,a phrasebook
弱める,weaken,役職,"post, official position",享有,"possession, enjoyment"
お節介,meddling,レセプション,the reception,製品,manufactured goods
展示会,an exhibition,コーナー,the corner,ハンドバッグ,a handbag
及第点,passing mark,親しみ,familiarity,刑務所,a prison
派遣する,to dispatch,慣れ親しむ,to become familiar with,付加,"addition, annexation"
膨れる,swell,傍観者,a bystander,牛乳,(cow's) milk
以外,except,端役,minor role,金属,metal
工場,a factory,観測,observation,雄鶏,rooster
研究開発,research and development,裁判所,court,狂犬,mad dog
保証,a guarantee,地位にはかかわりなく,regardless of position,観光に行く,to go sightseeing
悪い,bad,互角,equal (in ability),本屋,a bookstore
流行,fashion,駆け足,rushing,震度,seismic intensity
反乱,"mutiny, rebellion",村,a village,死亡数,number of deaths
雨具,rain gear,大理石,marble,気楽,carefree
乱入,intrusion,銀杯,silver cup,賃借する,to rent
設け,preparation,青銅,bronze,発熱,fever
季節的,seasonal,保護者,guardians,享年,one's age at death
売り手,a seller,文章,writing,来週,next week
漏る,leak,疲れてしょうがない,so tired,享受,"reception, acceptance"
給与,a salary,末,end,国語,japanese language
削減する,to reduce,門,gate,本年,this year
提供する,to provide,繰り返す,repeat,地価,land value
管理する,to manage,歩行者,a pedestrian,受付,reception (desk)
政権,government,拡張,expansion,刑務所,prison
限定,"limit, restriction",中央銀行,central bank,残念,too bad
良いものの,though it’s good,総理,prime minister,結び付ける,to combine
心掛ける,attentive,不十分,insufficient,年配,elderly
概説,general statement,目下,at present,片付ける,to tidy up
右手ばかりでなく,not only right hand,好む,like,受注,accepting an order
季節,season,花火,fireworks,停留所,stopping place
二十日,20th,府,government,朝ご飯,breakfast
街,a city,近所,a neighborhood,語学,language
数量割引,a quantity discount,フラット,a flat,地方,a local
和やか,harmonious,問題,problems,到着する,to arrive
設備投資,capital investment;,社会,society,段落,paragraph
搾乳,milking (a cow),友,friend,お祖母さん,grandmother
乱視,astigmatism,切手,stamps,高速道路,a freeway
飛行場,airfield,知らずに,without knowing,帰りのチケット,a return ticket
出資する,to fund,病院,a hospital,市立,municipal
治まる,be at peace,結合,coupling,プール,a swimming pool
音節,syllable,交通渋滞,a traffic jam,魚屋,fish market
組立ライン,an assembly line,景色,the view,分注,dispensing
設定可能,configurable,自転車道,the bicycle path,罰金,fine
交渉,negotiations,亜硝酸,nitrous acid,停止信号,stoplight
借金,a debt,花見,cherry blossom viewing,近付ける,to bring close
都市部,an urban area,地上,ground,お客さまに限り,only for customers
債権回収,debt collection,後者,latter,使用できる,fit for use
発生,occurrence,混雑した,congested,ラベル,a label
を増やす,to increase,城,the castle,取扱注意,handling warning
止まる,to stop,感心,admiration,北東,northeast
大雪のため,due to heavy snow,観光案内所,the tourist office,ガソリンスタンド,a petrol station
創設,founding,競争力,competitiveness,遅れ,a delay
立て替える,reimburse,生まれる,born,靴下,socks
柱,pillar,原子力,nuclear power,番犬,watchdog
設定,"establishment, setting up",育成すべき,should be cultivated,日によって,depending on the day
改善する,to improve,花,flower,降り注ぐ,to downpour
文明,civilization,格好,pose,系列,series
上手,good,花粉,pollen,船長,captain
使用人,servant,岐路,a crossroads,思い付き,"idea, plan"
見える,i see,葉っぱ,leaf,旅,a journey
例え,metaphor,庁,agency,動かす,move
節,"occasion, time",野原,field,砂,sand
人により,depending on the person,透明,transparency,山,mountain
人事,personnel,郵便局,post office,タクシー乗り場,a cab stand
慣らす,accustom,過密,overcrowded,法外な価格,exorbitant prices
設営,setting up,薄い,thin,学年,grade
延長,extension,群衆,the crowd,行ったついでに,while I was there
鰹節,katsuobushi,学科,academics,野鳥,wild bird
冷たい,cold,鉄道,railway,探索する,to explore
窮乏,poverty,不便なため,due to inconvenience,輸送,transport
妹,sister,道標,a signpost,月刊,monthly
乳児,infant,横断歩道,a pedestrian crossing,魚河岸,riverside fish market
議長,chairman,以後,after,この頃,these days
牛乳屋,"dairy, milkman",看板,sign,注意報,advisory
哺乳瓶,baby bottle,焼け石,hot stone;,戦死,death in battle
架設,construction,住民,an inhabitant,寝るうちに,while sleeping
核施設,nuclear facility,鉄鉱,iron ore,疑わしい,suspicious
区別,distinction,磁石,magnet,町の広場,a town square
天災,natural disaster,家具,furniture,魚肉,fish meat
継ぎ接ぎ,patching,期限,due date,半導体,semiconductor
体系,system,石鹸,soap,泉,fountain
性質,nature,側溝,a gutter,老犬,old dog
線,line,起こす,cause,貧しい,poverty
採用します,to employ,交互,alternate,くっ付ける,to attach
接触,"touch, contact",数多く,in great numbers,担任,in charge
お願い,please,意味,meaning,高温,high temperature
不正,injustice,治る,cure,満ちる,fill
冷やかす,cool,石造り,stone-built,通行人,passerby
生産する,to produce,了解,comprehension,遠足,an excursion
使節団,delegation,区役所,ward office,付き合い,socializing
隣接,adjacency,石段,stone steps,花火,fireworks
お節,new years food,広場,square,忠実,faithful
接収,seizure,鉄分,iron (content),旅行する,to travel light
武器,weapon,終了,"end, close",ヒッチケする,to hitchike
待ち望む,look forward to,にぎやか,lively,橋,bridge
美味しい,delicious,銀世界,snowscape,増大,increase
拡張します,to extend,家族,family,明後日,day after tomorrow
銀行,a bank,脇役,supporting role,学費,school fees
整理する,to organize,可愛い,pretty,付き人,assistant
購入,a purchase,文書,document,海辺のリゾート,a seaside resort
浜辺,beach,制御,control,賑やか,lively
及び,"and, as well as",言葉遣い,speech,鮮魚,fresh fish
配達,a delivery,些少,little,給付,provision
乳歯,baby tooth,早朝,early morning,行方,direction
節水,saving water,市議会,the city council,憧れる,admire
目,eyes,暗い,dark,建築社会,a building society
会社,a company,今回,this time,白,white
増す,increase,バス停留所,a bus stop,空ける,empty
乙,second party,互い違い,alternate,注文書,written order
時節,season,最適,optimal,サファリに行く,to go on a safari
実現,realization,手伝う一方,while helping,絶対に,never
上昇,a rise,多く,much,一方通行,a one-way street
及第,passing (an examination),予定,schedule,鶏肉,chicken meat
授乳,breastfeeding,真心,sincerity,魚,fish
十日,ten days,隕石,meteorite,未亡人,widow
研究室,laboratory,小型,small,鳥かご,birdcage
始発,first day of school,電話,phone,瓶,bottle
接合,union,見直す,review,大陸,continent
順,order,花屋,"florist, flower shop",覆う,cover
妻,wife,会社,company,注ぐ,to pour (into)
休校,school holiday,役員,"director, executive",注文,order (for an item)
女,woman,辞任,resignation,来日,visit to japan
直接,"direct, immediate",市長,a mayor,蜂鳥,hummingbird
成功するために,to succeed,花びら,(flower) petal,大通り,an avenue
面接,interview,十分,enough,白紙,white paper
例外,exception,永遠,eternal,川魚,river fish
演説者,speaker,パブ,a pub,メモ帳,a notepad
充電する,to charge,巡る,going around,旅に出る,to go on a journey
請求書,"an invoice, a bill",不動産業者,an estate agent,赤い,red
中古,used,溢れる,overflowing,大聖堂,a cathedral
間接税,indirect tax,相手,partner,予約する,to book
乳首,nipple,完了,"completion, conclusion",注視,gazing steadily at
母乳,mother's milk,男性に限らず,not limited to men,亡くなる,to die
混乱,"disorder, chaos",鉄砲,gun,平面,plane
下調べ,preliminary investigation,論争,"dispute, argument",負け犬,underdog
調節,regulation,声,voice,船酔いする,to be seasick
慎重,careful,発売,sale,生まれ付き,by nature
一生,life,スラム街,the slums,近付く,to approach
宣伝すること,to advertise,作り上げる,build up,注入,"pouring, injection"
かき回す,churn,我が国,our country,愛犬,pet dog
徐行,slow,市場の場所,a marketplace,地図,a map
不節制,excesses,国によって,depending on the country,南西,southwest
移転,relocation,舗装,the pavement,調停,arbitration
施設,institution,証券,securities,左側,left side
取り消す,to cancel an order,室内,indoor,出発する,to depart
父,father,絵本,picture book,魚雷,torpedo
設立,establishment,地下鉄,a subway,送料番号,carriage number
納得させる,to convince,抗争,"dispute, resistance",乾燥,dry
お兄さん,big brother,比べる,compare,一員,one member
乳酸,lactic acid,銀河,milky way,欲求,desire
忙しいので,since I’m busy,忙しい,busy,根,root
範囲,a range,街灯,a street lamp,計画する,to plan
子会社,a subsidiary,段,stage,水鳥,water bird
乾く,to get dry,飲んだ後,after drinking,ホテル,a hotel
一日,one day,市役所,municipal office,女優,actress
男子,men,亜硫酸,sulfurous acid,出国,departure
閉まる,close,カフェ,a café,履く,wear
都合にかかわりなく,regardless of the situation,布石,groundwork,菊,chrysanthemum
販売代理店,a sales representative,商売,business,仲,relation
五,five,瑣末,trivial,災難,calamity
顔つき,face,花盛り,flowers in full bloom,注射器,syringe
解放,liberation,初めて,first time,遊園地,amusement park
ご主人,your husband,亜空間,subspace,押し付ける,to press against
八つ,eight,子役,child actor,鳥類,birds
女優として,as an actress,朝日,morning sun,名付ける,"to name, to call"
減少する,to decrease,喜びのあまり,so much joy,丈夫,strong
調査,a survey,主観的,subjective,旅程,an itinerary
乱れる,to be disordered,世界銀行,world bank,飼う,keep
年賀,new year's eve,休み,rest,厳しい,tough
乱闘,fighting,開花,開花,今朝,this morning
夏,summer,些とも,(not) at all,キャンセル,cancelled
移設,relocation,葉巻,cigar,備え付ける,"to provide, to furnish"
防音設備,soundproofing,気絶しないうちに,before I pass out,観光名所,a touristic attraction
勝つために,to win,開放,open,鳥居,torii
接吻,kiss,意見,opinion,水牛,water buffalo
大きい,big,トイレ,the rest room,懐中電灯,a flashlight
男,man,寄りかかる,lean on,日焼けする,to get sunburnt
未婚,unmarried,就任,inauguration,祝日,a public holiday
無効,disabled,銅貨,copper coin,路線,route
節電,brownout,疑う,doubt,昨夜,last night
聞き取り,listening,率直,frankness,両親,parents
所有する,to own,草花,flowering plant,経済界における,In the economic world
八,eight,闘争,"fight, battle",答え,answer
同封,enclosed,郵便局,a post office,毛布,a blanket
チェックする,to check,完了,completion,返る,return
強い,strong,主役,leading part,緊急停止,emergency stop
必死,desperate,天気次第で,depends on weather,運動会,sports day
節回し,melody,汚れた,dirty,特注,special order
高校生,high school student,水をやる,water the plants,痛みとともに,with pain
多数決,majority decision,案内役,"guide, host",少量,small quantity
開発する,to develop,葉,leaf,飼い鳥,pet bird
礼節,decorum,鉄鋼,iron and steel,本店,head office
防ぐ,prevent,考えつつも,while thinking,横丁,an alleyway
商店,stores,独特,unique,鞄,bag
政党,political party,役に立つ,to be helpful,送付,sending
観衆,spectators,路線図,route map,醤油,soy sauce
注文する,to order,銅線,copper wire,不平等,inequality
多い一方,while there are many,合言葉,password,救急箱,a first aid kit
ストライキ,a strike,観光スポット,the sights,攻撃,attack
輝く,shine,通訳,interpreting,冒険,adventure
接線,tangent line,魅了,fascination,バス停,a bus station
辛い,hard,紛争,"dispute, conflict",一昨日,day before yesterday
注ぎ込む,to invest,相互銀行,mutual savings bank,体付き,"body build, figure"
急ぐことはない,there's no rush,青銅器,bronze ware,付け加える,to add another
設計,plan,消える,disappear,税関職員,a custom officer
接地,grounding,銀行,banking,テントを張る,to pitch a tent
関節,joints,恐らく,probably,滅亡,downfall
九,nine,国境,border,勤める,work
五つ,five,井筒,well curb,勧める,recommend
締め切り,a deadline,商業銀行,commercial bank,心停止,cardiac arrest
共に,with,新鮮,fresh,戦場,battlefield
通りを渡る,to cross the street,死者,dead,角度,angle
縮まる,shrink,銀座,ginza,お土産,souvenirs
休学,absence from school,城壁,the ramparts,暴落,crash
間接的,indirect,昨夜,last night,貸付,loan
改革,reform,公園,a park,飼い犬,pet dog
大人,adult,下りる,going down,犬小屋,doghouse
裂ける,break,地区,a district,付け,bill
出す,let out,人権,human rights,納付,payment
及ばない,"unnecessary, unattainable",買収,takeover,付け根,root
休む,rest,事故,accident,注す,"to pour, to add, to apply"
袋麺,instant noodles,金利,interest rate,論じる,discuss
見つかる,find,響く,echo,テレホンカード,a phone card
接戦,close contest,黒い,black,写真を取ります,to take pictures
直接税,direct tax,騒々しい,noisy,人魚,mermaid
素直,honest,求人,jobs,休暇を取る,to take a holiday
促進する,to promote,石油,"oil, petroleum",クルーズ船,a cruise ship
貧乏,"poverty-stricken, destitute",世論,public opinion,働き,work
節制,moderation,男性に比べ,compared to men,両面,both sides
入国審査,passport control,写真,photo,付く,to be attached
市場シェア,a market share,スタジアム,a stadium,各駅停車,local train
電力,power,試金石,touchstone,湯,hot water
見ずに,without seeing,砂糖,sugar,付き添い,attendance (on)
綺麗,beautiful,兵役,military service,不必要,unnecessary
販売,sales,重役会,board of directors,日付,"date, dating"
年齢に応おうじて,according to age,覚悟,preparedness,生きる,live
観客,spectator,最強,the strongest,結び付く,to be related
努力次第で,depending on efforts,醜い,ugly,偏る,bias
密接,"close, intimate",役者,actor,肉,meat
減る一方だ,It's diminishing,私鉄,private railway,歌舞伎,kabuki
賃金表,a wage scale,建て前,construction,演説,address
到達すること,to reach,減る,decrease,割り当てる,allocate
言いつつ,while saying,裁判所、裁判所,a courthouse,町,town
研究費,research funds,神様,god,注射,injection
従業員,an employee,銅板,copperplate,鳥,bird
実力,real power,立体駐車場,a multi-storey car park,切手,stamps
設備,equipment,続ける,continue,何,what
企業,a corporation,虚しい,empty,ツアーに行く,to go on a tour
常設,standing (committee),追放,expulsion,右側,right side
意義,significance,鉄棒,iron rod,時給,hourly rate
性能,performance,郊外,the suburbs,評判,reputation
乱す,"to disarrange, to disturb",落ち葉,fallen leaves,歩道,a sidewalk
早乙女,young girl,勝つ,victory,兄さん,brother
税関,customs,忙しい,busy,最先端,cutting edge
欄,column,観光客,a tourist,地位,position
度忘れ,forgetting something,石,stone,受け付ける,"to accept, to receive"
僕,i,交わる,intersect,端,end
動く,move,不安定,unstable,予約,a reservation
乱す,disturb,谷,valley,焼き魚,grilled fish
乱雑,"disorder, mess",総裁,president,国外,outside the country
標的,a target,嫌う,hate,黙る,silence
手,hand,辞典,dictionary,不完全,incomplete
反感,antipathy,通行人,a passer-by,闘牛,bullfighting
襟,collar,建てる,build,非常識,insane
下,down,満了,expiration,幼児,infant
指す,point,争い,"dispute, strife",付き合う,to associate with
生臭い,fishy,戦争,war,大魚,large fish
任せる,leave to,目覚まし時計,alarm clock,海鳥,sea bird
答える,answer,不公平,injustice,理系,science
広告,an advertisement,入場,admission,四角,a square
群衆,crowd,亜熱帯,subtropics,定価,list price
破産する,to go bankrupt,成績によって,base on grades,毎月,monthly
部品,parts,財布,purse,無関係,unrelated
七日,seven days,了解済み,"accepted, understood",敗れる,defeat
研究方法,research methods,聞くにつけ,the more I hear,半ば,half
特設,special installation,鉄,iron (Fe),脚注,footnote
取り乱す,to be upset,衛生,hygiene,停車,stopping of vehicle
遅延,delayed,銅山,copper mine,立ち寄る,to stop over
緩む,relax,相互作用,interaction,停船,stopping a ship
高級,high class,愛情,affection,墓,tomb
四つ,four,元宵節,lantern festival,雛鳥,chick
波及,"spread, influence",観光シーズン,tourist season,大通り,a main street
給与,a salary,美術館,a museum,牛肉,beef
乏しい,"scarce, limited",外国,foreign,被保険者,to be insured
切断,cutting,話せばいい,just talk to him,鉄道駅,a railway station
錯乱,"confusion, distraction",重なる,overlap,決める,decide
直接関係,direct relation,週刊,weekly,復習,review
払い戻し,a refund,幸福,happiness,急速,rapid
接ぐ,to join,核戦争,nuclear warfare,亡くす,to lose through death
その節,at that time,亜種,subspecies,授業に加えて,In addition to classes
敷設,"laying (railroad, etc)",洗う,wash,駅,a train station
矛盾,contradiction,人工,artificial,縦,vertical
導入,introduce,些々,trivial,片付け,tidying up
関節炎,arthritis,警告,warning,大人しい,quiet
娯楽施設,amusement facilities,花壇,flower bed,本当,TRUE
近接,proximity,電気,electricity,子供の遊び場,a children’s playground
効く,effect,生け花,ikebana,解く,solve
余り,more than enough,花輪,garland,手荷物,a baggage
競技,competition,緑地,green spaces,子犬,puppy
節減,retrenchment,挙げる,raise,ハイライト,a highlight
自分,myself,平等,equality,小魚,small fish
勇敢,brave,岩石,rock,猟犬,hound
小さい,small,次第に,next,注ぐ,to pour (into a vessel)
八日,eight days,変換,conversion,渡り鳥,migratory bird
接する,to touch,石綿,asbestos,火力,firepower
会社,a firm,お巡りさん,policeman,乗り出す,embark on
人,person,石像,stone statue,原文と比べて,compared to original
信仰,faith,現役,active duty,パスポート,a passport
口説く,to persuade,沖,offshore,寿司,sushi
埋設,laying underground,木の葉,"foliage, leaves",回数,times
神経,nerve,先頭,first,発行する一方で,while issuing
乱れ,disorder,動物園,a zoo,降る,falling
発音,pronunciation,車両,a vehicle,国旗,flag
借り,borrowing,自治区,a borough,聞かす,listen to
雨天,rainy weather,話し言葉,spoken language,味付け,seasoning
落ち着き,calm down,未了,unfinished,衝突,collide
増設,establishing more,銀紙,aluminum foil,ストリート,a street
言及,reference,吸収,absorption,苦情,a complaint
店,store,初期,early,心配,worry
仮設,temporary,進める,promote,連れてくる,bringing
昨日,yesterday,味わう,taste,工学部,school of engineering
花,flower,教員,faculty,睡眠,sleep
不公平な競争,unfair competition,奇跡,miracle,旅行の書類,travel documents
応用,application,若葉,new leaves,流行る,going viral
営業力,sales force,少数,minority,寝付く,to go to bed
路線番号,route number,有利,advantage,外国人,a foreigner
政府,government,役場,town hall,軍隊,army
需要,a demand,目次,table of contents,焦点,focus
存じる,to have,静か,quiet,風邪薬,cold medicine
節目,turning point,買い言葉,tit for tat,明日,tomorrow
実施設計,detailed design,恵まれる,be blessed,基付く,to be based (on)
たんぱく質,protein,果たして,as a result,コンパス,a compass
併設,joint establishment,バー,a bar,安全,safety
順次,"in order, sequential",人手,manpower,臨時,temporary
近眼,nearsightedness,商業モール,a commercial mall,半月,half month
深刻,serious,ホテル,a hotel,注意,"attention, caution"
冷淡,cold-hearted,下水道,a sewer,停滞,stagnation
低脂肪乳,low-fat milk,才能,talent,引き付ける,to attract
新設,establishing,ワインバー,a wine bar,数百,several hundreds
酸っぱい,sour,優美なものの,although it’s graceful,開店,open
歩行者,pedestrian,増える,increasing,野牛,buffalo
売上予測,sales forecasts,役所,government office,鑑賞,appreciation
母,mother,タール,the tar,前期,early period
電話による,by phone,銀行,bank,心臓,heart
各国,countries,最近,recently,停泊,anchorage
傷つく,hurt,橋,a bridge,不愉快,unpleasantness
辺,neighborhood,隣人,a neighbour,行き止まり,a dead end
列車,train,銀貨,silver coin,順調,good
購入する,to purchase,刑務所,the prison,都会,city
乳がん,breast cancer,火花,spark,手間,hassle
接着,adhesion,鋼鉄,steel,付与,grant
五日,5 days,獣医,vets,キャンプ場,a camp site
名札,name tag,デッキ,the deck,享楽,enjoyment
乳房,breast,一層,first,知人,acquaintance
効き目,efficacy,待ち行列,the queue,寄付,contribution
防火,fire prevention,物事,things,日光浴をする,to do some sunbathing
基本設計,baseline design,高齢,elderly,会費,membership fee
影,shadow,了承,acknowledgement,腹が立つ,to take offense
欲しい,i want,競争,competition,右折禁止,no right turn
研究生,research student,よそ見,looking away,親鳥,parent bird
公設市場,public market,ばい菌,germs,不注意,carelessness
企画書,a proposal (business),トイレ,toilets,簡単な上に,on top of being easy
乙姫,younger princess,書き言葉,written language,人気,popularity
一節,"a verse, passage",定石,standard practice,壊れる,break
廉売する,to sell at a discount,互いに,mutually,免税店,a duty free shop
大学,a university,亜科,subfamily,要注意,need for caution
夜,night,住宅地,a residential district,客,guest
接近,getting closer,花瓶,flower vase,指,finger
交換する,to exchange,仏教,buddhism,傷付ける,to injure
設ける,to set up,首脳,brains,市街地,a built-up area
平たい,flat,順位,rank,お菓子,sweets
過労,overwork,負ける,lose,証言により,base on the testimony
確認する,to confirm,銅像,bronze statue,文系,humanities
取り締まる,crack down on,選ぶ,choose,並み,similar
哺乳,"suckling, nursing",ヒッチハイクする,to hitchhike,去る,to leave
急ぐ,to hurry,入国,entry,発注,placing an order
損,loss,化石,fossil,栄養,nutrition
暖かい,warm,街灯,a lamppost,付ける,to attach
取り入れる,take in,冷静,calm,偏差,a deviation
及ぶ,"to reach, to go on (for, until)",ラッシュアワー,rush hour,休みの間に,during the vacation
売上高,a turnover,造花,artificial flower,テレビと言えば,speaking of tv
早める,accelerate,横断歩道,pedestrian crossing,最小,minimum
支払う,to pay,以上,above,良い,good
多元接続,multiple-access,平和な,peaceful,記号,symbols
四,four,貧民街,a shanty town,市庁舎,a town hall
乱気流,(air) turbulence,他,other,買い付け,buying
費用がかかる,to cost,役割,"part, assigning",タオル,towels
細い,thin,支出,expenditure,蝸牛,snail
祈ってやみません,I'll pray for you,些細,"trivial, slight",感じる,feel
在庫,a stock,銀色,"silver (color, colour)",休憩所,a rest area
好み,preference,椅子,chair,銀行,a bank
取り次ぐ,answer,言葉,word,野犬,stray dog
卑しい,lowly,デパート,a department store,アダプター,an adaptor
大丈夫,it's okay,進入路,on-ramp,正面,front
沿う,follow,住所,address,小鳥,small bird
恋する,fall in love,観光,sightseeing,傾注,devoting
設置,installation,家,house,気力,energy
読めば読むほど,"the more I read, the more..",役人,government official,眉,eyebrows
直接行動,直接行動,手数,number of hands,噛み付く,to bite (at)
発電,power generation,輸銀,import-export bank,予約する,to book
生やす,grow,控え室,waiting room,多数,many
応接,reception,必要,necessary,帰省,returning home
改まる,revise,内臓,internal organs,切ってでも,even if it means cutting
研究,"study, research",歯ブラシ,toothbrush,塔,tower
生きる,to live,調べる,examine,付近,neighborhood
乾燥,"dryness, dehydration",スケートパーク,a skate park,付着,sticking to
冷房設備,cooling facilities,銀行口座,bank account,親しむ,to be intimate with
まとめ買いする,to buy in bulk,大通り,a boulevard,亡霊,departed spirit
全般,general,犯人,culprit,破る,breaking
欠乏,"want, shortage",花粉症,hay fever,金魚,goldfish
失業,unemployment,認可,approval,子牛,calf
息,breath,涼しい,cool,予約注文,pre-order
見本市,a trade show,外す,remove,和牛,wagyu beef
ジェット機,jet plane,化石燃料,fossil fuel,魚群,school of fish
私設,private,大いに,greatly,派閥,faction
季節感,sense of the seasons,相互,"mutual, reciprocal",交付,"delivery, issuance"
マスツーリズム,mass tourism,安全,safe,訪問する,to visit
家賃を払う,to pay the rent,サングラス,sunglasses,顔付き,(outward) looks
マージン,a margin,考え方いかんで,depending on perspective,崩れる,collapse
値打ち,value,争点,point at issue,受付,a receptionist
内乱,civil war,手すり,railings,枕,a pillow
寒い,cold,厚い,thick,翌朝,next morning
節度,"moderation, standard",埋める,bury,プレゼント,a present
