W1,T1,W2,T2,W3,T3,W4,T4,W5,T5
電話,call,また,either,増加,increase,注文,order,悲鳴,scream
来た,came,お年寄り,elderly,増加,increased,普通,ordinary,画面,screen
カメラ,camera,選出,elect,増加,increasing,器官,organ,脚本,script
キャンプ,camp,選挙,election,ますます,increasingly,オーガニック,organic,海,sea
運動,campaign,電気の,electric,信じられない,incredible,組織,organization,探す,search
キャンパス,campus,電気,electricity,確かに,indeed,整理,organize,季節,season
できる,can,電子,electronic,独立,independence,オリエンテーション,orientation,シート,seat
癌,cancer,エレメント,element,独立,independent,元,origin,秘密の,secret
候補者,candidate,エレメンタリー,elementary,索引,index,オリジナル,original,秘書,secretary
容量,capability,排除,eliminate,インド人,Indian,元は,originally,セクション,section
有能,capable,エリート,elite,示す,indicate,他の,other,セクタ,sector
容量,capacity,そうしないと,else,表示,indication,その他,others,安全,secure
資本,capital,他の場所,elsewhere,個人,individual,それ以外は,otherwise,安全,security
キャプテン,captain,擁する,embrace,産業,industrial,すべきです,ought,見る,see
捕獲,capture,出現する,emerge,業界,industry,私たちの,our,シード,seed
車両,car,緊急,emergency,子供,infant,私たち自身,ourselves,求める,seek
炭素,carbon,放出,emission,感染,infection,アウト,out,思われる,seem
カード,card,感情,emotion,インフレーション,inflation,結果,outcome,セグメント,segment
ケア,care,感情的,emotional,影響,influence,外,outside,つかむ,seize
キャリア,career,強調,emphasis,知らせる,inform,オーブン,oven,選択する,select
気をつけろ,careful,強調,emphasize,情報,information,以上,over,選択,selection
気をつけて,carefully,雇用する,employ,材料,ingredient,全体,overall,自己,self
キャリア,carrier,社員,employee,イニシャル,initial,克服,overcome,売る,sell
運ぶ,carry,雇用者,employer,最初は,initially,見落とす,overlook,上院,Senate
場合,case,雇用,employment,主導権,initiative,借りている,owe,上院議員,senator
現金,cash,空の,empty,怪我,injury,自分の,own,送信,send
キャスト,cast,有効,enable,内側,inner,オーナー,owner,シニア,senior
猫,cat,出会い,encounter,無垢,innocent,空気,oxygen,検出,sense
キャッチ,catch,奨励します,encourage,問い合わせ,inquiry,ペース,pace,センシティブ,sensitive
カテゴリー,category,終わり,end,虫,insect,パック,pack,送信済,sent
カトリック,Catholic,敵,enemy,中身,inside,パッケージ,package,文,sentence
つかまった,caught,エネルギー,energy,洞察,insight,ページ,page,分ける,separate
原因,cause,執行,enforcement,主張,insist,痛み,pain,順序,sequence
シーリング,ceiling,従事,engage,インスパイヤ,inspire,痛い,painful,シリーズ,series
祝う,celebrate,エンジン,engine,インストール,install,ペイント,paint,深刻,serious
お祝い,celebration,エンジニア,engineer,実例,instance,画家,painter,真剣に,seriously
有名人,celebrity,技術,technology,インスタント,instant,ペインティング,painting,仕える,serve
細胞,cell,英語,English,代わりは,instead,ペア,pair,サービス,service
セント,cent,強化する,enhance,機関,institution,青白い,pale,セッション,session
中心,center,楽しい,enjoy,制度的,institutional,パレスチナ人,Palestinian,設定,set
中央,central,甚大,enormous,命令,instruction,手のひら,palm,設定,setting
世紀,century,足りる,enough,インストラクター,instructor,パン,pan,解決,settle
式,ceremony,確認,ensure,楽器,instrument,パネル,panel,決済,settlement
もちろんです,certainly,入力,enter,保険,insurance,パンツ,pant,セブン,seven
鎖,chain,企業,enterprise,知的,intellectual,論文,paper,いくつかの,several
椅子,chair,エンターテイメント,entertainment,知能,intelligence,段落,paragraph,ひどい,severe
会長,chairman,全体,entire,意図する,intend,親,parent,セックス,sex
チャレンジ,challenge,全体的に,entirely,集中,intense,公園,park,性的,sexual
チャンバー,chamber,入口,entrance,強度,intensity,パーキング,parking,シェード,shade
チャンピオン,champion,エントリ,entry,目的,intention,部,part,風邪,shadow
チャンピオンシップ,championship,環境,environment,インタラクション,interaction,参加者,participant,シェイク,shake
チャンス,chance,環境,environmental,興味,interest,参加,participate,形,shape
変化する,change,エピソード,episode,興味がある,interested,参加,participation,共有,share
変化,changing,同等,equal,面白い,interesting,特に,particular,シャープ,sharp
チャネル,channel,同様に,equally,内部,internal,特に,particularly,彼女,she
章,chapter,等しい,equate,インターナショナル,international,部分的に,partly,シート,sheet
キャラクター,character,装置,equipment,インターネット,Internet,相棒,partner,棚,shelf
特性,characteristic,時代,era,解釈,interpret,パートナーシップ,partnership,シェル,shell
特徴づける,characterize,エラー,error,解釈,interpretation,パーティ,party,シェルター,shelter
充電,charge,エスケープ,escape,介入,intervention,合格,pass,シフト,shift
チャリティー,charity,特に,especially,インタビュー,interview,通路,passage,輝く,shine
チャート,chart,エッセイ,essay,の中へ,into,乗客,passenger,船,ship
追跡,chase,必要不可欠,essential,導入,introduce,情熱,passion,シャツ,shirt
安いです,cheap,本質的に,essentially,前書き,introduction,過去,past,たわごと,shit
チェック,check,設立する,establish,侵入,invasion,パッチ,patch,ショック,shock
頬,cheek,確率,establishment,発明,invent,道,path,靴,shoe
チーズ,cheese,エステート,estate,投資,invest,忍耐強い,patient,シュート,shoot
シェフ,chef,見積もり,estimate,調査,investigate,パターン,pattern,撮影,shooting
化学,chemical,倫理,ethics,調査,investigation,一時停止,pause,店,shop
胸,chest,エスニック,ethnic,捜査官,investigator,支払い,pay,買い物,shopping
ひよこ,chick,ヨーロッパ人,European,投資,investment,支払い,payment,海岸,shore
チキン,chicken,評価,evaluate,投資家,investor,平和,peace,短い,short
チーフ,chief,評価,evaluation,招待,invite,ピーク,peak,まもなく,shortly
子供,child,平,even,関与,involve,ピア,peer,ショット,shot
子供時代,childhood,夜,evening,関与,involved,ペナルティ,penalty,したほうがいい,should
子供達,children,イベント,event,関与,involvement,人,people,ショルダー,shoulder
中国語,Chinese,最終的,eventually,イラク,Iraqi,コショウ,pepper,叫ぶ,shout
チップ,chip,これまで,ever,アイルランド語,Irish,あたり,per,見せる,show
チョコレート,chocolate,毎日,every,鉄,iron,知覚,perceive,シャワー,shower
選択,choice,みんな,everybody,は,is,パーセンテージ,percentage,肩をすくめる,shrug
コレステロール,cholesterol,毎日,everyday,イスラム,Islamic,感知,perception,シャット,shut
選ぶ,choose,みんな,everyone,小島,island,完全,perfect,病気,sick
コード,chord,すべての,everything,イスラエル人,Israeli,完全に,perfectly,側,side
キリスト教徒,christian,どこにでも,everywhere,問題,issue,実行,perform,はぁ,sigh
クリスマス,christmas,証拠,evidence,それ,it,パフォーマンス,performance,視力,sight
教会,church,進化,evolution,イタリアの,Italian,多分,perhaps,サイン,sign
シガレット,cigarette,進化,evolve,アイテム,item,期間,period,信号,signal
サークル,circle,ちょうど,exact,これは,its,永続,permanent,意義,significance
状況,circumstance,まさに,exactly,自体,itself,許可,permission,重要,significant
引用,cite,検査,examination,ジャケット,jacket,許可,permit,大幅,significantly
市民,citizen,診る,examine,刑務所,jail,人,person,沈黙,silence
市,city,例,example,日本,Japanese,個人的,personal,静けさ,silent
市民,civil,超えた,exceed,ジェット,jet,正確,personality,銀,silver
民間人,civilian,優れた,excellent,ユダヤ人,Jew,個人的に,personally,似ている,similar
請求,claim,それ外,except,ユダヤ人,Jewish,人員,personnel,同様に,similarly
クラス,class,例外,exception,仕事,job,視点,perspective,単純,simple
クラシック,classic,両替,exchange,加入,join,説く,persuade,単に,simply
クラスルーム,classroom,エキサイト,excite,ジョイント,joint,ペット,pet,罪,sin
掃除,clean,エキサイティング,exciting,冗談で,joke,段階,phase,以来,since
クリア,clear,エグゼクティブ,executive,ジャーナル,journal,現象,phenomenon,歌う,sing
明らかに,clearly,エクササイズ,exercise,ジャーナリスト,journalist,哲学,philosophy,歌手,singer
クライアント,client,示す,exhibit,旅,journey,電話,phone,独身,single
気候,climate,エキシビション,exhibition,喜び,joy,写真,photo,シンク,sink
登る,climb,存在,exist,ジャッジ,judge,写真,photograph,様,sir
診療所,clinic,存在,existence,判定,judgment,写真家,photographer,妹,sister
臨床,clinical,既存,existing,ジュース,juice,段階,phrase,座る,sit
時計,clock,拡大,expand,ジャンプ,jump,物理的,physical,サイト,site
選ぶ,choose,拡張,expansion,ジュニア,junior,物理的に,physically,シチュエーション,situation
密接に,closely,予想,expect,陪審,jury,医師,physician,六,six
クローザー,closer,期待,expectation,ただ,just,ピアノ,piano,サイズ,size
服,clothe,費用,expense,正義感,justice,選ぶ,pick,スキー,ski
服,clothes,高価な,expensive,正当化する,justify,写真,picture,スキル,skill
衣類,clothing,経験,experience,保つ,keep,パイ,pie,肌,skin
クラウド,cloud,実験,experiment,維持,kept,ピース,piece,空,sky
クラブ,club,エキスパート,expert,鍵,key,パイル,pile,奴隷,slave
ヒント,clue,説明,explain,キック,kick,パイロット,pilot,寝る,sleep
集まる,cluster,説明,explanation,子供,kid,松,pine,スライス,slice
コーチ,coach,爆発する,explode,殺す,kill,ピンク,pink,滑り台,slide
石炭,coal,見る,explore,キラー,killer,パイプ,pipe,わずか,slight
連立,coalition,爆発,explosion,殺害,killing,ピッチ,pitch,少し,slightly
海岸,coast,公開,expose,親切,kind,場所,place,スリップ,slip
コート,coat,曝露,exposure,キング,king,プレーン,plain,スロー,slow
コード,code,特急,express,接吻,kiss,予定,plan,ゆっくり,slowly
コーヒー,coffee,表現,expression,キッチン,kitchen,飛行機,plane,小さな,small
認知,cognitive,拡張する,extend,膝,knee,星,planet,頭いい,smart
寒い,cold,拡大,extension,知っていた,knew,計画,planning,匂い,smell
崩壊,collapse,広範囲,extensive,ナイフ,knife,植物,plant,笑顔,smile
同僚,colleague,範囲,extent,ノック,knock,プラスチック,plastic,煙,smoke
冬,winter,それなし,without,仕事,work,傷,wound,うん,yeah
ワイプ,wipe,目撃者,witness,ワーカー,worker,包む,wrap,年,year
ワイヤー,wire,女性,woman,働く,working,書きます,write,エール,yell
知恵,wisdom,しません,won’t,動作します,works,作家,writer,黄,yellow
賢い,wise,不思議,wonder,ワークショップ,workshop,書き込み,writing,はい,yes
願い,wish,素晴らしい,wonderful,世界,world,書かれた,written,昨日,yesterday
と,with,木材,wood,心配した,worried,間違い,wrong,まだ,yet
撤退,withdraw,木製,wooden,心配,worry,書きました,wrote,収率,yield
以内に,within,言葉,word,価値,worth,ヤード,yard,あなた,you
楽勝です,easy peasy,呆れる,"disgusted, amazed",かと思う,think (something) might be,泣きそう,feels like crying,至らない,"imperfect, inadequate"
朝飯前,piece of cake,焦った,"flustered, hurried",疲れてるからって,just because I'm tired,やった!,i got it!,至る,"to arrive, to reach, to attain"
棚ぼた,"godsend, windfall​",当たり前です,"of course, obviously",からって,just because,めちゃめちゃ,"very, extremely",至急,"urgent, pressing"
お安い御用,easy task,あっという間,a blink of time,忙しいからって,just because I'm busy,よし!,yes!,至って,"very, extremely"
トントン拍子,without a hitch,あっという間に,in a blink of an eye,おかしいなあ,it's strange,じーんとする,feeling touched,至る所,"all over, throughout​"
一番乗り,first to arrive,あと一歩,just a step away,がっかりだよ,it's disappointing,じーんとしちゃった,i'm really touched,至極,exceedingly
一石二鳥,two birds with one stone,あやしい,sounds fishy,さすがですね,i’m impressed,じ一んとくる,be touched,至言,apt remark
善は急げ,move with haste,あり得ない,out of the question,信じられない!,unbelievable!,ウルウルしちゃった,i’m so touched,行動的,active
先手を打つ,beat to the punch,あわてなくていい,no rush,そうかなあ,i wonder,感激!,"impressive, fantastic",積極的,aggressive
根回し,lay the groundwork,いい加減だなあ,it’s irresponsible,どうしよう,what to do,ワクワクする,it’s exciting,意欲的,ambitious
ハマる,get hooked,いい加減にする,to put an end ,何て言っていいか,i don't know what to say,言葉にできない,beyond words,勇敢,brave
目がない,"fond of, have weakness for",いい加減にしろ,cut it out,まさか,no way,泣けたよ,it made me cry,慎重,careful
病みつき,being addicted,いい加減にして,cut it out,まじで?,seriously?,そのままズバリ,exactly as it is,独創的,creative
我を忘れる,forget oneself,いい線いってる,on the right track,また? ,again?,胸を打つ,be touching,勤勉,diligent
首を突つ込む,stick your nose in,いいな,it’s good (feeling envy),よくわかんない,i'm not sure,かっこいい,cool,のんき,easygoing
本腰を入れる,put your back into,言いにくいんです,it's hard to say,わけがわかんない,i'm confused,すごい,amazing,感情的,emotional
目からウロコ,eye-opening,言い訳はいい,no excuses,来週はどう?,how about next week?,びっくり,surprised,熱心,enthusiastic
空気を読む,read the situation,言えてる,you can say that again,こういうのはどう?,how about this?,ほんと,really,外向的,extroverted
ダメ元,nothing to lose,意外,unexpectedly,いいんですか,it is ok?,そうなんですか,is that so?,フレンドリー,friendly
安全パイ,safe choice,一応,"more or less, for now, roughly",いいの?,it is ok?,そうです,"yes, it is",勤勉,hard-working
肩の荷が下りる,relived one’s burden,一か八か,all or nothing,できた?,is it done?,そうですよ,that’s right,誠実,honest
手とり足とり,attentively,いつものこと,the usual,どういうことですか,what do you mean?,そうですよね,"yah, that’s right",優柔不断,indecisive
一から十まで,without exception,今一つ,not quite,どうしたんですか?,what happened?,そうですね,"yes, that’s right",利口,intelligent
コツコツ,"untiringly , steadily",意味がわからない,i don’t get it,何それ?,what is it?,そうだね,"let’s see.., well..",内向的,introverted
に飢える,starving for,いやだ,don’t want to,頭が痛いよ,it gives me a headache,まじ,seriously,親切,kind
愛情に飢えてた,starving for affection,イライラする,ticked off,危なかった,that was close,うそ,no way,無邪気,naive
待ちに待った,long-awaited,うっかりしてた,i was careless,ありがたいです,appreciate it,まさか,no way,腕白,naughty
折角,long-awaited,うまく言えない,"hard to say, hard to explain",惜しかったね,what a shame,信じられない,unbelievable!,丁寧,polite
ごまをする,butter up,うまくいってる,it's going well,お互い様です,likewise,いいんですか,it is ok?,静か,quiet
サバを読む,fudge the numbers,うんざり,"boring, tiresome",体がだるい,"i feel weak, i feel listless",ありがたい,grateful,自己チュー,selfish
攻撃,"attack, assault",折衝,negotiation,協議,"conference, negotiation",侵入,"invasion, incursion",侵攻,invasion
停戦,"armistice, ceasefire",相次ぐ,happens in succession,取引先,"client, costumer",停止,stoppage,経済協力,economic cooperation
機内,in-flight,拒否,"refusal, rejection",辞職,resignation,勧告,"advice, counsel",決議,resolution
手を抜く,cut corners,偉い,"great, excellent",かわいそうに,that’s pitiful,おかげさまで,thanks to you,権利,"right, privilege"
少しは手を抜く,cut a little slack,お言葉に甘えて,accept the kind offer,気分が悪い,don’t feel well,助かります,it would help me out,利益," profit, gains"
お茶をにごす,give an evasive reply,お先に,ahead of you,ぎりぎり間に合った,barely made it,至れり尽くせり,perfect,便利,convenient
見て見ぬふりをする,turn a blind eye to,おしゃれですね,how stylish,困ったなあ,this is bad,てもらって,to have done,利用,"use, utilization"
探すふりをする,pretend to look for it,落ち込む,"down, depressed",しまった! ,damn it!,お世話様,thank you for your service,勝利,"victory, triumph"
口先だけ,all talk (and no action),おっしやるとおり,exactly as you say,せっかくなのに,"what a waste, sorry but..",何から何まで,"everything, without exception",利子,"interest (loan, etc)"
口説く,"to urge, to coax",追ってご連絡します,I’ll contact you later,それは残念でしたね,I'm sorry to hear that,身にしみる,deep in my heart,有利,advantageous
一か八か,all or nothing,お手数をおかけします,sorry for the trouble,それはまずいよ,that won’t do,面白そう,looks interesting,不利,disadvantage
頑張り屋,tenacious,思ったとおり,just as i thought,大変ですね,that's tough,楽しみ ,looking forward to,利く,to be effective
頭が切れる,sharp-minded,恩に着る,indebted to,助かります,it would help me out,首を長くして,been waiting for,利口,"clever, intelligent"
人気者,popular (person),カチンと来る,be annoyed with,楽しみです,looking forward to it,待ち遠しい,looking forward to,利点,point in favor
おっちょこちょい,careless person,がっくり,"dejected, bummed out",だめだ,"can’t, it’s over",ソワソワしてる,feel nervous,利息,"interest (loan, etc)"
腰が低い,"humble, modest",かっこ悪い,"uncool, lame",ついてないなあ,not so lucky,待ちきれない,i can’t wait,利潤,"profit, returns"
口が堅い,tight-lipped,勝手にやれば?,why don't you do it?,疲れました,I'm tired,会いますように,i hope to see you,砂利,gravel
一匹狼,lone wolf,変わらない,hasn’t changed,なんだ,"oh, come on",どうか,please,左利き,left-handed
寂しがり屋,"lonely person, attention-seeker",考えられない,unthinkable,なんとなく,"for some reason, somehow",傳随できますように,i hope you can win,利率,interest rate
負けず嫌い,sore loser,関係ない,it doesn’t matter,ひどい話ですね,that’s terrible,ありがたいんだけど,i appreciate it very much,金利,interest rate
恥ずかしがり屋,shy person,感心する,be impressed,平気です,"not bothered, i’m fine",そうしようか,i'll do that,利回り,"interest, yield"
泣き虫,cry baby,勘弁して,give me a break,まあね,"I suppose, I guess",何とか,somehow,利用者,end-user
気分屋,moody person,聞いてない,i never heard about that,まいったなあ,what a bummer,行ってみたいな,I'd like to go,利害関係,interests
甘えん坊,spoiled child,気が重い,"down, depressed",やっぱり,"as usual, as expected",買いたいな,I'd like to buy some,営利,money-making
お人好し,softhearted,気が利くね,how thoughtful,やばい,"crazy, awful, cool , terrific",大変じゃない?,Isn't it hard?,便利さ,convenience
かゆい,itchy,じっと,motionlessly,おもて,surface,ディスカッション,discussion,メール,email
かわいらしい,lovely,しばしば,often,オリンピック,olympic,ディナー,dinner,メダル,medal
きつい,intense,すう,to smoke,ガーデニング,gardening,デー,day,メモ,memorandum
くやしい,regrettable,せいぜい,at the most,カード,card,デート,date,メリット,advantage
しかたない,it can’t be helped,そっくり,all,かご,basket,テーマ,topic,めん,noodles
つらい,spicy,そっと,softly,かず,number,デジカメ,digital camera,メンバー,member
ない,nonexistent,たっぷり,full,かっこ,shape,テレビ,television,モデル,model
めでとう,happy,たとえ,even if,カット,cut,テント,tent,やる気,willingness
鋭い,pointed,たびたび,often,カビ,mold,トイレット,toilet,ゆうべ,evening
恐ろしい,terrible,たまたま,casually,カフェ,cafe,とき,time,ユーモア,humor
苦しい,painful,ちゃんと,perfectly,カロリー,calorie,ところ,place,ユニフォーム,uniform
激しい,violent,つまり,in short,キャンセル,cancel,ところ,place,ヨーグルト,yoghurt
賢い,wise,どう,precisely,キャンプ,camp,トップ,top,ヨーロッパ,europe
詳しい,knowing very well,とにかく,anyhow,キュウリ,cucumber,トマト,tomato,ヨット,yacht
親しい,intimate,とんでも,tondemo,キロ,kilo,ドライブ,drive,ライター,lighter
粗い,coarse,なぜ,why,クーポン,coupon,トラック,truck,ライバル,rival
等しい,equal,にっこり,smile sweetly,くしゃみ,kushami,ドラマ,drama,ラケット,racket
濃い,deep,のんびり,carefree,クッキー,cookie,トランプ,playing cards,ランチ,launch
貧しい,poor,ぴったり,exactly,グラウンド,sports ground,ドリンク,drink,ランニング,running
幼い,very young,ふと,suddenly,クラシック,classical music,トレーニング,training,リットル,litre
良い,good,ほぼ,almost,グラス,glass,ドレス,dress,ルーム,room
あんな,such,ぼんやり,absent-minded,クラスメイト,classmate,トンネル,tunnel,レシピ,recipe
かわいそう,poor,まさか,by no means,クラブ,club,なす,eggplant,レンズ,lens
グローバル,global,まさに,exactly,クリーム,cream,ニーズ,needs,レンタル,rental
こんな,such,ますます,increasingly,クリーム,cream,にんじん,carrot,ワイン,wine
ドロドロ,syrupy,まるで,quite,クリーム,cream,ネズミ,mouse,わがまま,selfishness
どんな,what,むしろ,rather,クリスマス,christmas,ネット,net,ワン,one
ばらばら,scattered,もし,if,グループ,group,ネット,net,哀れ,pity
めった,thoughtless,やがて,before long,グルメ,gourmet,ノック,knock,愛,love
偉大,greatness,やや,a little,グレー,grey,パーセント,percent,愛情,love
意外,unexpected,ゆっくり,slowly,ケース,case,バーベキュー,barbecue,悪口,abuse
温暖,warmth,ワイワイ,noisily,ゲーム,game,バイオリン,violin,悪魔,devil
穏やか,calm,わざと,on purpose,ケチ,stinginess,ハイキング,hiking,握手,handshake
可能,possible,わざわざ,expressly,コアラ,koala,バイク,bike,宛先,address
可能,possible,わずか,only,コーチ,coach,パイプ,pipe,安全,safety
確実,certainty,一層,much more,コード,code,パイロット,pilot,安定,stability
完全,perfection,既に,already,ゴール,goal,バカ,fool,暗記,memorization
器用,skillful,言わば,so to speak,ゴール,goal,はさみ,scissors,案,idea
奇妙,strange,幸い,happiness,こしょう,pepper,パス,path,以前,ago
気の毒,pitiful,再び,again,コミュニケーション,communication,パスタ,pasta,以来,since
貴重,precious,次々,in succession,コメディー,comedy,パスポート,passport,位置,place
急激,sudden,主に,mainly,ごめん,your pardon,はちみつ,honey,依頼,request
急速,rapid,少し,small quantity,ゴルフ,golf,バッグ,bag,委員,committee member
巨大,huge,真っ直ぐ,straight,コンタクト,contact,はと,pigeon,意志,will
強力,powerful,遂に,finally,サークル,circle,バドミントン,badminton,意思,intention
嫌,disagreeable,随分,very,サービス,service,ハム,ham,意識,consciousness
見事,splendid,正直,honesty,さい,on the occasion of,バランス,balance,異常,strangeness
主要,chief,全く,really,サイン,autograph,パリ,paris,移動,removal
重大,serious,大いに,very,サプリ,supplement,バレンタイン,valentine,維持,maintenance
重要,important,単に,simply,サプリメント,supplement,バンド,bando,胃,stomach
順調,favourable,直ちに,at once,サポート,support,ハンバーガー,hamburger,衣服,clothes
新た,new,当然,natural,サラリーマン,office worker,ピアス,earrings,違い,difference
新鮮,fresh,特に,particularly,サングラス,sunglasses,ビール,beer,違い,difference
深刻,serious,突然,abrupt,サンタクロース,santa claus,ピクニック,picnic,違反,violation
真っ赤,bright red,必ず,always,ジーンズ,jeans,ピザ,pizza,医師,doctor
正式,due form,余り,remainder,システム,system,ピッチャー,pitcher,医療,medical care
粗末,crude,あるいは,or,しっぽ,tail,ヒット,hit,一家,a house
素敵,lovely,さて,well,しゃべり,talk,ビデオ,video,一気,drink!
単純,simplicity,さらに,furthermore,ジュース,juice,ビニール,vinyl,一言,single word
直,direct,しかも,moreover,しょう,way,ひび,crack,一時,one hour
適切,pertinent,すなわち,that is,ショッピング,shopping,ピン,pin,一種,species
適度,moderate,ただ,ordinary,ショッピング,shopping,ファイル,file,一瞬,moment
同一,identity,なお,furthermore,しわ,wrinkle,ファスト,first,一人一人,one by one
同様,identical,一方,one,スイッチ,switch,ファッション,fashion,一生,whole life
独特,peculiarity,更に,furthermore,スープ,soup,フィンランド,finland,一体,what the heck
抜群,preeminence,又,again,すえ,sue,フード,food,一致,coincidence
非常,emergency,アイス,ice,スキー,skiing,プライベート,private,一般,general
微妙,delicate,アイディア,idea,スケート,skate,プラグ,plug,一般,general
必死,frantic,アイロン,iron,スズメバチ,hornet,プラス,plus,稲,rice-plant
不要,unnecessary,アウト,out,スター,star,プラン,plan,印,seal
豊か,abundant,あくび,yawn,スタイル,style,フルーツ,fruit,印刷,printing
豊富,abundance,アドバイス,advice,スタッフ,staff,ブレーキ,brake,印象,impression
夢中,daze,アニメ,animated film,スタンド,stand,プレゼン,presentation,引っ越し,moving
明らか,obvious,アルバム,album,ストレス,stress,プレゼンテーション,presentation,引退,retire
明確,clear,アレルギー,allergy,ストレス,stress,プロ,professional,引用,quotation
優秀,superiority,いたずら,tease,スピーチ,speech,プロジェクター,projector,宇宙,universe
有効,validity,いち,one,スピード,speed,プロジェクト,project,羽,feather
有利,advantageous,いちご,strawberry,スポーツ,sport,ページ,page,嘘,lie
容易,easy,いっせい,simultaneous,スポーツ,sport,ペーパー,paper,噂,rumour
様々,varied,いとこ,male cousin,せい,act,ヘッドホン,headphone,運,fortune
利口,clever,イベント,event,セール,sale,ベランダ,balcony,餌,feed
あらゆる,all,いらいら,getting nervous,せき,seat,ベルト,belt,営業,business
いわゆる,what is called,インク,ink,せき,cough,ベンチ,bench,影,shadow
この,this,インターンシップ,internship,セット,set,ボウリング,bowling,影響,influence
その,that,ウイスキー,whisky,センター,centre,ボウル,bowl,栄養,nutrition
我が,my,ウイルス,virus,そば,side,ボート,boat,永遠,eternity
大した,considerable,ウイルス,virus,ソファー,sofa,ホーム,platform,永久,eternity
単なる,mere,うがい,gargling,ソフト,soft,ホーム,platform,泳ぎ,swimming
あいにく,unfortunately,うさぎ,rabbit,それぞれ,each,ホームステイ,homestay,衛星,satellite
あんまり,remainder,うち,inside,ダイエット,diet,ボール,ball,延期,postponement
いずれ,where,うどん,udon,だいたい,general,ほこり,dust,援助,assistance
おそらく,perhaps,うなぎ,eel,タイトル,title,ほど,degree,演技,acting
およそ,about,エネルギー,energy,ダイヤ,diamond,マーケット,market,演説,speech
がっかり,feel disappointed,エビ,frog,タオル,towel,マイク,mike,演奏,musical performance
かなり,considerably,エンジン,engine,ダンス,dance,マスク,mask,炎,flame
きちんと,precisely,オープン,open,チーズ,cheese,まつ,wait,煙,smoke
ぐつぐつ,simmering,おかげ,backing,チーム,team,まま,as it is,猿,monkey
ぐっすり,sound asleep,おじ,uncle,チームワーク,teamwork,マンション,large apartment,縁,fate
さっぱり,feeling refreshed,おば,aunt,チャンス,chance,ミス,mistake,汚染,pollution
しきり,frequent,オフィス,office,ちょうだい,receiving,ミルク,milk,奥,interior
街,town,蓋,cover,咳,cough,外出,outing,外交,diplomacy
拡大,magnification,屋根,roof,起床,getting up,病床,sickbed,弱点,weak point
赤字,deficit,減少,decrease,地元,"local, home town",行為,action,再生,regeneration
悪事,crime,原則,principle,迅速,"fast, quick",好意,favor,採用,adopt
圧倒,overwhelmed,幻想,illusion,実践,practice,公開,release,最善,best
扱い,treatment,犠牲,sacrifice,実質,"substance, essence",後悔,regret,栄える,flourish
圧力,pressure,合成,synthesis,事前,"in advance, prior",購入,purchase,作戦,strategy
過ち,"fault, error",軍事,military affairs,持続,"continuation, sustaining",効率,efficiency,悟る,understand
買収,"purchase, acquisition",業務,business,助言,advice,交渉,negotiation,世代,generation
爆弾,bomb,業績,"achievement, results",譲歩,concession,雇用,employment,征服,conquest
弁護,defense,把握,grasp,情熱,passion,口調,tone,制服,uniform
弁解,"explanation, excuse",阻む,hinder,上陸,landing,苦しみ,suffering,正義,justice
弁明,"explanation, excuse",肺,lung,情勢,"situation, state of things",屈辱,humiliation,誠実,sincere
貧乏,poverty,配置,"arrangement, deployment",従業員,employee,拒否,denial,成熟,maturity
敏感,sensitive,背後,back,柔軟,flexible,極端,extreme,成果,achievement
微笑,smile,排除,exclusion,株式,stocks,脅迫,intimidation,政権,administration
膨張,expansion,配慮,consideration,課題,"task, subject, challenge",脅威,threat,政策,policy
防衛,defense,廃止,abolition,開発,development ,享受,enjoy,正当,legitimate
暴力,violence,破壊,destruction,回避,avoidance,共感,empathy,選挙,election
侮辱,insult,派遣,dispatch,解除,release,教訓,lesson,戦略,strategy
部下,subordinate,白状,confession,改革,reform,強烈,strong,占領,occupation
分配,"sharing, distribution",繁栄,prosperity,階級,class,共産,communism,戦闘,battle
分散,dispersion,反応,reaction,介入,intervention,強制,force,専用,designated
文書,documents,反乱,rebellion,賭け,betting,究極,ultimate,接触,contact
無礼,rudeness,発生,occurrence,賭ける,"to bet, to wager",救済,relief,設定,configuration
武装,"armament, arms",果たす,"to fulfill, to accomplish",確保,"ensure, secure",恵む,show mercy to,説得,persuasion
着手,"to start, to embark",発言,"speech, statement",革命,revolution,明白,obvious,設立,establishment
近づく,"approaches, get close",兵器,weapons,確信,"conviction, confidence",明瞭,clarity,死,death
蓄積,accumulation,閉鎖,closure,肝心,"essential, vital",名誉,honor,強いる,force
賃金,wage,兵士,soldier,完璧,perfection,未知,unknown,支持,support
沈黙,silence,変動,"fluctuation, change",官僚,"bureaucracy, officials",身近,familiar,指示,instruction
知性,intelligence,変革,"change, transformation",監視,surveillance,見方,viewpoint,資格,qualification
秩序,order,偏見,prejudice,干渉,interference,源,source,指揮,command
直感,intuition,率いる,lead,関与,participation,満たす,fulfill,資金,fund
直面,"confrontation, facing",悲鳴,scream,寛容,tolerance,漏らす,reveal,仕組み,how it works
挑戦,"challenging, to challenge",非難,"condemnation, blame, criticism",固める,"to harden, to consolidate",摸索,mosaku,使命,mission
調達,"supply, raising, procurement",避難,"evacuation, refuge",傾ける,"to incline, to tilt, to lean",齎す,bring,辛抱,patience
中断,interruption,貧困,poverty,交わす,to exchange,無実,innocent,進化,evolution
忠実,"faithful, fidelity",頻繁,frequency,軽減,"reduction, alleviation",無効,invalid,侵略,invasion
忠告,advice,疲労,fatigue,経費,expenses,無力,powerlessness,思考,thought
